Parameter S1 S1_conf ST ST_conf
a_neg 0.137151 0.222615 0.341721 0.233233
a_pos -0.003871 0.015479 0.010037 0.027002
l_neg 0.049254 0.097210 1.626385 3.668611
l_sep 0.000061 0.000366 0.000007 0.000014
l_pos 0.000737 0.001681 0.000102 0.000196
Rp_neg -0.008352 0.011277 0.119614 0.104401
Rp_pos 0.003162 0.008435 0.001342 0.004244
epsilon_f_neg 0.000020 0.000041 0.000000 0.000000
epsilon_f_pos 0.000013 0.000358 0.000002 0.000004
epsilon_neg -0.001210 0.026906 0.132980 0.100818
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.014358 0.015491 0.007884 0.021276
Cdl_neg -0.000123 0.000191 0.000061 0.000057
Cdl_pos 0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000848 0.004016 0.001122 0.003243
D -0.001448 0.005884 0.001048 0.002795
Ds_neg 0.122910 0.363569 2.580560 6.112636
Ds_pos 0.023861 0.068652 0.104681 0.354796
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.001344 0.013719 0.006266 0.016138
dUdcp_neg_mag 0.155212 0.110815 0.336626 0.744291
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.001561 0.001670 0.000279 0.000789
i0_pos -0.011750 0.012117 0.001695 0.003361
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.004653 0.015213 0.006399 0.016257
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.027045 0.066875 0.120187 0.293908
sigma_neg -0.000180 0.000301 0.000006 0.000013
sigma_pos 0.001257 0.002669 0.000142 0.000275

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.146319 0.256893
a_neg l_neg -0.128723 0.272053
a_neg l_sep -0.152625 0.256333
a_neg l_pos -0.153215 0.257061
a_neg Rp_neg -0.159361 0.257594
a_neg Rp_pos -0.152123 0.256520
a_neg epsilon_f_neg -0.152619 0.256333
a_neg epsilon_f_pos -0.152471 0.256182
a_neg epsilon_neg -0.171737 0.255047
a_neg epsilon_sep -0.152605 0.256335
a_neg epsilon_pos -0.147886 0.256633
a_neg Cdl_neg -0.152722 0.256361
a_neg Cdl_pos -0.152604 0.256336
a_neg cs_max_neg -0.152605 0.256335
a_neg cs_max_pos -0.152605 0.256335
a_neg c0 -0.153130 0.256487
a_neg D -0.151918 0.256274
a_neg Ds_neg -0.154122 0.258374
a_neg Ds_pos -0.149347 0.257152
a_neg d2Udcp2_pos_sgn -0.152605 0.256335
a_neg d2Udcp2_neg_sgn -0.152605 0.256335
a_neg d3Udcp3_pos_sgn -0.152605 0.256335
a_neg d3Udcp3_neg_sgn -0.152605 0.256335
a_neg dUdcp_pos_mag -0.152370 0.256130
a_neg dUdcp_neg_mag -0.222923 0.271112
a_neg d2Udcp2_pos_mag -0.152605 0.256335
a_neg d2Udcp2_neg_mag -0.152605 0.256335
a_neg d3Udcp3_pos_mag -0.152605 0.256335
a_neg d3Udcp3_neg_mag -0.152605 0.256335
a_neg i0_neg -0.152065 0.256376
a_neg i0_pos -0.143844 0.256643
a_neg SOC_neg -0.152605 0.256335
a_neg SOC_pos -0.152605 0.256335
a_neg tP -0.152667 0.256274
a_neg aa_neg -0.152605 0.256335
a_neg aa_pos -0.152605 0.256335
a_neg kappa_0 -0.148689 0.272392
a_neg sigma_neg -0.152535 0.256358
a_neg sigma_pos -0.153543 0.257828
a_pos l_neg 0.010160 0.042619
a_pos l_sep 0.013925 0.043627
a_pos l_pos 0.013879 0.043482
a_pos Rp_neg 0.015227 0.044059
a_pos Rp_pos 0.015874 0.050861
a_pos epsilon_f_neg 0.013974 0.043666
a_pos epsilon_f_pos 0.014004 0.043718
a_pos epsilon_neg 0.012925 0.040113
a_pos epsilon_sep 0.013989 0.043683
a_pos epsilon_pos 0.011079 0.031573
a_pos Cdl_neg 0.014010 0.043682
a_pos Cdl_pos 0.013989 0.043682
a_pos cs_max_neg 0.013989 0.043683
a_pos cs_max_pos 0.013989 0.043683
a_pos c0 0.014946 0.046053
a_pos D 0.012340 0.038754
