Parameter S1 S1_conf ST ST_conf
a_neg 0.048175 0.087178 0.381839 0.219944
a_pos -0.009561 0.033358 0.017142 0.021220
l_neg 0.041971 0.054928 0.357939 0.528357
l_sep 0.000345 0.001140 0.000056 0.000078
l_pos 0.004267 0.005535 0.000778 0.000914
Rp_neg -0.027463 0.019225 0.135930 0.105773
Rp_pos 0.000284 0.001333 0.000048 0.000075
epsilon_f_neg 0.000027 0.000131 0.000001 0.000001
epsilon_f_pos 0.000101 0.001212 0.000019 0.000023
epsilon_neg -0.004812 0.050680 0.171318 0.093237
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.033482 0.029503 0.021821 0.028261
Cdl_neg -0.000579 0.000559 0.000117 0.000098
Cdl_pos -0.000001 0.000010 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001839 0.005546 0.002072 0.003523
D -0.002349 0.005475 0.000520 0.000756
Ds_neg 0.024117 0.120130 0.557681 0.446446
Ds_pos 0.066410 0.118556 0.198730 0.357969
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.002054 0.021870 0.007604 0.010266
dUdcp_neg_mag 0.100249 0.081398 0.231924 0.305720
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.006134 0.007130 0.002461 0.003871
i0_pos -0.021479 0.045323 0.013804 0.017108
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.007323 0.018033 0.009791 0.015719
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.080040 0.141945 0.334769 0.459504
sigma_neg -0.000354 0.000911 0.000056 0.000072
sigma_pos 0.004630 0.009401 0.001287 0.001491

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.078751 0.131511
a_neg l_neg -0.070691 0.143724
a_neg l_sep -0.087226 0.133929
a_neg l_pos -0.088464 0.135669
a_neg Rp_neg -0.098607 0.132242
a_neg Rp_pos -0.087004 0.133936
a_neg epsilon_f_neg -0.087062 0.133899
a_neg epsilon_f_pos -0.086401 0.133591
a_neg epsilon_neg -0.119149 0.134641
a_neg epsilon_sep -0.087021 0.133892
a_neg epsilon_pos -0.076472 0.131236
a_neg Cdl_neg -0.087242 0.133843
a_neg Cdl_pos -0.087018 0.133892
a_neg cs_max_neg -0.087021 0.133892
a_neg cs_max_pos -0.087021 0.133892
a_neg c0 -0.087467 0.133969
a_neg D -0.086730 0.133969
a_neg Ds_neg -0.097443 0.128622
a_neg Ds_pos -0.073283 0.137971
a_neg d2Udcp2_pos_sgn -0.087021 0.133892
a_neg d2Udcp2_neg_sgn -0.087021 0.133892
a_neg d3Udcp3_pos_sgn -0.087021 0.133892
a_neg d3Udcp3_neg_sgn -0.087021 0.133892
a_neg dUdcp_pos_mag -0.086487 0.133462
a_neg dUdcp_neg_mag -0.148860 0.148295
a_neg d2Udcp2_pos_mag -0.087021 0.133892
a_neg d2Udcp2_neg_mag -0.087021 0.133892
a_neg d3Udcp3_pos_mag -0.087021 0.133892
a_neg d3Udcp3_neg_mag -0.087021 0.133892
a_neg i0_neg -0.086703 0.133117
a_neg i0_pos -0.061547 0.128094
a_neg SOC_neg -0.087021 0.133892
a_neg SOC_pos -0.087021 0.133892
a_neg tP -0.087432 0.134128
a_neg aa_neg -0.087021 0.133892
a_neg aa_pos -0.087021 0.133892
a_neg kappa_0 -0.053188 0.149600
a_neg sigma_neg -0.086905 0.133925
a_neg sigma_pos -0.090172 0.137052
a_pos l_neg 0.045052 0.086446
a_pos l_sep 0.048337 0.086582
a_pos l_pos 0.047087 0.086312
a_pos Rp_neg 0.051141 0.085988
a_pos Rp_pos 0.049403 0.087902
a_pos epsilon_f_neg 0.048447 0.086659
a_pos epsilon_f_pos 0.048594 0.086838
a_pos epsilon_neg 0.041415 0.080373
a_pos epsilon_sep 0.048523 0.086722
a_pos epsilon_pos 0.042347 0.072689
a_pos Cdl_neg 0.048619 0.086721
a_pos Cdl_pos 0.048521 0.086720
a_pos cs_max_neg 0.048523 0.086722
