Parameter S1 S1_conf ST ST_conf
a_neg 0.078341 0.111764 0.433679 0.210844
a_pos -0.012135 0.070719 0.036653 0.026078
l_neg 0.019004 0.016079 0.015024 0.017882
l_sep 0.001433 0.002688 0.000134 0.000114
l_pos 0.011291 0.010992 0.003022 0.001872
Rp_neg -0.063062 0.037405 0.125571 0.086795
Rp_pos 0.000430 0.001159 0.000035 0.000027
epsilon_f_neg 0.000019 0.000287 0.000002 0.000002
epsilon_f_pos 0.000428 0.002178 0.000077 0.000047
epsilon_neg -0.000909 0.086530 0.182327 0.078612
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.063905 0.056198 0.056740 0.042195
Cdl_neg -0.001030 0.000974 0.000098 0.000081
Cdl_pos -0.000006 0.000030 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.001323 0.005879 0.003456 0.004453
D -0.001122 0.002688 0.000151 0.000097
Ds_neg 0.006730 0.095554 0.400213 0.219473
Ds_pos 0.102779 0.131206 0.138929 0.176579
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.002506 0.027637 0.009632 0.007545
dUdcp_neg_mag 0.057932 0.076927 0.187841 0.136384
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.011894 0.015315 0.009682 0.007789
i0_pos -0.005208 0.103352 0.051638 0.031293
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.004319 0.012541 0.008790 0.008967
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.203287 0.275678 0.698519 0.657634
sigma_neg -0.000195 0.002141 0.000220 0.000155
sigma_pos 0.009699 0.018223 0.005119 0.003344

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.127950 0.175447
a_neg l_neg -0.128793 0.183838
a_neg l_sep -0.133392 0.181239
a_neg l_pos -0.134995 0.183432
a_neg Rp_neg -0.153252 0.174266
a_neg Rp_pos -0.132635 0.181034
a_neg epsilon_f_neg -0.132651 0.181010
a_neg epsilon_f_pos -0.130830 0.180729
a_neg epsilon_neg -0.186571 0.187453
a_neg epsilon_sep -0.132579 0.180991
a_neg epsilon_pos -0.116376 0.171508
a_neg Cdl_neg -0.132914 0.180859
a_neg Cdl_pos -0.132580 0.180994
a_neg cs_max_neg -0.132579 0.180991
a_neg cs_max_pos -0.132579 0.180991
a_neg c0 -0.132390 0.181055
a_neg D -0.132592 0.181097
a_neg Ds_neg -0.147846 0.173107
a_neg Ds_pos -0.107929 0.187712
a_neg d2Udcp2_pos_sgn -0.132579 0.180991
a_neg d2Udcp2_neg_sgn -0.132579 0.180991
a_neg d3Udcp3_pos_sgn -0.132579 0.180991
a_neg d3Udcp3_neg_sgn -0.132579 0.180991
a_neg dUdcp_pos_mag -0.132552 0.180016
a_neg dUdcp_neg_mag -0.185833 0.186017
a_neg d2Udcp2_pos_mag -0.132579 0.180991
a_neg d2Udcp2_neg_mag -0.132579 0.180991
a_neg d3Udcp3_pos_mag -0.132579 0.180991
a_neg d3Udcp3_neg_mag -0.132579 0.180991
a_neg i0_neg -0.135757 0.178284
a_neg i0_pos -0.082786 0.168482
a_neg SOC_neg -0.132579 0.180991
a_neg SOC_pos -0.132579 0.180991
a_neg tP -0.131844 0.181035
a_neg aa_neg -0.132579 0.180991
a_neg aa_pos -0.132579 0.180991
a_neg kappa_0 -0.036689 0.205230
a_neg sigma_neg -0.132435 0.181018
a_neg sigma_pos -0.138290 0.184592
a_pos l_neg 0.096893 0.166784
a_pos l_sep 0.098308 0.166943
a_pos l_pos 0.093910 0.167141
a_pos Rp_neg 0.107210 0.169057
a_pos Rp_pos 0.099790 0.167892
a_pos epsilon_f_neg 0.098590 0.167012
a_pos epsilon_f_pos 0.098989 0.167445
a_pos epsilon_neg 0.080431 0.157758
a_pos epsilon_sep 0.098800 0.167118
a_pos epsilon_pos 0.085643 0.143277
a_pos Cdl_neg 0.099034 0.167141
a_pos Cdl_pos 0.098793 0.167112
a_pos cs_max_neg 0.098800 0.167118
a_pos cs_max_pos 0.098800 0.167118
a_pos c0 0.101815 0.169256
a_pos D 0.097365 0.165660
a_pos Ds_neg 0.076959 0.159509
a_pos Ds_pos 0.198218 0.284501
a_pos d2Udcp2_pos_sgn 0.098800 0.167118
a_pos d2Udcp2_neg_sgn 0.098800 0.167118
a_pos d3Udcp3_pos_sgn 0.098800 0.167118
a_pos d3Udcp3_neg_sgn 0.098800 0.167118
a_pos dUdcp_pos_mag 0.086782 0.152544
a_pos dUdcp_neg_mag 0.085066 0.157471
a_pos d2Udcp2_pos_mag 0.098800 0.167118
a_pos d2Udcp2_neg_mag 0.098800 0.167118
a_pos d3Udcp3_pos_mag 0.098800 0.167118
a_pos d3Udcp3_neg_mag 0.098800 0.167118
a_pos i0_neg 0.097621 0.163982
a_pos i0_pos 0.063312 0.211264
a_pos SOC_neg 0.098800 0.167118
a_pos SOC_pos 0.098800 0.167118
a_pos tP 0.096953 0.166792
a_pos aa_neg 0.098800 0.167118
a_pos aa_pos 0.098800 0.167118
a_pos kappa_0 0.321259 0.395477
a_pos sigma_neg 0.097657 0.167375
a_pos sigma_pos 0.101875 0.168137
l_neg l_sep -0.017291 0.015720
l_neg l_pos -0.017241 0.015708
l_neg Rp_neg -0.018157 0.015855
l_neg Rp_pos -0.017277 0.015716
l_neg epsilon_f_neg -0.017269 0.015715
l_neg epsilon_f_pos -0.017282 0.015715
l_neg epsilon_neg -0.018003 0.016025
l_neg epsilon_sep -0.017268 0.015715
l_neg epsilon_pos -0.017408 0.015672
l_neg Cdl_neg -0.017276 0.015715
l_neg Cdl_pos -0.017268 0.015715
l_neg cs_max_neg -0.017268 0.015715
l_neg cs_max_pos -0.017268 0.015715
l_neg c0 -0.017255 0.015715
l_neg D -0.017266 0.015715
l_neg Ds_neg -0.017292 0.015766
l_neg Ds_pos -0.016883 0.015707
l_neg d2Udcp2_pos_sgn -0.017268 0.015715
l_neg d2Udcp2_neg_sgn -0.017268 0.015715
l_neg d3Udcp3_pos_sgn -0.017268 0.015715
l_neg d3Udcp3_neg_sgn -0.017268 0.015715
l_neg dUdcp_pos_mag -0.017301 0.015712
l_neg dUdcp_neg_mag -0.017741 0.015973
l_neg d2Udcp2_pos_mag -0.017268 0.015715
l_neg d2Udcp2_neg_mag -0.017268 0.015715
l_neg d3Udcp3_pos_mag -0.017268 0.015715
l_neg d3Udcp3_neg_mag -0.017268 0.015715
l_neg i0_neg -0.017060 0.015678
l_neg i0_pos -0.017319 0.015658
l_neg SOC_neg -0.017268 0.015715
l_neg SOC_pos -0.017268 0.015715
l_neg tP -0.017304 0.015712
l_neg aa_neg -0.017268 0.015715
l_neg aa_pos -0.017268 0.015715
l_neg kappa_0 -0.017063 0.015749
l_neg sigma_neg -0.017252 0.015712
l_neg sigma_pos -0.017423 0.015733
l_sep l_pos -0.005114 0.005985
l_sep Rp_neg -0.003537 0.005004
l_sep Rp_pos -0.005121 0.005910
l_sep epsilon_f_neg -0.005108 0.005884
l_sep epsilon_f_pos -0.005127 0.005887
l_sep epsilon_neg -0.003365 0.004703
l_sep epsilon_sep -0.005104 0.005882
l_sep epsilon_pos -0.004966 0.005788
l_sep Cdl_neg -0.005093 0.005892
l_sep Cdl_pos -0.005104 0.005882
l_sep cs_max_neg -0.005104 0.005882
l_sep cs_max_pos -0.005104 0.005882
l_sep c0 -0.004997 0.005875
l_sep D -0.005139 0.005886
l_sep Ds_neg -0.004623 0.006187
l_sep Ds_pos -0.003806 0.005777
l_sep d2Udcp2_pos_sgn -0.005104 0.005882
l_sep d2Udcp2_neg_sgn -0.005104 0.005882
l_sep d3Udcp3_pos_sgn -0.005104 0.005882
l_sep d3Udcp3_neg_sgn -0.005104 0.005882
l_sep dUdcp_pos_mag -0.004724 0.005656
l_sep dUdcp_neg_mag -0.003109 0.004115
l_sep d2Udcp2_pos_mag -0.005104 0.005882
l_sep d2Udcp2_neg_mag -0.005104 0.005882
l_sep d3Udcp3_pos_mag -0.005104 0.005882
l_sep d3Udcp3_neg_mag -0.005104 0.005882
l_sep i0_neg -0.005088 0.005919
l_sep i0_pos -0.004964 0.005707
l_sep SOC_neg -0.005104 0.005882
l_sep SOC_pos -0.005104 0.005882
l_sep tP -0.005248 0.005905
l_sep aa_neg -0.005104 0.005882
l_sep aa_pos -0.005104 0.005882
l_sep kappa_0 -0.010200 0.014243
l_sep sigma_neg -0.005093 0.005858
l_sep sigma_pos -0.005176 0.005918
l_pos Rp_neg -0.017027 0.022870
l_pos Rp_pos -0.018902 0.027400
l_pos epsilon_f_neg -0.018891 0.027394
l_pos epsilon_f_pos -0.018807 0.027386
l_pos epsilon_neg -0.010850 0.021451
l_pos epsilon_sep -0.018888 0.027394
l_pos epsilon_pos -0.017971 0.027239
l_pos Cdl_neg -0.019006 0.027337
l_pos Cdl_pos -0.018888 0.027394
l_pos cs_max_neg -0.018888 0.027394
l_pos cs_max_pos -0.018888 0.027394
l_pos c0 -0.018045 0.027106
l_pos D -0.018876 0.027395
l_pos Ds_neg -0.025345 0.027359
l_pos Ds_pos -0.016167 0.027317
l_pos d2Udcp2_pos_sgn -0.018888 0.027394
l_pos d2Udcp2_neg_sgn -0.018888 0.027394
l_pos d3Udcp3_pos_sgn -0.018888 0.027394
l_pos d3Udcp3_neg_sgn -0.018888 0.027394
l_pos dUdcp_pos_mag -0.019134 0.027378
l_pos dUdcp_neg_mag -0.012577 0.024433
l_pos d2Udcp2_pos_mag -0.018888 0.027394
l_pos d2Udcp2_neg_mag -0.018888 0.027394
l_pos d3Udcp3_pos_mag -0.018888 0.027394
l_pos d3Udcp3_neg_mag -0.018888 0.027394
l_pos i0_neg -0.015474 0.026881
