Parameter S1 S1_conf ST ST_conf
a_neg 0.108806 0.124392 0.441110 0.204977
a_pos -0.006724 0.095481 0.056382 0.029388
l_neg 0.006525 0.004173 0.000584 0.000482
l_sep 0.002427 0.004185 0.000226 0.000170
l_pos 0.017054 0.014482 0.005308 0.002549
Rp_neg -0.075841 0.044586 0.104309 0.072868
Rp_pos 0.000809 0.001051 0.000036 0.000026
epsilon_f_neg 0.000018 0.000354 0.000004 0.000003
epsilon_f_pos 0.000730 0.003089 0.000137 0.000062
epsilon_neg 0.014650 0.108897 0.180414 0.069325
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.080275 0.076148 0.087779 0.054806
Cdl_neg -0.001228 0.001238 0.000080 0.000071
Cdl_pos 0.000002 0.000039 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000159 0.006508 0.003737 0.004184
D 0.000010 0.001639 0.000080 0.000044
Ds_neg -0.001109 0.080661 0.278321 0.144691
Ds_pos 0.106211 0.109078 0.086577 0.087482
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.006478 0.028588 0.009566 0.006707
dUdcp_neg_mag 0.024744 0.067594 0.114214 0.062120
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.014864 0.023721 0.017307 0.010393
i0_pos 0.028759 0.146180 0.090112 0.038466
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000543 0.009912 0.007001 0.005862
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.286381 0.342736 0.922769 0.715640
sigma_neg 0.000399 0.003113 0.000384 0.000213
sigma_pos 0.012345 0.024929 0.009076 0.004569

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.165789 0.202913
a_neg l_neg -0.167158 0.211640
a_neg l_sep -0.167044 0.210871
a_neg l_pos -0.168198 0.212475
a_neg Rp_neg -0.189322 0.202261
a_neg Rp_pos -0.165640 0.210402
a_neg epsilon_f_neg -0.165717 0.210407
a_neg epsilon_f_pos -0.162870 0.210329
a_neg epsilon_neg -0.225870 0.225119
a_neg epsilon_sep -0.165632 0.210377
a_neg epsilon_pos -0.148001 0.195783
a_neg Cdl_neg -0.166019 0.210204
a_neg Cdl_pos -0.165640 0.210381
a_neg cs_max_neg -0.165632 0.210377
a_neg cs_max_pos -0.165632 0.210377
a_neg c0 -0.164997 0.210445
a_neg D -0.165763 0.210568
a_neg Ds_neg -0.179883 0.201938
a_neg Ds_pos -0.139039 0.215617
a_neg d2Udcp2_pos_sgn -0.165632 0.210377
a_neg d2Udcp2_neg_sgn -0.165632 0.210377
a_neg d3Udcp3_pos_sgn -0.165632 0.210377
a_neg d3Udcp3_neg_sgn -0.165632 0.210377
a_neg dUdcp_pos_mag -0.165953 0.209054
a_neg dUdcp_neg_mag -0.212007 0.210751
a_neg d2Udcp2_pos_mag -0.165632 0.210377
a_neg d2Udcp2_neg_mag -0.165632 0.210377
a_neg d3Udcp3_pos_mag -0.165632 0.210377
a_neg d3Udcp3_neg_mag -0.165632 0.210377
a_neg i0_neg -0.173762 0.207591
a_neg i0_pos -0.101699 0.194416
a_neg SOC_neg -0.165632 0.210377
a_neg SOC_pos -0.165632 0.210377
a_neg tP -0.163911 0.210455
a_neg aa_neg -0.165632 0.210377
a_neg aa_pos -0.165632 0.210377
a_neg kappa_0 -0.024744 0.234213
a_neg sigma_neg -0.165514 0.210328
a_neg sigma_pos -0.172330 0.213126
a_pos l_neg 0.121624 0.207331
a_pos l_sep 0.121630 0.207424
a_pos l_pos 0.114314 0.208493
a_pos Rp_neg 0.140455 0.211287
a_pos Rp_pos 0.123128 0.208077
a_pos epsilon_f_neg 0.122122 0.207490
a_pos epsilon_f_pos 0.122696 0.208004
a_pos epsilon_neg 0.098850 0.200563
a_pos epsilon_sep 0.122416 0.207617
a_pos epsilon_pos 0.104883 0.179050
a_pos Cdl_neg 0.122725 0.207632
a_pos Cdl_pos 0.122404 0.207608
a_pos cs_max_neg 0.122416 0.207617
a_pos cs_max_pos 0.122416 0.207617
a_pos c0 0.125086 0.209055
a_pos D 0.121935 0.207267
a_pos Ds_neg 0.103508 0.204676
a_pos Ds_pos 0.220790 0.299089
a_pos d2Udcp2_pos_sgn 0.122416 0.207617
a_pos d2Udcp2_neg_sgn 0.122416 0.207617
a_pos d3Udcp3_pos_sgn 0.122416 0.207617
a_pos d3Udcp3_neg_sgn 0.122416 0.207617
a_pos dUdcp_pos_mag 0.107361 0.193160
a_pos dUdcp_neg_mag 0.107794 0.200631
a_pos d2Udcp2_pos_mag 0.122416 0.207617
a_pos d2Udcp2_neg_mag 0.122416 0.207617
a_pos d3Udcp3_pos_mag 0.122416 0.207617
a_pos d3Udcp3_neg_mag 0.122416 0.207617
a_pos i0_neg 0.120993 0.202979
a_pos i0_pos 0.062321 0.269170
a_pos SOC_neg 0.122416 0.207617
a_pos SOC_pos 0.122416 0.207617
a_pos tP 0.120336 0.207357
a_pos aa_neg 0.122416 0.207617
a_pos aa_pos 0.122416 0.207617
a_pos kappa_0 0.456379 0.484097
a_pos sigma_neg 0.120837 0.207940
a_pos sigma_pos 0.127806 0.208441
l_neg l_sep -0.006181 0.005678
l_neg l_pos -0.006076 0.005731
l_neg Rp_neg -0.007303 0.004952
l_neg Rp_pos -0.006151 0.005672
l_neg epsilon_f_neg -0.006145 0.005670
l_neg epsilon_f_pos -0.006183 0.005672
l_neg epsilon_neg -0.007257 0.004940
l_neg epsilon_sep -0.006143 0.005670
l_neg epsilon_pos -0.006300 0.005623
l_neg Cdl_neg -0.006155 0.005666
l_neg Cdl_pos -0.006143 0.005670
l_neg cs_max_neg -0.006143 0.005670
l_neg cs_max_pos -0.006143 0.005670
l_neg c0 -0.006112 0.005669
l_neg D -0.006147 0.005669
l_neg Ds_neg -0.006472 0.005848
l_neg Ds_pos -0.005758 0.005736
l_neg d2Udcp2_pos_sgn -0.006143 0.005670
l_neg d2Udcp2_neg_sgn -0.006143 0.005670
l_neg d3Udcp3_pos_sgn -0.006143 0.005670
l_neg d3Udcp3_neg_sgn -0.006143 0.005670
l_neg dUdcp_pos_mag -0.006250 0.005661
l_neg dUdcp_neg_mag -0.007364 0.005174
l_neg d2Udcp2_pos_mag -0.006143 0.005670
l_neg d2Udcp2_neg_mag -0.006143 0.005670
l_neg d3Udcp3_pos_mag -0.006143 0.005670
l_neg d3Udcp3_neg_mag -0.006143 0.005670
l_neg i0_neg -0.005677 0.005735
l_neg i0_pos -0.005813 0.005693
l_neg SOC_neg -0.006143 0.005670
l_neg SOC_pos -0.006143 0.005670
l_neg tP -0.006156 0.005677
l_neg aa_neg -0.006143 0.005670
l_neg aa_pos -0.006143 0.005670
l_neg kappa_0 -0.005709 0.006020
l_neg sigma_neg -0.006114 0.005678
l_neg sigma_pos -0.006531 0.005696
l_sep l_pos -0.006875 0.007505
l_sep Rp_neg -0.004861 0.006601
l_sep Rp_pos -0.006908 0.007432
l_sep epsilon_f_neg -0.006879 0.007408
l_sep epsilon_f_pos -0.006914 0.007412
l_sep epsilon_neg -0.004823 0.006486
l_sep epsilon_sep -0.006874 0.007405
l_sep epsilon_pos -0.006520 0.007217
l_sep Cdl_neg -0.006863 0.007415
l_sep Cdl_pos -0.006873 0.007405
l_sep cs_max_neg -0.006874 0.007405
l_sep cs_max_pos -0.006874 0.007405
l_sep c0 -0.006754 0.007398
l_sep D -0.006901 0.007409
l_sep Ds_neg -0.006296 0.007543
l_sep Ds_pos -0.005556 0.007311
l_sep d2Udcp2_pos_sgn -0.006874 0.007405
l_sep d2Udcp2_neg_sgn -0.006874 0.007405
l_sep d3Udcp3_pos_sgn -0.006874 0.007405
l_sep d3Udcp3_neg_sgn -0.006874 0.007405
l_sep dUdcp_pos_mag -0.006403 0.007203
l_sep dUdcp_neg_mag -0.004609 0.006071
l_sep d2Udcp2_pos_mag -0.006874 0.007405
l_sep d2Udcp2_neg_mag -0.006874 0.007405
l_sep d3Udcp3_pos_mag -0.006874 0.007405
l_sep d3Udcp3_neg_mag -0.006874 0.007405
l_sep i0_neg -0.006822 0.007487
l_sep i0_pos -0.006669 0.007096
l_sep SOC_neg -0.006874 0.007405
l_sep SOC_pos -0.006874 0.007405
l_sep tP -0.007033 0.007418
l_sep aa_neg -0.006874 0.007405
l_sep aa_pos -0.006874 0.007405
l_sep kappa_0 -0.012826 0.015601
l_sep sigma_neg -0.006854 0.007380
l_sep sigma_pos -0.007011 0.007460
l_pos Rp_neg -0.022015 0.032702
l_pos Rp_pos -0.025776 0.036908
l_pos epsilon_f_neg -0.025764 0.036898
l_pos epsilon_f_pos -0.025616 0.036897
l_pos epsilon_neg -0.013489 0.031193
l_pos epsilon_sep -0.025758 0.036898
l_pos epsilon_pos -0.024413 0.036235
l_pos Cdl_neg -0.025888 0.036829
l_pos Cdl_pos -0.025759 0.036898
l_pos cs_max_neg -0.025758 0.036898
l_pos cs_max_pos -0.025758 0.036898
l_pos c0 -0.024692 0.036775
l_pos D -0.025728 0.036911
l_pos Ds_neg -0.030728 0.035457
l_pos Ds_pos -0.022875 0.036844
l_pos d2Udcp2_pos_sgn -0.025758 0.036898
l_pos d2Udcp2_neg_sgn -0.025758 0.036898
l_pos d3Udcp3_pos_sgn -0.025758 0.036898
l_pos d3Udcp3_neg_sgn -0.025758 0.036898
l_pos dUdcp_pos_mag -0.026162 0.036895
l_pos dUdcp_neg_mag -0.018440 0.034493
l_pos d2Udcp2_pos_mag -0.025758 0.036898
l_pos d2Udcp2_neg_mag -0.025758 0.036898
l_pos d3Udcp3_pos_mag -0.025758 0.036898
l_pos d3Udcp3_neg_mag -0.025758 0.036898
l_pos i0_neg -0.019841 0.037324
l_pos i0_pos -0.025712 0.034812
l_pos SOC_neg -0.025758 0.036898
l_pos SOC_pos -0.025758 0.036898
l_pos tP -0.025325 0.037063
l_pos aa_neg -0.025758 0.036898
l_pos aa_pos -0.025758 0.036898
l_pos kappa_0 -0.039749 0.040940
l_pos sigma_neg -0.025722 0.037001
l_pos sigma_pos -0.024301 0.037875
