Parameter S1 S1_conf ST ST_conf
a_neg 0.149684 0.136570 0.406535 0.189626
a_pos 0.004614 0.131342 0.079501 0.033287
l_neg 0.003074 0.004726 0.000316 0.000158
l_sep 0.003601 0.005814 0.000336 0.000213
l_pos 0.022987 0.019335 0.008066 0.003197
Rp_neg -0.070718 0.046319 0.066637 0.048844
Rp_pos 0.001132 0.000934 0.000032 0.000024
epsilon_f_neg 0.000033 0.000459 0.000006 0.000005
epsilon_f_pos 0.001092 0.003986 0.000211 0.000090
epsilon_neg 0.040755 0.126124 0.168855 0.058181
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.089219 0.098595 0.122122 0.064357
Cdl_neg -0.001267 0.001328 0.000057 0.000052
Cdl_pos 0.000034 0.000053 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.002045 0.006331 0.003087 0.003432
D 0.000682 0.001378 0.000040 0.000021
Ds_neg -0.002550 0.067479 0.161617 0.096866
Ds_pos 0.084569 0.081641 0.038365 0.035181
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.009826 0.027816 0.008054 0.005472
dUdcp_neg_mag -0.000522 0.052158 0.050948 0.023972
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.016296 0.032423 0.026774 0.015913
i0_pos 0.082713 0.192982 0.136587 0.041362
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002775 0.008018 0.004727 0.003789
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.352821 0.425846 1.115769 0.829768
sigma_neg 0.001446 0.003875 0.000581 0.000280
sigma_pos 0.013401 0.032192 0.013827 0.006274

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.206527 0.230438
a_neg l_neg -0.202229 0.239228
a_neg l_sep -0.201164 0.239415
a_neg l_pos -0.200996 0.240704
a_neg Rp_neg -0.220595 0.230878
a_neg Rp_pos -0.198942 0.238459
a_neg epsilon_f_neg -0.199134 0.238443
a_neg epsilon_f_pos -0.195199 0.238457
a_neg epsilon_neg -0.254313 0.260882
a_neg epsilon_sep -0.199046 0.238410
a_neg epsilon_pos -0.182236 0.220404
a_neg Cdl_neg -0.199441 0.238235
a_neg Cdl_pos -0.199071 0.238416
a_neg cs_max_neg -0.199046 0.238410
a_neg cs_max_pos -0.199046 0.238410
a_neg c0 -0.198074 0.238261
a_neg D -0.199317 0.238675
a_neg Ds_neg -0.207979 0.232307
a_neg Ds_pos -0.177141 0.241901
a_neg d2Udcp2_pos_sgn -0.199046 0.238410
a_neg d2Udcp2_neg_sgn -0.199046 0.238410
a_neg d3Udcp3_pos_sgn -0.199046 0.238410
a_neg d3Udcp3_neg_sgn -0.199046 0.238410
a_neg dUdcp_pos_mag -0.199423 0.236708
a_neg dUdcp_neg_mag -0.234030 0.236370
a_neg d2Udcp2_pos_mag -0.199046 0.238410
a_neg d2Udcp2_neg_mag -0.199046 0.238410
a_neg d3Udcp3_pos_mag -0.199046 0.238410
a_neg d3Udcp3_neg_mag -0.199046 0.238410
a_neg i0_neg -0.213757 0.232656
a_neg i0_pos -0.125938 0.222875
a_neg SOC_neg -0.199046 0.238410
a_neg SOC_pos -0.199046 0.238410
a_neg tP -0.196790 0.238314
a_neg aa_neg -0.199046 0.238410
a_neg aa_pos -0.199046 0.238410
a_neg kappa_0 -0.017466 0.266910
a_neg sigma_neg -0.198976 0.238371
a_neg sigma_pos -0.205885 0.241226
a_pos l_neg 0.136527 0.277219
a_pos l_sep 0.135997 0.277323
a_pos l_pos 0.125365 0.278978
a_pos Rp_neg 0.163934 0.286384
a_pos Rp_pos 0.137469 0.277815
a_pos epsilon_f_neg 0.136751 0.277418
a_pos epsilon_f_pos 0.137489 0.278187
a_pos epsilon_neg 0.110550 0.272181
a_pos epsilon_sep 0.137103 0.277581
a_pos epsilon_pos 0.116613 0.242417
a_pos Cdl_neg 0.137440 0.277616
a_pos Cdl_pos 0.137079 0.277562
a_pos cs_max_neg 0.137103 0.277581
a_pos cs_max_pos 0.137103 0.277581
a_pos c0 0.138870 0.278499
a_pos D 0.137171 0.277744
a_pos Ds_neg 0.128613 0.276452
a_pos Ds_pos 0.213284 0.343281
a_pos d2Udcp2_pos_sgn 0.137103 0.277581
a_pos d2Udcp2_neg_sgn 0.137103 0.277581
a_pos d3Udcp3_pos_sgn 0.137103 0.277581
a_pos d3Udcp3_neg_sgn 0.137103 0.277581
a_pos dUdcp_pos_mag 0.121360 0.263443
a_pos dUdcp_neg_mag 0.126840 0.273226
a_pos d2Udcp2_pos_mag 0.137103 0.277581
a_pos d2Udcp2_neg_mag 0.137103 0.277581
a_pos d3Udcp3_pos_mag 0.137103 0.277581
a_pos d3Udcp3_neg_mag 0.137103 0.277581
a_pos i0_neg 0.136561 0.271346
a_pos i0_pos 0.048935 0.373778
a_pos SOC_neg 0.137103 0.277581
a_pos SOC_pos 0.137103 0.277581
a_pos tP 0.135116 0.277584
a_pos aa_neg 0.137103 0.277581
a_pos aa_pos 0.137103 0.277581
a_pos kappa_0 0.581595 0.627457
a_pos sigma_neg 0.135300 0.278347
a_pos sigma_pos 0.145501 0.278799
l_neg l_sep -0.001854 0.007118
l_neg l_pos -0.001713 0.007205
l_neg Rp_neg -0.002858 0.006193
l_neg Rp_pos -0.001783 0.007101
l_neg epsilon_f_neg -0.001784 0.007098
l_neg epsilon_f_pos -0.001800 0.007094
l_neg epsilon_neg -0.003427 0.006083
l_neg epsilon_sep -0.001781 0.007098
l_neg epsilon_pos -0.001714 0.006982
l_neg Cdl_neg -0.001796 0.007092
l_neg Cdl_pos -0.001781 0.007098
l_neg cs_max_neg -0.001781 0.007098
l_neg cs_max_pos -0.001781 0.007098
l_neg c0 -0.001772 0.007097
l_neg D -0.001788 0.007099
l_neg Ds_neg -0.001523 0.007043
l_neg Ds_pos -0.001497 0.007142
l_neg d2Udcp2_pos_sgn -0.001781 0.007098
l_neg d2Udcp2_neg_sgn -0.001781 0.007098
l_neg d3Udcp3_pos_sgn -0.001781 0.007098
l_neg d3Udcp3_neg_sgn -0.001781 0.007098
l_neg dUdcp_pos_mag -0.001858 0.007086
l_neg dUdcp_neg_mag -0.002832 0.006352
l_neg d2Udcp2_pos_mag -0.001781 0.007098
l_neg d2Udcp2_neg_mag -0.001781 0.007098
l_neg d3Udcp3_pos_mag -0.001781 0.007098
l_neg d3Udcp3_neg_mag -0.001781 0.007098
l_neg i0_neg -0.001242 0.007271
l_neg i0_pos -0.000812 0.006981
l_neg SOC_neg -0.001781 0.007098
l_neg SOC_pos -0.001781 0.007098
l_neg tP -0.001799 0.007106
l_neg aa_neg -0.001781 0.007098
l_neg aa_pos -0.001781 0.007098
l_neg kappa_0 -0.001242 0.007570
l_neg sigma_neg -0.001738 0.007117
l_neg sigma_pos -0.002421 0.007177
l_sep l_pos -0.008184 0.009500
l_sep Rp_neg -0.006160 0.008610
l_sep Rp_pos -0.008247 0.009374
l_sep epsilon_f_neg -0.008213 0.009354
l_sep epsilon_f_pos -0.008267 0.009358
l_sep epsilon_neg -0.006200 0.008598
l_sep epsilon_sep -0.008204 0.009350
l_sep epsilon_pos -0.007577 0.009086
l_sep Cdl_neg -0.008195 0.009360
l_sep Cdl_pos -0.008204 0.009350
l_sep cs_max_neg -0.008204 0.009350
l_sep cs_max_pos -0.008204 0.009350
l_sep c0 -0.008101 0.009343
l_sep D -0.008223 0.009353
l_sep Ds_neg -0.007807 0.009416
l_sep Ds_pos -0.007208 0.009279
l_sep d2Udcp2_pos_sgn -0.008204 0.009350
l_sep d2Udcp2_neg_sgn -0.008204 0.009350
l_sep d3Udcp3_pos_sgn -0.008204 0.009350
l_sep d3Udcp3_neg_sgn -0.008204 0.009350
l_sep dUdcp_pos_mag -0.007723 0.009194
l_sep dUdcp_neg_mag -0.006177 0.008269
l_sep d2Udcp2_pos_mag -0.008204 0.009350
l_sep d2Udcp2_neg_mag -0.008204 0.009350
l_sep d3Udcp3_pos_mag -0.008204 0.009350
l_sep d3Udcp3_neg_mag -0.008204 0.009350
l_sep i0_neg -0.008180 0.009484
l_sep i0_pos -0.007949 0.008933
l_sep SOC_neg -0.008204 0.009350
l_sep SOC_pos -0.008204 0.009350
l_sep tP -0.008349 0.009362
l_sep aa_neg -0.008204 0.009350
l_sep aa_pos -0.008204 0.009350
l_sep kappa_0 -0.013836 0.017666
l_sep sigma_neg -0.008170 0.009311
l_sep sigma_pos -0.008424 0.009437
l_pos Rp_neg -0.027176 0.045648
l_pos Rp_pos -0.031138 0.050016
l_pos epsilon_f_neg -0.031143 0.050004
l_pos epsilon_f_pos -0.030911 0.050004
l_pos epsilon_neg -0.015354 0.043267
l_pos epsilon_sep -0.031134 0.050004
l_pos epsilon_pos -0.028841 0.049338
l_pos Cdl_neg -0.031260 0.049934
l_pos Cdl_pos -0.031134 0.050005
l_pos cs_max_neg -0.031134 0.050004
l_pos cs_max_pos -0.031134 0.050004
l_pos c0 -0.029979 0.049866
l_pos D -0.031084 0.050003
l_pos Ds_neg -0.033809 0.048480
l_pos Ds_pos -0.028746 0.050146
l_pos d2Udcp2_pos_sgn -0.031134 0.050004
l_pos d2Udcp2_neg_sgn -0.031134 0.050004
l_pos d3Udcp3_pos_sgn -0.031134 0.050004
l_pos d3Udcp3_neg_sgn -0.031134 0.050004
l_pos dUdcp_pos_mag -0.031572 0.049890
l_pos dUdcp_neg_mag -0.024728 0.047408
l_pos d2Udcp2_pos_mag -0.031134 0.050004
l_pos d2Udcp2_neg_mag -0.031134 0.050004
l_pos d3Udcp3_pos_mag -0.031134 0.050004
l_pos d3Udcp3_neg_mag -0.031134 0.050004
l_pos i0_neg -0.022277 0.050457
l_pos i0_pos -0.031048 0.046532
l_pos SOC_neg -0.031134 0.050004
l_pos SOC_pos -0.031134 0.050004
l_pos tP -0.030525 0.050112
l_pos aa_neg -0.031134 0.050004
l_pos aa_pos -0.031134 0.050004
l_pos kappa_0 -0.050857 0.054691
l_pos sigma_neg -0.031080 0.050178
l_pos sigma_pos -0.029046 0.051553
Rp_neg Rp_pos 0.011674 0.084471
Rp_neg epsilon_f_neg 0.011609 0.084510
Rp_neg epsilon_f_pos 0.011927 0.084581
Rp_neg epsilon_neg -0.025168 0.107577
Rp_neg epsilon_sep 0.011659 0.084469
Rp_neg epsilon_pos 0.029936 0.069605
Rp_neg Cdl_neg 0.011656 0.084469
Rp_neg Cdl_pos 0.011652 0.084473
Rp_neg cs_max_neg 0.011659 0.084469
Rp_neg cs_max_pos 0.011659 0.084469
Rp_neg c0 0.011722 0.084559
Rp_neg D 0.011615 0.084467
Rp_neg Ds_neg 0.015781 0.085343
Rp_neg Ds_pos 0.011357 0.084445
Rp_neg d2Udcp2_pos_sgn 0.011659 0.084469
Rp_neg d2Udcp2_neg_sgn 0.011659 0.084469
Rp_neg d3Udcp3_pos_sgn 0.011659 0.084469
Rp_neg d3Udcp3_neg_sgn 0.011659 0.084469
Rp_neg dUdcp_pos_mag 0.011463 0.084430
Rp_neg dUdcp_neg_mag 0.009303 0.087304
Rp_neg d2Udcp2_pos_mag 0.011659 0.084469
Rp_neg d2Udcp2_neg_mag 0.011659 0.084469
Rp_neg d3Udcp3_pos_mag 0.011659 0.084469
Rp_neg d3Udcp3_neg_mag 0.011659 0.084469
Rp_neg i0_neg 0.013552 0.081439
Rp_neg i0_pos 0.048202 0.064966
Rp_neg SOC_neg 0.011659 0.084469
Rp_neg SOC_pos 0.011659 0.084469
Rp_neg tP 0.012243 0.084634
Rp_neg aa_neg 0.011659 0.084469
Rp_neg aa_pos 0.011659 0.084469
Rp_neg kappa_0 0.025785 0.071002
Rp_neg sigma_neg 0.011824 0.084263
Rp_neg sigma_pos 0.010861 0.084129
Rp_pos epsilon_f_neg -0.004527 0.006315
Rp_pos epsilon_f_pos -0.004504 0.006295
Rp_pos epsilon_neg -0.002924 0.006135
Rp_pos epsilon_sep -0.004503 0.006317
Rp_pos epsilon_pos -0.001899 0.003685
Rp_pos Cdl_neg -0.004503 0.006317
Rp_pos Cdl_pos -0.004502 0.006317
Rp_pos cs_max_neg -0.004503 0.006317
Rp_pos cs_max_pos -0.004503 0.006317
Rp_pos c0 -0.003730 0.006056
Rp_pos D -0.004436 0.006255
Rp_pos Ds_neg -0.004517 0.006319
Rp_pos Ds_pos -0.004365 0.006397
Rp_pos d2Udcp2_pos_sgn -0.004503 0.006317
Rp_pos d2Udcp2_neg_sgn -0.004503 0.006317
Rp_pos d3Udcp3_pos_sgn -0.004503 0.006317
Rp_pos d3Udcp3_neg_sgn -0.004503 0.006317
Rp_pos dUdcp_pos_mag -0.001897 0.007505
Rp_pos dUdcp_neg_mag -0.004881 0.006390
Rp_pos d2Udcp2_pos_mag -0.004503 0.006317
Rp_pos d2Udcp2_neg_mag -0.004503 0.006317
Rp_pos d3Udcp3_pos_mag -0.004503 0.006317
Rp_pos d3Udcp3_neg_mag -0.004503 0.006317
Rp_pos i0_neg -0.003842 0.005905
Rp_pos i0_pos -0.002926 0.004060
Rp_pos SOC_neg -0.004503 0.006317
Rp_pos SOC_pos -0.004503 0.006317
Rp_pos tP -0.004021 0.005763
Rp_pos aa_neg -0.004503 0.006317
Rp_pos aa_pos -0.004503 0.006317
Rp_pos kappa_0 -0.001142 0.004529
Rp_pos sigma_neg -0.004699 0.006292
Rp_pos sigma_pos -0.004509 0.006225
epsilon_f_neg epsilon_f_pos 0.000147 0.000627
epsilon_f_neg epsilon_neg -0.000016 0.000616
epsilon_f_neg epsilon_sep 0.000144 0.000625
epsilon_f_neg epsilon_pos 0.000196 0.000600
epsilon_f_neg Cdl_neg 0.000144 0.000625
epsilon_f_neg Cdl_pos 0.000144 0.000625
epsilon_f_neg cs_max_neg 0.000144 0.000625
epsilon_f_neg cs_max_pos 0.000144 0.000625
epsilon_f_neg c0 0.000135 0.000626
epsilon_f_neg D 0.000145 0.000625
epsilon_f_neg Ds_neg 0.000142 0.000628
epsilon_f_neg Ds_pos 0.000112 0.000661
epsilon_f_neg d2Udcp2_pos_sgn 0.000144 0.000625
epsilon_f_neg d2Udcp2_neg_sgn 0.000144 0.000625
epsilon_f_neg d3Udcp3_pos_sgn 0.000144 0.000625
epsilon_f_neg d3Udcp3_neg_sgn 0.000144 0.000625
epsilon_f_neg dUdcp_pos_mag 0.000160 0.000623
epsilon_f_neg dUdcp_neg_mag 0.000147 0.000617
epsilon_f_neg d2Udcp2_pos_mag 0.000144 0.000625
epsilon_f_neg d2Udcp2_neg_mag 0.000144 0.000625
epsilon_f_neg d3Udcp3_pos_mag 0.000144 0.000625
epsilon_f_neg d3Udcp3_neg_mag 0.000144 0.000625
