Parameter S1 S1_conf ST ST_conf
a_neg 0.197789 0.146569 0.293790 0.140855
a_pos 0.030075 0.178450 0.107996 0.039596
l_neg 0.005818 0.004693 0.000283 0.000142
l_sep 0.004749 0.008293 0.000459 0.000294
l_pos 0.029302 0.025579 0.011722 0.004969
Rp_neg -0.025009 0.021653 0.007286 0.006508
Rp_pos 0.000363 0.000519 0.000016 0.000012
epsilon_f_neg 0.000093 0.000625 0.000009 0.000007
epsilon_f_pos 0.001663 0.005241 0.000307 0.000123
epsilon_neg 0.082853 0.144990 0.142007 0.056134
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.077047 0.125651 0.160829 0.089165
Cdl_neg -0.000894 0.001057 0.000020 0.000021
Cdl_pos 0.000333 0.000330 0.000001 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.002595 0.003213 0.000680 0.000764
D 0.000558 0.000735 0.000003 0.000002
Ds_neg 0.010896 0.033380 0.043100 0.042957
Ds_pos 0.011676 0.014610 0.001804 0.001165
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.009684 0.015509 0.003141 0.002510
dUdcp_neg_mag -0.003048 0.017323 0.004654 0.002687
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.011097 0.052919 0.042611 0.022776
i0_pos 0.179892 0.246406 0.196663 0.044224
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.003564 0.003761 0.001238 0.001051
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.373648 0.531810 1.242003 0.972379
sigma_neg 0.003278 0.005188 0.000846 0.000459
sigma_pos 0.010706 0.040059 0.019863 0.008503

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.231326 0.251137
a_neg l_neg -0.212086 0.256655
a_neg l_sep -0.213269 0.257546
a_neg l_pos -0.209849 0.258828
a_neg Rp_neg -0.217621 0.254159
a_neg Rp_pos -0.210286 0.256049
a_neg epsilon_f_neg -0.210504 0.256032
a_neg epsilon_f_pos -0.205467 0.256019
a_neg epsilon_neg -0.234719 0.284296
a_neg epsilon_sep -0.210444 0.256021
a_neg epsilon_pos -0.200746 0.241307
a_neg Cdl_neg -0.210727 0.255932
a_neg Cdl_pos -0.210645 0.256084
a_neg cs_max_neg -0.210444 0.256021
a_neg cs_max_pos -0.210444 0.256021
a_neg c0 -0.209619 0.255736
a_neg D -0.210795 0.256257
a_neg Ds_neg -0.208408 0.255414
a_neg Ds_pos -0.205642 0.255996
a_neg d2Udcp2_pos_sgn -0.210444 0.256021
a_neg d2Udcp2_neg_sgn -0.210444 0.256021
a_neg d3Udcp3_pos_sgn -0.210444 0.256021
a_neg d3Udcp3_neg_sgn -0.210444 0.256021
a_neg dUdcp_pos_mag -0.210568 0.254307
a_neg dUdcp_neg_mag -0.221160 0.255086
a_neg d2Udcp2_pos_mag -0.210444 0.256021
a_neg d2Udcp2_neg_mag -0.210444 0.256021
a_neg d3Udcp3_pos_mag -0.210444 0.256021
a_neg d3Udcp3_neg_mag -0.210444 0.256021
a_neg i0_neg -0.234195 0.249449
a_neg i0_pos -0.141732 0.251295
a_neg SOC_neg -0.210444 0.256021
a_neg SOC_pos -0.210444 0.256021
a_neg tP -0.208894 0.255672
a_neg aa_neg -0.210444 0.256021
a_neg aa_pos -0.210444 0.256021
a_neg kappa_0 -0.001155 0.301098
a_neg sigma_neg -0.210462 0.256073
a_neg sigma_pos -0.215373 0.257440
a_pos l_neg 0.135644 0.373796
a_pos l_sep 0.135116 0.373864
a_pos l_pos 0.120744 0.376310
a_pos Rp_neg 0.149846 0.379693
a_pos Rp_pos 0.136421 0.374247
a_pos epsilon_f_neg 0.136179 0.374054
a_pos epsilon_f_pos 0.137025 0.375156
a_pos epsilon_neg 0.106641 0.368982
a_pos epsilon_sep 0.136518 0.374291
a_pos epsilon_pos 0.115145 0.330667
a_pos Cdl_neg 0.136801 0.374339
a_pos Cdl_pos 0.136445 0.374228
a_pos cs_max_neg 0.136518 0.374291
a_pos cs_max_pos 0.136518 0.374291
a_pos c0 0.136848 0.374540
a_pos D 0.136570 0.374428
a_pos Ds_neg 0.140901 0.375179
a_pos Ds_pos 0.147293 0.383956
a_pos d2Udcp2_pos_sgn 0.136518 0.374291
a_pos d2Udcp2_neg_sgn 0.136518 0.374291
a_pos d3Udcp3_pos_sgn 0.136518 0.374291
a_pos d3Udcp3_neg_sgn 0.136518 0.374291
a_pos dUdcp_pos_mag 0.125868 0.364839
a_pos dUdcp_neg_mag 0.135467 0.373910
a_pos d2Udcp2_pos_mag 0.136518 0.374291
a_pos d2Udcp2_neg_mag 0.136518 0.374291
a_pos d3Udcp3_pos_mag 0.136518 0.374291
a_pos d3Udcp3_neg_mag 0.136518 0.374291
a_pos i0_neg 0.140828 0.366133
a_pos i0_pos 0.015476 0.518439
a_pos SOC_neg 0.136518 0.374291
a_pos SOC_pos 0.136518 0.374291
a_pos tP 0.135252 0.374242
a_pos aa_neg 0.136518 0.374291
a_pos aa_pos 0.136518 0.374291
a_pos kappa_0 0.686468 0.828139
a_pos sigma_neg 0.134936 0.375546
a_pos sigma_pos 0.148904 0.376757
l_neg l_sep -0.004542 0.006505
l_neg l_pos -0.004331 0.006558
l_neg Rp_neg -0.004691 0.006298
l_neg Rp_pos -0.004429 0.006465
l_neg epsilon_f_neg -0.004437 0.006464
l_neg epsilon_f_pos -0.004437 0.006461
l_neg epsilon_neg -0.006167 0.006335
l_neg epsilon_sep -0.004432 0.006464
l_neg epsilon_pos -0.004157 0.006188
l_neg Cdl_neg -0.004444 0.006461
l_neg Cdl_pos -0.004434 0.006465
l_neg cs_max_neg -0.004432 0.006464
l_neg cs_max_pos -0.004432 0.006464
l_neg c0 -0.004432 0.006463
l_neg D -0.004435 0.006464
l_neg Ds_neg -0.004275 0.006443
l_neg Ds_pos -0.004408 0.006471
l_neg d2Udcp2_pos_sgn -0.004432 0.006464
l_neg d2Udcp2_neg_sgn -0.004432 0.006464
l_neg d3Udcp3_pos_sgn -0.004432 0.006464
l_neg d3Udcp3_neg_sgn -0.004432 0.006464
l_neg dUdcp_pos_mag -0.004491 0.006456
l_neg dUdcp_neg_mag -0.004781 0.006336
l_neg d2Udcp2_pos_mag -0.004432 0.006464
l_neg d2Udcp2_neg_mag -0.004432 0.006464
l_neg d3Udcp3_pos_mag -0.004432 0.006464
l_neg d3Udcp3_neg_mag -0.004432 0.006464
l_neg i0_neg -0.003607 0.006860
l_neg i0_pos -0.002762 0.006162
l_neg SOC_neg -0.004432 0.006464
l_neg SOC_pos -0.004432 0.006464
l_neg tP -0.004446 0.006469
l_neg aa_neg -0.004432 0.006464
l_neg aa_pos -0.004432 0.006464
l_neg kappa_0 -0.003737 0.007105
l_neg sigma_neg -0.004369 0.006487
l_neg sigma_pos -0.005400 0.006700
l_sep l_pos -0.008109 0.012266
l_sep Rp_neg -0.007246 0.011791
l_sep Rp_pos -0.008119 0.012105
l_sep epsilon_f_neg -0.008117 0.012104
l_sep epsilon_f_pos -0.008194 0.012108
l_sep epsilon_neg -0.006988 0.011841
l_sep epsilon_sep -0.008103 0.012099
l_sep epsilon_pos -0.007140 0.011693
l_sep Cdl_neg -0.008097 0.012102
l_sep Cdl_pos -0.008105 0.012100
l_sep cs_max_neg -0.008103 0.012099
l_sep cs_max_pos -0.008103 0.012099
l_sep c0 -0.008057 0.012091
l_sep D -0.008109 0.012100
l_sep Ds_neg -0.008322 0.012130
l_sep Ds_pos -0.007954 0.012085
l_sep d2Udcp2_pos_sgn -0.008103 0.012099
l_sep d2Udcp2_neg_sgn -0.008103 0.012099
l_sep d3Udcp3_pos_sgn -0.008103 0.012099
l_sep d3Udcp3_neg_sgn -0.008103 0.012099
l_sep dUdcp_pos_mag -0.007789 0.012021
l_sep dUdcp_neg_mag -0.007431 0.011797
l_sep d2Udcp2_pos_mag -0.008103 0.012099
l_sep d2Udcp2_neg_mag -0.008103 0.012099
l_sep d3Udcp3_pos_mag -0.008103 0.012099
l_sep d3Udcp3_neg_mag -0.008103 0.012099
l_sep i0_neg -0.008601 0.012558
l_sep i0_pos -0.007870 0.011411
l_sep SOC_neg -0.008103 0.012099
l_sep SOC_pos -0.008103 0.012099
l_sep tP -0.008178 0.012099
l_sep aa_neg -0.008103 0.012099
l_sep aa_pos -0.008103 0.012099
l_sep kappa_0 -0.011063 0.017339
l_sep sigma_neg -0.008040 0.012049
l_sep sigma_pos -0.008396 0.012251
l_pos Rp_neg -0.033794 0.063306
l_pos Rp_pos -0.034798 0.064330
l_pos epsilon_f_neg -0.034786 0.064323
l_pos epsilon_f_pos -0.034414 0.064309
l_pos epsilon_neg -0.017094 0.060133
l_pos epsilon_sep -0.034771 0.064327
l_pos epsilon_pos -0.030357 0.063051
l_pos Cdl_neg -0.034848 0.064294
l_pos Cdl_pos -0.034745 0.064334
l_pos cs_max_neg -0.034771 0.064327
l_pos cs_max_pos -0.034771 0.064327
l_pos c0 -0.034122 0.064193
l_pos D -0.034746 0.064322
l_pos Ds_neg -0.033876 0.064007
l_pos Ds_pos -0.034286 0.064302
l_pos d2Udcp2_pos_sgn -0.034771 0.064327
l_pos d2Udcp2_neg_sgn -0.034771 0.064327
l_pos d3Udcp3_pos_sgn -0.034771 0.064327
l_pos d3Udcp3_neg_sgn -0.034771 0.064327
l_pos dUdcp_pos_mag -0.035069 0.064259
l_pos dUdcp_neg_mag -0.033085 0.063962
l_pos d2Udcp2_pos_mag -0.034771 0.064327
l_pos d2Udcp2_neg_mag -0.034771 0.064327
l_pos d3Udcp3_pos_mag -0.034771 0.064327
l_pos d3Udcp3_neg_mag -0.034771 0.064327
l_pos i0_neg -0.023318 0.065904
l_pos i0_pos -0.034631 0.058209
l_pos SOC_neg -0.034771 0.064327
l_pos SOC_pos -0.034771 0.064327
l_pos tP -0.034349 0.064301
l_pos aa_neg -0.034771 0.064327
l_pos aa_pos -0.034771 0.064327
l_pos kappa_0 -0.060431 0.065681
l_pos sigma_neg -0.034723 0.064560
l_pos sigma_pos -0.031996 0.066981
Rp_neg Rp_pos -0.001750 0.038010
Rp_neg epsilon_f_neg -0.001779 0.038031
Rp_neg epsilon_f_pos -0.001658 0.038048
Rp_neg epsilon_neg -0.016330 0.050770
Rp_neg epsilon_sep -0.001757 0.038010
Rp_neg epsilon_pos 0.006716 0.030399
Rp_neg Cdl_neg -0.001759 0.038011
Rp_neg Cdl_pos -0.001824 0.038070
Rp_neg cs_max_neg -0.001757 0.038010
Rp_neg cs_max_pos -0.001757 0.038010
Rp_neg c0 -0.001744 0.038022
Rp_neg D -0.001750 0.038009
Rp_neg Ds_neg -0.001465 0.038038
Rp_neg Ds_pos -0.001839 0.038011
Rp_neg d2Udcp2_pos_sgn -0.001757 0.038010
Rp_neg d2Udcp2_neg_sgn -0.001757 0.038010
Rp_neg d3Udcp3_pos_sgn -0.001757 0.038010
Rp_neg d3Udcp3_neg_sgn -0.001757 0.038010
Rp_neg dUdcp_pos_mag -0.001828 0.038005
Rp_neg dUdcp_neg_mag -0.001602 0.038142
Rp_neg d2Udcp2_pos_mag -0.001757 0.038010
Rp_neg d2Udcp2_neg_mag -0.001757 0.038010
Rp_neg d3Udcp3_pos_mag -0.001757 0.038010
Rp_neg d3Udcp3_neg_mag -0.001757 0.038010
Rp_neg i0_neg -0.000530 0.036554
Rp_neg i0_pos 0.012607 0.027763
Rp_neg SOC_neg -0.001757 0.038010
