Parameter S1 S1_conf ST ST_conf
a_neg 0.202648 0.145924 0.272855 0.133186
a_pos 0.021393 0.179930 0.120572 0.038503
l_neg 0.006157 0.005094 0.000349 0.000164
l_sep 0.005264 0.008914 0.000521 0.000301
l_pos 0.030917 0.027772 0.013946 0.005287
Rp_neg 0.000362 0.000763 0.000011 0.000009
Rp_pos 0.000874 0.001630 0.000021 0.000015
epsilon_f_neg 0.000163 0.000643 0.000011 0.000008
epsilon_f_pos 0.002091 0.005469 0.000363 0.000136
epsilon_neg 0.094622 0.147298 0.145437 0.053950
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.050698 0.128280 0.176659 0.091391
Cdl_neg -0.002307 0.002360 0.000112 0.000052
Cdl_pos 0.013638 0.017720 0.001389 0.001191
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000549 0.000503 0.000008 0.000008
D 0.000222 0.000178 0.000000 0.000000
Ds_neg 0.008317 0.009102 0.002945 0.003501
Ds_pos -0.002990 0.002867 0.000060 0.000038
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.003208 0.002707 0.000077 0.000050
dUdcp_neg_mag 0.000398 0.000783 0.000017 0.000017
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.020877 0.057132 0.052185 0.022110
i0_pos 0.156787 0.207964 0.193789 0.040899
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000989 0.000756 0.000054 0.000055
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.381186 0.543943 1.265761 0.944811
sigma_neg 0.003852 0.005785 0.001024 0.000514
sigma_pos 0.011169 0.044792 0.023295 0.009613

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.211007 0.250210
a_neg l_neg -0.183945 0.252855
a_neg l_sep -0.185934 0.254082
a_neg l_pos -0.180536 0.254855
a_neg Rp_neg -0.182683 0.252305
a_neg Rp_pos -0.181945 0.252214
a_neg epsilon_f_neg -0.182841 0.252282
a_neg epsilon_f_pos -0.177207 0.252270
a_neg epsilon_neg -0.191108 0.279652
a_neg epsilon_sep -0.182796 0.252269
a_neg epsilon_pos -0.182083 0.239688
a_neg Cdl_neg -0.183230 0.252448
a_neg Cdl_pos -0.190897 0.255113
a_neg cs_max_neg -0.182796 0.252269
a_neg cs_max_pos -0.182796 0.252269
a_neg c0 -0.182529 0.252159
a_neg D -0.182934 0.252327
a_neg Ds_neg -0.180772 0.252398
a_neg Ds_pos -0.182630 0.251832
a_neg d2Udcp2_pos_sgn -0.182796 0.252269
a_neg d2Udcp2_neg_sgn -0.182796 0.252269
a_neg d3Udcp3_pos_sgn -0.182796 0.252269
a_neg d3Udcp3_neg_sgn -0.182796 0.252269
a_neg dUdcp_pos_mag -0.182687 0.251827
a_neg dUdcp_neg_mag -0.183031 0.252320
a_neg d2Udcp2_pos_mag -0.182796 0.252269
a_neg d2Udcp2_neg_mag -0.182796 0.252269
a_neg d3Udcp3_pos_mag -0.182796 0.252269
a_neg d3Udcp3_neg_mag -0.182796 0.252269
a_neg i0_neg -0.213033 0.245603
a_neg i0_pos -0.122320 0.250940
a_neg SOC_neg -0.182796 0.252269
a_neg SOC_pos -0.182796 0.252269
a_neg tP -0.182333 0.252139
a_neg aa_neg -0.182796 0.252269
a_neg aa_pos -0.182796 0.252269
a_neg kappa_0 0.036683 0.298763
a_neg sigma_neg -0.182847 0.252374
a_neg sigma_pos -0.187031 0.253972
a_pos l_neg 0.170484 0.380258
a_pos l_sep 0.169602 0.380325
a_pos l_pos 0.155217 0.382118
a_pos Rp_neg 0.170972 0.380745
a_pos Rp_pos 0.172704 0.382032
a_pos epsilon_f_neg 0.170861 0.380512
a_pos epsilon_f_pos 0.171751 0.381767
a_pos epsilon_neg 0.141414 0.376072
a_pos epsilon_sep 0.171166 0.380767
a_pos epsilon_pos 0.149238 0.338389
a_pos Cdl_neg 0.171934 0.380760
a_pos Cdl_pos 0.170480 0.380224
a_pos cs_max_neg 0.171166 0.380767
a_pos cs_max_pos 0.171166 0.380767
