Parameter S1 S1_conf ST ST_conf
a_neg 0.163735 0.165766 0.189013 0.082910
a_pos 0.060864 0.249624 0.189104 0.109983
l_neg 0.012706 0.012483 0.002216 0.001026
l_sep 0.012204 0.025773 0.003284 0.002238
l_pos 0.107062 0.089095 0.091147 0.036393
Rp_neg 0.000033 0.000034 0.000000 0.000000
Rp_pos -0.000017 0.000024 0.000000 0.000000
epsilon_f_neg -0.000743 0.001721 0.000076 0.000057
epsilon_f_pos -0.000297 0.018173 0.002461 0.000866
epsilon_neg 0.040382 0.127691 0.114807 0.045527
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.053266 0.134399 0.116547 0.058895
Cdl_neg -0.047393 0.089848 0.055001 0.023597
Cdl_pos 0.003670 0.062895 0.046810 0.035514
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000188 0.000217 0.000001 0.000001
D -0.000003 0.000004 0.000000 0.000000
Ds_neg -0.000124 0.000154 0.000000 0.000000
Ds_pos 0.000033 0.000043 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000009 0.000026 0.000000 0.000000
dUdcp_neg_mag -0.000006 0.000044 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.013164 0.012487 0.000672 0.000392
i0_pos 0.018768 0.033635 0.007051 0.004281
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000299 0.000245 0.000002 0.000002
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.459594 0.612017 0.979429 0.673440
sigma_neg 0.013748 0.020091 0.007106 0.003659
sigma_pos 0.164024 0.180370 0.158415 0.062498

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.174111 0.292133
a_neg l_neg -0.126175 0.282034
a_neg l_sep -0.127317 0.283559
a_neg l_pos -0.118208 0.281430
a_neg Rp_neg -0.124369 0.280903
a_neg Rp_pos -0.124391 0.280904
a_neg epsilon_f_neg -0.124666 0.280784
a_neg epsilon_f_pos -0.108630 0.281764
a_neg epsilon_neg -0.050177 0.327778
a_neg epsilon_sep -0.124380 0.280902
a_neg epsilon_pos -0.123015 0.277880
a_neg Cdl_neg -0.092247 0.287143
a_neg Cdl_pos -0.139109 0.283079
a_neg cs_max_neg -0.124380 0.280902
a_neg cs_max_pos -0.124380 0.280902
a_neg c0 -0.124353 0.280894
a_neg D -0.124378 0.280902
a_neg Ds_neg -0.124420 0.280897
a_neg Ds_pos -0.124395 0.280908
a_neg d2Udcp2_pos_sgn -0.124380 0.280902
a_neg d2Udcp2_neg_sgn -0.124380 0.280902
a_neg d3Udcp3_pos_sgn -0.124380 0.280902
a_neg d3Udcp3_neg_sgn -0.124380 0.280902
a_neg dUdcp_pos_mag -0.124381 0.280906
a_neg dUdcp_neg_mag -0.124367 0.280903
a_neg d2Udcp2_pos_mag -0.124380 0.280902
a_neg d2Udcp2_neg_mag -0.124380 0.280902
a_neg d3Udcp3_pos_mag -0.124380 0.280902
a_neg d3Udcp3_neg_mag -0.124380 0.280902
a_neg i0_neg -0.126655 0.280509
a_neg i0_pos -0.120614 0.282711
a_neg SOC_neg -0.124380 0.280902
a_neg SOC_pos -0.124380 0.280902
a_neg tP -0.124322 0.280894
a_neg aa_neg -0.124380 0.280902
a_neg aa_pos -0.124380 0.280902
a_neg kappa_0 0.013538 0.299516
a_neg sigma_neg -0.122601 0.281083
a_neg sigma_pos -0.150718 0.274975
a_pos l_neg 0.100223 0.365832
a_pos l_sep 0.095853 0.364514
a_pos l_pos 0.083109 0.366861
a_pos Rp_neg 0.101762 0.366145
a_pos Rp_pos 0.101752 0.366140
a_pos epsilon_f_neg 0.101145 0.365901
a_pos epsilon_f_pos 0.102089 0.367207
a_pos epsilon_neg 0.091555 0.366213
a_pos epsilon_sep 0.101761 0.366145
a_pos epsilon_pos 0.139376 0.369130
a_pos Cdl_neg 0.134341 0.374368
a_pos Cdl_pos 0.095913 0.361621
a_pos cs_max_neg 0.101761 0.366145
a_pos cs_max_pos 0.101761 0.366145
a_pos c0 0.101761 0.366149
a_pos D 0.101761 0.366145
a_pos Ds_neg 0.101754 0.366145
a_pos Ds_pos 0.101762 0.366145
a_pos d2Udcp2_pos_sgn 0.101761 0.366145
a_pos d2Udcp2_neg_sgn 0.101761 0.366145
a_pos d3Udcp3_pos_sgn 0.101761 0.366145
a_pos d3Udcp3_neg_sgn 0.101761 0.366145
a_pos dUdcp_pos_mag 0.101765 0.366147
a_pos dUdcp_neg_mag 0.101764 0.366145
a_pos d2Udcp2_pos_mag 0.101761 0.366145
a_pos d2Udcp2_neg_mag 0.101761 0.366145
a_pos d3Udcp3_pos_mag 0.101761 0.366145
a_pos d3Udcp3_neg_mag 0.101761 0.366145
a_pos i0_neg 0.102264 0.366085
a_pos i0_pos 0.090560 0.366616
a_pos SOC_neg 0.101761 0.366145
a_pos SOC_pos 0.101761 0.366145
a_pos tP 0.101695 0.366147
a_pos aa_neg 0.101761 0.366145
a_pos aa_pos 0.101761 0.366145
a_pos kappa_0 0.345924 0.554742
a_pos sigma_neg 0.097928 0.366878
a_pos sigma_pos 0.116037 0.366918
l_neg l_sep -0.014849 0.019092
l_neg l_pos -0.014541 0.019883
l_neg Rp_neg -0.014220 0.018897
l_neg Rp_pos -0.014220 0.018897
l_neg epsilon_f_neg -0.014256 0.018889
l_neg epsilon_f_pos -0.014492 0.018841
l_neg epsilon_neg -0.016798 0.018038
l_neg epsilon_sep -0.014220 0.018897
l_neg epsilon_pos -0.013713 0.018647
l_neg Cdl_neg -0.015288 0.018807
l_neg Cdl_pos -0.013760 0.018955
l_neg cs_max_neg -0.014220 0.018897
l_neg cs_max_pos -0.014220 0.018897
l_neg c0 -0.014220 0.018897
l_neg D -0.014220 0.018897
l_neg Ds_neg -0.014221 0.018897
l_neg Ds_pos -0.014220 0.018897
l_neg d2Udcp2_pos_sgn -0.014220 0.018897
l_neg d2Udcp2_neg_sgn -0.014220 0.018897
l_neg d3Udcp3_pos_sgn -0.014220 0.018897
l_neg d3Udcp3_neg_sgn -0.014220 0.018897
l_neg dUdcp_pos_mag -0.014220 0.018897
l_neg dUdcp_neg_mag -0.014220 0.018897
l_neg d2Udcp2_pos_mag -0.014220 0.018897
l_neg d2Udcp2_neg_mag -0.014220 0.018897
l_neg d3Udcp3_pos_mag -0.014220 0.018897
l_neg d3Udcp3_neg_mag -0.014220 0.018897
l_neg i0_neg -0.014204 0.018893
l_neg i0_pos -0.013778 0.018928
l_neg SOC_neg -0.014220 0.018897
l_neg SOC_pos -0.014220 0.018897
l_neg tP -0.014223 0.018897
l_neg aa_neg -0.014220 0.018897
l_neg aa_pos -0.014220 0.018897
l_neg kappa_0 -0.009872 0.020189
l_neg sigma_neg -0.013677 0.019149
l_neg sigma_pos -0.020701 0.019882
l_sep l_pos -0.017651 0.036317
l_sep Rp_neg -0.017397 0.035223
l_sep Rp_pos -0.017396 0.035222
l_sep epsilon_f_neg -0.017511 0.035264
l_sep epsilon_f_pos -0.018136 0.035338
l_sep epsilon_neg -0.017591 0.035360
l_sep epsilon_sep -0.017396 0.035222
l_sep epsilon_pos -0.016326 0.035345
l_sep Cdl_neg -0.019020 0.036286
l_sep Cdl_pos -0.018533 0.035498
l_sep cs_max_neg -0.017396 0.035222
l_sep cs_max_pos -0.017396 0.035222
l_sep c0 -0.017392 0.035221
l_sep D -0.017396 0.035222
l_sep Ds_neg -0.017391 0.035221
l_sep Ds_pos -0.017396 0.035222
l_sep d2Udcp2_pos_sgn -0.017396 0.035222
l_sep d2Udcp2_neg_sgn -0.017396 0.035222
l_sep d3Udcp3_pos_sgn -0.017396 0.035222
l_sep d3Udcp3_neg_sgn -0.017396 0.035222
l_sep dUdcp_pos_mag -0.017397 0.035222
l_sep dUdcp_neg_mag -0.017397 0.035223
l_sep d2Udcp2_pos_mag -0.017396 0.035222
l_sep d2Udcp2_neg_mag -0.017396 0.035222
l_sep d3Udcp3_pos_mag -0.017396 0.035222
l_sep d3Udcp3_neg_mag -0.017396 0.035222
l_sep i0_neg -0.017178 0.035187
l_sep i0_pos -0.018290 0.035262
l_sep SOC_neg -0.017396 0.035222
l_sep SOC_pos -0.017396 0.035222
l_sep tP -0.017404 0.035223
l_sep aa_neg -0.017396 0.035222
l_sep aa_pos -0.017396 0.035222
l_sep kappa_0 -0.023472 0.045019
l_sep sigma_neg -0.016843 0.034892
l_sep sigma_pos -0.019654 0.036317
l_pos Rp_neg -0.110672 0.199929
l_pos Rp_pos -0.110674 0.199928
l_pos epsilon_f_neg -0.110797 0.199903
l_pos epsilon_f_pos -0.107496 0.199959
l_pos epsilon_neg -0.073070 0.191647
l_pos epsilon_sep -0.110676 0.199929
l_pos epsilon_pos -0.080569 0.204319
l_pos Cdl_neg -0.080730 0.191711
l_pos Cdl_pos -0.097368 0.200183
l_pos cs_max_neg -0.110676 0.199929
l_pos cs_max_pos -0.110676 0.199929
l_pos c0 -0.110629 0.199921
l_pos D -0.110676 0.199929
l_pos Ds_neg -0.110698 0.199929
l_pos Ds_pos -0.110680 0.199930
l_pos d2Udcp2_pos_sgn -0.110676 0.199929
l_pos d2Udcp2_neg_sgn -0.110676 0.199929
l_pos d3Udcp3_pos_sgn -0.110676 0.199929
l_pos d3Udcp3_neg_sgn -0.110676 0.199929
l_pos dUdcp_pos_mag -0.110674 0.199928
l_pos dUdcp_neg_mag -0.110674 0.199928
l_pos d2Udcp2_pos_mag -0.110676 0.199929
l_pos d2Udcp2_neg_mag -0.110676 0.199929
l_pos d3Udcp3_pos_mag -0.110676 0.199929
l_pos d3Udcp3_neg_mag -0.110676 0.199929
l_pos i0_neg -0.111599 0.199734
l_pos i0_pos -0.117060 0.199957
l_pos SOC_neg -0.110676 0.199929
l_pos SOC_pos -0.110676 0.199929
l_pos tP -0.110642 0.199928
l_pos aa_neg -0.110676 0.199929
l_pos aa_pos -0.110676 0.199929
