Parameter S1 S1_conf ST ST_conf
a_neg 0.039952 0.077683 0.055484 0.028285
a_pos 0.011873 0.105726 0.054093 0.040168
l_neg 0.017672 0.019043 0.005358 0.002439
l_sep 0.018339 0.039621 0.008492 0.005863
l_pos 0.244633 0.136965 0.222539 0.070602
Rp_neg 0.000000 0.000001 0.000000 0.000000
Rp_pos 0.000001 0.000001 0.000000 0.000000
epsilon_f_neg -0.001121 0.002488 0.000178 0.000120
epsilon_f_pos -0.000144 0.028021 0.005857 0.001793
epsilon_neg 0.011098 0.058548 0.030041 0.013509
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.003126 0.062528 0.027472 0.014488
Cdl_neg -0.019161 0.047658 0.018722 0.008381
Cdl_pos -0.006051 0.029111 0.015295 0.009148
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000075 0.000085 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000004 0.000004 0.000000 0.000000
dUdcp_neg_mag 0.000001 0.000001 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000553 0.000759 0.000007 0.000006
i0_pos 0.002010 0.001353 0.000042 0.000030
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000108 0.000086 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.390153 0.460470 0.456832 0.322813
sigma_neg 0.032448 0.032626 0.016791 0.007515
sigma_pos 0.361213 0.281079 0.377795 0.118717

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.048966 0.131979
a_neg l_neg -0.038623 0.130452
a_neg l_sep -0.039153 0.131494
a_neg l_pos -0.032464 0.127846
a_neg Rp_neg -0.037304 0.129727
a_neg Rp_pos -0.037304 0.129727
a_neg epsilon_f_neg -0.037570 0.129647
a_neg epsilon_f_pos -0.025988 0.130393
a_neg epsilon_neg -0.020645 0.137959
a_neg epsilon_sep -0.037304 0.129727
a_neg epsilon_pos -0.036160 0.127681
a_neg Cdl_neg -0.027003 0.130161
a_neg Cdl_pos -0.043200 0.130425
a_neg cs_max_neg -0.037304 0.129727
a_neg cs_max_pos -0.037304 0.129727
a_neg c0 -0.037300 0.129726
a_neg D -0.037304 0.129727
a_neg Ds_neg -0.037304 0.129727
a_neg Ds_pos -0.037304 0.129727
a_neg d2Udcp2_pos_sgn -0.037304 0.129727
a_neg d2Udcp2_neg_sgn -0.037304 0.129727
a_neg d3Udcp3_pos_sgn -0.037304 0.129727
a_neg d3Udcp3_neg_sgn -0.037304 0.129727
a_neg dUdcp_pos_mag -0.037304 0.129727
a_neg dUdcp_neg_mag -0.037304 0.129727
a_neg d2Udcp2_pos_mag -0.037304 0.129727
a_neg d2Udcp2_neg_mag -0.037304 0.129727
a_neg d3Udcp3_pos_mag -0.037304 0.129727
a_neg d3Udcp3_neg_mag -0.037304 0.129727
a_neg i0_neg -0.037387 0.129735
a_neg i0_pos -0.037189 0.129691
a_neg SOC_neg -0.037304 0.129727
a_neg SOC_pos -0.037304 0.129727
a_neg tP -0.037294 0.129725
a_neg aa_neg -0.037304 0.129727
a_neg aa_pos -0.037304 0.129727
a_neg kappa_0 0.005291 0.132937
a_neg sigma_neg -0.035425 0.129449
a_neg sigma_pos -0.057218 0.121436
a_pos l_neg 0.048482 0.146324
a_pos l_sep 0.044418 0.144822
a_pos l_pos 0.035937 0.147303
a_pos Rp_neg 0.049549 0.146414
a_pos Rp_pos 0.049549 0.146414
a_pos epsilon_f_neg 0.049067 0.146266
a_pos epsilon_f_pos 0.049866 0.147106
a_pos epsilon_neg 0.047134 0.146374
a_pos epsilon_sep 0.049549 0.146414
a_pos epsilon_pos 0.063024 0.149118
a_pos Cdl_neg 0.058865 0.147582
a_pos Cdl_pos 0.049199 0.145703
a_pos cs_max_neg 0.049549 0.146414
a_pos cs_max_pos 0.049549 0.146414
