Parameter S1 S1_conf ST ST_conf
a_neg 0.004716 0.019326 0.004827 0.002332
a_pos 0.001232 0.023592 0.004712 0.004080
l_neg 0.019561 0.019407 0.006733 0.002952
l_sep 0.017605 0.037065 0.010140 0.006599
l_pos 0.299730 0.134633 0.278536 0.080823
Rp_neg -0.000000 0.000000 0.000000 0.000000
Rp_pos -0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001182 0.002381 0.000209 0.000147
epsilon_f_pos 0.001102 0.029681 0.006949 0.002206
epsilon_neg 0.003803 0.016521 0.003524 0.001507
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.021930 0.046516 0.024733 0.013648
Cdl_neg -0.005032 0.015055 0.001536 0.000652
Cdl_pos -0.006188 0.006794 0.000873 0.000426
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000006 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000067 0.000050 0.000000 0.000000
i0_pos -0.000047 0.000134 0.000000 0.000000
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000004 0.000006 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.293950 0.287855 0.241064 0.146431
sigma_neg 0.038845 0.036450 0.019842 0.009425
sigma_pos 0.412521 0.289650 0.446129 0.126025

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.006132 0.034090
a_neg l_neg -0.005479 0.034283
a_neg l_sep -0.005402 0.034423
a_neg l_pos -0.003401 0.033288
a_neg Rp_neg -0.005030 0.033919
a_neg Rp_pos -0.005030 0.033919
a_neg epsilon_f_neg -0.005114 0.033875
a_neg epsilon_f_pos -0.001545 0.034371
a_neg epsilon_neg -0.003868 0.034765
a_neg epsilon_sep -0.005030 0.033919
a_neg epsilon_pos -0.005117 0.033144
a_neg Cdl_neg -0.004133 0.034051
a_neg Cdl_pos -0.005323 0.033895
a_neg cs_max_neg -0.005030 0.033919
a_neg cs_max_pos -0.005030 0.033919
a_neg c0 -0.005030 0.033919
a_neg D -0.005030 0.033919
a_neg Ds_neg -0.005030 0.033919
a_neg Ds_pos -0.005030 0.033919
a_neg d2Udcp2_pos_sgn -0.005030 0.033919
a_neg d2Udcp2_neg_sgn -0.005030 0.033919
a_neg d3Udcp3_pos_sgn -0.005030 0.033919
a_neg d3Udcp3_neg_sgn -0.005030 0.033919
a_neg dUdcp_pos_mag -0.005030 0.033919
a_neg dUdcp_neg_mag -0.005030 0.033919
a_neg d2Udcp2_pos_mag -0.005030 0.033919
a_neg d2Udcp2_neg_mag -0.005030 0.033919
a_neg d3Udcp3_pos_mag -0.005030 0.033919
a_neg d3Udcp3_neg_mag -0.005030 0.033919
a_neg i0_neg -0.005027 0.033919
a_neg i0_pos -0.005038 0.033918
a_neg SOC_neg -0.005030 0.033919
a_neg SOC_pos -0.005030 0.033919
a_neg tP -0.005030 0.033919
a_neg aa_neg -0.005030 0.033919
a_neg aa_pos -0.005030 0.033919
a_neg kappa_0 0.004424 0.034273
a_neg sigma_neg -0.004414 0.033807
a_neg sigma_pos -0.012232 0.031350
a_pos l_neg 0.011150 0.030768
a_pos l_sep 0.010175 0.030467
a_pos l_pos 0.006963 0.031282
a_pos Rp_neg 0.011669 0.030826
a_pos Rp_pos 0.011669 0.030826
a_pos epsilon_f_neg 0.011498 0.030771
a_pos epsilon_f_pos 0.011685 0.031074
a_pos epsilon_neg 0.011207 0.030811
a_pos epsilon_sep 0.011669 0.030826
a_pos epsilon_pos 0.015493 0.031928
a_pos Cdl_neg 0.012357 0.030969
a_pos Cdl_pos 0.011635 0.030723
a_pos cs_max_neg 0.011669 0.030826
a_pos cs_max_pos 0.011669 0.030826
