Parameter S1 S1_conf ST ST_conf
a_neg 0.201073 0.139676 0.267609 0.131319
a_pos 0.035835 0.182317 0.111921 0.038144
l_neg 0.005788 0.004631 0.000305 0.000144
l_sep 0.004836 0.008432 0.000479 0.000298
l_pos 0.030035 0.026469 0.012366 0.005403
Rp_neg -0.008869 0.007762 0.000922 0.000827
Rp_pos -0.000147 0.000454 0.000039 0.000042
epsilon_f_neg 0.000120 0.000610 0.000010 0.000007
epsilon_f_pos 0.001815 0.005373 0.000323 0.000131
epsilon_neg 0.090456 0.137435 0.136437 0.049707
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.067205 0.117810 0.165391 0.088317
Cdl_neg -0.000779 0.000910 0.000014 0.000015
Cdl_pos 0.001152 0.001304 0.000008 0.000006
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.001680 0.001781 0.000182 0.000205
D 0.000421 0.000423 0.000001 0.000000
Ds_neg 0.014137 0.023774 0.020348 0.024228
Ds_pos -0.002593 0.004426 0.000552 0.000446
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.008107 0.009497 0.001369 0.000986
dUdcp_neg_mag -0.000642 0.006696 0.000742 0.000428
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.009346 0.054592 0.047753 0.024173
i0_pos 0.198233 0.243701 0.204782 0.043247
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002505 0.002274 0.000481 0.000431
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.360920 0.526607 1.226879 0.938970
sigma_neg 0.003647 0.005036 0.000897 0.000483
sigma_pos 0.009525 0.042519 0.020820 0.009960

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.224317 0.245419
a_neg l_neg -0.201309 0.249767
a_neg l_sep -0.202890 0.250898
a_neg l_pos -0.198644 0.251790
a_neg Rp_neg -0.202395 0.248483
a_neg Rp_pos -0.199735 0.249205
a_neg epsilon_f_neg -0.200066 0.249208
a_neg epsilon_f_pos -0.194897 0.249399
a_neg epsilon_neg -0.213964 0.276476
a_neg epsilon_sep -0.200018 0.249197
a_neg epsilon_pos -0.193466 0.234075
a_neg Cdl_neg -0.200267 0.249128
a_neg Cdl_pos -0.200700 0.249454
a_neg cs_max_neg -0.200018 0.249197
a_neg cs_max_pos -0.200018 0.249197
a_neg c0 -0.199432 0.249002
a_neg D -0.200293 0.249333
a_neg Ds_neg -0.196547 0.249207
a_neg Ds_pos -0.198824 0.248560
a_neg d2Udcp2_pos_sgn -0.200018 0.249197
a_neg d2Udcp2_neg_sgn -0.200018 0.249197
a_neg d3Udcp3_pos_sgn -0.200018 0.249197
a_neg d3Udcp3_neg_sgn -0.200018 0.249197
a_neg dUdcp_pos_mag -0.200187 0.248002
a_neg dUdcp_neg_mag -0.204174 0.248866
a_neg d2Udcp2_pos_mag -0.200018 0.249197
a_neg d2Udcp2_neg_mag -0.200018 0.249197
a_neg d3Udcp3_pos_mag -0.200018 0.249197
a_neg d3Udcp3_neg_mag -0.200018 0.249197
a_neg i0_neg -0.225720 0.241429
a_neg i0_pos -0.135839 0.247283
a_neg SOC_neg -0.200018 0.249197
a_neg SOC_pos -0.200018 0.249197
a_neg tP -0.198968 0.248976
a_neg aa_neg -0.200018 0.249197
a_neg aa_pos -0.200018 0.249197
a_neg kappa_0 0.008121 0.296682
a_neg sigma_neg -0.200065 0.249352
a_neg sigma_pos -0.204089 0.251906
a_pos l_neg 0.132883 0.388074
a_pos l_sep 0.132184 0.388113
a_pos l_pos 0.117508 0.390488
a_pos Rp_neg 0.137887 0.390510
a_pos Rp_pos 0.133548 0.388597
a_pos epsilon_f_neg 0.133321 0.388340
a_pos epsilon_f_pos 0.134143 0.389546
a_pos epsilon_neg 0.102999 0.381375
a_pos epsilon_sep 0.133630 0.388593
a_pos epsilon_pos 0.112710 0.346517
a_pos Cdl_neg 0.133904 0.388652
a_pos Cdl_pos 0.133502 0.388479
a_pos cs_max_neg 0.133630 0.388593
a_pos cs_max_pos 0.133630 0.388593
a_pos c0 0.133737 0.388718
a_pos D 0.133619 0.388671
a_pos Ds_neg 0.137475 0.389366
a_pos Ds_pos 0.131278 0.387177
a_pos d2Udcp2_pos_sgn 0.133630 0.388593
a_pos d2Udcp2_neg_sgn 0.133630 0.388593
a_pos d3Udcp3_pos_sgn 0.133630 0.388593
a_pos d3Udcp3_neg_sgn 0.133630 0.388593
a_pos dUdcp_pos_mag 0.126017 0.381989
a_pos dUdcp_neg_mag 0.133503 0.388436
a_pos d2Udcp2_pos_mag 0.133630 0.388593
a_pos d2Udcp2_neg_mag 0.133630 0.388593
a_pos d3Udcp3_pos_mag 0.133630 0.388593
a_pos d3Udcp3_neg_mag 0.133630 0.388593
a_pos i0_neg 0.139576 0.381110
a_pos i0_pos 0.010623 0.540482
a_pos SOC_neg 0.133630 0.388593
a_pos SOC_pos 0.133630 0.388593
a_pos tP 0.132753 0.388565
