Parameter S1 S1_conf ST ST_conf
a_neg 0.207719 0.156905 0.293155 0.135434
a_pos -0.005979 0.184136 0.132060 0.042543
l_neg 0.006744 0.005111 0.000395 0.000181
l_sep 0.005673 0.010033 0.000566 0.000332
l_pos 0.031462 0.030924 0.015873 0.006009
Rp_neg 0.000691 0.001087 0.000016 0.000015
Rp_pos 0.001610 0.002120 0.000015 0.000014
epsilon_f_neg 0.000158 0.000704 0.000012 0.000009
epsilon_f_pos 0.002402 0.005738 0.000414 0.000144
epsilon_neg 0.090935 0.157850 0.160379 0.053845
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.034405 0.134328 0.190275 0.096736
Cdl_neg -0.009639 0.007965 0.001302 0.000590
Cdl_pos 0.025955 0.039872 0.006738 0.005338
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000378 0.000328 0.000003 0.000003
D 0.000139 0.000110 0.000000 0.000000
Ds_neg 0.004664 0.005010 0.000775 0.000906
Ds_pos -0.001151 0.001173 0.000009 0.000007
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.001039 0.000760 0.000005 0.000003
dUdcp_neg_mag 0.000364 0.000683 0.000009 0.000008
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.034239 0.054778 0.046556 0.019084
i0_pos 0.095237 0.167998 0.172379 0.046077
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000674 0.000489 0.000018 0.000018
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.428467 0.610588 1.352581 1.000678
sigma_neg 0.003809 0.005984 0.001170 0.000583
sigma_pos 0.015253 0.046560 0.026380 0.010328

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.205138 0.258159
a_neg l_neg -0.174516 0.258123
a_neg l_sep -0.176704 0.259543
a_neg l_pos -0.170170 0.259799
a_neg Rp_neg -0.173135 0.257625
a_neg Rp_pos -0.172496 0.257531
a_neg epsilon_f_neg -0.173374 0.257564
a_neg epsilon_f_pos -0.167240 0.257589
a_neg epsilon_neg -0.180798 0.283350
a_neg epsilon_sep -0.173319 0.257564
a_neg epsilon_pos -0.179988 0.248604
a_neg Cdl_neg -0.173338 0.257952
a_neg Cdl_pos -0.189971 0.263415
a_neg cs_max_neg -0.173319 0.257564
a_neg cs_max_pos -0.173319 0.257564
a_neg c0 -0.173125 0.257470
a_neg D -0.173409 0.257606
a_neg Ds_neg -0.172205 0.257727
a_neg Ds_pos -0.173155 0.257327
a_neg d2Udcp2_pos_sgn -0.173319 0.257564
a_neg d2Udcp2_neg_sgn -0.173319 0.257564
a_neg d3Udcp3_pos_sgn -0.173319 0.257564
a_neg d3Udcp3_neg_sgn -0.173319 0.257564
a_neg dUdcp_pos_mag -0.173091 0.257345
a_neg dUdcp_neg_mag -0.173237 0.257612
a_neg d2Udcp2_pos_mag -0.173319 0.257564
a_neg d2Udcp2_neg_mag -0.173319 0.257564
a_neg d3Udcp3_pos_mag -0.173319 0.257564
a_neg d3Udcp3_neg_mag -0.173319 0.257564
a_neg i0_neg -0.206078 0.251401
a_neg i0_pos -0.119424 0.259822
a_neg SOC_neg -0.173319 0.257564
a_neg SOC_pos -0.173319 0.257564
a_neg tP -0.172989 0.257450
a_neg aa_neg -0.173319 0.257564
a_neg aa_pos -0.173319 0.257564
a_neg kappa_0 0.062226 0.309518
a_neg sigma_neg -0.173362 0.257791
a_neg sigma_pos -0.178777 0.258908
a_pos l_neg 0.224565 0.390515
a_pos l_sep 0.223663 0.390563
a_pos l_pos 0.210015 0.391970
a_pos Rp_neg 0.224955 0.390939
a_pos Rp_pos 0.227449 0.392743
a_pos epsilon_f_neg 0.225009 0.390744
a_pos epsilon_f_pos 0.225965 0.392088
a_pos epsilon_neg 0.198646 0.385550
a_pos epsilon_sep 0.225350 0.391024
a_pos epsilon_pos 0.199654 0.340980
a_pos Cdl_neg 0.227883 0.390712
a_pos Cdl_pos 0.222811 0.389325
a_pos cs_max_neg 0.225350 0.391024
a_pos cs_max_pos 0.225350 0.391024
