Parameter S1 S1_conf ST ST_conf
a_neg 0.229624 0.205692 0.278769 0.111854
a_pos -0.004013 0.233142 0.170969 0.065947
l_neg 0.008735 0.007594 0.000897 0.000409
l_sep 0.008341 0.015833 0.001258 0.000826
l_pos 0.051207 0.052551 0.036916 0.014137
Rp_neg 0.000092 0.000074 0.000000 0.000000
Rp_pos -0.000274 0.000258 0.000000 0.000000
epsilon_f_neg -0.000199 0.000980 0.000030 0.000022
epsilon_f_pos 0.001992 0.010384 0.000986 0.000359
epsilon_neg 0.065289 0.164267 0.174543 0.067201
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.036370 0.143280 0.188092 0.091280
Cdl_neg -0.061292 0.059226 0.036186 0.013722
Cdl_pos 0.015304 0.077796 0.032272 0.019739
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000230 0.000212 0.000001 0.000001
D 0.000001 0.000004 0.000000 0.000000
Ds_neg -0.000812 0.000975 0.000027 0.000032
Ds_pos -0.000023 0.000062 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000045 0.000190 0.000000 0.000000
dUdcp_neg_mag -0.000053 0.000144 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.036414 0.040901 0.009589 0.005295
i0_pos 0.001368 0.084083 0.067481 0.023368
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000378 0.000271 0.000004 0.000003
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.507460 0.675249 1.339400 0.948799
sigma_neg 0.006413 0.010813 0.002822 0.001453
sigma_pos 0.058831 0.094832 0.062370 0.025900

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.227115 0.335489
a_neg l_neg -0.176922 0.328474
a_neg l_sep -0.178227 0.330423
a_neg l_pos -0.166967 0.331223
a_neg Rp_neg -0.174982 0.327479
a_neg Rp_pos -0.175026 0.327456
a_neg epsilon_f_neg -0.175157 0.327434
a_neg epsilon_f_pos -0.164690 0.327476
a_neg epsilon_neg -0.130451 0.378362
a_neg epsilon_sep -0.174994 0.327477
a_neg epsilon_pos -0.188852 0.321229
a_neg Cdl_neg -0.162538 0.328378
a_neg Cdl_pos -0.195333 0.334484
a_neg cs_max_neg -0.174994 0.327477
a_neg cs_max_pos -0.174994 0.327477
a_neg c0 -0.174922 0.327439
a_neg D -0.174995 0.327477
a_neg Ds_neg -0.175250 0.327463
a_neg Ds_pos -0.174995 0.327473
a_neg d2Udcp2_pos_sgn -0.174994 0.327477
a_neg d2Udcp2_neg_sgn -0.174994 0.327477
a_neg d3Udcp3_pos_sgn -0.174994 0.327477
a_neg d3Udcp3_neg_sgn -0.174994 0.327477
a_neg dUdcp_pos_mag -0.174945 0.327469
a_neg dUdcp_neg_mag -0.174929 0.327478
a_neg d2Udcp2_pos_mag -0.174994 0.327477
a_neg d2Udcp2_neg_mag -0.174994 0.327477
a_neg d3Udcp3_pos_mag -0.174994 0.327477
a_neg d3Udcp3_neg_mag -0.174994 0.327477
a_neg i0_neg -0.188329 0.326267
a_neg i0_pos -0.155436 0.330585
a_neg SOC_neg -0.174994 0.327477
a_neg SOC_pos -0.174994 0.327477
a_neg tP -0.174865 0.327431
a_neg aa_neg -0.174994 0.327477
a_neg aa_pos -0.174994 0.327477
a_neg kappa_0 0.048257 0.370801
a_neg sigma_neg -0.174647 0.327393
a_neg sigma_pos -0.186142 0.327670
a_pos l_neg 0.204359 0.393701
a_pos l_sep 0.202455 0.393609
a_pos l_pos 0.190807 0.394885
a_pos Rp_neg 0.205547 0.394209
a_pos Rp_pos 0.205389 0.394075
a_pos epsilon_f_neg 0.205120 0.393931
a_pos epsilon_f_pos 0.205716 0.395302
a_pos epsilon_neg 0.189243 0.393435
a_pos epsilon_sep 0.205579 0.394213
a_pos epsilon_pos 0.208588 0.363688
a_pos Cdl_neg 0.227504 0.398526
a_pos Cdl_pos 0.186731 0.380909
a_pos cs_max_neg 0.205579 0.394213
a_pos cs_max_pos 0.205579 0.394213
a_pos c0 0.205591 0.394222
a_pos D 0.205577 0.394213
a_pos Ds_neg 0.205493 0.394211
a_pos Ds_pos 0.205583 0.394212
a_pos d2Udcp2_pos_sgn 0.205579 0.394213
a_pos d2Udcp2_neg_sgn 0.205579 0.394213
a_pos d3Udcp3_pos_sgn 0.205579 0.394213
a_pos d3Udcp3_neg_sgn 0.205579 0.394213
a_pos dUdcp_pos_mag 0.205700 0.394303
a_pos dUdcp_neg_mag 0.205597 0.394217
a_pos d2Udcp2_pos_mag 0.205579 0.394213
a_pos d2Udcp2_neg_mag 0.205579 0.394213
a_pos d3Udcp3_pos_mag 0.205579 0.394213
a_pos d3Udcp3_neg_mag 0.205579 0.394213
a_pos i0_neg 0.210554 0.393689
a_pos i0_pos 0.160958 0.404325
a_pos SOC_neg 0.205579 0.394213
a_pos SOC_pos 0.205579 0.394213
a_pos tP 0.205474 0.394214
a_pos aa_neg 0.205579 0.394213
a_pos aa_pos 0.205579 0.394213
a_pos kappa_0 0.662970 0.789255
a_pos sigma_neg 0.203275 0.394644
a_pos sigma_pos 0.218735 0.392514
l_neg l_sep -0.009016 0.011591
l_neg l_pos -0.008916 0.011892
l_neg Rp_neg -0.008785 0.011521
l_neg Rp_pos -0.008787 0.011520
l_neg epsilon_f_neg -0.008801 0.011518
l_neg epsilon_f_pos -0.008903 0.011514
l_neg epsilon_neg -0.010797 0.010932
l_neg epsilon_sep -0.008786 0.011520
l_neg epsilon_pos -0.008744 0.011292
l_neg Cdl_neg -0.009411 0.011409
l_neg Cdl_pos -0.008897 0.011571
l_neg cs_max_neg -0.008786 0.011520
l_neg cs_max_pos -0.008786 0.011520
l_neg c0 -0.008785 0.011520
l_neg D -0.008786 0.011520
l_neg Ds_neg -0.008791 0.011520
l_neg Ds_pos -0.008786 0.011520
l_neg d2Udcp2_pos_sgn -0.008786 0.011520
l_neg d2Udcp2_neg_sgn -0.008786 0.011520
l_neg d3Udcp3_pos_sgn -0.008786 0.011520
l_neg d3Udcp3_neg_sgn -0.008786 0.011520
l_neg dUdcp_pos_mag -0.008785 0.011520
l_neg dUdcp_neg_mag -0.008783 0.011521
l_neg d2Udcp2_pos_mag -0.008786 0.011520
l_neg d2Udcp2_neg_mag -0.008786 0.011520
l_neg d3Udcp3_pos_mag -0.008786 0.011520
l_neg d3Udcp3_neg_mag -0.008786 0.011520
l_neg i0_neg -0.008755 0.011541
l_neg i0_pos -0.008529 0.011619
l_neg SOC_neg -0.008786 0.011520
l_neg SOC_pos -0.008786 0.011520
l_neg tP -0.008788 0.011520
l_neg aa_neg -0.008786 0.011520
l_neg aa_pos -0.008786 0.011520
l_neg kappa_0 -0.005905 0.012545
l_neg sigma_neg -0.008572 0.011607
l_neg sigma_pos -0.011259 0.012071
l_sep l_pos -0.011747 0.021964
l_sep Rp_neg -0.011705 0.021588
l_sep Rp_pos -0.011702 0.021586
l_sep epsilon_f_neg -0.011746 0.021600
l_sep epsilon_f_pos -0.011996 0.021646
l_sep epsilon_neg -0.011262 0.021626
l_sep epsilon_sep -0.011700 0.021586
l_sep epsilon_pos -0.010862 0.021714
l_sep Cdl_neg -0.012480 0.021938
l_sep Cdl_pos -0.012637 0.021877
l_sep cs_max_neg -0.011700 0.021586
l_sep cs_max_pos -0.011700 0.021586
l_sep c0 -0.011696 0.021585
l_sep D -0.011700 0.021586
l_sep Ds_neg -0.011673 0.021580
l_sep Ds_pos -0.011700 0.021586
l_sep d2Udcp2_pos_sgn -0.011700 0.021586
l_sep d2Udcp2_neg_sgn -0.011700 0.021586
l_sep d3Udcp3_pos_sgn -0.011700 0.021586
l_sep d3Udcp3_neg_sgn -0.011700 0.021586
l_sep dUdcp_pos_mag -0.011706 0.021587
l_sep dUdcp_neg_mag -0.011705 0.021589
l_sep d2Udcp2_pos_mag -0.011700 0.021586
l_sep d2Udcp2_neg_mag -0.011700 0.021586
l_sep d3Udcp3_pos_mag -0.011700 0.021586
l_sep d3Udcp3_neg_mag -0.011700 0.021586
l_sep i0_neg -0.011359 0.021646
l_sep i0_pos -0.012896 0.021487
l_sep SOC_neg -0.011700 0.021586
l_sep SOC_pos -0.011700 0.021586
l_sep tP -0.011706 0.021587
l_sep aa_neg -0.011700 0.021586
l_sep aa_pos -0.011700 0.021586
l_sep kappa_0 -0.016245 0.029165
l_sep sigma_neg -0.011485 0.021451
l_sep sigma_pos -0.012549 0.022002
l_pos Rp_neg -0.071021 0.121406
l_pos Rp_pos -0.071004 0.121399
l_pos epsilon_f_neg -0.071051 0.121398
l_pos epsilon_f_pos -0.069773 0.121288
l_pos epsilon_neg -0.039076 0.113618
l_pos epsilon_sep -0.070999 0.121400
l_pos epsilon_pos -0.051593 0.124104
l_pos Cdl_neg -0.053700 0.115655
l_pos Cdl_pos -0.063673 0.121059
l_pos cs_max_neg -0.070999 0.121400
l_pos cs_max_pos -0.070999 0.121400
l_pos c0 -0.070960 0.121395
l_pos D -0.070999 0.121400
l_pos Ds_neg -0.071122 0.121398
l_pos Ds_pos -0.071001 0.121401
l_pos d2Udcp2_pos_sgn -0.070999 0.121400
l_pos d2Udcp2_neg_sgn -0.070999 0.121400
l_pos d3Udcp3_pos_sgn -0.070999 0.121400
l_pos d3Udcp3_neg_sgn -0.070999 0.121400
l_pos dUdcp_pos_mag -0.070985 0.121399
l_pos dUdcp_neg_mag -0.071015 0.121402
l_pos d2Udcp2_pos_mag -0.070999 0.121400
l_pos d2Udcp2_neg_mag -0.070999 0.121400
l_pos d3Udcp3_pos_mag -0.070999 0.121400
l_pos d3Udcp3_neg_mag -0.070999 0.121400
l_pos i0_neg -0.069194 0.120934
l_pos i0_pos -0.085873 0.118972
l_pos SOC_neg -0.070999 0.121400
l_pos SOC_pos -0.070999 0.121400
l_pos tP -0.070972 0.121401
l_pos aa_neg -0.070999 0.121400
l_pos aa_pos -0.070999 0.121400
l_pos kappa_0 -0.105915 0.127242
l_pos sigma_neg -0.071269 0.122173
l_pos sigma_pos -0.064191 0.128327
Rp_neg Rp_pos -0.000031 0.000112
Rp_neg epsilon_f_neg -0.000030 0.000112
Rp_neg epsilon_f_pos -0.000032 0.000112
Rp_neg epsilon_neg 0.000010 0.000145
Rp_neg epsilon_sep -0.000031 0.000112
Rp_neg epsilon_pos -0.000041 0.000109
Rp_neg Cdl_neg -0.000037 0.000106
Rp_neg Cdl_pos 0.000016 0.000150
Rp_neg cs_max_neg -0.000031 0.000112
Rp_neg cs_max_pos -0.000031 0.000112
Rp_neg c0 -0.000031 0.000112
Rp_neg D -0.000031 0.000112
Rp_neg Ds_neg -0.000031 0.000112
Rp_neg Ds_pos -0.000031 0.000112
Rp_neg d2Udcp2_pos_sgn -0.000031 0.000112
Rp_neg d2Udcp2_neg_sgn -0.000031 0.000112
Rp_neg d3Udcp3_pos_sgn -0.000031 0.000112
