Parameter S1 S1_conf ST ST_conf
a_neg 0.119038 0.147271 0.141490 0.062562
a_pos 0.052877 0.221606 0.157348 0.111597
l_neg 0.014988 0.015459 0.003304 0.001515
l_sep 0.015009 0.034029 0.005093 0.003645
l_pos 0.153502 0.112489 0.136180 0.052676
Rp_neg 0.000011 0.000012 0.000000 0.000000
Rp_pos 0.000003 0.000010 0.000000 0.000000
epsilon_f_neg -0.000950 0.002268 0.000113 0.000083
epsilon_f_pos -0.000892 0.023734 0.003660 0.001205
epsilon_neg 0.027810 0.110925 0.082890 0.033233
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.029213 0.109066 0.078735 0.038570
Cdl_neg -0.035225 0.086640 0.049490 0.024081
Cdl_pos -0.003472 0.051668 0.040251 0.029013
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000158 0.000182 0.000000 0.000000
D -0.000001 0.000002 0.000000 0.000000
Ds_neg -0.000019 0.000025 0.000000 0.000000
Ds_pos 0.000019 0.000019 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000016 0.000020 0.000000 0.000000
dUdcp_neg_mag 0.000003 0.000014 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002432 0.003365 0.000192 0.000211
i0_pos 0.016372 0.017210 0.002210 0.001636
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000253 0.000195 0.000001 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.449626 0.573045 0.796555 0.547462
sigma_neg 0.019803 0.026595 0.010572 0.005650
sigma_pos 0.238610 0.229367 0.237027 0.085267

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.132160 0.254686
a_neg l_neg -0.096935 0.245259
a_neg l_sep -0.097979 0.246574
a_neg l_pos -0.089450 0.244996
a_neg Rp_neg -0.095188 0.244111
a_neg Rp_pos -0.095198 0.244112
a_neg epsilon_f_neg -0.095514 0.243993
a_neg epsilon_f_pos -0.078866 0.245034
a_neg epsilon_neg -0.040833 0.272372
a_neg epsilon_sep -0.095191 0.244111
a_neg epsilon_pos -0.092367 0.241741
a_neg Cdl_neg -0.065735 0.249177
a_neg Cdl_pos -0.107253 0.245577
a_neg cs_max_neg -0.095191 0.244111
a_neg cs_max_pos -0.095191 0.244111
a_neg c0 -0.095175 0.244106
a_neg D -0.095191 0.244111
a_neg Ds_neg -0.095197 0.244110
a_neg Ds_pos -0.095198 0.244113
a_neg d2Udcp2_pos_sgn -0.095191 0.244111
a_neg d2Udcp2_neg_sgn -0.095191 0.244111
a_neg d3Udcp3_pos_sgn -0.095191 0.244111
a_neg d3Udcp3_neg_sgn -0.095191 0.244111
a_neg dUdcp_pos_mag -0.095191 0.244114
a_neg dUdcp_neg_mag -0.095188 0.244111
a_neg d2Udcp2_pos_mag -0.095191 0.244111
a_neg d2Udcp2_neg_mag -0.095191 0.244111
a_neg d3Udcp3_pos_mag -0.095191 0.244111
a_neg d3Udcp3_neg_mag -0.095191 0.244111
a_neg i0_neg -0.096490 0.244222
a_neg i0_pos -0.093712 0.244601
a_neg SOC_neg -0.095191 0.244111
a_neg SOC_pos -0.095191 0.244111
a_neg tP -0.095154 0.244106
a_neg aa_neg -0.095191 0.244111
a_neg aa_pos -0.095191 0.244111
a_neg kappa_0 0.005650 0.254607
a_neg sigma_neg -0.092815 0.244456
a_neg sigma_pos -0.124226 0.237141
a_pos l_neg 0.078463 0.311053
a_pos l_sep 0.073185 0.309551
a_pos l_pos 0.061117 0.311657
a_pos Rp_neg 0.079972 0.311346
a_pos Rp_pos 0.079971 0.311346
a_pos epsilon_f_neg 0.079323 0.311133
a_pos epsilon_f_pos 0.080440 0.312435
a_pos epsilon_neg 0.072916 0.311092
a_pos epsilon_sep 0.079972 0.311346
a_pos epsilon_pos 0.114076 0.316264
a_pos Cdl_neg 0.107988 0.319656
a_pos Cdl_pos 0.077576 0.309364
a_pos cs_max_neg 0.079972 0.311346
a_pos cs_max_pos 0.079972 0.311346
a_pos c0 0.079968 0.311350
a_pos D 0.079971 0.311346
a_pos Ds_neg 0.079971 0.311346
a_pos Ds_pos 0.079972 0.311347
a_pos d2Udcp2_pos_sgn 0.079972 0.311346
a_pos d2Udcp2_neg_sgn 0.079972 0.311346
a_pos d3Udcp3_pos_sgn 0.079972 0.311346
a_pos d3Udcp3_neg_sgn 0.079972 0.311346
a_pos dUdcp_pos_mag 0.079972 0.311347
a_pos dUdcp_neg_mag 0.079972 0.311346
a_pos d2Udcp2_pos_mag 0.079972 0.311346
a_pos d2Udcp2_neg_mag 0.079972 0.311346
a_pos d3Udcp3_pos_mag 0.079972 0.311346
a_pos d3Udcp3_neg_mag 0.079972 0.311346
a_pos i0_neg 0.079927 0.311324
a_pos i0_pos 0.078671 0.311954
a_pos SOC_neg 0.079972 0.311346
a_pos SOC_pos 0.079972 0.311346
a_pos tP 0.079927 0.311352
a_pos aa_neg 0.079972 0.311346
a_pos aa_pos 0.079972 0.311346
a_pos kappa_0 0.246107 0.430779
a_pos sigma_neg 0.075854 0.312576
a_pos sigma_pos 0.094388 0.313629
l_neg l_sep -0.018264 0.022895
l_neg l_pos -0.017684 0.023811
l_neg Rp_neg -0.017274 0.022578
l_neg Rp_pos -0.017274 0.022578
l_neg epsilon_f_neg -0.017325 0.022569
l_neg epsilon_f_pos -0.017683 0.022516
l_neg epsilon_neg -0.019984 0.021966
l_neg epsilon_sep -0.017274 0.022578
l_neg epsilon_pos -0.016293 0.022352
l_neg Cdl_neg -0.018283 0.022592
l_neg Cdl_pos -0.016269 0.022633
l_neg cs_max_neg -0.017274 0.022578
l_neg cs_max_pos -0.017274 0.022578
l_neg c0 -0.017273 0.022578
l_neg D -0.017274 0.022578
l_neg Ds_neg -0.017274 0.022578
l_neg Ds_pos -0.017274 0.022578
l_neg d2Udcp2_pos_sgn -0.017274 0.022578
l_neg d2Udcp2_neg_sgn -0.017274 0.022578
l_neg d3Udcp3_pos_sgn -0.017274 0.022578
l_neg d3Udcp3_neg_sgn -0.017274 0.022578
l_neg dUdcp_pos_mag -0.017274 0.022578
l_neg dUdcp_neg_mag -0.017274 0.022578
l_neg d2Udcp2_pos_mag -0.017274 0.022578
l_neg d2Udcp2_neg_mag -0.017274 0.022578
l_neg d3Udcp3_pos_mag -0.017274 0.022578
l_neg d3Udcp3_neg_mag -0.017274 0.022578
l_neg i0_neg -0.017233 0.022573
l_neg i0_pos -0.016885 0.022597
l_neg SOC_neg -0.017274 0.022578
l_neg SOC_pos -0.017274 0.022578
l_neg tP -0.017276 0.022578
l_neg aa_neg -0.017274 0.022578
l_neg aa_pos -0.017274 0.022578
l_neg kappa_0 -0.012140 0.024002
l_neg sigma_neg -0.016459 0.022967
l_neg sigma_pos -0.026978 0.024189
l_sep l_pos -0.022135 0.047007
l_sep Rp_neg -0.021676 0.045460
l_sep Rp_pos -0.021676 0.045460
l_sep epsilon_f_neg -0.021852 0.045518
l_sep epsilon_f_pos -0.022777 0.045633
l_sep epsilon_neg -0.022302 0.045796
l_sep epsilon_sep -0.021675 0.045460
l_sep epsilon_pos -0.020424 0.045445
l_sep Cdl_neg -0.023292 0.046351
l_sep Cdl_pos -0.022660 0.045712
l_sep cs_max_neg -0.021675 0.045460
l_sep cs_max_pos -0.021675 0.045460
l_sep c0 -0.021672 0.045459
l_sep D -0.021675 0.045460
l_sep Ds_neg -0.021675 0.045460
l_sep Ds_pos -0.021676 0.045460
l_sep d2Udcp2_pos_sgn -0.021675 0.045460
l_sep d2Udcp2_neg_sgn -0.021675 0.045460
l_sep d3Udcp3_pos_sgn -0.021675 0.045460
l_sep d3Udcp3_neg_sgn -0.021675 0.045460
l_sep dUdcp_pos_mag -0.021676 0.045460
l_sep dUdcp_neg_mag -0.021676 0.045460
l_sep d2Udcp2_pos_mag -0.021675 0.045460
l_sep d2Udcp2_neg_mag -0.021675 0.045460
l_sep d3Udcp3_pos_mag -0.021675 0.045460
l_sep d3Udcp3_neg_mag -0.021675 0.045460
l_sep i0_neg -0.021575 0.045432
l_sep i0_pos -0.022135 0.045547
l_sep SOC_neg -0.021675 0.045460
l_sep SOC_pos -0.021675 0.045460
l_sep tP -0.021683 0.045461
l_sep aa_neg -0.021675 0.045460
l_sep aa_pos -0.021675 0.045460
l_sep kappa_0 -0.028274 0.055050
l_sep sigma_neg -0.020828 0.045041
l_sep sigma_pos -0.025078 0.047609
l_pos Rp_neg -0.132266 0.242787
l_pos Rp_pos -0.132268 0.242787
l_pos epsilon_f_neg -0.132431 0.242773
l_pos epsilon_f_pos -0.127388 0.242804
l_pos epsilon_neg -0.095665 0.235151
l_pos epsilon_sep -0.132268 0.242787
l_pos epsilon_pos -0.100065 0.247717
l_pos Cdl_neg -0.098856 0.236824
l_pos Cdl_pos -0.118308 0.243086
l_pos cs_max_neg -0.132268 0.242787
l_pos cs_max_pos -0.132268 0.242787
l_pos c0 -0.132222 0.242779
l_pos D -0.132269 0.242787
l_pos Ds_neg -0.132272 0.242787
l_pos Ds_pos -0.132270 0.242787
l_pos d2Udcp2_pos_sgn -0.132268 0.242787
l_pos d2Udcp2_neg_sgn -0.132268 0.242787
l_pos d3Udcp3_pos_sgn -0.132268 0.242787
l_pos d3Udcp3_neg_sgn -0.132268 0.242787
l_pos dUdcp_pos_mag -0.132269 0.242787
l_pos dUdcp_neg_mag -0.132267 0.242787
l_pos d2Udcp2_pos_mag -0.132268 0.242787
l_pos d2Udcp2_neg_mag -0.132268 0.242787
l_pos d3Udcp3_pos_mag -0.132268 0.242787
l_pos d3Udcp3_neg_mag -0.132268 0.242787
l_pos i0_neg -0.132552 0.242777
l_pos i0_pos -0.133745 0.243090
l_pos SOC_neg -0.132268 0.242787
l_pos SOC_pos -0.132268 0.242787
l_pos tP -0.132235 0.242786
l_pos aa_neg -0.132268 0.242787
l_pos aa_pos -0.132268 0.242787
l_pos kappa_0 -0.169530 0.250882
l_pos sigma_neg -0.133214 0.245943
l_pos sigma_pos -0.101464 0.273223
Rp_neg Rp_pos -0.000009 0.000013
Rp_neg epsilon_f_neg -0.000009 0.000013
Rp_neg epsilon_f_pos -0.000009 0.000013
Rp_neg epsilon_neg -0.000009 0.000013
Rp_neg epsilon_sep -0.000009 0.000013
Rp_neg epsilon_pos -0.000009 0.000013
Rp_neg Cdl_neg -0.000009 0.000014
Rp_neg Cdl_pos -0.000009 0.000013
Rp_neg cs_max_neg -0.000009 0.000013
Rp_neg cs_max_pos -0.000009 0.000013
Rp_neg c0 -0.000009 0.000013
Rp_neg D -0.000009 0.000013
Rp_neg Ds_neg -0.000009 0.000013
Rp_neg Ds_pos -0.000009 0.000013
Rp_neg d2Udcp2_pos_sgn -0.000009 0.000013
Rp_neg d2Udcp2_neg_sgn -0.000009 0.000013
Rp_neg d3Udcp3_pos_sgn -0.000009 0.000013
Rp_neg d3Udcp3_neg_sgn -0.000009 0.000013
Rp_neg dUdcp_pos_mag -0.000009 0.000013
Rp_neg dUdcp_neg_mag -0.000009 0.000013
Rp_neg d2Udcp2_pos_mag -0.000009 0.000013
Rp_neg d2Udcp2_neg_mag -0.000009 0.000013
Rp_neg d3Udcp3_pos_mag -0.000009 0.000013
Rp_neg d3Udcp3_neg_mag -0.000009 0.000013
Rp_neg i0_neg -0.000009 0.000013
Rp_neg i0_pos -0.000009 0.000013
Rp_neg SOC_neg -0.000009 0.000013
Rp_neg SOC_pos -0.000009 0.000013
Rp_neg tP -0.000009 0.000013
Rp_neg aa_neg -0.000009 0.000013
Rp_neg aa_pos -0.000009 0.000013
Rp_neg kappa_0 -0.000009 0.000014
Rp_neg sigma_neg -0.000009 0.000013
Rp_neg sigma_pos -0.000008 0.000013
Rp_pos epsilon_f_neg -0.000028 0.000027
Rp_pos epsilon_f_pos -0.000028 0.000028
Rp_pos epsilon_neg -0.000028 0.000028
Rp_pos epsilon_sep -0.000028 0.000028
Rp_pos epsilon_pos -0.000028 0.000027
Rp_pos Cdl_neg -0.000028 0.000028
Rp_pos Cdl_pos -0.000026 0.000028
Rp_pos cs_max_neg -0.000028 0.000028
Rp_pos cs_max_pos -0.000028 0.000028
Rp_pos c0 -0.000028 0.000028
Rp_pos D -0.000028 0.000028
Rp_pos Ds_neg -0.000028 0.000028
Rp_pos Ds_pos -0.000028 0.000028
Rp_pos d2Udcp2_pos_sgn -0.000028 0.000028
Rp_pos d2Udcp2_neg_sgn -0.000028 0.000028
Rp_pos d3Udcp3_pos_sgn -0.000028 0.000028
Rp_pos d3Udcp3_neg_sgn -0.000028 0.000028
Rp_pos dUdcp_pos_mag -0.000028 0.000028
Rp_pos dUdcp_neg_mag -0.000028 0.000028
Rp_pos d2Udcp2_pos_mag -0.000028 0.000028
Rp_pos d2Udcp2_neg_mag -0.000028 0.000028
Rp_pos d3Udcp3_pos_mag -0.000028 0.000028
Rp_pos d3Udcp3_neg_mag -0.000028 0.000028
Rp_pos i0_neg -0.000028 0.000028
Rp_pos i0_pos -0.000029 0.000028
Rp_pos SOC_neg -0.000028 0.000028
Rp_pos SOC_pos -0.000028 0.000028
Rp_pos tP -0.000028 0.000028
Rp_pos aa_neg -0.000028 0.000028
Rp_pos aa_pos -0.000028 0.000028
Rp_pos kappa_0 -0.000051 0.000051
Rp_pos sigma_neg -0.000023 0.000022
Rp_pos sigma_pos -0.000029 0.000029
epsilon_f_neg epsilon_f_pos 0.001433 0.003451
epsilon_f_neg epsilon_neg 0.001025 0.003412
epsilon_f_neg epsilon_sep 0.001377 0.003428
epsilon_f_neg epsilon_pos 0.001361 0.003495
epsilon_f_neg Cdl_neg 0.001975 0.003653
epsilon_f_neg Cdl_pos 0.001438 0.003396
epsilon_f_neg cs_max_neg 0.001377 0.003428
epsilon_f_neg cs_max_pos 0.001377 0.003428
epsilon_f_neg c0 0.001377 0.003428
epsilon_f_neg D 0.001377 0.003428
epsilon_f_neg Ds_neg 0.001377 0.003428
epsilon_f_neg Ds_pos 0.001377 0.003428
epsilon_f_neg d2Udcp2_pos_sgn 0.001377 0.003428
epsilon_f_neg d2Udcp2_neg_sgn 0.001377 0.003428
