Parameter S1 S1_conf ST ST_conf
a_neg 0.017980 0.050078 0.026666 0.013502
a_pos 0.004711 0.063934 0.025553 0.019938
l_neg 0.017791 0.020230 0.005999 0.002552
l_sep 0.018412 0.038515 0.009425 0.006085
l_pos 0.273519 0.140498 0.249837 0.078560
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001161 0.002452 0.000196 0.000125
epsilon_f_pos 0.000452 0.029183 0.006470 0.001991
epsilon_neg 0.006780 0.038844 0.014739 0.006724
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.001078 0.048179 0.021321 0.010282
Cdl_neg -0.012896 0.034585 0.008705 0.003686
Cdl_pos -0.007555 0.019322 0.006861 0.003997
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000034 0.000043 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000001 0.000001 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000385 0.000295 0.000001 0.000000
i0_pos 0.000219 0.000712 0.000004 0.000002
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000045 0.000041 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.349957 0.369711 0.347626 0.222421
sigma_neg 0.036087 0.034584 0.018512 0.008470
sigma_pos 0.391341 0.303572 0.416175 0.122699

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.024168 0.084150
a_neg l_neg -0.019613 0.083547
a_neg l_sep -0.019894 0.084025
a_neg l_pos -0.014976 0.082426
a_neg Rp_neg -0.018590 0.082908
a_neg Rp_pos -0.018590 0.082908
a_neg epsilon_f_neg -0.018786 0.082822
a_neg epsilon_f_pos -0.010514 0.083640
a_neg epsilon_neg -0.011042 0.086944
a_neg epsilon_sep -0.018590 0.082908
a_neg epsilon_pos -0.017966 0.081434
a_neg Cdl_neg -0.013778 0.083217
a_neg Cdl_pos -0.021306 0.083052
a_neg cs_max_neg -0.018590 0.082908
a_neg cs_max_pos -0.018590 0.082908
a_neg c0 -0.018589 0.082907
a_neg D -0.018590 0.082908
a_neg Ds_neg -0.018590 0.082908
a_neg Ds_pos -0.018590 0.082908
a_neg d2Udcp2_pos_sgn -0.018590 0.082908
a_neg d2Udcp2_neg_sgn -0.018590 0.082908
a_neg d3Udcp3_pos_sgn -0.018590 0.082908
a_neg d3Udcp3_neg_sgn -0.018590 0.082908
a_neg dUdcp_pos_mag -0.018590 0.082908
a_neg dUdcp_neg_mag -0.018590 0.082908
a_neg d2Udcp2_pos_mag -0.018590 0.082908
a_neg d2Udcp2_neg_mag -0.018590 0.082908
a_neg d3Udcp3_pos_mag -0.018590 0.082908
a_neg d3Udcp3_neg_mag -0.018590 0.082908
a_neg i0_neg -0.018563 0.082905
a_neg i0_pos -0.018624 0.082896
a_neg SOC_neg -0.018590 0.082908
a_neg SOC_pos -0.018590 0.082908
a_neg tP -0.018586 0.082907
a_neg aa_neg -0.018590 0.082908
a_neg aa_pos -0.018590 0.082908
a_neg kappa_0 0.007419 0.084239
a_neg sigma_neg -0.017231 0.082942
a_neg sigma_pos -0.033425 0.077955
a_pos l_neg 0.032455 0.086828
a_pos l_sep 0.029575 0.085881
a_pos l_pos 0.022915 0.088054
a_pos Rp_neg 0.033292 0.086922
a_pos Rp_pos 0.033292 0.086922
a_pos epsilon_f_neg 0.032935 0.086816
a_pos epsilon_f_pos 0.033497 0.087465
a_pos epsilon_neg 0.032005 0.086896
a_pos epsilon_sep 0.033292 0.086922
a_pos epsilon_pos 0.041890 0.088847
a_pos Cdl_neg 0.037582 0.087602
a_pos Cdl_pos 0.033183 0.086591
a_pos cs_max_neg 0.033292 0.086922
a_pos cs_max_pos 0.033292 0.086922
