Parameter S1 S1_conf ST ST_conf
a_neg 0.201051 0.150695 0.261222 0.134148
a_pos 0.034606 0.187143 0.114377 0.039507
l_neg 0.005841 0.004818 0.000322 0.000146
l_sep 0.004986 0.008677 0.000495 0.000305
l_pos 0.030382 0.026539 0.012880 0.005369
Rp_neg -0.001736 0.001490 0.000043 0.000033
Rp_pos 0.000031 0.000796 0.000043 0.000045
epsilon_f_neg 0.000144 0.000619 0.000010 0.000007
epsilon_f_pos 0.001919 0.005650 0.000335 0.000140
epsilon_neg 0.093663 0.150651 0.136939 0.053846
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.059752 0.128992 0.168558 0.090983
Cdl_neg -0.000947 0.001089 0.000019 0.000017
Cdl_pos 0.004323 0.005360 0.000124 0.000109
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000946 0.000931 0.000038 0.000042
D 0.000313 0.000281 0.000000 0.000000
Ds_neg 0.012198 0.015969 0.008457 0.010832
Ds_pos -0.004688 0.004538 0.000241 0.000160
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005844 0.005637 0.000431 0.000308
dUdcp_neg_mag 0.000204 0.001996 0.000077 0.000050
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.012523 0.058461 0.050911 0.025438
i0_pos 0.193342 0.241710 0.204359 0.042899
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001576 0.001378 0.000166 0.000170
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.358135 0.539725 1.220755 0.945027
sigma_neg 0.003803 0.005354 0.000941 0.000480
sigma_pos 0.009488 0.043180 0.021599 0.009716

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.217837 0.254471
a_neg l_neg -0.192902 0.257516
a_neg l_sep -0.194698 0.258720
a_neg l_pos -0.189969 0.259597
a_neg Rp_neg -0.192164 0.256803
a_neg Rp_pos -0.191165 0.256845
a_neg epsilon_f_neg -0.191787 0.256937
a_neg epsilon_f_pos -0.186482 0.257063
a_neg epsilon_neg -0.201384 0.279055
a_neg epsilon_sep -0.191744 0.256926
a_neg epsilon_pos -0.187355 0.243879
a_neg Cdl_neg -0.192034 0.256911
a_neg Cdl_pos -0.194274 0.257807
a_neg cs_max_neg -0.191744 0.256926
a_neg cs_max_pos -0.191744 0.256926
a_neg c0 -0.191351 0.256746
a_neg D -0.191939 0.257030
a_neg Ds_neg -0.188718 0.257476
a_neg Ds_pos -0.191486 0.256229
a_neg d2Udcp2_pos_sgn -0.191744 0.256926
a_neg d2Udcp2_neg_sgn -0.191744 0.256926
a_neg d3Udcp3_pos_sgn -0.191744 0.256926
a_neg d3Udcp3_neg_sgn -0.191744 0.256926
a_neg dUdcp_pos_mag -0.191828 0.256148
a_neg dUdcp_neg_mag -0.192970 0.256864
a_neg d2Udcp2_pos_mag -0.191744 0.256926
a_neg d2Udcp2_neg_mag -0.191744 0.256926
a_neg d3Udcp3_pos_mag -0.191744 0.256926
a_neg d3Udcp3_neg_mag -0.191744 0.256926
a_neg i0_neg -0.219368 0.247891
a_neg i0_pos -0.129539 0.257665
a_neg SOC_neg -0.191744 0.256926
a_neg SOC_pos -0.191744 0.256926
a_neg tP -0.191056 0.256714
a_neg aa_neg -0.191744 0.256926
a_neg aa_pos -0.191744 0.256926
a_neg kappa_0 0.017820 0.301985
a_neg sigma_neg -0.191800 0.257237
a_neg sigma_pos -0.195558 0.258968
a_pos l_neg 0.139298 0.396690
a_pos l_sep 0.138486 0.396626
a_pos l_pos 0.123852 0.399230
a_pos Rp_neg 0.140724 0.397408
a_pos Rp_pos 0.140467 0.397595
a_pos epsilon_f_neg 0.139677 0.396851
a_pos epsilon_f_pos 0.140500 0.398096
a_pos epsilon_neg 0.109344 0.391003
a_pos epsilon_sep 0.139971 0.397100
a_pos epsilon_pos 0.119384 0.354411
a_pos Cdl_neg 0.140323 0.397144
a_pos Cdl_pos 0.139717 0.396885
a_pos cs_max_neg 0.139971 0.397100
a_pos cs_max_pos 0.139971 0.397100
