Parameter S1 S1_conf ST ST_conf
a_neg 0.219862 0.185002 0.301419 0.157976
a_pos -0.031155 0.194007 0.146106 0.048712
l_neg 0.007305 0.005664 0.000462 0.000218
l_sep 0.006175 0.011879 0.000653 0.000399
l_pos 0.032908 0.033016 0.018829 0.007833
Rp_neg 0.000399 0.000691 0.000007 0.000005
Rp_pos 0.001137 0.001285 0.000006 0.000005
epsilon_f_neg 0.000093 0.000745 0.000015 0.000011
epsilon_f_pos 0.002606 0.006432 0.000493 0.000187
epsilon_neg 0.080446 0.171576 0.173108 0.062066
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.012949 0.142572 0.203455 0.101814
Cdl_neg -0.029981 0.020825 0.008734 0.003917
Cdl_pos 0.027615 0.063999 0.015299 0.012519
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000300 0.000271 0.000002 0.000002
D 0.000065 0.000061 0.000000 0.000000
Ds_neg 0.001621 0.002008 0.000094 0.000116
Ds_pos -0.000277 0.000418 0.000003 0.000002
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000069 0.000519 0.000003 0.000002
dUdcp_neg_mag 0.000161 0.000456 0.000004 0.000003
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.043253 0.053222 0.031727 0.013416
i0_pos 0.042456 0.125466 0.149424 0.049626
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000506 0.000385 0.000008 0.000008
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.471704 0.627850 1.412912 0.992423
sigma_neg 0.003887 0.006792 0.001395 0.000721
sigma_pos 0.021679 0.055267 0.031204 0.013072

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.214612 0.293496
a_neg l_neg -0.179000 0.293376
a_neg l_sep -0.181148 0.295099
a_neg l_pos -0.173191 0.295939
a_neg Rp_neg -0.177549 0.292671
a_neg Rp_pos -0.177173 0.292639
a_neg epsilon_f_neg -0.177703 0.292652
a_neg epsilon_f_pos -0.170949 0.292585
a_neg epsilon_neg -0.181698 0.322105
a_neg epsilon_sep -0.177626 0.292650
a_neg epsilon_pos -0.192575 0.281653
a_neg Cdl_neg -0.174537 0.293481
a_neg Cdl_pos -0.199414 0.302758
a_neg cs_max_neg -0.177626 0.292650
a_neg cs_max_pos -0.177626 0.292650
a_neg c0 -0.177482 0.292569
a_neg D -0.177670 0.292674
a_neg Ds_neg -0.177258 0.292693
a_neg Ds_pos -0.177543 0.292547
a_neg d2Udcp2_pos_sgn -0.177626 0.292650
a_neg d2Udcp2_neg_sgn -0.177626 0.292650
a_neg d3Udcp3_pos_sgn -0.177626 0.292650
a_neg d3Udcp3_neg_sgn -0.177626 0.292650
a_neg dUdcp_pos_mag -0.177412 0.292570
a_neg dUdcp_neg_mag -0.177473 0.292669
a_neg d2Udcp2_pos_mag -0.177626 0.292650
a_neg d2Udcp2_neg_mag -0.177626 0.292650
a_neg d3Udcp3_pos_mag -0.177626 0.292650
a_neg d3Udcp3_neg_mag -0.177626 0.292650
a_neg i0_neg -0.208062 0.287620
a_neg i0_pos -0.135181 0.295202
a_neg SOC_neg -0.177626 0.292650
a_neg SOC_pos -0.177626 0.292650
a_neg tP -0.177385 0.292552
a_neg aa_neg -0.177626 0.292650
a_neg aa_pos -0.177626 0.292650
a_neg kappa_0 0.069240 0.341837
a_neg sigma_neg -0.177651 0.292914
a_neg sigma_pos -0.184499 0.295790
a_pos l_neg 0.259297 0.398033
a_pos l_sep 0.258382 0.398105
a_pos l_pos 0.245903 0.398941
a_pos Rp_neg 0.259926 0.398493
a_pos Rp_pos 0.261496 0.399535
a_pos epsilon_f_neg 0.259857 0.398264
a_pos epsilon_f_pos 0.260719 0.399689
a_pos epsilon_neg 0.238889 0.393683
a_pos epsilon_sep 0.260234 0.398551
a_pos epsilon_pos 0.232643 0.349348
a_pos Cdl_neg 0.267597 0.398011
a_pos Cdl_pos 0.251745 0.392901
a_pos cs_max_neg 0.260234 0.398551
a_pos cs_max_pos 0.260234 0.398551
a_pos c0 0.260252 0.398570
a_pos D 0.260228 0.398553
a_pos Ds_neg 0.260606 0.398522
a_pos Ds_pos 0.259972 0.398381
a_pos d2Udcp2_pos_sgn 0.260234 0.398551
a_pos d2Udcp2_neg_sgn 0.260234 0.398551
a_pos d3Udcp3_pos_sgn 0.260234 0.398551
a_pos d3Udcp3_neg_sgn 0.260234 0.398551
a_pos dUdcp_pos_mag 0.260642 0.398850
a_pos dUdcp_neg_mag 0.260251 0.398576
a_pos d2Udcp2_pos_mag 0.260234 0.398551
a_pos d2Udcp2_neg_mag 0.260234 0.398551
a_pos d3Udcp3_pos_mag 0.260234 0.398551
a_pos d3Udcp3_neg_mag 0.260234 0.398551
a_pos i0_neg 0.271446 0.391821
a_pos i0_pos 0.213746 0.443248
a_pos SOC_neg 0.260234 0.398551
a_pos SOC_pos 0.260234 0.398551
a_pos tP 0.260097 0.398555
a_pos aa_neg 0.260234 0.398551
a_pos aa_pos 0.260234 0.398551
a_pos kappa_0 0.879062 0.912412
a_pos sigma_neg 0.259065 0.399233
a_pos sigma_pos 0.274211 0.398480
l_neg l_sep -0.007168 0.008567
l_neg l_pos -0.007034 0.008726
l_neg Rp_neg -0.007034 0.008527
l_neg Rp_pos -0.007036 0.008523
l_neg epsilon_f_neg -0.007049 0.008522
l_neg epsilon_f_pos -0.007092 0.008516
l_neg epsilon_neg -0.008580 0.008232
l_neg epsilon_sep -0.007041 0.008522
l_neg epsilon_pos -0.006917 0.008261
l_neg Cdl_neg -0.007187 0.008474
l_neg Cdl_pos -0.007202 0.008574
l_neg cs_max_neg -0.007041 0.008522
l_neg cs_max_pos -0.007041 0.008522
l_neg c0 -0.007040 0.008522
l_neg D -0.007041 0.008522
l_neg Ds_neg -0.007040 0.008521
l_neg Ds_pos -0.007041 0.008521
l_neg d2Udcp2_pos_sgn -0.007041 0.008522
l_neg d2Udcp2_neg_sgn -0.007041 0.008522
l_neg d3Udcp3_pos_sgn -0.007041 0.008522
l_neg d3Udcp3_neg_sgn -0.007041 0.008522
l_neg dUdcp_pos_mag -0.007039 0.008522
l_neg dUdcp_neg_mag -0.007031 0.008526
l_neg d2Udcp2_pos_mag -0.007041 0.008522
l_neg d2Udcp2_neg_mag -0.007041 0.008522
l_neg d3Udcp3_pos_mag -0.007041 0.008522
l_neg d3Udcp3_neg_mag -0.007041 0.008522
l_neg i0_neg -0.006325 0.008851
l_neg i0_pos -0.006432 0.008443
l_neg SOC_neg -0.007041 0.008522
