Parameter S1 S1_conf ST ST_conf
a_neg 0.203713 0.199413 0.238172 0.100979
a_pos 0.037316 0.258645 0.184036 0.092145
l_neg 0.010819 0.009980 0.001413 0.000662
l_sep 0.010108 0.020654 0.002022 0.001366
l_pos 0.073268 0.070609 0.058183 0.022746
Rp_neg 0.000069 0.000058 0.000000 0.000000
Rp_pos -0.000102 0.000086 0.000000 0.000000
epsilon_f_neg -0.000457 0.001323 0.000048 0.000035
epsilon_f_pos 0.000962 0.014138 0.001569 0.000556
epsilon_neg 0.054770 0.154911 0.148988 0.059084
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.056940 0.142805 0.154313 0.075327
Cdl_neg -0.058184 0.072609 0.048002 0.016361
Cdl_pos 0.011697 0.073975 0.042253 0.029026
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000211 0.000205 0.000001 0.000001
D -0.000007 0.000008 0.000000 0.000000
Ds_neg -0.000484 0.000574 0.000007 0.000009
Ds_pos 0.000003 0.000067 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000006 0.000058 0.000000 0.000000
dUdcp_neg_mag -0.000034 0.000099 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.027402 0.026821 0.003556 0.002043
i0_pos 0.009908 0.059680 0.025375 0.008549
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000339 0.000257 0.000003 0.000003
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.482493 0.623604 1.166360 0.804035
sigma_neg 0.009432 0.014499 0.004511 0.002379
sigma_pos 0.102865 0.132031 0.100011 0.039583

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.207022 0.333431
a_neg l_neg -0.154075 0.322406
a_neg l_sep -0.155322 0.324235
a_neg l_pos -0.144610 0.324987
a_neg Rp_neg -0.152247 0.321293
a_neg Rp_pos -0.152281 0.321290
a_neg epsilon_f_neg -0.152494 0.321233
a_neg epsilon_f_pos -0.138942 0.321162
a_neg epsilon_neg -0.077592 0.377961
a_neg epsilon_sep -0.152266 0.321292
a_neg epsilon_pos -0.157111 0.317303
a_neg Cdl_neg -0.129670 0.324506
a_neg Cdl_pos -0.169829 0.328107
a_neg cs_max_neg -0.152266 0.321292
a_neg cs_max_pos -0.152266 0.321292
a_neg c0 -0.152221 0.321270
a_neg D -0.152262 0.321290
a_neg Ds_neg -0.152423 0.321287
a_neg Ds_pos -0.152280 0.321299
a_neg d2Udcp2_pos_sgn -0.152266 0.321292
a_neg d2Udcp2_neg_sgn -0.152266 0.321292
a_neg d3Udcp3_pos_sgn -0.152266 0.321292
a_neg d3Udcp3_neg_sgn -0.152266 0.321292
a_neg dUdcp_pos_mag -0.152258 0.321293
a_neg dUdcp_neg_mag -0.152234 0.321291
a_neg d2Udcp2_pos_mag -0.152266 0.321292
a_neg d2Udcp2_neg_mag -0.152266 0.321292
a_neg d3Udcp3_pos_mag -0.152266 0.321292
a_neg d3Udcp3_neg_mag -0.152266 0.321292
a_neg i0_neg -0.158478 0.320119
a_neg i0_pos -0.142494 0.323839
a_neg SOC_neg -0.152266 0.321292
a_neg SOC_pos -0.152266 0.321292
a_neg tP -0.152178 0.321267
a_neg aa_neg -0.152266 0.321292
a_neg aa_pos -0.152266 0.321292
a_neg kappa_0 0.028243 0.347750
a_neg sigma_neg -0.151350 0.321361
a_neg sigma_pos -0.170494 0.319888
a_pos l_neg 0.143987 0.397949
a_pos l_sep 0.141006 0.397324
a_pos l_pos 0.128630 0.399269
a_pos Rp_neg 0.145429 0.398413
a_pos Rp_pos 0.145378 0.398382
a_pos epsilon_f_neg 0.144891 0.398167
a_pos epsilon_f_pos 0.145600 0.399527
a_pos epsilon_neg 0.131654 0.399541
a_pos epsilon_sep 0.145431 0.398414
a_pos epsilon_pos 0.171170 0.391890
a_pos Cdl_neg 0.174596 0.406101
a_pos Cdl_pos 0.132755 0.390634
a_pos cs_max_neg 0.145431 0.398414
a_pos cs_max_pos 0.145431 0.398414
