Parameter S1 S1_conf ST ST_conf
a_neg 0.075539 0.110281 0.096245 0.045089
a_pos 0.029161 0.156773 0.101134 0.071797
l_neg 0.016873 0.017242 0.004439 0.002045
l_sep 0.017376 0.037170 0.007008 0.004955
l_pos 0.203074 0.126103 0.183626 0.063665
Rp_neg 0.000002 0.000003 0.000000 0.000000
Rp_pos 0.000002 0.000003 0.000000 0.000000
epsilon_f_neg -0.001056 0.002375 0.000150 0.000111
epsilon_f_pos -0.000694 0.026820 0.004894 0.001534
epsilon_neg 0.018450 0.080950 0.054002 0.023990
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.006295 0.085373 0.046870 0.024361
Cdl_neg -0.026365 0.067298 0.034334 0.015642
Cdl_pos -0.005679 0.041933 0.027595 0.017765
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000117 0.000135 0.000000 0.000000
D -0.000000 0.000001 0.000000 0.000000
Ds_neg -0.000002 0.000002 0.000000 0.000000
Ds_pos 0.000003 0.000002 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000010 0.000011 0.000000 0.000000
dUdcp_neg_mag 0.000002 0.000003 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000410 0.001974 0.000085 0.000090
i0_pos 0.007700 0.005714 0.000438 0.000310
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000189 0.000145 0.000001 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.428080 0.513115 0.612334 0.411724
sigma_neg 0.026678 0.031949 0.014082 0.006540
sigma_pos 0.309880 0.271965 0.316788 0.106364

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.087192 0.194076
a_neg l_neg -0.066505 0.188684
a_neg l_sep -0.067335 0.189931
a_neg l_pos -0.059212 0.184403
a_neg Rp_neg -0.064932 0.187554
a_neg Rp_pos -0.064935 0.187554
a_neg epsilon_f_neg -0.065251 0.187434
a_neg epsilon_f_pos -0.050436 0.188387
a_neg epsilon_neg -0.032383 0.206397
a_neg epsilon_sep -0.064933 0.187554
a_neg epsilon_pos -0.062912 0.184250
a_neg Cdl_neg -0.045456 0.189197
a_neg Cdl_pos -0.074308 0.189126
a_neg cs_max_neg -0.064933 0.187554
a_neg cs_max_pos -0.064933 0.187554
a_neg c0 -0.064924 0.187551
a_neg D -0.064933 0.187554
a_neg Ds_neg -0.064933 0.187554
a_neg Ds_pos -0.064933 0.187554
a_neg d2Udcp2_pos_sgn -0.064933 0.187554
a_neg d2Udcp2_neg_sgn -0.064933 0.187554
a_neg d3Udcp3_pos_sgn -0.064933 0.187554
a_neg d3Udcp3_neg_sgn -0.064933 0.187554
a_neg dUdcp_pos_mag -0.064932 0.187554
a_neg dUdcp_neg_mag -0.064932 0.187554
a_neg d2Udcp2_pos_mag -0.064933 0.187554
a_neg d2Udcp2_neg_mag -0.064933 0.187554
a_neg d3Udcp3_pos_mag -0.064933 0.187554
a_neg d3Udcp3_neg_mag -0.064933 0.187554
a_neg i0_neg -0.065583 0.187649
a_neg i0_pos -0.064339 0.187609
a_neg SOC_neg -0.064933 0.187554
a_neg SOC_pos -0.064933 0.187554
a_neg tP -0.064911 0.187551
a_neg aa_neg -0.064933 0.187554
a_neg aa_pos -0.064933 0.187554
a_neg kappa_0 0.002912 0.192066
a_neg sigma_neg -0.062592 0.187291
a_neg sigma_pos -0.090525 0.176501
a_pos l_neg 0.064246 0.220737
a_pos l_sep 0.059192 0.218902
a_pos l_pos 0.048848 0.221002
a_pos Rp_neg 0.065581 0.220874
a_pos Rp_pos 0.065580 0.220874
a_pos epsilon_f_neg 0.064983 0.220706
a_pos epsilon_f_pos 0.066024 0.221749
a_pos epsilon_neg 0.061217 0.221026
a_pos epsilon_sep 0.065580 0.220874
a_pos epsilon_pos 0.088522 0.226168
a_pos Cdl_neg 0.083488 0.224164
a_pos Cdl_pos 0.064584 0.219724
a_pos cs_max_neg 0.065580 0.220874
a_pos cs_max_pos 0.065580 0.220874
