Parameter S1 S1_conf ST ST_conf
a_neg 0.008294 0.030838 0.011621 0.005769
a_pos 0.002696 0.039227 0.011231 0.009064
l_neg 0.018399 0.021141 0.006430 0.002978
l_sep 0.018116 0.037898 0.009929 0.006532
l_pos 0.291301 0.148096 0.267977 0.079758
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001179 0.002460 0.000205 0.000144
epsilon_f_pos 0.000908 0.029381 0.006806 0.002142
epsilon_neg 0.004930 0.025561 0.006991 0.003175
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.012293 0.046628 0.022697 0.012150
Cdl_neg -0.008185 0.022414 0.003757 0.001598
Cdl_pos -0.007635 0.011683 0.002548 0.001193
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000010 0.000015 0.000000 0.000000
D 0.000000 0.000000 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000177 0.000128 0.000000 0.000000
i0_pos -0.000058 0.000358 0.000002 0.000001
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000014 0.000014 0.000000 0.000000
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.317801 0.348229 0.279554 0.194799
sigma_neg 0.038016 0.034044 0.019448 0.008642
sigma_pos 0.406578 0.288011 0.437174 0.124232

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.011807 0.053535
a_neg l_neg -0.010019 0.053518
a_neg l_sep -0.010101 0.053805
a_neg l_pos -0.006655 0.052772
a_neg Rp_neg -0.009282 0.052988
a_neg Rp_pos -0.009282 0.052988
a_neg epsilon_f_neg -0.009415 0.052938
a_neg epsilon_f_pos -0.003875 0.053540
a_neg epsilon_neg -0.006216 0.054899
a_neg epsilon_sep -0.009282 0.052988
a_neg epsilon_pos -0.009066 0.051845
a_neg Cdl_neg -0.007162 0.053236
a_neg Cdl_pos -0.010277 0.053008
a_neg cs_max_neg -0.009282 0.052988
a_neg cs_max_pos -0.009282 0.052988
a_neg c0 -0.009282 0.052988
a_neg D -0.009282 0.052988
a_neg Ds_neg -0.009282 0.052988
a_neg Ds_pos -0.009282 0.052988
a_neg d2Udcp2_pos_sgn -0.009282 0.052988
a_neg d2Udcp2_neg_sgn -0.009282 0.052988
a_neg d3Udcp3_pos_sgn -0.009282 0.052988
a_neg d3Udcp3_neg_sgn -0.009282 0.052988
a_neg dUdcp_pos_mag -0.009282 0.052988
a_neg dUdcp_neg_mag -0.009282 0.052988
a_neg d2Udcp2_pos_mag -0.009282 0.052988
a_neg d2Udcp2_neg_mag -0.009282 0.052988
a_neg d3Udcp3_pos_mag -0.009282 0.052988
a_neg d3Udcp3_neg_mag -0.009282 0.052988
a_neg i0_neg -0.009270 0.052987
a_neg i0_pos -0.009308 0.052985
a_neg SOC_neg -0.009282 0.052988
a_neg SOC_pos -0.009282 0.052988
a_neg tP -0.009281 0.052988
a_neg aa_neg -0.009282 0.052988
a_neg aa_pos -0.009282 0.052988
a_neg kappa_0 0.006529 0.053652
a_neg sigma_neg -0.008335 0.052888
a_neg sigma_pos -0.020021 0.050325
a_pos l_neg 0.019809 0.053908
a_pos l_sep 0.017963 0.053145
a_pos l_pos 0.013096 0.054460
a_pos Rp_neg 0.020465 0.053955
a_pos Rp_pos 0.020465 0.053955
a_pos epsilon_f_neg 0.020212 0.053865
a_pos epsilon_f_pos 0.020561 0.054368
a_pos epsilon_neg 0.019728 0.053917
a_pos epsilon_sep 0.020465 0.053955
a_pos epsilon_pos 0.026568 0.055919
a_pos Cdl_neg 0.022289 0.054287
a_pos Cdl_pos 0.020418 0.053756
a_pos cs_max_neg 0.020465 0.053955
a_pos cs_max_pos 0.020465 0.053955
