Parameter S1 S1_conf ST ST_conf
a_neg 0.223301 0.167228 0.118230 0.070617
a_pos 0.036427 0.086090 0.065649 0.047413
l_neg 0.121639 0.102220 0.061358 0.039242
l_sep 0.002052 0.004629 0.000160 0.000064
l_pos 0.014650 0.038074 0.016789 0.005790
Rp_neg -0.148414 0.113768 0.116127 0.039747
Rp_pos 0.093963 0.119629 0.060440 0.033295
epsilon_f_neg -0.000748 0.001125 0.000006 0.000004
epsilon_f_pos -0.000177 0.003259 0.000180 0.000059
epsilon_neg -0.099325 0.068728 0.038182 0.012998
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.141679 0.068116 0.032266 0.013955
Cdl_neg 0.000508 0.000299 0.000006 0.000006
Cdl_pos -0.000038 0.000080 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.012558 0.017738 0.002153 0.000775
D 0.024467 0.052152 0.018643 0.008733
Ds_neg 0.009500 0.279892 0.391892 0.136370
Ds_pos 0.103098 0.104499 0.052764 0.023903
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.027603 0.153571 0.214404 0.063160
dUdcp_neg_mag 0.643873 0.297684 0.565880 0.184351
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.026585 0.027572 0.011623 0.004483
i0_pos 0.110169 0.091393 0.043090 0.014891
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.028085 0.043975 0.018240 0.009473
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.074305 0.066489 0.017646 0.009363
sigma_neg 0.005895 0.009556 0.001040 0.000480
sigma_pos 0.015832 0.031460 0.017132 0.005913

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.056123 0.245269
a_neg l_neg 0.045166 0.308952
a_neg l_sep -0.063588 0.245915
a_neg l_pos -0.067302 0.244855
a_neg Rp_neg 0.004529 0.278158
a_neg Rp_pos -0.059892 0.246454
a_neg epsilon_f_neg -0.063481 0.245866
a_neg epsilon_f_pos -0.063957 0.245886
a_neg epsilon_neg -0.060564 0.250320
a_neg epsilon_sep -0.063569 0.245863
a_neg epsilon_pos -0.059460 0.244283
a_neg Cdl_neg -0.063085 0.246029
a_neg Cdl_pos -0.063551 0.245863
a_neg cs_max_neg -0.063569 0.245863
a_neg cs_max_pos -0.063569 0.245863
a_neg c0 -0.058817 0.246172
a_neg D -0.059412 0.246775
a_neg Ds_neg -0.037653 0.248122
a_neg Ds_pos -0.062737 0.249106
a_neg d2Udcp2_pos_sgn -0.063569 0.245863
a_neg d2Udcp2_neg_sgn -0.063569 0.245863
a_neg d3Udcp3_pos_sgn -0.063569 0.245863
a_neg d3Udcp3_neg_sgn -0.063569 0.245863
a_neg dUdcp_pos_mag -0.067505 0.244460
a_neg dUdcp_neg_mag -0.128615 0.254536
a_neg d2Udcp2_pos_mag -0.063569 0.245863
a_neg d2Udcp2_neg_mag -0.063569 0.245863
a_neg d3Udcp3_pos_mag -0.063569 0.245863
a_neg d3Udcp3_neg_mag -0.063569 0.245863
a_neg i0_neg -0.070200 0.244994
a_neg i0_pos -0.080201 0.248409
a_neg SOC_neg -0.063569 0.245863
a_neg SOC_pos -0.063569 0.245863
a_neg tP -0.054350 0.247691
a_neg aa_neg -0.063569 0.245863
a_neg aa_pos -0.063569 0.245863
a_neg kappa_0 -0.060964 0.244212
a_neg sigma_neg -0.064265 0.245744
a_neg sigma_pos -0.046972 0.246841
a_pos l_neg -0.045515 0.096385
a_pos l_sep -0.055051 0.093809
a_pos l_pos -0.055034 0.092983
a_pos Rp_neg -0.040056 0.093963
a_pos Rp_pos -0.067165 0.097727
a_pos epsilon_f_neg -0.056022 0.093857
a_pos epsilon_f_pos -0.056436 0.093851
a_pos epsilon_neg -0.048525 0.092653
a_pos epsilon_sep -0.056054 0.093855
a_pos epsilon_pos -0.053079 0.093232
a_pos Cdl_neg -0.056028 0.093856
a_pos Cdl_pos -0.056055 0.093853
a_pos cs_max_neg -0.056054 0.093855
a_pos cs_max_pos -0.056054 0.093855
a_pos c0 -0.056600 0.093918
a_pos D -0.058210 0.094404
a_pos Ds_neg -0.029704 0.099106
a_pos Ds_pos -0.066951 0.093833
a_pos d2Udcp2_pos_sgn -0.056054 0.093855
a_pos d2Udcp2_neg_sgn -0.056054 0.093855
a_pos d3Udcp3_pos_sgn -0.056054 0.093855
a_pos d3Udcp3_neg_sgn -0.056054 0.093855
a_pos dUdcp_pos_mag -0.051768 0.093962
a_pos dUdcp_neg_mag -0.059308 0.093764
a_pos d2Udcp2_pos_mag -0.056054 0.093855
a_pos d2Udcp2_neg_mag -0.056054 0.093855
a_pos d3Udcp3_pos_mag -0.056054 0.093855
a_pos d3Udcp3_neg_mag -0.056054 0.093855
a_pos i0_neg -0.055657 0.094131
a_pos i0_pos -0.064845 0.094524
a_pos SOC_neg -0.056054 0.093855
a_pos SOC_pos -0.056054 0.093855
a_pos tP -0.046301 0.093397
a_pos aa_neg -0.056054 0.093855
