Parameter S1 S1_conf ST ST_conf
a_neg 0.239655 0.179333 0.123697 0.075253
a_pos 0.010330 0.058990 0.034350 0.018639
l_neg 0.111012 0.081936 0.066103 0.053006
l_sep 0.001826 0.004548 0.000273 0.000149
l_pos -0.007324 0.035056 0.015326 0.006536
Rp_neg -0.125188 0.097794 0.121374 0.046627
Rp_pos 0.093755 0.105536 0.053499 0.027883
epsilon_f_neg -0.000826 0.001251 0.000006 0.000005
epsilon_f_pos -0.000984 0.003041 0.000187 0.000066
epsilon_neg -0.106562 0.057641 0.030542 0.010847
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.123255 0.052412 0.023077 0.009149
Cdl_neg 0.000258 0.000131 0.000004 0.000004
Cdl_pos -0.000081 0.000105 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.002811 0.022741 0.003575 0.001244
D 0.025357 0.050170 0.021782 0.011401
Ds_neg 0.019782 0.275337 0.458689 0.184413
Ds_pos 0.176430 0.132573 0.083472 0.047259
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.042587 0.135842 0.186954 0.058842
dUdcp_neg_mag 0.610895 0.276034 0.481451 0.144004
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.036665 0.033725 0.017111 0.006883
i0_pos 0.091865 0.075121 0.033873 0.009885
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.016097 0.051284 0.029262 0.016339
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.062088 0.030359 0.007616 0.003629
sigma_neg 0.008018 0.010975 0.001188 0.000559
sigma_pos 0.013769 0.028608 0.014355 0.004517

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.071168 0.248233
a_neg l_neg 0.014063 0.313144
a_neg l_sep -0.081768 0.249389
a_neg l_pos -0.090021 0.247884
a_neg Rp_neg 0.006306 0.300234
a_neg Rp_pos -0.073439 0.249471
a_neg epsilon_f_neg -0.081699 0.249337
a_neg epsilon_f_pos -0.082239 0.249336
a_neg epsilon_neg -0.100007 0.247592
a_neg epsilon_sep -0.081837 0.249335
a_neg epsilon_pos -0.077972 0.247269
a_neg Cdl_neg -0.081449 0.249456
a_neg Cdl_pos -0.081822 0.249336
a_neg cs_max_neg -0.081837 0.249335
a_neg cs_max_pos -0.081837 0.249335
a_neg c0 -0.077800 0.249833
a_neg D -0.073209 0.250062
a_neg Ds_neg -0.062428 0.257752
a_neg Ds_pos -0.080830 0.250612
a_neg d2Udcp2_pos_sgn -0.081837 0.249335
a_neg d2Udcp2_neg_sgn -0.081837 0.249335
a_neg d3Udcp3_pos_sgn -0.081837 0.249335
a_neg d3Udcp3_neg_sgn -0.081837 0.249335
a_neg dUdcp_pos_mag -0.083287 0.248511
a_neg dUdcp_neg_mag -0.147061 0.255604
a_neg d2Udcp2_pos_mag -0.081837 0.249335
a_neg d2Udcp2_neg_mag -0.081837 0.249335
a_neg d3Udcp3_pos_mag -0.081837 0.249335
a_neg d3Udcp3_neg_mag -0.081837 0.249335
a_neg i0_neg -0.086329 0.248286
a_neg i0_pos -0.100931 0.251539
a_neg SOC_neg -0.081837 0.249335
a_neg SOC_pos -0.081837 0.249335
a_neg tP -0.071350 0.251099
a_neg aa_neg -0.081837 0.249335
a_neg aa_pos -0.081837 0.249335
a_neg kappa_0 -0.083372 0.249400
a_neg sigma_neg -0.083044 0.249157
a_neg sigma_pos -0.068118 0.250345
a_pos l_neg -0.027090 0.070311
a_pos l_sep -0.031675 0.068549
a_pos l_pos -0.033137 0.067904
a_pos Rp_neg -0.016972 0.068085
a_pos Rp_pos -0.046955 0.073869
a_pos epsilon_f_neg -0.032824 0.068602
a_pos epsilon_f_pos -0.033232 0.068584
a_pos epsilon_neg -0.028670 0.067153
a_pos epsilon_sep -0.032868 0.068598
a_pos epsilon_pos -0.030250 0.067964
a_pos Cdl_neg -0.032851 0.068599
a_pos Cdl_pos -0.032867 0.068596
a_pos cs_max_neg -0.032868 0.068598
a_pos cs_max_pos -0.032868 0.068598
a_pos c0 -0.032589 0.068606
a_pos D -0.034178 0.068500
a_pos Ds_neg 0.004177 0.076344
a_pos Ds_pos -0.054326 0.073093
a_pos d2Udcp2_pos_sgn -0.032868 0.068598
a_pos d2Udcp2_neg_sgn -0.032868 0.068598
a_pos d3Udcp3_pos_sgn -0.032868 0.068598
a_pos d3Udcp3_neg_sgn -0.032868 0.068598
a_pos dUdcp_pos_mag -0.027854 0.068006
a_pos dUdcp_neg_mag -0.036968 0.069383
a_pos d2Udcp2_pos_mag -0.032868 0.068598
a_pos d2Udcp2_neg_mag -0.032868 0.068598
a_pos d3Udcp3_pos_mag -0.032868 0.068598
a_pos d3Udcp3_neg_mag -0.032868 0.068598
a_pos i0_neg -0.032412 0.069104
a_pos i0_pos -0.041815 0.069757
a_pos SOC_neg -0.032868 0.068598
a_pos SOC_pos -0.032868 0.068598
