Parameter S1 S1_conf ST ST_conf
a_neg 0.168864 0.128626 0.073557 0.030852
a_pos 0.014590 0.050561 0.023928 0.012882
l_neg 0.073042 0.057839 0.084035 0.068696
l_sep 0.001435 0.003627 0.000286 0.000160
l_pos -0.010982 0.032124 0.013181 0.005868
Rp_neg -0.088399 0.079603 0.110003 0.048401
Rp_pos 0.055596 0.078807 0.033649 0.018403
epsilon_f_neg -0.000648 0.001118 0.000005 0.000004
epsilon_f_pos -0.000740 0.003035 0.000176 0.000059
epsilon_neg -0.092440 0.049825 0.027344 0.011908
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.092192 0.035152 0.014955 0.005077
Cdl_neg 0.000124 0.000064 0.000001 0.000001
Cdl_pos -0.000107 0.000125 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.001880 0.026833 0.005963 0.002015
D 0.019699 0.044699 0.022748 0.012750
Ds_neg 0.060610 0.247390 0.489439 0.202982
Ds_pos 0.199224 0.158447 0.113798 0.072449
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.064638 0.111298 0.170388 0.066706
dUdcp_neg_mag 0.516848 0.219988 0.385684 0.111217
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.042150 0.036826 0.018772 0.008014
i0_pos 0.063197 0.056428 0.023491 0.006622
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001353 0.054624 0.043679 0.026356
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.046917 0.026542 0.006890 0.003326
sigma_neg 0.008856 0.009636 0.001030 0.000469
sigma_pos 0.005470 0.027950 0.011818 0.003788

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.052913 0.188749
a_neg l_neg -0.001420 0.229345
a_neg l_sep -0.066734 0.189374
a_neg l_pos -0.076347 0.187529
a_neg Rp_neg -0.006598 0.229628
a_neg Rp_pos -0.056027 0.189647
a_neg epsilon_f_neg -0.066494 0.189314
a_neg epsilon_f_pos -0.067163 0.189353
a_neg epsilon_neg -0.094464 0.185276
a_neg epsilon_sep -0.066642 0.189317
a_neg epsilon_pos -0.063620 0.187402
a_neg Cdl_neg -0.066429 0.189401
a_neg Cdl_pos -0.066636 0.189316
a_neg cs_max_neg -0.066642 0.189317
a_neg cs_max_pos -0.066642 0.189317
a_neg c0 -0.065512 0.189563
a_neg D -0.057344 0.189476
a_neg Ds_neg -0.053958 0.201862
a_neg Ds_pos -0.062493 0.189711
a_neg d2Udcp2_pos_sgn -0.066642 0.189317
a_neg d2Udcp2_neg_sgn -0.066642 0.189317
a_neg d3Udcp3_pos_sgn -0.066642 0.189317
a_neg d3Udcp3_neg_sgn -0.066642 0.189317
a_neg dUdcp_pos_mag -0.064248 0.190934
a_neg dUdcp_neg_mag -0.130499 0.196613
a_neg d2Udcp2_pos_mag -0.066642 0.189317
a_neg d2Udcp2_neg_mag -0.066642 0.189317
a_neg d3Udcp3_pos_mag -0.066642 0.189317
a_neg d3Udcp3_neg_mag -0.066642 0.189317
a_neg i0_neg -0.069027 0.188632
a_neg i0_pos -0.084887 0.193522
a_neg SOC_neg -0.066642 0.189317
a_neg SOC_pos -0.066642 0.189317
a_neg tP -0.056807 0.190361
a_neg aa_neg -0.066642 0.189317
a_neg aa_pos -0.066642 0.189317
a_neg kappa_0 -0.068213 0.189876
a_neg sigma_neg -0.067852 0.189258
a_neg sigma_pos -0.056481 0.189289
a_pos l_neg -0.033287 0.057464
a_pos l_sep -0.034912 0.056552
a_pos l_pos -0.036309 0.055690
a_pos Rp_neg -0.023020 0.056253
a_pos Rp_pos -0.047725 0.059971
a_pos epsilon_f_neg -0.035750 0.056539
a_pos epsilon_f_pos -0.036119 0.056513
a_pos epsilon_neg -0.032644 0.054738
a_pos epsilon_sep -0.035797 0.056536
a_pos epsilon_pos -0.033811 0.055965
a_pos Cdl_neg -0.035789 0.056537
a_pos Cdl_pos -0.035793 0.056533
a_pos cs_max_neg -0.035797 0.056536
a_pos cs_max_pos -0.035797 0.056536
