Parameter S1 S1_conf ST ST_conf
a_neg 0.090655 0.081563 0.042722 0.010649
a_pos 0.043727 0.053832 0.031156 0.021598
l_neg 0.050659 0.042815 0.101619 0.085874
l_sep 0.000787 0.002648 0.000147 0.000059
l_pos -0.009802 0.028042 0.009594 0.003657
Rp_neg -0.055305 0.061349 0.093138 0.044101
Rp_pos 0.018635 0.041745 0.016738 0.010661
epsilon_f_neg -0.000462 0.000940 0.000004 0.000003
epsilon_f_pos 0.000219 0.003200 0.000187 0.000067
epsilon_neg -0.067770 0.043112 0.028421 0.014457
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.067758 0.025946 0.012439 0.004388
Cdl_neg 0.000130 0.000085 0.000001 0.000000
Cdl_pos -0.000118 0.000163 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000880 0.030275 0.008906 0.003066
D 0.010589 0.037119 0.021268 0.011243
Ds_neg 0.074477 0.209693 0.475247 0.175950
Ds_pos 0.176592 0.145570 0.136495 0.072737
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.089178 0.099351 0.163435 0.071056
dUdcp_neg_mag 0.486708 0.196427 0.340384 0.106611
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.030599 0.031387 0.016629 0.007655
i0_pos 0.042064 0.041461 0.018294 0.004883
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.007087 0.058114 0.059570 0.034009
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.049563 0.029797 0.008474 0.003944
sigma_neg 0.009470 0.008629 0.000839 0.000346
sigma_pos -0.005459 0.027807 0.011809 0.004020

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.020566 0.127095
a_neg l_neg 0.002460 0.143579
a_neg l_sep -0.036732 0.126892
a_neg l_pos -0.042864 0.125565
a_neg Rp_neg -0.018448 0.143511
a_neg Rp_pos -0.027952 0.126356
a_neg epsilon_f_neg -0.036057 0.126815
a_neg epsilon_f_pos -0.036936 0.126905
a_neg epsilon_neg -0.062444 0.123521
a_neg epsilon_sep -0.036193 0.126824
a_neg epsilon_pos -0.033226 0.125355
a_neg Cdl_neg -0.036064 0.126874
a_neg Cdl_pos -0.036184 0.126824
a_neg cs_max_neg -0.036193 0.126824
a_neg cs_max_pos -0.036193 0.126824
a_neg c0 -0.036727 0.127196
a_neg D -0.027960 0.126962
a_neg Ds_neg -0.038491 0.133896
a_neg Ds_pos -0.022523 0.126394
a_neg d2Udcp2_pos_sgn -0.036193 0.126824
a_neg d2Udcp2_neg_sgn -0.036193 0.126824
a_neg d3Udcp3_pos_sgn -0.036193 0.126824
a_neg d3Udcp3_neg_sgn -0.036193 0.126824
a_neg dUdcp_pos_mag -0.034804 0.127755
a_neg dUdcp_neg_mag -0.094489 0.138860
a_neg d2Udcp2_pos_mag -0.036193 0.126824
a_neg d2Udcp2_neg_mag -0.036193 0.126824
a_neg d3Udcp3_pos_mag -0.036193 0.126824
a_neg d3Udcp3_neg_mag -0.036193 0.126824
a_neg i0_neg -0.037799 0.126745
a_neg i0_pos -0.052251 0.131366
a_neg SOC_neg -0.036193 0.126824
a_neg SOC_pos -0.036193 0.126824
a_neg tP -0.028618 0.127094
a_neg aa_neg -0.036193 0.126824
a_neg aa_pos -0.036193 0.126824
a_neg kappa_0 -0.035872 0.127791
a_neg sigma_neg -0.037254 0.126809
a_neg sigma_pos -0.028429 0.126479
a_pos l_neg -0.062859 0.060180
a_pos l_sep -0.063228 0.059938
a_pos l_pos -0.063609 0.058847
a_pos Rp_neg -0.054952 0.059031
a_pos Rp_pos -0.071369 0.061276
a_pos epsilon_f_neg -0.063595 0.059991
a_pos epsilon_f_pos -0.063905 0.059970
a_pos epsilon_neg -0.059704 0.057126
a_pos epsilon_sep -0.063641 0.059989
a_pos epsilon_pos -0.062075 0.059441
a_pos Cdl_neg -0.063634 0.059990
a_pos Cdl_pos -0.063633 0.059986
a_pos cs_max_neg -0.063641 0.059989
a_pos cs_max_pos -0.063641 0.059989
a_pos c0 -0.062026 0.059787
a_pos D -0.065274 0.060538
a_pos Ds_neg -0.026115 0.069543
a_pos Ds_pos -0.092631 0.069090
a_pos d2Udcp2_pos_sgn -0.063641 0.059989
a_pos d2Udcp2_neg_sgn -0.063641 0.059989
a_pos d3Udcp3_pos_sgn -0.063641 0.059989
a_pos d3Udcp3_neg_sgn -0.063641 0.059989
a_pos dUdcp_pos_mag -0.059353 0.061471
a_pos dUdcp_neg_mag -0.060305 0.060812
a_pos d2Udcp2_pos_mag -0.063641 0.059989
a_pos d2Udcp2_neg_mag -0.063641 0.059989
a_pos d3Udcp3_pos_mag -0.063641 0.059989
a_pos d3Udcp3_neg_mag -0.063641 0.059989
a_pos i0_neg -0.062290 0.059745
a_pos i0_pos -0.067725 0.060462
a_pos SOC_neg -0.063641 0.059989
a_pos SOC_pos -0.063641 0.059989
a_pos tP -0.057447 0.060872
a_pos aa_neg -0.063641 0.059989
a_pos aa_pos -0.063641 0.059989
a_pos kappa_0 -0.071290 0.060623
a_pos sigma_neg -0.063585 0.059992
a_pos sigma_pos -0.063317 0.059638
l_neg l_sep 0.026385 0.072197
l_neg l_pos 0.021728 0.069129
l_neg Rp_neg 0.005041 0.060826
l_neg Rp_pos 0.025023 0.071273
l_neg epsilon_f_neg 0.024894 0.071196
l_neg epsilon_f_pos 0.024402 0.070868
l_neg epsilon_neg 0.017510 0.066088
l_neg epsilon_sep 0.024893 0.071194
l_neg epsilon_pos 0.026849 0.072353
l_neg Cdl_neg 0.024918 0.071210
l_neg Cdl_pos 0.024878 0.071195
l_neg cs_max_neg 0.024893 0.071194
l_neg cs_max_pos 0.024893 0.071194
l_neg c0 0.022824 0.071040
l_neg D 0.018969 0.066962
l_neg Ds_neg 0.276742 0.299249
l_neg Ds_pos 0.026990 0.071660
l_neg d2Udcp2_pos_sgn 0.024893 0.071194
l_neg d2Udcp2_neg_sgn 0.024893 0.071194
l_neg d3Udcp3_pos_sgn 0.024893 0.071194
l_neg d3Udcp3_neg_sgn 0.024893 0.071194
l_neg dUdcp_pos_mag 0.038309 0.075191
l_neg dUdcp_neg_mag 0.076774 0.077927
l_neg d2Udcp2_pos_mag 0.024893 0.071194
l_neg d2Udcp2_neg_mag 0.024893 0.071194
l_neg d3Udcp3_pos_mag 0.024893 0.071194
l_neg d3Udcp3_neg_mag 0.024893 0.071194
l_neg i0_neg 0.040433 0.081957
l_neg i0_pos 0.020781 0.067684
l_neg SOC_neg 0.024893 0.071194
l_neg SOC_pos 0.024893 0.071194
l_neg tP 0.027242 0.072663
l_neg aa_neg 0.024893 0.071194
l_neg aa_pos 0.024893 0.071194
l_neg kappa_0 0.041078 0.081429
l_neg sigma_neg 0.024950 0.071183
l_neg sigma_pos 0.025501 0.073189
l_sep l_pos 0.003814 0.005474
l_sep Rp_neg 0.004765 0.005820
l_sep Rp_pos 0.004591 0.006066
l_sep epsilon_f_neg 0.004673 0.005991
l_sep epsilon_f_pos 0.004656 0.005985
l_sep epsilon_neg 0.003598 0.005192
l_sep epsilon_sep 0.004679 0.005990
l_sep epsilon_pos 0.004386 0.005806
l_sep Cdl_neg 0.004678 0.005990
l_sep Cdl_pos 0.004677 0.005989
l_sep cs_max_neg 0.004679 0.005990
l_sep cs_max_pos 0.004679 0.005990
l_sep c0 0.003898 0.005909
l_sep D 0.005944 0.006205
l_sep Ds_neg 0.000680 0.005177
l_sep Ds_pos 0.004029 0.005386
l_sep d2Udcp2_pos_sgn 0.004679 0.005990
l_sep d2Udcp2_neg_sgn 0.004679 0.005990
l_sep d3Udcp3_pos_sgn 0.004679 0.005990
l_sep d3Udcp3_neg_sgn 0.004679 0.005990
l_sep dUdcp_pos_mag 0.003753 0.006489
l_sep dUdcp_neg_mag 0.004540 0.006520
l_sep d2Udcp2_pos_mag 0.004679 0.005990
l_sep d2Udcp2_neg_mag 0.004679 0.005990
l_sep d3Udcp3_pos_mag 0.004679 0.005990
l_sep d3Udcp3_neg_mag 0.004679 0.005990
l_sep i0_neg 0.004871 0.005981
l_sep i0_pos 0.004217 0.006168
l_sep SOC_neg 0.004679 0.005990
l_sep SOC_pos 0.004679 0.005990
l_sep tP 0.005802 0.006214
l_sep aa_neg 0.004679 0.005990
l_sep aa_pos 0.004679 0.005990
l_sep kappa_0 0.004577 0.005952
l_sep sigma_neg 0.004662 0.006022
l_sep sigma_pos 0.004136 0.005853
l_pos Rp_neg 0.119173 0.075716
l_pos Rp_pos 0.091611 0.078773
l_pos epsilon_f_neg 0.104030 0.075544
l_pos epsilon_f_pos 0.103839 0.075539
l_pos epsilon_neg 0.091020 0.068381
l_pos epsilon_sep 0.103921 0.075570
l_pos epsilon_pos 0.103404 0.073212
l_pos Cdl_neg 0.103932 0.075570
l_pos Cdl_pos 0.103921 0.075560
l_pos cs_max_neg 0.103921 0.075570
l_pos cs_max_pos 0.103921 0.075570
l_pos c0 0.096212 0.074033
l_pos D 0.107789 0.076524
l_pos Ds_neg 0.099608 0.066479
l_pos Ds_pos 0.018438 0.098375
l_pos d2Udcp2_pos_sgn 0.103921 0.075570
l_pos d2Udcp2_neg_sgn 0.103921 0.075570
l_pos d3Udcp3_pos_sgn 0.103921 0.075570
l_pos d3Udcp3_neg_sgn 0.103921 0.075570
l_pos dUdcp_pos_mag 0.101761 0.078814
l_pos dUdcp_neg_mag 0.090151 0.077206
l_pos d2Udcp2_pos_mag 0.103921 0.075570
l_pos d2Udcp2_neg_mag 0.103921 0.075570
