Parameter S1 S1_conf ST ST_conf
a_neg 0.063777 0.059009 0.037417 0.009855
a_pos 0.062297 0.054142 0.036515 0.027097
l_neg 0.039914 0.031755 0.103991 0.086252
l_sep 0.000067 0.001958 0.000154 0.000070
l_pos -0.006342 0.022696 0.007438 0.002377
Rp_neg -0.034299 0.041663 0.072414 0.035421
Rp_pos -0.000360 0.023592 0.008336 0.006785
epsilon_f_neg -0.000420 0.000881 0.000004 0.000003
epsilon_f_pos 0.001303 0.003233 0.000216 0.000088
epsilon_neg -0.046444 0.033018 0.029678 0.015925
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.050167 0.026862 0.014078 0.005863
Cdl_neg 0.000116 0.000091 0.000001 0.000001
Cdl_pos -0.000181 0.000303 0.000001 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.007344 0.033576 0.011737 0.004287
D 0.006284 0.035160 0.016843 0.008748
Ds_neg 0.066678 0.153490 0.448176 0.141112
Ds_pos 0.133210 0.125383 0.139915 0.067812
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.108708 0.093515 0.149709 0.070076
dUdcp_neg_mag 0.472887 0.175535 0.350295 0.127931
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.016028 0.021571 0.013867 0.005843
i0_pos 0.026823 0.036504 0.018320 0.005929
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.006176 0.066575 0.069619 0.039744
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.049567 0.035628 0.009943 0.005139
sigma_neg 0.010958 0.008437 0.000748 0.000300
sigma_pos -0.013847 0.028351 0.013652 0.005590

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.033827 0.092112
a_neg l_neg -0.019530 0.099136
a_neg l_sep -0.043551 0.092362
a_neg l_pos -0.044866 0.090981
a_neg Rp_neg -0.052765 0.098656
a_neg Rp_pos -0.038821 0.091971
a_neg epsilon_f_neg -0.042963 0.092298
a_neg epsilon_f_pos -0.043911 0.092584
a_neg epsilon_neg -0.061506 0.091631
a_neg epsilon_sep -0.043083 0.092308
a_neg epsilon_pos -0.039831 0.091826
a_neg Cdl_neg -0.043007 0.092335
a_neg Cdl_pos -0.043070 0.092313
a_neg cs_max_neg -0.043083 0.092308
a_neg cs_max_pos -0.043083 0.092308
a_neg c0 -0.043286 0.092771
a_neg D -0.037756 0.092078
a_neg Ds_neg -0.058706 0.094864
a_neg Ds_pos -0.018753 0.093319
a_neg d2Udcp2_pos_sgn -0.043083 0.092308
a_neg d2Udcp2_neg_sgn -0.043083 0.092308
a_neg d3Udcp3_pos_sgn -0.043083 0.092308
a_neg d3Udcp3_neg_sgn -0.043083 0.092308
a_neg dUdcp_pos_mag -0.044380 0.093210
a_neg dUdcp_neg_mag -0.094038 0.106796
a_neg d2Udcp2_pos_mag -0.043083 0.092308
a_neg d2Udcp2_neg_mag -0.043083 0.092308
a_neg d3Udcp3_pos_mag -0.043083 0.092308
a_neg d3Udcp3_neg_mag -0.043083 0.092308
a_neg i0_neg -0.045481 0.092611
a_neg i0_pos -0.055018 0.096898
a_neg SOC_neg -0.043083 0.092308
a_neg SOC_pos -0.043083 0.092308
a_neg tP -0.038607 0.091467
a_neg aa_neg -0.043083 0.092308
a_neg aa_pos -0.043083 0.092308
a_neg kappa_0 -0.039686 0.093657
a_neg sigma_neg -0.044071 0.092273
a_neg sigma_pos -0.036290 0.090972
a_pos l_neg -0.082167 0.062609
a_pos l_sep -0.081969 0.062316
a_pos l_pos -0.081767 0.061493
a_pos Rp_neg -0.077012 0.061923
a_pos Rp_pos -0.086205 0.063008
a_pos epsilon_f_neg -0.082063 0.062474
a_pos epsilon_f_pos -0.082298 0.062459
a_pos epsilon_neg -0.076499 0.058486
a_pos epsilon_sep -0.082110 0.062474
a_pos epsilon_pos -0.081379 0.062659
a_pos Cdl_neg -0.082103 0.062474
a_pos Cdl_pos -0.082099 0.062470
a_pos cs_max_neg -0.082110 0.062474
