Parameter S1 S1_conf ST ST_conf
a_neg 0.065547 0.059663 0.043154 0.014279
a_pos 0.055169 0.039873 0.022432 0.015797
l_neg 0.029796 0.022969 0.079956 0.067723
l_sep -0.000933 0.001371 0.000216 0.000139
l_pos -0.005138 0.020500 0.007438 0.003030
Rp_neg -0.017306 0.028704 0.051820 0.029220
Rp_pos -0.008476 0.013446 0.004528 0.003831
epsilon_f_neg -0.000453 0.000824 0.000004 0.000002
epsilon_f_pos 0.001999 0.002933 0.000226 0.000102
epsilon_neg -0.033881 0.027958 0.030092 0.018088
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.043299 0.032253 0.018271 0.008493
Cdl_neg 0.000099 0.000099 0.000001 0.000001
Cdl_pos -0.000448 0.000620 0.000003 0.000001
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.013481 0.037847 0.014833 0.006504
D 0.008029 0.031553 0.011251 0.005094
Ds_neg 0.058853 0.108369 0.426880 0.135043
Ds_pos 0.090575 0.094173 0.130693 0.056057
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.122682 0.082946 0.126368 0.057361
dUdcp_neg_mag 0.448336 0.158840 0.420173 0.168679
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.006198 0.016150 0.011420 0.004311
i0_pos 0.020428 0.034813 0.021049 0.008234
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000618 0.069638 0.067154 0.035502
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.046246 0.040090 0.010454 0.006414
sigma_neg 0.013041 0.008241 0.000750 0.000301
sigma_pos -0.016982 0.026302 0.014321 0.006318

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.075087 0.093248
a_neg l_neg -0.062081 0.093924
a_neg l_sep -0.073753 0.091255
a_neg l_pos -0.072557 0.088957
a_neg Rp_neg -0.091231 0.093969
a_neg Rp_pos -0.071792 0.091281
a_neg epsilon_f_neg -0.073832 0.091250
a_neg epsilon_f_pos -0.074612 0.091764
a_neg epsilon_neg -0.081137 0.090897
a_neg epsilon_sep -0.073920 0.091256
a_neg epsilon_pos -0.074288 0.091858
a_neg Cdl_neg -0.073888 0.091278
a_neg Cdl_pos -0.073918 0.091280
a_neg cs_max_neg -0.073920 0.091256
a_neg cs_max_pos -0.073920 0.091256
a_neg c0 -0.073932 0.091198
a_neg D -0.071721 0.091179
a_neg Ds_neg -0.087564 0.091081
a_neg Ds_pos -0.048203 0.094954
a_neg d2Udcp2_pos_sgn -0.073920 0.091256
a_neg d2Udcp2_neg_sgn -0.073920 0.091256
a_neg d3Udcp3_pos_sgn -0.073920 0.091256
a_neg d3Udcp3_neg_sgn -0.073920 0.091256
a_neg dUdcp_pos_mag -0.075041 0.091676
a_neg dUdcp_neg_mag -0.118291 0.104674
a_neg d2Udcp2_pos_mag -0.073920 0.091256
a_neg d2Udcp2_neg_mag -0.073920 0.091256
a_neg d3Udcp3_pos_mag -0.073920 0.091256
a_neg d3Udcp3_neg_mag -0.073920 0.091256
a_neg i0_neg -0.077253 0.092062
a_neg i0_pos -0.081759 0.097308
a_neg SOC_neg -0.073920 0.091256
a_neg SOC_pos -0.073920 0.091256
a_neg tP -0.072131 0.090937
a_neg aa_neg -0.073920 0.091256
a_neg aa_pos -0.073920 0.091256
a_neg kappa_0 -0.066698 0.094289
a_neg sigma_neg -0.074716 0.091165
a_neg sigma_pos -0.066847 0.087648
a_pos l_neg -0.074718 0.051829
a_pos l_sep -0.074637 0.051458
a_pos l_pos -0.074180 0.050686
a_pos Rp_neg -0.070793 0.051078
a_pos Rp_pos -0.075730 0.050943
a_pos epsilon_f_neg -0.074542 0.051642
a_pos epsilon_f_pos -0.074686 0.051600
a_pos epsilon_neg -0.067531 0.046563
a_pos epsilon_sep -0.074591 0.051639
a_pos epsilon_pos -0.074789 0.052979
a_pos Cdl_neg -0.074586 0.051639
a_pos Cdl_pos -0.074564 0.051628
a_pos cs_max_neg -0.074591 0.051639
