Parameter S1 S1_conf ST ST_conf
a_neg 0.057779 0.058823 0.048741 0.015769
a_pos 0.038537 0.025346 0.011711 0.006063
l_neg 0.018412 0.012443 0.035611 0.029865
l_sep -0.001615 0.001433 0.000144 0.000089
l_pos -0.004446 0.018634 0.007494 0.003301
Rp_neg -0.004313 0.018827 0.045251 0.022291
Rp_pos -0.011423 0.009969 0.002502 0.001775
epsilon_f_neg -0.000476 0.000821 0.000005 0.000002
epsilon_f_pos 0.002054 0.002627 0.000205 0.000086
epsilon_neg -0.024453 0.019641 0.028687 0.016675
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.046247 0.038256 0.023799 0.012570
Cdl_neg 0.000070 0.000139 0.000001 0.000001
Cdl_pos -0.001073 0.001289 0.000009 0.000004
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.020735 0.047746 0.018953 0.010090
D 0.011711 0.027917 0.006755 0.002980
Ds_neg 0.040397 0.069712 0.372244 0.131902
Ds_pos 0.057223 0.060806 0.127689 0.059813
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.132550 0.089476 0.105179 0.045501
dUdcp_neg_mag 0.401650 0.128648 0.500105 0.214008
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002686 0.013170 0.009799 0.003133
i0_pos 0.020090 0.035403 0.023394 0.010505
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.008097 0.065008 0.055374 0.032360
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.038973 0.041893 0.010266 0.006941
sigma_neg 0.014924 0.009223 0.000901 0.000447
sigma_pos -0.012427 0.022313 0.012203 0.004977

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.086905 0.091858
a_neg l_neg -0.079070 0.088602
a_neg l_sep -0.082142 0.088000
a_neg l_pos -0.079194 0.085331
a_neg Rp_neg -0.096706 0.090033
a_neg Rp_pos -0.080849 0.087661
a_neg epsilon_f_neg -0.082773 0.088047
a_neg epsilon_f_pos -0.083261 0.088654
a_neg epsilon_neg -0.082186 0.087305
a_neg epsilon_sep -0.082799 0.088053
a_neg epsilon_pos -0.087628 0.089480
a_neg Cdl_neg -0.082794 0.088063
a_neg Cdl_pos -0.082844 0.088135
a_neg cs_max_neg -0.082799 0.088053
a_neg cs_max_pos -0.082799 0.088053
a_neg c0 -0.083662 0.087490
a_neg D -0.083217 0.088101
a_neg Ds_neg -0.088062 0.088400
a_neg Ds_pos -0.064064 0.091447
a_neg d2Udcp2_pos_sgn -0.082799 0.088053
a_neg d2Udcp2_neg_sgn -0.082799 0.088053
a_neg d3Udcp3_pos_sgn -0.082799 0.088053
a_neg d3Udcp3_neg_sgn -0.082799 0.088053
a_neg dUdcp_pos_mag -0.084775 0.089563
a_neg dUdcp_neg_mag -0.119922 0.099821
a_neg d2Udcp2_pos_mag -0.082799 0.088053
a_neg d2Udcp2_neg_mag -0.082799 0.088053
a_neg d3Udcp3_pos_mag -0.082799 0.088053
a_neg d3Udcp3_neg_mag -0.082799 0.088053
a_neg i0_neg -0.086670 0.089759
a_neg i0_pos -0.089886 0.095757
a_neg SOC_neg -0.082799 0.088053
a_neg SOC_pos -0.082799 0.088053
a_neg tP -0.083843 0.087465
a_neg aa_neg -0.082799 0.088053
a_neg aa_pos -0.082799 0.088053
a_neg kappa_0 -0.070755 0.093023
a_neg sigma_neg -0.083067 0.088007
a_neg sigma_pos -0.075263 0.083379
a_pos l_neg -0.054943 0.036382
a_pos l_sep -0.055106 0.035996
a_pos l_pos -0.054560 0.035127
a_pos Rp_neg -0.051498 0.036047
a_pos Rp_pos -0.054254 0.034503
a_pos epsilon_f_neg -0.054882 0.036141
a_pos epsilon_f_pos -0.054976 0.036093
a_pos epsilon_neg -0.048246 0.031795
a_pos epsilon_sep -0.054936 0.036140
a_pos epsilon_pos -0.054553 0.037698
a_pos Cdl_neg -0.054936 0.036139
a_pos Cdl_pos -0.054861 0.036109
a_pos cs_max_neg -0.054936 0.036140
