Parameter S1 S1_conf ST ST_conf
a_neg 0.043371 0.044869 0.053598 0.016731
a_pos 0.024481 0.014054 0.010617 0.004644
l_neg 0.010366 0.007133 0.006957 0.006040
l_sep -0.001344 0.001229 0.000078 0.000034
l_pos -0.001138 0.013259 0.007020 0.002665
Rp_neg 0.003415 0.014509 0.068810 0.033652
Rp_pos -0.008684 0.005756 0.001134 0.000775
epsilon_f_neg -0.000484 0.000800 0.000006 0.000004
epsilon_f_pos 0.001822 0.002039 0.000171 0.000078
epsilon_neg -0.015508 0.011205 0.026755 0.013878
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.051354 0.044117 0.031499 0.019969
Cdl_neg 0.000024 0.000276 0.000005 0.000002
Cdl_pos -0.002398 0.003003 0.000038 0.000017
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.031014 0.051846 0.025603 0.016443
D 0.012642 0.018990 0.003976 0.001884
Ds_neg 0.018424 0.039665 0.303258 0.122612
Ds_pos 0.040200 0.037560 0.134090 0.064183
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.138219 0.089279 0.093098 0.034625
dUdcp_neg_mag 0.349749 0.124917 0.512466 0.206806
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.004414 0.012830 0.013514 0.004350
i0_pos 0.018882 0.030334 0.023427 0.009537
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.020499 0.052244 0.042657 0.022533
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.028168 0.036599 0.009289 0.006440
sigma_neg 0.016628 0.010076 0.001355 0.000900
sigma_pos -0.004696 0.015166 0.009380 0.004253

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.072053 0.070528
a_neg l_neg -0.067856 0.068211
a_neg l_sep -0.068132 0.068021
a_neg l_pos -0.064459 0.065841
a_neg Rp_neg -0.078088 0.069720
a_neg Rp_pos -0.066823 0.067730
a_neg epsilon_f_neg -0.068978 0.068053
a_neg epsilon_f_pos -0.069161 0.068584
a_neg epsilon_neg -0.066708 0.067777
a_neg epsilon_sep -0.068925 0.068066
a_neg epsilon_pos -0.076402 0.069095
a_neg Cdl_neg -0.068919 0.068059
a_neg Cdl_pos -0.069169 0.068336
a_neg cs_max_neg -0.068925 0.068066
a_neg cs_max_pos -0.068925 0.068066
a_neg c0 -0.071941 0.066738
a_neg D -0.071161 0.067922
a_neg Ds_neg -0.069607 0.068802
a_neg Ds_pos -0.057618 0.071151
a_neg d2Udcp2_pos_sgn -0.068925 0.068066
a_neg d2Udcp2_neg_sgn -0.068925 0.068066
a_neg d3Udcp3_pos_sgn -0.068925 0.068066
a_neg d3Udcp3_neg_sgn -0.068925 0.068066
a_neg dUdcp_pos_mag -0.074827 0.069115
a_neg dUdcp_neg_mag -0.100788 0.080766
a_neg d2Udcp2_pos_mag -0.068925 0.068066
a_neg d2Udcp2_neg_mag -0.068925 0.068066
a_neg d3Udcp3_pos_mag -0.068925 0.068066
a_neg d3Udcp3_neg_mag -0.068925 0.068066
a_neg i0_neg -0.073821 0.070895
a_neg i0_pos -0.075891 0.074968
a_neg SOC_neg -0.068925 0.068066
a_neg SOC_pos -0.068925 0.068066
a_neg tP -0.072401 0.066896
a_neg aa_neg -0.068925 0.068066
a_neg aa_pos -0.068925 0.068066
a_neg kappa_0 -0.052408 0.074534
a_neg sigma_neg -0.068369 0.068138
a_neg sigma_pos -0.062319 0.064454
a_pos l_neg -0.034354 0.021068
a_pos l_sep -0.034289 0.020754
a_pos l_pos -0.034115 0.020369
a_pos Rp_neg -0.032216 0.020783
a_pos Rp_pos -0.033499 0.019905
a_pos epsilon_f_neg -0.034058 0.020819
a_pos epsilon_f_pos -0.034179 0.020819
a_pos epsilon_neg -0.029488 0.018904
a_pos epsilon_sep -0.034123 0.020826
a_pos epsilon_pos -0.032151 0.021208
a_pos Cdl_neg -0.034142 0.020820
a_pos Cdl_pos -0.033934 0.020785
a_pos cs_max_neg -0.034123 0.020826
