Parameter S1 S1_conf ST ST_conf
a_neg 0.024623 0.034096 0.063807 0.020811
a_pos 0.015490 0.010751 0.014194 0.008957
l_neg 0.008726 0.008272 0.001863 0.001192
l_sep -0.000322 0.000929 0.000079 0.000041
l_pos 0.003382 0.011296 0.007040 0.002092
Rp_neg 0.005891 0.011763 0.121918 0.063574
Rp_pos -0.005838 0.005353 0.000998 0.000613
epsilon_f_neg -0.000519 0.000930 0.000010 0.000007
epsilon_f_pos 0.001611 0.001878 0.000141 0.000070
epsilon_neg -0.010856 0.008344 0.027235 0.010811
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.056910 0.050282 0.042627 0.029842
Cdl_neg -0.000063 0.000673 0.000028 0.000012
Cdl_pos -0.005739 0.007798 0.000213 0.000096
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.041157 0.063271 0.036070 0.025593
D 0.010069 0.013456 0.002316 0.001345
Ds_neg 0.004965 0.021590 0.263634 0.120961
Ds_pos 0.034870 0.030803 0.138258 0.079696
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.159142 0.120224 0.100571 0.046846
dUdcp_neg_mag 0.307276 0.124447 0.482385 0.213430
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.007243 0.014122 0.030218 0.014435
i0_pos 0.014421 0.026063 0.022444 0.010393
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.033224 0.041250 0.036791 0.020425
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.019676 0.032014 0.007494 0.004742
sigma_neg 0.019219 0.013089 0.002417 0.001959
sigma_pos 0.001644 0.011548 0.007228 0.003774

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.044855 0.057051
a_neg l_neg -0.041204 0.056274
a_neg l_sep -0.041756 0.056147
a_neg l_pos -0.038056 0.054545
a_neg Rp_neg -0.047990 0.057420
a_neg Rp_pos -0.040189 0.056056
a_neg epsilon_f_neg -0.042491 0.055982
a_neg epsilon_f_pos -0.042352 0.056421
a_neg epsilon_neg -0.041082 0.055988
a_neg epsilon_sep -0.042364 0.056010
a_neg epsilon_pos -0.051309 0.055508
a_neg Cdl_neg -0.042321 0.055980
a_neg Cdl_pos -0.043316 0.056801
a_neg cs_max_neg -0.042364 0.056010
a_neg cs_max_pos -0.042364 0.056010
a_neg c0 -0.049282 0.053202
a_neg D -0.045470 0.055382
a_neg Ds_neg -0.041484 0.056443
a_neg Ds_pos -0.033257 0.060250
a_neg d2Udcp2_pos_sgn -0.042364 0.056010
a_neg d2Udcp2_neg_sgn -0.042364 0.056010
a_neg d3Udcp3_pos_sgn -0.042364 0.056010
a_neg d3Udcp3_neg_sgn -0.042364 0.056010
a_neg dUdcp_pos_mag -0.055455 0.056669
a_neg dUdcp_neg_mag -0.075214 0.070004
a_neg d2Udcp2_pos_mag -0.042364 0.056010
a_neg d2Udcp2_neg_mag -0.042364 0.056010
a_neg d3Udcp3_pos_mag -0.042364 0.056010
a_neg d3Udcp3_neg_mag -0.042364 0.056010
a_neg i0_neg -0.048732 0.059788
a_neg i0_pos -0.047423 0.060822
a_neg SOC_neg -0.042364 0.056010
a_neg SOC_pos -0.042364 0.056010
a_neg tP -0.047786 0.052912
a_neg aa_neg -0.042364 0.056010
a_neg aa_pos -0.042364 0.056010
a_neg kappa_0 -0.022582 0.067409
a_neg sigma_neg -0.040964 0.056282
a_neg sigma_pos -0.037257 0.053821
a_pos l_neg -0.019891 0.017035
a_pos l_sep -0.019470 0.016623
a_pos l_pos -0.019708 0.016687
a_pos Rp_neg -0.019692 0.016848
a_pos Rp_pos -0.019575 0.016388
a_pos epsilon_f_neg -0.019303 0.016634
a_pos epsilon_f_pos -0.019501 0.016704
a_pos epsilon_neg -0.016299 0.016254
a_pos epsilon_sep -0.019394 0.016656
a_pos epsilon_pos -0.015950 0.015614
a_pos Cdl_neg -0.019499 0.016638
a_pos Cdl_pos -0.018874 0.016759
a_pos cs_max_neg -0.019394 0.016656
a_pos cs_max_pos -0.019394 0.016656
a_pos c0 -0.012900 0.017120
a_pos D -0.017611 0.016869
a_pos Ds_neg -0.015265 0.017634
a_pos Ds_pos -0.022207 0.017568
a_pos d2Udcp2_pos_sgn -0.019394 0.016656
a_pos d2Udcp2_neg_sgn -0.019394 0.016656
a_pos d3Udcp3_pos_sgn -0.019394 0.016656
a_pos d3Udcp3_neg_sgn -0.019394 0.016656
a_pos dUdcp_pos_mag -0.011545 0.021104
a_pos dUdcp_neg_mag -0.005817 0.024159
a_pos d2Udcp2_pos_mag -0.019394 0.016656
a_pos d2Udcp2_neg_mag -0.019394 0.016656
a_pos d3Udcp3_pos_mag -0.019394 0.016656
a_pos d3Udcp3_neg_mag -0.019394 0.016656
a_pos i0_neg -0.018501 0.016445
a_pos i0_pos -0.020174 0.018299
a_pos SOC_neg -0.019394 0.016656
a_pos SOC_pos -0.019394 0.016656
a_pos tP -0.018143 0.015570
a_pos aa_neg -0.019394 0.016656
a_pos aa_pos -0.019394 0.016656
a_pos kappa_0 -0.025588 0.018314
a_pos sigma_neg -0.019779 0.017259
a_pos sigma_pos -0.018407 0.016715
l_neg l_sep -0.008654 0.008799
l_neg l_pos -0.008737 0.008824
l_neg Rp_neg -0.008388 0.008820
l_neg Rp_pos -0.008676 0.008805
l_neg epsilon_f_neg -0.008654 0.008797
l_neg epsilon_f_pos -0.008665 0.008809
l_neg epsilon_neg -0.008566 0.008792
l_neg epsilon_sep -0.008658 0.008801
l_neg epsilon_pos -0.008278 0.008553
l_neg Cdl_neg -0.008619 0.008800
l_neg Cdl_pos -0.008637 0.008802
l_neg cs_max_neg -0.008658 0.008801
l_neg cs_max_pos -0.008658 0.008801
l_neg c0 -0.008746 0.008828
l_neg D -0.008670 0.008802
l_neg Ds_neg -0.005771 0.009386
l_neg Ds_pos -0.008713 0.008813
l_neg d2Udcp2_pos_sgn -0.008658 0.008801
l_neg d2Udcp2_neg_sgn -0.008658 0.008801
l_neg d3Udcp3_pos_sgn -0.008658 0.008801
l_neg d3Udcp3_neg_sgn -0.008658 0.008801
l_neg dUdcp_pos_mag -0.008432 0.008877
l_neg dUdcp_neg_mag -0.006745 0.008972
l_neg d2Udcp2_pos_mag -0.008658 0.008801
l_neg d2Udcp2_neg_mag -0.008658 0.008801
l_neg d3Udcp3_pos_mag -0.008658 0.008801
l_neg d3Udcp3_neg_mag -0.008658 0.008801
l_neg i0_neg -0.008483 0.008801
l_neg i0_pos -0.008563 0.008825
l_neg SOC_neg -0.008658 0.008801
l_neg SOC_pos -0.008658 0.008801
l_neg tP -0.008613 0.008765
l_neg aa_neg -0.008658 0.008801
l_neg aa_pos -0.008658 0.008801
l_neg kappa_0 -0.008587 0.008831
l_neg sigma_neg -0.008712 0.008867
l_neg sigma_pos -0.008810 0.008818
l_sep l_pos 0.001188 0.001803
l_sep Rp_neg 0.001082 0.001810
l_sep Rp_pos 0.001207 0.001732
l_sep epsilon_f_neg 0.001026 0.001800
l_sep epsilon_f_pos 0.001042 0.001812
l_sep epsilon_neg 0.000981 0.001780
l_sep epsilon_sep 0.001047 0.001800
l_sep epsilon_pos 0.000561 0.001410
l_sep Cdl_neg 0.001045 0.001801
l_sep Cdl_pos 0.001054 0.001799
l_sep cs_max_neg 0.001047 0.001800
l_sep cs_max_pos 0.001047 0.001800
l_sep c0 -0.001329 0.003347
l_sep D 0.000838 0.001967
l_sep Ds_neg 0.001343 0.001805
l_sep Ds_pos 0.001464 0.001753
l_sep d2Udcp2_pos_sgn 0.001047 0.001800
l_sep d2Udcp2_neg_sgn 0.001047 0.001800
l_sep d3Udcp3_pos_sgn 0.001047 0.001800
l_sep d3Udcp3_neg_sgn 0.001047 0.001800
l_sep dUdcp_pos_mag -0.003360 0.005266
l_sep dUdcp_neg_mag 0.002583 0.002655
l_sep d2Udcp2_pos_mag 0.001047 0.001800
