Parameter S1 S1_conf ST ST_conf
a_neg 0.005269 0.024687 0.089909 0.038014
a_pos 0.011747 0.009472 0.020937 0.014394
l_neg 0.010702 0.010387 0.002159 0.001480
l_sep 0.000281 0.000865 0.000092 0.000042
l_pos 0.007616 0.010958 0.008140 0.002308
Rp_neg 0.005382 0.013527 0.180127 0.087264
Rp_pos -0.004661 0.007946 0.002870 0.002562
epsilon_f_neg -0.000598 0.001070 0.000018 0.000012
epsilon_f_pos 0.001645 0.001987 0.000137 0.000064
epsilon_neg -0.014658 0.010839 0.032478 0.011529
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.066443 0.052814 0.060950 0.039661
Cdl_neg -0.000339 0.001968 0.000215 0.000095
Cdl_pos -0.016178 0.021858 0.001538 0.000697
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.050266 0.077800 0.049167 0.036224
D 0.007451 0.009625 0.001326 0.000823
Ds_neg 0.001383 0.015552 0.283266 0.140027
Ds_pos 0.034391 0.033410 0.139858 0.080796
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.234360 0.207367 0.154257 0.092472
dUdcp_neg_mag 0.282129 0.136843 0.480658 0.231856
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.007407 0.013462 0.057343 0.029835
i0_pos 0.004221 0.036117 0.025883 0.013586
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.042976 0.034247 0.041298 0.026089
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.014334 0.026829 0.005995 0.002719
sigma_neg 0.024320 0.016621 0.004679 0.003754
sigma_pos 0.006437 0.010071 0.006308 0.003285

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.018256 0.046084
a_neg l_neg -0.011819 0.047573
a_neg l_sep -0.013659 0.047334
a_neg l_pos -0.009554 0.046858
a_neg Rp_neg -0.018017 0.047744
a_neg Rp_pos -0.011162 0.047340
a_neg epsilon_f_neg -0.013847 0.047173
a_neg epsilon_f_pos -0.013381 0.047509
a_neg epsilon_neg -0.013091 0.047221
a_neg epsilon_sep -0.013665 0.047200
a_neg epsilon_pos -0.024366 0.044759
a_neg Cdl_neg -0.013449 0.047230
a_neg Cdl_pos -0.016611 0.048876
a_neg cs_max_neg -0.013665 0.047200
a_neg cs_max_pos -0.013665 0.047200
a_neg c0 -0.026822 0.043953
a_neg D -0.017274 0.045969
a_neg Ds_neg -0.013045 0.047169
a_neg Ds_pos -0.003680 0.052333
a_neg d2Udcp2_pos_sgn -0.013665 0.047200
a_neg d2Udcp2_neg_sgn -0.013665 0.047200
a_neg d3Udcp3_pos_sgn -0.013665 0.047200
a_neg d3Udcp3_neg_sgn -0.013665 0.047200
a_neg dUdcp_pos_mag -0.042781 0.058193
a_neg dUdcp_neg_mag -0.052814 0.060094
a_neg d2Udcp2_pos_mag -0.013665 0.047200
a_neg d2Udcp2_neg_mag -0.013665 0.047200
a_neg d3Udcp3_pos_mag -0.013665 0.047200
a_neg d3Udcp3_neg_mag -0.013665 0.047200
a_neg i0_neg -0.020572 0.050074
a_neg i0_pos -0.014713 0.051105
a_neg SOC_neg -0.013665 0.047200
a_neg SOC_pos -0.013665 0.047200
a_neg tP -0.022313 0.039600
a_neg aa_neg -0.013665 0.047200
a_neg aa_pos -0.013665 0.047200
a_neg kappa_0 0.008139 0.062795
a_neg sigma_neg -0.011412 0.047805
a_neg sigma_pos -0.009453 0.046407
a_pos l_neg -0.013400 0.014886
a_pos l_sep -0.012669 0.014326
a_pos l_pos -0.013105 0.014628
a_pos Rp_neg -0.013839 0.014542
a_pos Rp_pos -0.013595 0.014279
a_pos epsilon_f_neg -0.012598 0.014303
a_pos epsilon_f_pos -0.012931 0.014402
a_pos epsilon_neg -0.009351 0.014859
a_pos epsilon_sep -0.012757 0.014323
a_pos epsilon_pos -0.008089 0.012534
a_pos Cdl_neg -0.013237 0.014209
a_pos Cdl_pos -0.011164 0.014733
a_pos cs_max_neg -0.012757 0.014323
a_pos cs_max_pos -0.012757 0.014323
a_pos c0 -0.003117 0.016456
a_pos D -0.011083 0.014432
a_pos Ds_neg -0.012496 0.014620
a_pos Ds_pos -0.015484 0.015799
a_pos d2Udcp2_pos_sgn -0.012757 0.014323
a_pos d2Udcp2_neg_sgn -0.012757 0.014323
a_pos d3Udcp3_pos_sgn -0.012757 0.014323
a_pos d3Udcp3_neg_sgn -0.012757 0.014323
