Parameter S1 S1_conf ST ST_conf
a_neg -0.015842 0.053250 0.117984 0.060866
a_pos 0.003829 0.024512 0.022114 0.009762
l_neg 0.010643 0.014300 0.001769 0.001208
l_sep -0.000660 0.005900 0.001307 0.000730
l_pos 0.012718 0.021063 0.011210 0.003436
Rp_neg -0.007250 0.017344 0.024263 0.013476
Rp_pos 0.001666 0.007558 0.007877 0.007328
epsilon_f_neg 0.000027 0.001455 0.000032 0.000019
epsilon_f_pos 0.003226 0.005455 0.000290 0.000129
epsilon_neg -0.058492 0.050515 0.045731 0.015815
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.067484 0.050914 0.066937 0.031272
Cdl_neg 0.009495 0.040841 0.052832 0.020635
Cdl_pos -0.092879 0.125918 0.219123 0.103730
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.024274 0.029847 0.011859 0.009691
D 0.001949 0.002028 0.000094 0.000056
Ds_neg 0.082946 0.088667 0.283970 0.270932
Ds_pos 0.033516 0.048281 0.077682 0.055821
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.281523 0.276824 0.210859 0.144567
dUdcp_neg_mag 0.026817 0.033783 0.053673 0.028514
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.212307 0.097001 0.125100 0.053270
i0_pos 0.474288 0.358769 0.660845 0.153054
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.012881 0.010991 0.014565 0.009696
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.021715 0.017219 0.003524 0.001319
sigma_neg 0.025382 0.021894 0.005593 0.003545
sigma_pos 0.048441 0.037510 0.015736 0.005689

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.044305 0.068764
a_neg l_neg -0.026513 0.067437
a_neg l_sep -0.027898 0.066760
a_neg l_pos -0.021790 0.065744
a_neg Rp_neg -0.036838 0.063087
a_neg Rp_pos -0.028228 0.067188
a_neg epsilon_f_neg -0.028288 0.067138
a_neg epsilon_f_pos -0.029421 0.067642
a_neg epsilon_neg -0.015204 0.066279
a_neg epsilon_sep -0.028437 0.067107
a_neg epsilon_pos -0.025815 0.067708
a_neg Cdl_neg -0.011989 0.069212
a_neg Cdl_pos -0.034614 0.073555
a_neg cs_max_neg -0.028437 0.067107
a_neg cs_max_pos -0.028437 0.067107
a_neg c0 -0.031590 0.066354
a_neg D -0.028927 0.067040
a_neg Ds_neg -0.040141 0.065184
a_neg Ds_pos -0.021116 0.067078
a_neg d2Udcp2_pos_sgn -0.028437 0.067107
a_neg d2Udcp2_neg_sgn -0.028437 0.067107
a_neg d3Udcp3_pos_sgn -0.028437 0.067107
a_neg d3Udcp3_neg_sgn -0.028437 0.067107
a_neg dUdcp_pos_mag -0.038484 0.068251
a_neg dUdcp_neg_mag -0.039138 0.066209
a_neg d2Udcp2_pos_mag -0.028437 0.067107
a_neg d2Udcp2_neg_mag -0.028437 0.067107
a_neg d3Udcp3_pos_mag -0.028437 0.067107
a_neg d3Udcp3_neg_mag -0.028437 0.067107
a_neg i0_neg -0.035612 0.076409
a_neg i0_pos -0.033380 0.093120
a_neg SOC_neg -0.028437 0.067107
a_neg SOC_pos -0.028437 0.067107
a_neg tP -0.029257 0.066035
a_neg aa_neg -0.028437 0.067107
a_neg aa_pos -0.028437 0.067107
a_neg kappa_0 -0.027699 0.068066
a_neg sigma_neg -0.027683 0.067040
a_neg sigma_pos -0.035956 0.072053
a_pos l_neg 0.012867 0.035272
a_pos l_sep 0.010860 0.033232
a_pos l_pos 0.016569 0.037733
a_pos Rp_neg 0.014486 0.034713
a_pos Rp_pos 0.009815 0.033557
a_pos epsilon_f_neg 0.011504 0.033853
a_pos epsilon_f_pos 0.010834 0.032951
a_pos epsilon_neg 0.017520 0.042867
a_pos epsilon_sep 0.010843 0.033359
a_pos epsilon_pos 0.013748 0.038175
a_pos Cdl_neg 0.004952 0.027405
a_pos Cdl_pos 0.020279 0.034444
a_pos cs_max_neg 0.010843 0.033359
