Parameter S1 S1_conf ST ST_conf
a_neg -0.032062 0.100363 0.122578 0.033462
a_pos -0.052647 0.060238 0.029452 0.010373
l_neg -0.007475 0.011129 0.001603 0.000861
l_sep -0.004290 0.024005 0.004104 0.002514
l_pos 0.085551 0.077185 0.052280 0.013677
Rp_neg -0.003118 0.002435 0.000055 0.000050
Rp_pos 0.000440 0.001935 0.000031 0.000016
epsilon_f_neg -0.000761 0.001622 0.000063 0.000045
epsilon_f_pos -0.008097 0.009352 0.000718 0.000202
epsilon_neg 0.000902 0.083558 0.047280 0.010360
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.009034 0.078235 0.067194 0.020547
Cdl_neg 0.155267 0.127829 0.153553 0.034747
Cdl_pos -0.077304 0.082031 0.065283 0.037560
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000637 0.001504 0.000058 0.000047
D 0.000546 0.000534 0.000001 0.000001
Ds_neg 0.027363 0.028386 0.007596 0.008105
Ds_pos 0.005323 0.008875 0.000325 0.000296
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.004925 0.009446 0.000619 0.000599
dUdcp_neg_mag -0.000888 0.004037 0.000190 0.000122
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.175247 0.125184 0.162728 0.038705
i0_pos 0.183794 0.238074 0.322470 0.074055
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.003390 0.002320 0.000105 0.000069
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.000567 0.053667 0.017092 0.005871
sigma_neg -0.012452 0.016710 0.007832 0.003372
sigma_pos 0.042725 0.072189 0.055096 0.019325

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.022541 0.157657
a_neg l_neg -0.005484 0.155216
a_neg l_sep -0.000751 0.153281
a_neg l_pos -0.007455 0.158833
a_neg Rp_neg -0.007548 0.155254
a_neg Rp_pos -0.007428 0.155134
a_neg epsilon_f_neg -0.007811 0.155275
a_neg epsilon_f_pos -0.011354 0.155418
a_neg epsilon_neg 0.005334 0.156882
a_neg epsilon_sep -0.007938 0.155275
a_neg epsilon_pos 0.008337 0.151511
a_neg Cdl_neg -0.000626 0.166953
a_neg Cdl_pos 0.019632 0.150703
a_neg cs_max_neg -0.007938 0.155275
a_neg cs_max_pos -0.007938 0.155275
a_neg c0 -0.007403 0.155179
a_neg D -0.008081 0.155336
a_neg Ds_neg -0.012159 0.154757
a_neg Ds_pos -0.006588 0.155003
a_neg d2Udcp2_pos_sgn -0.007938 0.155275
a_neg d2Udcp2_neg_sgn -0.007938 0.155275
a_neg d3Udcp3_pos_sgn -0.007938 0.155275
a_neg d3Udcp3_neg_sgn -0.007938 0.155275
a_neg dUdcp_pos_mag -0.005216 0.155128
a_neg dUdcp_neg_mag -0.007481 0.155351
a_neg d2Udcp2_pos_mag -0.007938 0.155275
a_neg d2Udcp2_neg_mag -0.007938 0.155275
a_neg d3Udcp3_pos_mag -0.007938 0.155275
a_neg d3Udcp3_neg_mag -0.007938 0.155275
a_neg i0_neg -0.044066 0.159841
a_neg i0_pos 0.049268 0.144437
a_neg SOC_neg -0.007938 0.155275
a_neg SOC_pos -0.007938 0.155275
a_neg tP -0.007196 0.155083
a_neg aa_neg -0.007938 0.155275
a_neg aa_pos -0.007938 0.155275
a_neg kappa_0 0.012805 0.154949
a_neg sigma_neg -0.005299 0.154756
a_neg sigma_pos -0.009647 0.157992
a_pos l_neg 0.081009 0.081199
a_pos l_sep 0.081130 0.081498
a_pos l_pos 0.092081 0.083294
a_pos Rp_neg 0.081461 0.081283
a_pos Rp_pos 0.081991 0.081455
a_pos epsilon_f_neg 0.081693 0.081287
a_pos epsilon_f_pos 0.081921 0.080678
a_pos epsilon_neg 0.063536 0.072545
a_pos epsilon_sep 0.081561 0.081229
a_pos epsilon_pos 0.063942 0.077439
a_pos Cdl_neg 0.044370 0.071830
a_pos Cdl_pos 0.087739 0.083790
a_pos cs_max_neg 0.081561 0.081229
a_pos cs_max_pos 0.081561 0.081229
a_pos c0 0.081522 0.081251
a_pos D 0.081535 0.081227
a_pos Ds_neg 0.086779 0.081812
a_pos Ds_pos 0.079994 0.081494
a_pos d2Udcp2_pos_sgn 0.081561 0.081229
a_pos d2Udcp2_neg_sgn 0.081561 0.081229
a_pos d3Udcp3_pos_sgn 0.081561 0.081229
a_pos d3Udcp3_neg_sgn 0.081561 0.081229
a_pos dUdcp_pos_mag 0.081157 0.081110
a_pos dUdcp_neg_mag 0.081297 0.081096
a_pos d2Udcp2_pos_mag 0.081561 0.081229
a_pos d2Udcp2_neg_mag 0.081561 0.081229
a_pos d3Udcp3_pos_mag 0.081561 0.081229
a_pos d3Udcp3_neg_mag 0.081561 0.081229
a_pos i0_neg 0.104960 0.094838
a_pos i0_pos 0.074963 0.136065
a_pos SOC_neg 0.081561 0.081229
a_pos SOC_pos 0.081561 0.081229
a_pos tP 0.081099 0.081106
a_pos aa_neg 0.081561 0.081229
a_pos aa_pos 0.081561 0.081229
a_pos kappa_0 0.085764 0.083105
a_pos sigma_neg 0.082715 0.080512
a_pos sigma_pos 0.075294 0.079228
l_neg l_sep 0.006427 0.017210
l_neg l_pos 0.007581 0.017451
