Parameter S1 S1_conf ST ST_conf
a_neg 0.118432 0.175209 0.206746 0.050512
a_pos -0.047564 0.076374 0.039961 0.013836
l_neg -0.028970 0.029497 0.004337 0.001715
l_sep 0.010631 0.051867 0.009407 0.005045
l_pos 0.234386 0.171479 0.190334 0.037226
Rp_neg -0.000029 0.000045 0.000000 0.000000
Rp_pos -0.000210 0.000176 0.000000 0.000000
epsilon_f_neg -0.000350 0.003170 0.000087 0.000034
epsilon_f_pos -0.013063 0.016038 0.001497 0.000368
epsilon_neg 0.135850 0.136824 0.098578 0.021854
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.188867 0.152867 0.102667 0.028340
Cdl_neg 0.031576 0.057385 0.028640 0.010169
Cdl_pos -0.030521 0.069616 0.049408 0.023452
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000586 0.000513 0.000004 0.000003
D 0.000022 0.000031 0.000000 0.000000
Ds_neg -0.000102 0.000088 0.000000 0.000000
Ds_pos -0.000120 0.000244 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000473 0.000356 0.000001 0.000000
dUdcp_neg_mag 0.000010 0.000067 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.070228 0.071568 0.028846 0.015360
i0_pos 0.006015 0.121284 0.073131 0.021573
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001561 0.000831 0.000008 0.000006
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.016568 0.092298 0.050652 0.015438
sigma_neg 0.008126 0.033467 0.016379 0.005381
sigma_pos 0.034729 0.113405 0.119418 0.030336

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.035081 0.321934
a_neg l_neg -0.012886 0.316852
a_neg l_sep -0.012254 0.312806
a_neg l_pos -0.076981 0.311217
a_neg Rp_neg -0.018704 0.317738
a_neg Rp_pos -0.018593 0.317706
a_neg epsilon_f_neg -0.018534 0.317709
a_neg epsilon_f_pos -0.030102 0.318117
a_neg epsilon_neg -0.028747 0.332018
a_neg epsilon_sep -0.018693 0.317738
a_neg epsilon_pos -0.016443 0.316639
a_neg Cdl_neg -0.012651 0.319414
a_neg Cdl_pos 0.024208 0.310917
a_neg cs_max_neg -0.018693 0.317738
a_neg cs_max_pos -0.018693 0.317738
a_neg c0 -0.018492 0.317665
a_neg D -0.018702 0.317743
a_neg Ds_neg -0.018706 0.317737
a_neg Ds_pos -0.018591 0.317698
a_neg d2Udcp2_pos_sgn -0.018693 0.317738
a_neg d2Udcp2_neg_sgn -0.018693 0.317738
a_neg d3Udcp3_pos_sgn -0.018693 0.317738
a_neg d3Udcp3_neg_sgn -0.018693 0.317738
a_neg dUdcp_pos_mag -0.018611 0.317683
a_neg dUdcp_neg_mag -0.018694 0.317738
a_neg d2Udcp2_pos_mag -0.018693 0.317738
a_neg d2Udcp2_neg_mag -0.018693 0.317738
a_neg d3Udcp3_pos_mag -0.018693 0.317738
a_neg d3Udcp3_neg_mag -0.018693 0.317738
a_neg i0_neg -0.026219 0.315842
a_neg i0_pos 0.041806 0.319916
a_neg SOC_neg -0.018693 0.317738
a_neg SOC_pos -0.018693 0.317738
a_neg tP -0.018323 0.317637
a_neg aa_neg -0.018693 0.317738
a_neg aa_pos -0.018693 0.317738
a_neg kappa_0 0.036556 0.311843
a_neg sigma_neg -0.019339 0.315616
a_neg sigma_pos -0.028549 0.320756
a_pos l_neg 0.081975 0.150734
a_pos l_sep 0.086660 0.150378
a_pos l_pos 0.105140 0.159958
a_pos Rp_neg 0.084629 0.149998
a_pos Rp_pos 0.084642 0.149999
a_pos epsilon_f_neg 0.084864 0.150163
a_pos epsilon_f_pos 0.086499 0.149254
a_pos epsilon_neg 0.076730 0.144149
a_pos epsilon_sep 0.084637 0.149999
a_pos epsilon_pos 0.059889 0.146585
a_pos Cdl_neg 0.067886 0.143260
a_pos Cdl_pos 0.073813 0.145446
a_pos cs_max_neg 0.084637 0.149999
a_pos cs_max_pos 0.084637 0.149999
a_pos c0 0.084696 0.150009
a_pos D 0.084633 0.149998
a_pos Ds_neg 0.084617 0.149997
a_pos Ds_pos 0.084631 0.149999
a_pos d2Udcp2_pos_sgn 0.084637 0.149999
a_pos d2Udcp2_neg_sgn 0.084637 0.149999
a_pos d3Udcp3_pos_sgn 0.084637 0.149999
a_pos d3Udcp3_neg_sgn 0.084637 0.149999
a_pos dUdcp_pos_mag 0.084652 0.149999
a_pos dUdcp_neg_mag 0.084627 0.149999
a_pos d2Udcp2_pos_mag 0.084637 0.149999
a_pos d2Udcp2_neg_mag 0.084637 0.149999
a_pos d3Udcp3_pos_mag 0.084637 0.149999
a_pos d3Udcp3_neg_mag 0.084637 0.149999
a_pos i0_neg 0.087997 0.150170
