Parameter S1 S1_conf ST ST_conf
a_neg 0.248924 0.138193 0.239456 0.061907
a_pos 0.064850 0.071691 0.056505 0.021236
l_neg -0.047601 0.040372 0.012372 0.005898
l_sep 0.015763 0.040102 0.008386 0.003178
l_pos 0.220377 0.170484 0.306389 0.064015
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos -0.000000 0.000002 0.000000 0.000000
epsilon_f_neg -0.000762 0.002740 0.000080 0.000032
epsilon_f_pos -0.008261 0.010774 0.001378 0.000334
epsilon_neg 0.116821 0.094451 0.114165 0.032908
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.158179 0.109901 0.089405 0.021156
Cdl_neg -0.036237 0.046378 0.046528 0.013065
Cdl_pos 0.109585 0.089233 0.038149 0.015415
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000487 0.000401 0.000003 0.000003
D -0.000002 0.000008 0.000000 0.000000
Ds_neg -0.000000 0.000001 0.000000 0.000000
Ds_pos -0.000000 0.000002 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000002 0.000004 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.007140 0.006797 0.001085 0.000865
i0_pos 0.019563 0.017921 0.010291 0.007811
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000892 0.000466 0.000005 0.000004
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 -0.009592 0.052687 0.037596 0.011700
sigma_neg 0.025042 0.028622 0.018345 0.005767
sigma_pos 0.069180 0.081512 0.105008 0.026334

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.170128 0.242292
a_neg l_neg -0.140134 0.236680
a_neg l_sep -0.164587 0.233919
a_neg l_pos -0.213274 0.230161
a_neg Rp_neg -0.154621 0.237516
a_neg Rp_pos -0.154622 0.237516
a_neg epsilon_f_neg -0.153991 0.237466
a_neg epsilon_f_pos -0.167587 0.236713
a_neg epsilon_neg -0.123015 0.261216
a_neg epsilon_sep -0.154621 0.237516
a_neg epsilon_pos -0.161450 0.243192
a_neg Cdl_neg -0.132347 0.238768
a_neg Cdl_pos -0.164872 0.247137
a_neg cs_max_neg -0.154621 0.237516
a_neg cs_max_pos -0.154621 0.237516
a_neg c0 -0.154533 0.237489
a_neg D -0.154620 0.237517
a_neg Ds_neg -0.154621 0.237516
a_neg Ds_pos -0.154622 0.237516
a_neg d2Udcp2_pos_sgn -0.154621 0.237516
a_neg d2Udcp2_neg_sgn -0.154621 0.237516
a_neg d3Udcp3_pos_sgn -0.154621 0.237516
a_neg d3Udcp3_neg_sgn -0.154621 0.237516
a_neg dUdcp_pos_mag -0.154623 0.237517
a_neg dUdcp_neg_mag -0.154621 0.237516
a_neg d2Udcp2_pos_mag -0.154621 0.237516
a_neg d2Udcp2_neg_mag -0.154621 0.237516
a_neg d3Udcp3_pos_mag -0.154621 0.237516
a_neg d3Udcp3_neg_mag -0.154621 0.237516
a_neg i0_neg -0.160101 0.237076
a_neg i0_pos -0.131475 0.240817
a_neg SOC_neg -0.154621 0.237516
a_neg SOC_pos -0.154621 0.237516
a_neg tP -0.154440 0.237483
a_neg aa_neg -0.154621 0.237516
a_neg aa_pos -0.154621 0.237516
a_neg kappa_0 -0.129917 0.237489
a_neg sigma_neg -0.163890 0.235976
a_neg sigma_pos -0.194733 0.238472
a_pos l_neg -0.068170 0.136481
a_pos l_sep -0.058853 0.137090
a_pos l_pos -0.033712 0.134201
a_pos Rp_neg -0.065811 0.136321
a_pos Rp_pos -0.065811 0.136321
a_pos epsilon_f_neg -0.065227 0.136583
a_pos epsilon_f_pos -0.067140 0.135287
a_pos epsilon_neg -0.070646 0.132972
a_pos epsilon_sep -0.065811 0.136321
a_pos epsilon_pos -0.072267 0.138018
a_pos Cdl_neg -0.043612 0.145442
a_pos Cdl_pos -0.070379 0.136937
a_pos cs_max_neg -0.065811 0.136321
a_pos cs_max_pos -0.065811 0.136321
a_pos c0 -0.065844 0.136316
a_pos D -0.065811 0.136321
a_pos Ds_neg -0.065811 0.136321
a_pos Ds_pos -0.065811 0.136321
a_pos d2Udcp2_pos_sgn -0.065811 0.136321
a_pos d2Udcp2_neg_sgn -0.065811 0.136321
a_pos d3Udcp3_pos_sgn -0.065811 0.136321
a_pos d3Udcp3_neg_sgn -0.065811 0.136321
a_pos dUdcp_pos_mag -0.065811 0.136321
a_pos dUdcp_neg_mag -0.065811 0.136321
a_pos d2Udcp2_pos_mag -0.065811 0.136321
a_pos d2Udcp2_neg_mag -0.065811 0.136321
a_pos d3Udcp3_pos_mag -0.065811 0.136321
a_pos d3Udcp3_neg_mag -0.065811 0.136321
a_pos i0_neg -0.065171 0.136331
a_pos i0_pos -0.071625 0.137377
a_pos SOC_neg -0.065811 0.136321
a_pos SOC_pos -0.065811 0.136321
a_pos tP -0.066056 0.136282
a_pos aa_neg -0.065811 0.136321
a_pos aa_pos -0.065811 0.136321
a_pos kappa_0 -0.071767 0.138197
a_pos sigma_neg -0.059338 0.133534
a_pos sigma_pos -0.065963 0.135046
l_neg l_sep 0.066427 0.048421
l_neg l_pos 0.075194 0.048917
l_neg Rp_neg 0.062784 0.047588
l_neg Rp_pos 0.062784 0.047588
l_neg epsilon_f_neg 0.062716 0.047555
l_neg epsilon_f_pos 0.062112 0.047506
l_neg epsilon_neg 0.068464 0.049037
l_neg epsilon_sep 0.062784 0.047588
l_neg epsilon_pos 0.068813 0.048133
l_neg Cdl_neg 0.062064 0.047333
l_neg Cdl_pos 0.063269 0.048550
l_neg cs_max_neg 0.062784 0.047588
l_neg cs_max_pos 0.062784 0.047588
l_neg c0 0.062785 0.047590
l_neg D 0.062784 0.047588
l_neg Ds_neg 0.062784 0.047588
l_neg Ds_pos 0.062784 0.047588
l_neg d2Udcp2_pos_sgn 0.062784 0.047588
l_neg d2Udcp2_neg_sgn 0.062784 0.047588
l_neg d3Udcp3_pos_sgn 0.062784 0.047588
l_neg d3Udcp3_neg_sgn 0.062784 0.047588
l_neg dUdcp_pos_mag 0.062784 0.047588
l_neg dUdcp_neg_mag 0.062784 0.047588
l_neg d2Udcp2_pos_mag 0.062784 0.047588
l_neg d2Udcp2_neg_mag 0.062784 0.047588
l_neg d3Udcp3_pos_mag 0.062784 0.047588
l_neg d3Udcp3_neg_mag 0.062784 0.047588
l_neg i0_neg 0.062323 0.047557
l_neg i0_pos 0.061702 0.047693
l_neg SOC_neg 0.062784 0.047588
l_neg SOC_pos 0.062784 0.047588
l_neg tP 0.062787 0.047587
l_neg aa_neg 0.062784 0.047588
l_neg aa_pos 0.062784 0.047588
l_neg kappa_0 0.062048 0.047608
l_neg sigma_neg 0.061965 0.047869
l_neg sigma_pos 0.062733 0.047635
l_sep l_pos 0.012517 0.060380
l_sep Rp_neg 0.002555 0.054638
l_sep Rp_pos 0.002555 0.054638
l_sep epsilon_f_neg 0.002316 0.054632
l_sep epsilon_f_pos 0.002228 0.054771
l_sep epsilon_neg -0.005053 0.054094
l_sep epsilon_sep 0.002555 0.054638
l_sep epsilon_pos -0.001546 0.056862
l_sep Cdl_neg 0.001134 0.054821
l_sep Cdl_pos 0.006102 0.056165
l_sep cs_max_neg 0.002555 0.054638
l_sep cs_max_pos 0.002555 0.054638
l_sep c0 0.002523 0.054639
l_sep D 0.002554 0.054638
l_sep Ds_neg 0.002555 0.054638
l_sep Ds_pos 0.002555 0.054638
l_sep d2Udcp2_pos_sgn 0.002555 0.054638
l_sep d2Udcp2_neg_sgn 0.002555 0.054638
l_sep d3Udcp3_pos_sgn 0.002555 0.054638
l_sep d3Udcp3_neg_sgn 0.002555 0.054638
l_sep dUdcp_pos_mag 0.002555 0.054638
l_sep dUdcp_neg_mag 0.002555 0.054638
l_sep d2Udcp2_pos_mag 0.002555 0.054638
l_sep d2Udcp2_neg_mag 0.002555 0.054638
l_sep d3Udcp3_pos_mag 0.002555 0.054638
l_sep d3Udcp3_neg_mag 0.002555 0.054638
l_sep i0_neg 0.002163 0.054618
l_sep i0_pos 0.003572 0.054631
l_sep SOC_neg 0.002555 0.054638
l_sep SOC_pos 0.002555 0.054638
l_sep tP 0.002554 0.054631
l_sep aa_neg 0.002555 0.054638
l_sep aa_pos 0.002555 0.054638
l_sep kappa_0 0.009193 0.055169
l_sep sigma_neg 0.002656 0.055126
l_sep sigma_pos 0.002247 0.055237
l_pos Rp_neg 0.117675 0.336339
l_pos Rp_pos 0.117675 0.336339
l_pos epsilon_f_neg 0.118498 0.336566
l_pos epsilon_f_pos 0.115096 0.336090
l_pos epsilon_neg 0.031850 0.323406
l_pos epsilon_sep 0.117675 0.336339
l_pos epsilon_pos 0.079960 0.343942
l_pos Cdl_neg 0.089408 0.329770
l_pos Cdl_pos 0.073443 0.346971
l_pos cs_max_neg 0.117675 0.336339
l_pos cs_max_pos 0.117675 0.336339
l_pos c0 0.117498 0.336290
l_pos D 0.117677 0.336339
l_pos Ds_neg 0.117675 0.336339
l_pos Ds_pos 0.117675 0.336339
l_pos d2Udcp2_pos_sgn 0.117675 0.336339
l_pos d2Udcp2_neg_sgn 0.117675 0.336339
l_pos d3Udcp3_pos_sgn 0.117675 0.336339
l_pos d3Udcp3_neg_sgn 0.117675 0.336339
l_pos dUdcp_pos_mag 0.117674 0.336339
l_pos dUdcp_neg_mag 0.117675 0.336339
l_pos d2Udcp2_pos_mag 0.117675 0.336339
l_pos d2Udcp2_neg_mag 0.117675 0.336339
l_pos d3Udcp3_pos_mag 0.117675 0.336339
l_pos d3Udcp3_neg_mag 0.117675 0.336339
l_pos i0_neg 0.119074 0.336416
l_pos i0_pos 0.124547 0.337735
l_pos SOC_neg 0.117675 0.336339
l_pos SOC_pos 0.117675 0.336339
l_pos tP 0.117607 0.336282
l_pos aa_neg 0.117675 0.336339
l_pos aa_pos 0.117675 0.336339
l_pos kappa_0 0.122653 0.337820
l_pos sigma_neg 0.103547 0.330722
l_pos sigma_pos 0.070290 0.324439
Rp_neg Rp_pos -0.000000 0.000001
Rp_neg epsilon_f_neg -0.000000 0.000001
Rp_neg epsilon_f_pos -0.000000 0.000001
Rp_neg epsilon_neg -0.000001 0.000001
Rp_neg epsilon_sep -0.000000 0.000001
Rp_neg epsilon_pos -0.000001 0.000001
Rp_neg Cdl_neg -0.000000 0.000001
Rp_neg Cdl_pos -0.000000 0.000001
Rp_neg cs_max_neg -0.000000 0.000001
Rp_neg cs_max_pos -0.000000 0.000001
Rp_neg c0 -0.000000 0.000001
Rp_neg D -0.000000 0.000001
Rp_neg Ds_neg -0.000000 0.000001
Rp_neg Ds_pos -0.000000 0.000001
Rp_neg d2Udcp2_pos_sgn -0.000000 0.000001
Rp_neg d2Udcp2_neg_sgn -0.000000 0.000001
Rp_neg d3Udcp3_pos_sgn -0.000000 0.000001
Rp_neg d3Udcp3_neg_sgn -0.000000 0.000001
Rp_neg dUdcp_pos_mag -0.000000 0.000001
Rp_neg dUdcp_neg_mag -0.000000 0.000001
Rp_neg d2Udcp2_pos_mag -0.000000 0.000001
Rp_neg d2Udcp2_neg_mag -0.000000 0.000001
Rp_neg d3Udcp3_pos_mag -0.000000 0.000001
Rp_neg d3Udcp3_neg_mag -0.000000 0.000001
Rp_neg i0_neg -0.000000 0.000001
Rp_neg i0_pos -0.000000 0.000001
Rp_neg SOC_neg -0.000000 0.000001
Rp_neg SOC_pos -0.000000 0.000001
Rp_neg tP -0.000000 0.000001
Rp_neg aa_neg -0.000000 0.000001
Rp_neg aa_pos -0.000000 0.000001
Rp_neg kappa_0 -0.000000 0.000001
Rp_neg sigma_neg -0.000000 0.000001
Rp_neg sigma_pos -0.000001 0.000001
Rp_pos epsilon_f_neg -0.000008 0.000006
Rp_pos epsilon_f_pos -0.000008 0.000006
Rp_pos epsilon_neg -0.000008 0.000006
Rp_pos epsilon_sep -0.000008 0.000005
Rp_pos epsilon_pos -0.000007 0.000005
Rp_pos Cdl_neg -0.000008 0.000005
Rp_pos Cdl_pos -0.000010 0.000006
Rp_pos cs_max_neg -0.000008 0.000005
Rp_pos cs_max_pos -0.000008 0.000005
Rp_pos c0 -0.000008 0.000005
Rp_pos D -0.000008 0.000005
Rp_pos Ds_neg -0.000008 0.000005
