Parameter S1 S1_conf ST ST_conf
a_neg 0.376884 0.135160 0.305391 0.076521
a_pos 0.119303 0.099560 0.120996 0.070976
l_neg -0.070871 0.046439 0.048516 0.029707
l_sep 0.018891 0.026917 0.008697 0.004178
l_pos 0.246621 0.204021 0.343500 0.077250
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.002099 0.002673 0.000060 0.000024
epsilon_f_pos -0.007250 0.006621 0.001271 0.000350
epsilon_neg 0.125086 0.097063 0.161079 0.073630
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.085475 0.064395 0.068421 0.021876
Cdl_neg -0.043340 0.037951 0.079986 0.027394
Cdl_pos 0.243628 0.132671 0.090196 0.031767
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000156 0.000179 0.000001 0.000001
D 0.000005 0.000003 0.000000 0.000000
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos 0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000160 0.000227 0.000007 0.000006
i0_pos 0.001115 0.000835 0.000098 0.000086
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000354 0.000199 0.000001 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.026970 0.036779 0.034489 0.012262
sigma_neg 0.019560 0.021086 0.015268 0.004402
sigma_pos 0.058918 0.054366 0.095944 0.031296

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.397656 0.207181
a_neg l_neg -0.347371 0.193918
a_neg l_sep -0.393713 0.200676
a_neg l_pos -0.438091 0.208386
a_neg Rp_neg -0.378162 0.201897
a_neg Rp_pos -0.378162 0.201897
a_neg epsilon_f_neg -0.376636 0.201398
a_neg epsilon_f_pos -0.386404 0.200022
a_neg epsilon_neg -0.351507 0.242155
a_neg epsilon_sep -0.378162 0.201897
a_neg epsilon_pos -0.380512 0.202421
a_neg Cdl_neg -0.344661 0.198095
a_neg Cdl_pos -0.459948 0.235086
a_neg cs_max_neg -0.378162 0.201897
a_neg cs_max_pos -0.378162 0.201897
a_neg c0 -0.378140 0.201886
a_neg D -0.378163 0.201898
a_neg Ds_neg -0.378162 0.201897
a_neg Ds_pos -0.378162 0.201897
a_neg d2Udcp2_pos_sgn -0.378162 0.201897
a_neg d2Udcp2_neg_sgn -0.378162 0.201897
a_neg d3Udcp3_pos_sgn -0.378162 0.201897
a_neg d3Udcp3_neg_sgn -0.378162 0.201897
a_neg dUdcp_pos_mag -0.378162 0.201897
a_neg dUdcp_neg_mag -0.378162 0.201897
a_neg d2Udcp2_pos_mag -0.378162 0.201897
a_neg d2Udcp2_neg_mag -0.378162 0.201897
a_neg d3Udcp3_pos_mag -0.378162 0.201897
a_neg d3Udcp3_neg_mag -0.378162 0.201897
a_neg i0_neg -0.378459 0.201881
a_neg i0_pos -0.376439 0.202120
a_neg SOC_neg -0.378162 0.201897
a_neg SOC_pos -0.378162 0.201897
a_neg tP -0.378058 0.201883
a_neg aa_neg -0.378162 0.201897
a_neg aa_pos -0.378162 0.201897
a_neg kappa_0 -0.378961 0.203561
a_neg sigma_neg -0.391743 0.203318
a_neg sigma_pos -0.414765 0.211082
a_pos l_neg -0.132472 0.146944
a_pos l_sep -0.123847 0.146824
a_pos l_pos -0.119188 0.134094
a_pos Rp_neg -0.132134 0.147127
a_pos Rp_pos -0.132134 0.147127
a_pos epsilon_f_neg -0.131800 0.147290
a_pos epsilon_f_pos -0.134323 0.146610
a_pos epsilon_neg -0.128578 0.146944
a_pos epsilon_sep -0.132134 0.147127
a_pos epsilon_pos -0.133159 0.144988
a_pos Cdl_neg -0.101831 0.161911
a_pos Cdl_pos -0.133763 0.150177
a_pos cs_max_neg -0.132134 0.147127
a_pos cs_max_pos -0.132134 0.147127
a_pos c0 -0.132140 0.147127
a_pos D -0.132135 0.147128
a_pos Ds_neg -0.132134 0.147127
a_pos Ds_pos -0.132134 0.147127
a_pos d2Udcp2_pos_sgn -0.132134 0.147127
a_pos d2Udcp2_neg_sgn -0.132134 0.147127
a_pos d3Udcp3_pos_sgn -0.132134 0.147127
a_pos d3Udcp3_neg_sgn -0.132134 0.147127
a_pos dUdcp_pos_mag -0.132134 0.147127
a_pos dUdcp_neg_mag -0.132134 0.147127
a_pos d2Udcp2_pos_mag -0.132134 0.147127
a_pos d2Udcp2_neg_mag -0.132134 0.147127
a_pos d3Udcp3_pos_mag -0.132134 0.147127
a_pos d3Udcp3_neg_mag -0.132134 0.147127
a_pos i0_neg -0.132106 0.147124
a_pos i0_pos -0.132494 0.147262
a_pos SOC_neg -0.132134 0.147127
a_pos SOC_pos -0.132134 0.147127
a_pos tP -0.132164 0.147123
a_pos aa_neg -0.132134 0.147127
a_pos aa_pos -0.132134 0.147127
a_pos kappa_0 -0.147282 0.156738
a_pos sigma_neg -0.124028 0.142481
a_pos sigma_pos -0.128873 0.144913
l_neg l_sep 0.101921 0.062754
l_neg l_pos 0.106241 0.062579
l_neg Rp_neg 0.096691 0.062500
l_neg Rp_pos 0.096691 0.062500
l_neg epsilon_f_neg 0.096315 0.062281
l_neg epsilon_f_pos 0.096236 0.062207
l_neg epsilon_neg 0.104515 0.071084
l_neg epsilon_sep 0.096691 0.062500
l_neg epsilon_pos 0.103115 0.060606
l_neg Cdl_neg 0.092592 0.060236
l_neg Cdl_pos 0.108559 0.069852
l_neg cs_max_neg 0.096691 0.062500
l_neg cs_max_pos 0.096691 0.062500
l_neg c0 0.096707 0.062503
l_neg D 0.096692 0.062500
l_neg Ds_neg 0.096691 0.062500
l_neg Ds_pos 0.096691 0.062500
l_neg d2Udcp2_pos_sgn 0.096691 0.062500
l_neg d2Udcp2_neg_sgn 0.096691 0.062500
l_neg d3Udcp3_pos_sgn 0.096691 0.062500
l_neg d3Udcp3_neg_sgn 0.096691 0.062500
l_neg dUdcp_pos_mag 0.096691 0.062500
l_neg dUdcp_neg_mag 0.096691 0.062500
l_neg d2Udcp2_pos_mag 0.096691 0.062500
l_neg d2Udcp2_neg_mag 0.096691 0.062500
l_neg d3Udcp3_pos_mag 0.096691 0.062500
l_neg d3Udcp3_neg_mag 0.096691 0.062500
l_neg i0_neg 0.096642 0.062495
l_neg i0_pos 0.096529 0.062524
l_neg SOC_neg 0.096691 0.062500
l_neg SOC_pos 0.096691 0.062500
l_neg tP 0.096680 0.062501
l_neg aa_neg 0.096691 0.062500
l_neg aa_pos 0.096691 0.062500
l_neg kappa_0 0.096263 0.061820
l_neg sigma_neg 0.095823 0.064127
l_neg sigma_pos 0.096498 0.062893
l_sep l_pos 0.011234 0.052286
l_sep Rp_neg -0.008521 0.039235
l_sep Rp_pos -0.008521 0.039235
l_sep epsilon_f_neg -0.008564 0.039251
l_sep epsilon_f_pos -0.008786 0.039336
l_sep epsilon_neg -0.015720 0.038313
l_sep epsilon_sep -0.008521 0.039235
l_sep epsilon_pos -0.006712 0.041746
l_sep Cdl_neg -0.011979 0.038580
l_sep Cdl_pos 0.003068 0.044779
l_sep cs_max_neg -0.008521 0.039235
l_sep cs_max_pos -0.008521 0.039235
l_sep c0 -0.008557 0.039240
l_sep D -0.008521 0.039235
l_sep Ds_neg -0.008521 0.039235
l_sep Ds_pos -0.008521 0.039235
l_sep d2Udcp2_pos_sgn -0.008521 0.039235
l_sep d2Udcp2_neg_sgn -0.008521 0.039235
l_sep d3Udcp3_pos_sgn -0.008521 0.039235
l_sep d3Udcp3_neg_sgn -0.008521 0.039235
l_sep dUdcp_pos_mag -0.008521 0.039235
l_sep dUdcp_neg_mag -0.008521 0.039235
l_sep d2Udcp2_pos_mag -0.008521 0.039235
l_sep d2Udcp2_neg_mag -0.008521 0.039235
l_sep d3Udcp3_pos_mag -0.008521 0.039235
l_sep d3Udcp3_neg_mag -0.008521 0.039235
l_sep i0_neg -0.008538 0.039232
l_sep i0_pos -0.008464 0.039235
l_sep SOC_neg -0.008521 0.039235
l_sep SOC_pos -0.008521 0.039235
l_sep tP -0.008538 0.039226
l_sep aa_neg -0.008521 0.039235
l_sep aa_pos -0.008521 0.039235
l_sep kappa_0 -0.004243 0.040382
l_sep sigma_neg -0.008161 0.039337
l_sep sigma_pos -0.009761 0.039133
l_pos Rp_neg 0.113245 0.377179
l_pos Rp_pos 0.113245 0.377179
l_pos epsilon_f_neg 0.113849 0.377449
l_pos epsilon_f_pos 0.108849 0.376766
l_pos epsilon_neg 0.053758 0.367214
l_pos epsilon_sep 0.113245 0.377179
l_pos epsilon_pos 0.098668 0.400333
l_pos Cdl_neg 0.069404 0.367143
l_pos Cdl_pos 0.134362 0.475444
l_pos cs_max_neg 0.113245 0.377179
l_pos cs_max_pos 0.113245 0.377179
l_pos c0 0.113225 0.377147
l_pos D 0.113248 0.377180
l_pos Ds_neg 0.113245 0.377179
l_pos Ds_pos 0.113245 0.377179
l_pos d2Udcp2_pos_sgn 0.113245 0.377179
l_pos d2Udcp2_neg_sgn 0.113245 0.377179
l_pos d3Udcp3_pos_sgn 0.113245 0.377179
l_pos d3Udcp3_neg_sgn 0.113245 0.377179
l_pos dUdcp_pos_mag 0.113245 0.377179
l_pos dUdcp_neg_mag 0.113245 0.377179
l_pos d2Udcp2_pos_mag 0.113245 0.377179
l_pos d2Udcp2_neg_mag 0.113245 0.377179
l_pos d3Udcp3_pos_mag 0.113245 0.377179
l_pos d3Udcp3_neg_mag 0.113245 0.377179
l_pos i0_neg 0.113352 0.377190
l_pos i0_pos 0.113843 0.377404
l_pos SOC_neg 0.113245 0.377179
l_pos SOC_pos 0.113245 0.377179
l_pos tP 0.113305 0.377114
l_pos aa_neg 0.113245 0.377179
l_pos aa_pos 0.113245 0.377179
l_pos kappa_0 0.143429 0.413331
l_pos sigma_neg 0.091656 0.368390
l_pos sigma_pos 0.068463 0.364442
Rp_neg Rp_pos 0.000000 0.000000
Rp_neg epsilon_f_neg 0.000000 0.000000
Rp_neg epsilon_f_pos 0.000000 0.000000
Rp_neg epsilon_neg 0.000000 0.000000
Rp_neg epsilon_sep 0.000000 0.000000
Rp_neg epsilon_pos 0.000000 0.000000
Rp_neg Cdl_neg 0.000000 0.000000
Rp_neg Cdl_pos 0.000000 0.000000
Rp_neg cs_max_neg 0.000000 0.000000
Rp_neg cs_max_pos 0.000000 0.000000
Rp_neg c0 0.000000 0.000000
Rp_neg D 0.000000 0.000000
Rp_neg Ds_neg 0.000000 0.000000
Rp_neg Ds_pos 0.000000 0.000000
Rp_neg d2Udcp2_pos_sgn 0.000000 0.000000
Rp_neg d2Udcp2_neg_sgn 0.000000 0.000000
Rp_neg d3Udcp3_pos_sgn 0.000000 0.000000
Rp_neg d3Udcp3_neg_sgn 0.000000 0.000000
Rp_neg dUdcp_pos_mag 0.000000 0.000000
Rp_neg dUdcp_neg_mag 0.000000 0.000000
Rp_neg d2Udcp2_pos_mag 0.000000 0.000000
Rp_neg d2Udcp2_neg_mag 0.000000 0.000000
Rp_neg d3Udcp3_pos_mag 0.000000 0.000000
Rp_neg d3Udcp3_neg_mag 0.000000 0.000000
Rp_neg i0_neg 0.000000 0.000000
Rp_neg i0_pos 0.000000 0.000000
Rp_neg SOC_neg 0.000000 0.000000
Rp_neg SOC_pos 0.000000 0.000000
Rp_neg tP 0.000000 0.000000
Rp_neg aa_neg 0.000000 0.000000
Rp_neg aa_pos 0.000000 0.000000
Rp_neg kappa_0 0.000000 0.000000
Rp_neg sigma_neg 0.000000 0.000000
Rp_neg sigma_pos 0.000000 0.000000
Rp_pos epsilon_f_neg -0.000000 0.000000
Rp_pos epsilon_f_pos -0.000000 0.000000
Rp_pos epsilon_neg -0.000000 0.000000
Rp_pos epsilon_sep -0.000000 0.000000
Rp_pos epsilon_pos -0.000000 0.000000
Rp_pos Cdl_neg -0.000000 0.000000
Rp_pos Cdl_pos -0.000000 0.000000
Rp_pos cs_max_neg -0.000000 0.000000
Rp_pos cs_max_pos -0.000000 0.000000
Rp_pos c0 -0.000000 0.000000
Rp_pos D -0.000000 0.000000
Rp_pos Ds_neg -0.000000 0.000000
Rp_pos Ds_pos -0.000000 0.000000
Rp_pos d2Udcp2_pos_sgn -0.000000 0.000000
Rp_pos d2Udcp2_neg_sgn -0.000000 0.000000
Rp_pos d3Udcp3_pos_sgn -0.000000 0.000000
Rp_pos d3Udcp3_neg_sgn -0.000000 0.000000
Rp_pos dUdcp_pos_mag -0.000000 0.000000
Rp_pos dUdcp_neg_mag -0.000000 0.000000
Rp_pos d2Udcp2_pos_mag -0.000000 0.000000
Rp_pos d2Udcp2_neg_mag -0.000000 0.000000
Rp_pos d3Udcp3_pos_mag -0.000000 0.000000
Rp_pos d3Udcp3_neg_mag -0.000000 0.000000
Rp_pos i0_neg -0.000000 0.000000
Rp_pos i0_pos -0.000000 0.000000
Rp_pos SOC_neg -0.000000 0.000000
Rp_pos SOC_pos -0.000000 0.000000
Rp_pos tP -0.000000 0.000000
Rp_pos aa_neg -0.000000 0.000000
Rp_pos aa_pos -0.000000 0.000000
Rp_pos kappa_0 -0.000000 0.000000
Rp_pos sigma_neg -0.000000 0.000000
Rp_pos sigma_pos -0.000000 0.000000
epsilon_f_neg epsilon_f_pos 0.002322 0.003257
epsilon_f_neg epsilon_neg 0.003028 0.003552
epsilon_f_neg epsilon_sep 0.002348 0.003270
epsilon_f_neg epsilon_pos 0.002103 0.003237
epsilon_f_neg Cdl_neg 0.001944 0.003274
epsilon_f_neg Cdl_pos 0.001382 0.003948
epsilon_f_neg cs_max_neg 0.002348 0.003270
epsilon_f_neg cs_max_pos 0.002348 0.003270
epsilon_f_neg c0 0.002350 0.003270
epsilon_f_neg D 0.002348 0.003270
epsilon_f_neg Ds_neg 0.002348 0.003270
epsilon_f_neg Ds_pos 0.002348 0.003270
epsilon_f_neg d2Udcp2_pos_sgn 0.002348 0.003270
epsilon_f_neg d2Udcp2_neg_sgn 0.002348 0.003270
epsilon_f_neg d3Udcp3_pos_sgn 0.002348 0.003270
epsilon_f_neg d3Udcp3_neg_sgn 0.002348 0.003270
epsilon_f_neg dUdcp_pos_mag 0.002348 0.003270
epsilon_f_neg dUdcp_neg_mag 0.002348 0.003270
epsilon_f_neg d2Udcp2_pos_mag 0.002348 0.003270
epsilon_f_neg d2Udcp2_neg_mag 0.002348 0.003270
epsilon_f_neg d3Udcp3_pos_mag 0.002348 0.003270
epsilon_f_neg d3Udcp3_neg_mag 0.002348 0.003270
epsilon_f_neg i0_neg 0.002348 0.003270
epsilon_f_neg i0_pos 0.002346 0.003270
epsilon_f_neg SOC_neg 0.002348 0.003270
epsilon_f_neg SOC_pos 0.002348 0.003270
