Parameter S1 S1_conf ST ST_conf
a_neg -0.012274 0.027720 0.144217 0.078751
a_pos 0.013461 0.013450 0.031994 0.019990
l_neg 0.015492 0.016075 0.003568 0.002866
l_sep -0.000213 0.001597 0.000163 0.000067
l_pos 0.012558 0.013161 0.010224 0.002973
Rp_neg 0.002270 0.017642 0.195075 0.095116
Rp_pos -0.002667 0.010253 0.003323 0.002518
epsilon_f_neg -0.000681 0.001569 0.000032 0.000021
epsilon_f_pos 0.002123 0.002773 0.000184 0.000085
epsilon_neg -0.033512 0.023367 0.040996 0.014262
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.086783 0.069014 0.092783 0.056241
Cdl_neg -0.001565 0.006124 0.002050 0.000863
Cdl_pos -0.048829 0.063823 0.013721 0.006955
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.062745 0.087237 0.060476 0.046719
D 0.005892 0.007120 0.000825 0.000487
Ds_neg 0.010777 0.025676 0.388261 0.224200
Ds_pos 0.038390 0.037495 0.159022 0.094614
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.409804 0.359532 0.308350 0.194246
dUdcp_neg_mag 0.252475 0.146784 0.459445 0.241939
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.012937 0.014445 0.076087 0.035422
i0_pos -0.018107 0.073682 0.057667 0.022756
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.048484 0.028212 0.052667 0.035938
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.013385 0.021224 0.005847 0.002384
sigma_neg 0.035182 0.024983 0.008933 0.007560
sigma_pos 0.014489 0.011529 0.007656 0.003850

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.002908 0.049342
a_neg l_neg 0.010743 0.052524
a_neg l_sep 0.006965 0.051508
a_neg l_pos 0.012652 0.052709
a_neg Rp_neg 0.001017 0.051666
a_neg Rp_pos 0.010442 0.052093
a_neg epsilon_f_neg 0.007628 0.051959
a_neg epsilon_f_pos 0.008324 0.052237
a_neg epsilon_neg 0.010022 0.051616
a_neg epsilon_sep 0.007811 0.051986
a_neg epsilon_pos -0.005470 0.048062
a_neg Cdl_neg 0.009043 0.052357
a_neg Cdl_pos -0.000346 0.055631
a_neg cs_max_neg 0.007811 0.051986
a_neg cs_max_pos 0.007811 0.051986
a_neg c0 -0.012616 0.047802
a_neg D 0.004277 0.050645
a_neg Ds_neg 0.006030 0.051272
a_neg Ds_pos 0.018340 0.056565
a_neg d2Udcp2_pos_sgn 0.007811 0.051986
a_neg d2Udcp2_neg_sgn 0.007811 0.051986
a_neg d3Udcp3_pos_sgn 0.007811 0.051986
a_neg d3Udcp3_neg_sgn 0.007811 0.051986
a_neg dUdcp_pos_mag -0.052484 0.083821
a_neg dUdcp_neg_mag -0.035583 0.065495
a_neg d2Udcp2_pos_mag 0.007811 0.051986
a_neg d2Udcp2_neg_mag 0.007811 0.051986
a_neg d3Udcp3_pos_mag 0.007811 0.051986
a_neg d3Udcp3_neg_mag 0.007811 0.051986
a_neg i0_neg 0.000635 0.053082
a_neg i0_pos 0.016905 0.057983
a_neg SOC_neg 0.007811 0.051986
a_neg SOC_pos 0.007811 0.051986
a_neg tP -0.004430 0.040185
a_neg aa_neg 0.007811 0.051986
a_neg aa_pos 0.007811 0.051986
a_neg kappa_0 0.027228 0.064176
a_neg sigma_neg 0.011079 0.052900
a_neg sigma_pos 0.011294 0.052610
a_pos l_neg -0.010081 0.020899
a_pos l_sep -0.009438 0.019705
a_pos l_pos -0.009146 0.020949
a_pos Rp_neg -0.009085 0.019823
a_pos Rp_pos -0.010843 0.019749
a_pos epsilon_f_neg -0.009323 0.019804
a_pos epsilon_f_pos -0.009956 0.019812
a_pos epsilon_neg -0.002844 0.022577
a_pos epsilon_sep -0.009685 0.019748
a_pos epsilon_pos -0.003237 0.018121
a_pos Cdl_neg -0.011722 0.018846
a_pos Cdl_pos -0.004954 0.021005
a_pos cs_max_neg -0.009685 0.019748
a_pos cs_max_pos -0.009685 0.019748
a_pos c0 0.003701 0.023175
a_pos D -0.008225 0.019733
a_pos Ds_neg -0.011003 0.019751
a_pos Ds_pos -0.011168 0.020249
a_pos d2Udcp2_pos_sgn -0.009685 0.019748
a_pos d2Udcp2_neg_sgn -0.009685 0.019748
a_pos d3Udcp3_pos_sgn -0.009685 0.019748
a_pos d3Udcp3_neg_sgn -0.009685 0.019748
a_pos dUdcp_pos_mag 0.041216 0.051264
a_pos dUdcp_neg_mag 0.006845 0.029742
a_pos d2Udcp2_pos_mag -0.009685 0.019748
a_pos d2Udcp2_neg_mag -0.009685 0.019748
a_pos d3Udcp3_pos_mag -0.009685 0.019748
a_pos d3Udcp3_neg_mag -0.009685 0.019748
a_pos i0_neg -0.011382 0.018957
a_pos i0_pos -0.016357 0.023155
a_pos SOC_neg -0.009685 0.019748
a_pos SOC_pos -0.009685 0.019748
a_pos tP -0.008716 0.018653
a_pos aa_neg -0.009685 0.019748
a_pos aa_pos -0.009685 0.019748
a_pos kappa_0 -0.013847 0.020748
a_pos sigma_neg -0.009184 0.021816
a_pos sigma_pos -0.009739 0.020438
l_neg l_sep -0.015364 0.016815
l_neg l_pos -0.015455 0.016885
l_neg Rp_neg -0.015076 0.016826
l_neg Rp_pos -0.015467 0.016843
l_neg epsilon_f_neg -0.015377 0.016811
l_neg epsilon_f_pos -0.015407 0.016833
