Parameter S1 S1_conf ST ST_conf
a_neg -0.019952 0.057552 0.086871 0.026985
a_pos -0.010190 0.027343 0.018226 0.008338
l_neg 0.003565 0.007371 0.000957 0.000526
l_sep -0.002214 0.008211 0.001924 0.001107
l_pos 0.014315 0.025152 0.014737 0.004791
Rp_neg -0.005207 0.007165 0.002393 0.001400
Rp_pos -0.000087 0.003737 0.002425 0.002394
epsilon_f_neg -0.000106 0.000898 0.000032 0.000028
epsilon_f_pos 0.002114 0.006504 0.000346 0.000152
epsilon_neg -0.039218 0.049689 0.044667 0.016780
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.041817 0.036777 0.044401 0.014569
Cdl_neg 0.053605 0.068541 0.087912 0.028610
Cdl_pos -0.053331 0.093001 0.175838 0.079377
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.005773 0.009150 0.001656 0.001474
D 0.001058 0.001060 0.000016 0.000011
Ds_neg 0.070454 0.074327 0.095104 0.098934
Ds_pos 0.018026 0.029480 0.014289 0.010424
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.085974 0.105466 0.039606 0.031908
dUdcp_neg_mag 0.000486 0.012636 0.006506 0.003185
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.269998 0.127895 0.168402 0.059027
i0_pos 0.597095 0.339631 0.659293 0.132603
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.005382 0.004909 0.002504 0.001730
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.018276 0.021502 0.004260 0.001493
sigma_neg 0.007648 0.010914 0.003744 0.001906
sigma_pos 0.046847 0.047129 0.021951 0.007969

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.037438 0.072522
a_neg l_neg -0.024654 0.072824
a_neg l_sep -0.024024 0.072372
a_neg l_pos -0.019153 0.070965
a_neg Rp_neg -0.028512 0.070886
a_neg Rp_pos -0.025589 0.072576
a_neg epsilon_f_neg -0.025937 0.072621
a_neg epsilon_f_pos -0.027923 0.073514
a_neg epsilon_neg -0.013401 0.071666
a_neg epsilon_sep -0.026050 0.072612
a_neg epsilon_pos -0.017598 0.071876
a_neg Cdl_neg -0.004990 0.081582
a_neg Cdl_pos -0.020724 0.075621
a_neg cs_max_neg -0.026050 0.072612
a_neg cs_max_pos -0.026050 0.072612
a_neg c0 -0.025396 0.072574
a_neg D -0.026234 0.072632
a_neg Ds_neg -0.035794 0.071796
a_neg Ds_pos -0.021640 0.072415
a_neg d2Udcp2_pos_sgn -0.026050 0.072612
a_neg d2Udcp2_neg_sgn -0.026050 0.072612
a_neg d3Udcp3_pos_sgn -0.026050 0.072612
a_neg d3Udcp3_neg_sgn -0.026050 0.072612
a_neg dUdcp_pos_mag -0.016447 0.072734
a_neg dUdcp_neg_mag -0.028515 0.071899
a_neg d2Udcp2_pos_mag -0.026050 0.072612
a_neg d2Udcp2_neg_mag -0.026050 0.072612
a_neg d3Udcp3_pos_mag -0.026050 0.072612
a_neg d3Udcp3_neg_mag -0.026050 0.072612
a_neg i0_neg -0.027911 0.087554
a_neg i0_pos -0.047094 0.098757
a_neg SOC_neg -0.026050 0.072612
a_neg SOC_pos -0.026050 0.072612
a_neg tP -0.025214 0.072408
a_neg aa_neg -0.026050 0.072612
a_neg aa_pos -0.026050 0.072612
a_neg kappa_0 -0.023579 0.075302
a_neg sigma_neg -0.025707 0.072471
a_neg sigma_pos -0.034551 0.079429
a_pos l_neg 0.022559 0.030090
a_pos l_sep 0.021422 0.029620
a_pos l_pos 0.027229 0.031336
a_pos Rp_neg 0.023380 0.030380
a_pos Rp_pos 0.021299 0.029774
a_pos epsilon_f_neg 0.021959 0.029820
a_pos epsilon_f_pos 0.021772 0.029350
a_pos epsilon_neg 0.017508 0.031900
a_pos epsilon_sep 0.021645 0.029664
a_pos epsilon_pos 0.020398 0.031613
a_pos Cdl_neg 0.013161 0.026139
a_pos Cdl_pos 0.030036 0.031111
a_pos cs_max_neg 0.021645 0.029664
