Parameter S1 S1_conf ST ST_conf
a_neg 0.019897 0.142281 0.159515 0.042098
a_pos -0.079491 0.078845 0.036972 0.012848
l_neg -0.017712 0.017823 0.002118 0.000903
l_sep 0.000247 0.037898 0.006066 0.003721
l_pos 0.149913 0.121214 0.091077 0.020748
Rp_neg -0.001315 0.001139 0.000018 0.000018
Rp_pos -0.000116 0.000892 0.000006 0.000004
epsilon_f_neg -0.001092 0.002249 0.000071 0.000039
epsilon_f_pos -0.012197 0.012167 0.001064 0.000292
epsilon_neg 0.058845 0.103213 0.063798 0.014351
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.042124 0.118298 0.082618 0.024093
Cdl_neg 0.126434 0.124614 0.128620 0.036416
Cdl_pos -0.108083 0.086309 0.064191 0.039260
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000860 0.000917 0.000017 0.000013
D 0.000333 0.000327 0.000000 0.000000
Ds_neg 0.007061 0.007031 0.000710 0.000716
Ds_pos 0.002623 0.004665 0.000065 0.000060
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000318 0.002210 0.000037 0.000029
dUdcp_neg_mag -0.000136 0.001505 0.000033 0.000026
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.034122 0.118319 0.101827 0.025791
i0_pos -0.021972 0.198658 0.225599 0.058593
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002685 0.001598 0.000031 0.000021
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.000531 0.077247 0.029954 0.009445
sigma_neg -0.016157 0.023782 0.011064 0.004249
sigma_pos 0.049289 0.091745 0.081831 0.025894

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.052679 0.249909
a_neg l_neg -0.034122 0.246639
a_neg l_sep -0.026725 0.244104
a_neg l_pos -0.054768 0.247108
a_neg Rp_neg -0.036379 0.247212
a_neg Rp_pos -0.036164 0.247111
a_neg epsilon_f_neg -0.036329 0.247214
a_neg epsilon_f_pos -0.041677 0.247298
a_neg epsilon_neg -0.037640 0.255178
a_neg epsilon_sep -0.036496 0.247224
a_neg epsilon_pos -0.021831 0.243148
a_neg Cdl_neg -0.020874 0.254317
a_neg Cdl_pos 0.010755 0.238004
a_neg cs_max_neg -0.036496 0.247224
a_neg cs_max_pos -0.036496 0.247224
a_neg c0 -0.036114 0.247113
a_neg D -0.036610 0.247275
a_neg Ds_neg -0.037590 0.247241
a_neg Ds_pos -0.035865 0.247028
a_neg d2Udcp2_pos_sgn -0.036496 0.247224
a_neg d2Udcp2_neg_sgn -0.036496 0.247224
a_neg d3Udcp3_pos_sgn -0.036496 0.247224
a_neg d3Udcp3_neg_sgn -0.036496 0.247224
a_neg dUdcp_pos_mag -0.035767 0.247026
a_neg dUdcp_neg_mag -0.036221 0.247215
a_neg d2Udcp2_pos_mag -0.036496 0.247224
a_neg d2Udcp2_neg_mag -0.036496 0.247224
a_neg d3Udcp3_pos_mag -0.036496 0.247224
a_neg d3Udcp3_neg_mag -0.036496 0.247224
a_neg i0_neg -0.070151 0.245789
a_neg i0_pos 0.054317 0.232284
a_neg SOC_neg -0.036496 0.247224
a_neg SOC_pos -0.036496 0.247224
a_neg tP -0.035872 0.247060
a_neg aa_neg -0.036496 0.247224
a_neg aa_pos -0.036496 0.247224
a_neg kappa_0 0.000375 0.243543
a_neg sigma_neg -0.033062 0.246180
a_neg sigma_pos -0.035382 0.248901
a_pos l_neg 0.120563 0.129544
a_pos l_sep 0.121443 0.129765
a_pos l_pos 0.134063 0.134205
a_pos Rp_neg 0.121397 0.129345
a_pos Rp_pos 0.121701 0.129445
a_pos epsilon_f_neg 0.121730 0.129460
a_pos epsilon_f_pos 0.122695 0.128758
a_pos epsilon_neg 0.102153 0.117605
a_pos epsilon_sep 0.121597 0.129371
a_pos epsilon_pos 0.094499 0.122701
a_pos Cdl_neg 0.076798 0.113489
a_pos Cdl_pos 0.113087 0.128520
a_pos cs_max_neg 0.121597 0.129371
a_pos cs_max_pos 0.121597 0.129371
a_pos c0 0.121624 0.129384
a_pos D 0.121586 0.129369
a_pos Ds_neg 0.123239 0.129556
a_pos Ds_pos 0.121096 0.129445
a_pos d2Udcp2_pos_sgn 0.121597 0.129371
a_pos d2Udcp2_neg_sgn 0.121597 0.129371
a_pos d3Udcp3_pos_sgn 0.121597 0.129371
a_pos d3Udcp3_neg_sgn 0.121597 0.129371
