Parameter S1 S1_conf ST ST_conf
a_neg 0.140964 0.174425 0.207360 0.057001
a_pos -0.010317 0.069107 0.042268 0.015589
l_neg -0.034203 0.032038 0.006071 0.002522
l_sep 0.013819 0.051765 0.009300 0.004782
l_pos 0.239743 0.166506 0.234458 0.049005
Rp_neg 0.000005 0.000011 0.000000 0.000000
Rp_pos -0.000059 0.000041 0.000000 0.000000
epsilon_f_neg 0.000018 0.003169 0.000089 0.000036
epsilon_f_pos -0.011638 0.014403 0.001498 0.000365
epsilon_neg 0.131612 0.126759 0.102276 0.024029
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.213002 0.142241 0.102300 0.025521
Cdl_neg -0.001687 0.041929 0.016021 0.003763
Cdl_pos 0.000233 0.061267 0.041436 0.016928
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000476 0.000397 0.000003 0.000003
D 0.000005 0.000015 0.000000 0.000000
Ds_neg -0.000029 0.000027 0.000000 0.000000
Ds_pos -0.000026 0.000017 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000136 0.000115 0.000000 0.000000
dUdcp_neg_mag -0.000007 0.000007 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.045087 0.038258 0.009178 0.005471
i0_pos 0.036037 0.070172 0.038490 0.017664
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.001171 0.000582 0.000006 0.000005
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.009321 0.084103 0.050637 0.016763
sigma_neg 0.019334 0.031849 0.017736 0.005878
sigma_pos 0.039889 0.105496 0.116159 0.028412

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.028276 0.324364
a_neg l_neg -0.002896 0.319832
a_neg l_sep -0.010300 0.314892
a_neg l_pos -0.076761 0.310741
a_neg Rp_neg -0.010903 0.320257
a_neg Rp_pos -0.010874 0.320250
a_neg epsilon_f_neg -0.010644 0.320248
a_neg epsilon_f_pos -0.024100 0.320055
a_neg epsilon_neg -0.005437 0.338214
a_neg epsilon_sep -0.010899 0.320257
a_neg epsilon_pos -0.013159 0.321825
a_neg Cdl_neg -0.004282 0.321270
a_neg Cdl_pos 0.020737 0.319421
a_neg cs_max_neg -0.010899 0.320257
a_neg cs_max_pos -0.010899 0.320257
a_neg c0 -0.010757 0.320213
a_neg D -0.010900 0.320259
a_neg Ds_neg -0.010910 0.320257
a_neg Ds_pos -0.010893 0.320255
a_neg d2Udcp2_pos_sgn -0.010899 0.320257
a_neg d2Udcp2_neg_sgn -0.010899 0.320257
a_neg d3Udcp3_pos_sgn -0.010899 0.320257
a_neg d3Udcp3_neg_sgn -0.010899 0.320257
a_neg dUdcp_pos_mag -0.010891 0.320245
a_neg dUdcp_neg_mag -0.010900 0.320257
a_neg d2Udcp2_pos_mag -0.010899 0.320257
a_neg d2Udcp2_neg_mag -0.010899 0.320257
a_neg d3Udcp3_pos_mag -0.010899 0.320257
a_neg d3Udcp3_neg_mag -0.010899 0.320257
a_neg i0_neg -0.016757 0.319206
a_neg i0_pos 0.033468 0.329569
a_neg SOC_neg -0.010899 0.320257
a_neg SOC_pos -0.010899 0.320257
a_neg tP -0.010632 0.320201
a_neg aa_neg -0.010899 0.320257
a_neg aa_pos -0.010899 0.320257
a_neg kappa_0 0.036694 0.317610
a_neg sigma_neg -0.015751 0.318085
a_neg sigma_pos -0.032969 0.316493
a_pos l_neg 0.028658 0.145902
a_pos l_sep 0.035406 0.145961
a_pos l_pos 0.057972 0.152810
a_pos Rp_neg 0.031747 0.145114
a_pos Rp_pos 0.031749 0.145114
a_pos epsilon_f_neg 0.032103 0.145366
a_pos epsilon_f_pos 0.032665 0.143957
a_pos epsilon_neg 0.027027 0.142139
a_pos epsilon_sep 0.031747 0.145114
a_pos epsilon_pos 0.013318 0.145506
a_pos Cdl_neg 0.031965 0.144999
a_pos Cdl_pos 0.025448 0.142991
a_pos cs_max_neg 0.031747 0.145114
a_pos cs_max_pos 0.031747 0.145114
