Parameter S1 S1_conf ST ST_conf
a_neg 0.306142 0.144581 0.262097 0.061134
a_pos 0.096065 0.084025 0.070916 0.028254
l_neg -0.058216 0.041271 0.018667 0.009389
l_sep 0.019258 0.036848 0.008541 0.003272
l_pos 0.222889 0.183413 0.330176 0.071296
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001303 0.002622 0.000071 0.000026
epsilon_f_pos -0.007805 0.008716 0.001318 0.000333
epsilon_neg 0.111084 0.086893 0.127051 0.044594
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.133377 0.089892 0.080343 0.021425
Cdl_neg -0.043372 0.044646 0.060885 0.019200
Cdl_pos 0.183725 0.118308 0.058550 0.027050
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000458 0.000333 0.000003 0.000003
D 0.000002 0.000006 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.002093 0.002187 0.000264 0.000242
i0_pos 0.008480 0.007089 0.003163 0.002889
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000739 0.000384 0.000003 0.000002
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 -0.001413 0.040753 0.030334 0.009985
sigma_neg 0.022878 0.023966 0.017379 0.005225
sigma_pos 0.069459 0.074700 0.103379 0.028845

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.260278 0.234487
a_neg l_neg -0.224042 0.225916
a_neg l_sep -0.256082 0.225089
a_neg l_pos -0.297491 0.226526
a_neg Rp_neg -0.242992 0.228048
a_neg Rp_pos -0.242992 0.228048
a_neg epsilon_f_neg -0.242144 0.227962
a_neg epsilon_f_pos -0.254710 0.226869
a_neg epsilon_neg -0.205020 0.254153
a_neg epsilon_sep -0.242992 0.228048
a_neg epsilon_pos -0.251779 0.233717
a_neg Cdl_neg -0.217037 0.226809
a_neg Cdl_pos -0.281457 0.244658
a_neg cs_max_neg -0.242992 0.228048
a_neg cs_max_pos -0.242992 0.228048
a_neg c0 -0.242921 0.228020
a_neg D -0.242991 0.228048
a_neg Ds_neg -0.242992 0.228048
a_neg Ds_pos -0.242992 0.228048
a_neg d2Udcp2_pos_sgn -0.242992 0.228048
a_neg d2Udcp2_neg_sgn -0.242992 0.228048
a_neg d3Udcp3_pos_sgn -0.242992 0.228048
a_neg d3Udcp3_neg_sgn -0.242992 0.228048
a_neg dUdcp_pos_mag -0.242992 0.228048
a_neg dUdcp_neg_mag -0.242992 0.228048
a_neg d2Udcp2_pos_mag -0.242992 0.228048
a_neg d2Udcp2_neg_mag -0.242992 0.228048
a_neg d3Udcp3_pos_mag -0.242992 0.228048
a_neg d3Udcp3_neg_mag -0.242992 0.228048
a_neg i0_neg -0.245521 0.227734
a_neg i0_pos -0.231008 0.229885
a_neg SOC_neg -0.242992 0.228048
a_neg SOC_pos -0.242992 0.228048
a_neg tP -0.242841 0.228013
a_neg aa_neg -0.242992 0.228048
a_neg aa_pos -0.242992 0.228048
a_neg kappa_0 -0.226947 0.227838
a_neg sigma_neg -0.253129 0.226781
a_neg sigma_pos -0.283786 0.236064
a_pos l_neg -0.106693 0.144368
a_pos l_sep -0.096828 0.145058
a_pos l_pos -0.075867 0.139703
a_pos Rp_neg -0.104874 0.145037
a_pos Rp_pos -0.104874 0.145037
a_pos epsilon_f_neg -0.104355 0.145272
a_pos epsilon_f_pos -0.106835 0.144106
a_pos epsilon_neg -0.108000 0.142938
a_pos epsilon_sep -0.104874 0.145037
a_pos epsilon_pos -0.110139 0.145935
a_pos Cdl_neg -0.078029 0.157082
a_pos Cdl_pos -0.108515 0.147707
a_pos cs_max_neg -0.104874 0.145037
a_pos cs_max_pos -0.104874 0.145037
a_pos c0 -0.104916 0.145032
a_pos D -0.104874 0.145037
a_pos Ds_neg -0.104874 0.145037
a_pos Ds_pos -0.104874 0.145037
a_pos d2Udcp2_pos_sgn -0.104874 0.145037
a_pos d2Udcp2_neg_sgn -0.104874 0.145037
a_pos d3Udcp3_pos_sgn -0.104874 0.145037
a_pos d3Udcp3_neg_sgn -0.104874 0.145037
a_pos dUdcp_pos_mag -0.104874 0.145037
a_pos dUdcp_neg_mag -0.104874 0.145037
a_pos d2Udcp2_pos_mag -0.104874 0.145037
a_pos d2Udcp2_neg_mag -0.104874 0.145037
a_pos d3Udcp3_pos_mag -0.104874 0.145037
a_pos d3Udcp3_neg_mag -0.104874 0.145037
a_pos i0_neg -0.104604 0.145042
a_pos i0_pos -0.107338 0.145679
a_pos SOC_neg -0.104874 0.145037
a_pos SOC_pos -0.104874 0.145037
a_pos tP -0.105027 0.145018
a_pos aa_neg -0.104874 0.145037
a_pos aa_pos -0.104874 0.145037
a_pos kappa_0 -0.113771 0.148432
a_pos sigma_neg -0.097782 0.141496
a_pos sigma_pos -0.104601 0.140582
l_neg l_sep 0.078935 0.050502
l_neg l_pos 0.086059 0.050954
l_neg Rp_neg 0.074463 0.049603
l_neg Rp_pos 0.074463 0.049603
l_neg epsilon_f_neg 0.074364 0.049543
l_neg epsilon_f_pos 0.073847 0.049528
l_neg epsilon_neg 0.079980 0.052016
l_neg epsilon_sep 0.074463 0.049603
l_neg epsilon_pos 0.080994 0.049821
l_neg Cdl_neg 0.072694 0.049214
l_neg Cdl_pos 0.077025 0.051199
l_neg cs_max_neg 0.074463 0.049603
l_neg cs_max_pos 0.074463 0.049603
l_neg c0 0.074464 0.049604
l_neg D 0.074463 0.049604
l_neg Ds_neg 0.074463 0.049603
l_neg Ds_pos 0.074463 0.049603
l_neg d2Udcp2_pos_sgn 0.074463 0.049603
l_neg d2Udcp2_neg_sgn 0.074463 0.049603
l_neg d3Udcp3_pos_sgn 0.074463 0.049603
l_neg d3Udcp3_neg_sgn 0.074463 0.049603
l_neg dUdcp_pos_mag 0.074463 0.049603
l_neg dUdcp_neg_mag 0.074463 0.049603
l_neg d2Udcp2_pos_mag 0.074463 0.049603
l_neg d2Udcp2_neg_mag 0.074463 0.049603
l_neg d3Udcp3_pos_mag 0.074463 0.049603
l_neg d3Udcp3_neg_mag 0.074463 0.049603
l_neg i0_neg 0.074173 0.049595
l_neg i0_pos 0.073729 0.049678
l_neg SOC_neg 0.074463 0.049603
l_neg SOC_pos 0.074463 0.049603
l_neg tP 0.074462 0.049602
l_neg aa_neg 0.074463 0.049603
l_neg aa_pos 0.074463 0.049603
l_neg kappa_0 0.073298 0.049533
l_neg sigma_neg 0.073109 0.050307
l_neg sigma_pos 0.074709 0.049787
l_sep l_pos 0.008542 0.060528
l_sep Rp_neg -0.003728 0.052121
l_sep Rp_pos -0.003728 0.052121
l_sep epsilon_f_neg -0.003882 0.052127
l_sep epsilon_f_pos -0.003970 0.052248
l_sep epsilon_neg -0.011498 0.051253
l_sep epsilon_sep -0.003728 0.052121
l_sep epsilon_pos -0.006287 0.054941
l_sep Cdl_neg -0.005984 0.051904
l_sep Cdl_pos 0.002574 0.055194
l_sep cs_max_neg -0.003728 0.052121
l_sep cs_max_pos -0.003728 0.052121
l_sep c0 -0.003759 0.052120
l_sep D -0.003728 0.052122
l_sep Ds_neg -0.003728 0.052121
l_sep Ds_pos -0.003728 0.052121
l_sep d2Udcp2_pos_sgn -0.003728 0.052121
l_sep d2Udcp2_neg_sgn -0.003728 0.052121
l_sep d3Udcp3_pos_sgn -0.003728 0.052121
l_sep d3Udcp3_neg_sgn -0.003728 0.052121
l_sep dUdcp_pos_mag -0.003728 0.052121
l_sep dUdcp_neg_mag -0.003728 0.052121
l_sep d2Udcp2_pos_mag -0.003728 0.052121
l_sep d2Udcp2_neg_mag -0.003728 0.052121
l_sep d3Udcp3_pos_mag -0.003728 0.052121
l_sep d3Udcp3_neg_mag -0.003728 0.052121
l_sep i0_neg -0.003872 0.052106
l_sep i0_pos -0.003316 0.052123
l_sep SOC_neg -0.003728 0.052121
l_sep SOC_pos -0.003728 0.052121
l_sep tP -0.003742 0.052112
l_sep aa_neg -0.003728 0.052121
l_sep aa_pos -0.003728 0.052121
l_sep kappa_0 0.002079 0.052619
l_sep sigma_neg -0.003529 0.052353
l_sep sigma_pos -0.004357 0.052458
l_pos Rp_neg 0.113110 0.343674
l_pos Rp_pos 0.113110 0.343674
l_pos epsilon_f_neg 0.113875 0.343898
l_pos epsilon_f_pos 0.109589 0.343574
l_pos epsilon_neg 0.036351 0.333360
l_pos epsilon_sep 0.113110 0.343674
l_pos epsilon_pos 0.079633 0.351065
l_pos Cdl_neg 0.079066 0.336828
l_pos Cdl_pos 0.075276 0.376259
l_pos cs_max_neg 0.113110 0.343674
l_pos cs_max_pos 0.113110 0.343674
l_pos c0 0.112959 0.343602
l_pos D 0.113111 0.343674
l_pos Ds_neg 0.113110 0.343674
l_pos Ds_pos 0.113110 0.343674
l_pos d2Udcp2_pos_sgn 0.113110 0.343674
l_pos d2Udcp2_neg_sgn 0.113110 0.343674
l_pos d3Udcp3_pos_sgn 0.113110 0.343674
l_pos d3Udcp3_neg_sgn 0.113110 0.343674
l_pos dUdcp_pos_mag 0.113110 0.343674
l_pos dUdcp_neg_mag 0.113110 0.343674
l_pos d2Udcp2_pos_mag 0.113110 0.343674
l_pos d2Udcp2_neg_mag 0.113110 0.343674
l_pos d3Udcp3_pos_mag 0.113110 0.343674
l_pos d3Udcp3_neg_mag 0.113110 0.343674
l_pos i0_neg 0.113706 0.343689
l_pos i0_pos 0.116305 0.344502
l_pos SOC_neg 0.113110 0.343674
l_pos SOC_pos 0.113110 0.343674
l_pos tP 0.113074 0.343584
l_pos aa_neg 0.113110 0.343674
l_pos aa_pos 0.113110 0.343674
l_pos kappa_0 0.121658 0.350305
l_pos sigma_neg 0.097127 0.337456
l_pos sigma_pos 0.064442 0.334659
Rp_neg Rp_pos -0.000000 0.000000
Rp_neg epsilon_f_neg -0.000000 0.000000
Rp_neg epsilon_f_pos -0.000000 0.000000
Rp_neg epsilon_neg -0.000000 0.000000
Rp_neg epsilon_sep -0.000000 0.000000
Rp_neg epsilon_pos -0.000000 0.000000
Rp_neg Cdl_neg -0.000000 0.000000
Rp_neg Cdl_pos -0.000000 0.000000
Rp_neg cs_max_neg -0.000000 0.000000
Rp_neg cs_max_pos -0.000000 0.000000
Rp_neg c0 -0.000000 0.000000
Rp_neg D -0.000000 0.000000
Rp_neg Ds_neg -0.000000 0.000000
Rp_neg Ds_pos -0.000000 0.000000
Rp_neg d2Udcp2_pos_sgn -0.000000 0.000000
Rp_neg d2Udcp2_neg_sgn -0.000000 0.000000
Rp_neg d3Udcp3_pos_sgn -0.000000 0.000000
Rp_neg d3Udcp3_neg_sgn -0.000000 0.000000
Rp_neg dUdcp_pos_mag -0.000000 0.000000
Rp_neg dUdcp_neg_mag -0.000000 0.000000
Rp_neg d2Udcp2_pos_mag -0.000000 0.000000
Rp_neg d2Udcp2_neg_mag -0.000000 0.000000
Rp_neg d3Udcp3_pos_mag -0.000000 0.000000
Rp_neg d3Udcp3_neg_mag -0.000000 0.000000
Rp_neg i0_neg -0.000000 0.000000
Rp_neg i0_pos -0.000000 0.000000
Rp_neg SOC_neg -0.000000 0.000000
Rp_neg SOC_pos -0.000000 0.000000
Rp_neg tP -0.000000 0.000000
Rp_neg aa_neg -0.000000 0.000000
Rp_neg aa_pos -0.000000 0.000000
Rp_neg kappa_0 -0.000000 0.000000
Rp_neg sigma_neg -0.000000 0.000000
Rp_neg sigma_pos -0.000000 0.000000
Rp_pos epsilon_f_neg -0.000001 0.000001
Rp_pos epsilon_f_pos -0.000001 0.000001
Rp_pos epsilon_neg -0.000001 0.000001
Rp_pos epsilon_sep -0.000001 0.000001
Rp_pos epsilon_pos -0.000001 0.000001
Rp_pos Cdl_neg -0.000001 0.000001
Rp_pos Cdl_pos -0.000001 0.000001
Rp_pos cs_max_neg -0.000001 0.000001
Rp_pos cs_max_pos -0.000001 0.000001
Rp_pos c0 -0.000001 0.000001
Rp_pos D -0.000001 0.000001
Rp_pos Ds_neg -0.000001 0.000001
Rp_pos Ds_pos -0.000001 0.000001
Rp_pos d2Udcp2_pos_sgn -0.000001 0.000001
Rp_pos d2Udcp2_neg_sgn -0.000001 0.000001
Rp_pos d3Udcp3_pos_sgn -0.000001 0.000001
Rp_pos d3Udcp3_neg_sgn -0.000001 0.000001
Rp_pos dUdcp_pos_mag -0.000001 0.000001
Rp_pos dUdcp_neg_mag -0.000001 0.000001
Rp_pos d2Udcp2_pos_mag -0.000001 0.000001
Rp_pos d2Udcp2_neg_mag -0.000001 0.000001
Rp_pos d3Udcp3_pos_mag -0.000001 0.000001
Rp_pos d3Udcp3_neg_mag -0.000001 0.000001
Rp_pos i0_neg -0.000001 0.000001
Rp_pos i0_pos -0.000001 0.000001
Rp_pos SOC_neg -0.000001 0.000001
Rp_pos SOC_pos -0.000001 0.000001
Rp_pos tP -0.000001 0.000001
Rp_pos aa_neg -0.000001 0.000001
Rp_pos aa_pos -0.000001 0.000001
Rp_pos kappa_0 -0.000002 0.000001
Rp_pos sigma_neg -0.000002 0.000001
Rp_pos sigma_pos -0.000001 0.000001
epsilon_f_neg epsilon_f_pos 0.001015 0.003236
epsilon_f_neg epsilon_neg 0.001716 0.003408
epsilon_f_neg epsilon_sep 0.001025 0.003253
epsilon_f_neg epsilon_pos 0.000886 0.003306
epsilon_f_neg Cdl_neg 0.000595 0.003363
epsilon_f_neg Cdl_pos 0.000337 0.003526
epsilon_f_neg cs_max_neg 0.001025 0.003253
epsilon_f_neg cs_max_pos 0.001025 0.003253
epsilon_f_neg c0 0.001028 0.003253
epsilon_f_neg D 0.001025 0.003253
epsilon_f_neg Ds_neg 0.001025 0.003253
epsilon_f_neg Ds_pos 0.001025 0.003253
epsilon_f_neg d2Udcp2_pos_sgn 0.001025 0.003253
epsilon_f_neg d2Udcp2_neg_sgn 0.001025 0.003253
epsilon_f_neg d3Udcp3_pos_sgn 0.001025 0.003253
epsilon_f_neg d3Udcp3_neg_sgn 0.001025 0.003253
epsilon_f_neg dUdcp_pos_mag 0.001025 0.003253
epsilon_f_neg dUdcp_neg_mag 0.001025 0.003253
epsilon_f_neg d2Udcp2_pos_mag 0.001025 0.003253
epsilon_f_neg d2Udcp2_neg_mag 0.001025 0.003253
epsilon_f_neg d3Udcp3_pos_mag 0.001025 0.003253
epsilon_f_neg d3Udcp3_neg_mag 0.001025 0.003253
epsilon_f_neg i0_neg 0.001028 0.003252
epsilon_f_neg i0_pos 0.001014 0.003255
epsilon_f_neg SOC_neg 0.001025 0.003253
epsilon_f_neg SOC_pos 0.001025 0.003253
epsilon_f_neg tP 0.001027 0.003253
epsilon_f_neg aa_neg 0.001025 0.003253
epsilon_f_neg aa_pos 0.001025 0.003253
epsilon_f_neg kappa_0 0.000978 0.003266
epsilon_f_neg sigma_neg 0.001084 0.003279
epsilon_f_neg sigma_pos 0.001151 0.003277
epsilon_f_pos epsilon_neg 0.026481 0.017266
epsilon_f_pos epsilon_sep 0.021386 0.015998
epsilon_f_pos epsilon_pos 0.020661 0.016351
epsilon_f_pos Cdl_neg 0.021348 0.015598
epsilon_f_pos Cdl_pos 0.021430 0.016967
epsilon_f_pos cs_max_neg 0.021386 0.015998
epsilon_f_pos cs_max_pos 0.021386 0.015998
epsilon_f_pos c0 0.021388 0.015998
epsilon_f_pos D 0.021386 0.015998
epsilon_f_pos Ds_neg 0.021386 0.015998
epsilon_f_pos Ds_pos 0.021386 0.015998
epsilon_f_pos d2Udcp2_pos_sgn 0.021386 0.015998
epsilon_f_pos d2Udcp2_neg_sgn 0.021386 0.015998
epsilon_f_pos d3Udcp3_pos_sgn 0.021386 0.015998
epsilon_f_pos d3Udcp3_neg_sgn 0.021386 0.015998
epsilon_f_pos dUdcp_pos_mag 0.021386 0.015998
epsilon_f_pos dUdcp_neg_mag 0.021386 0.015998
epsilon_f_pos d2Udcp2_pos_mag 0.021386 0.015998
epsilon_f_pos d2Udcp2_neg_mag 0.021386 0.015998
epsilon_f_pos d3Udcp3_pos_mag 0.021386 0.015998
epsilon_f_pos d3Udcp3_neg_mag 0.021386 0.015998
epsilon_f_pos i0_neg 0.021341 0.015974
epsilon_f_pos i0_pos 0.021951 0.016115
epsilon_f_pos SOC_neg 0.021386 0.015998
epsilon_f_pos SOC_pos 0.021386 0.015998
epsilon_f_pos tP 0.021405 0.015997
epsilon_f_pos aa_neg 0.021386 0.015998
epsilon_f_pos aa_pos 0.021386 0.015998
epsilon_f_pos kappa_0 0.018702 0.015477
epsilon_f_pos sigma_neg 0.020863 0.016175
epsilon_f_pos sigma_pos 0.024858 0.017285
epsilon_neg epsilon_sep -0.132133 0.130195
epsilon_neg epsilon_pos -0.135149 0.129124
epsilon_neg Cdl_neg -0.110671 0.132009
epsilon_neg Cdl_pos -0.136631 0.143072
epsilon_neg cs_max_neg -0.132133 0.130195
epsilon_neg cs_max_pos -0.132133 0.130195
epsilon_neg c0 -0.132214 0.130184
epsilon_neg D -0.132133 0.130195
epsilon_neg Ds_neg -0.132133 0.130195
epsilon_neg Ds_pos -0.132133 0.130195
epsilon_neg d2Udcp2_pos_sgn -0.132133 0.130195
epsilon_neg d2Udcp2_neg_sgn -0.132133 0.130195
epsilon_neg d3Udcp3_pos_sgn -0.132133 0.130195
epsilon_neg d3Udcp3_neg_sgn -0.132133 0.130195
epsilon_neg dUdcp_pos_mag -0.132133 0.130195
epsilon_neg dUdcp_neg_mag -0.132133 0.130195
epsilon_neg d2Udcp2_pos_mag -0.132133 0.130195
epsilon_neg d2Udcp2_neg_mag -0.132133 0.130195
epsilon_neg d3Udcp3_pos_mag -0.132133 0.130195
epsilon_neg d3Udcp3_neg_mag -0.132133 0.130195
epsilon_neg i0_neg -0.132464 0.130130
epsilon_neg i0_pos -0.133561 0.130316
epsilon_neg SOC_neg -0.132133 0.130195
epsilon_neg SOC_pos -0.132133 0.130195
epsilon_neg tP -0.132210 0.130185
epsilon_neg aa_neg -0.132133 0.130195
epsilon_neg aa_pos -0.132133 0.130195
epsilon_neg kappa_0 -0.129947 0.129074
epsilon_neg sigma_neg -0.139007 0.132318
epsilon_neg sigma_pos -0.149893 0.134622
epsilon_sep epsilon_pos -0.000000 0.000000
epsilon_sep Cdl_neg -0.000000 0.000000
epsilon_sep Cdl_pos -0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 -0.000000 0.000000
epsilon_sep D -0.000000 0.000000
epsilon_sep Ds_neg -0.000000 0.000000
epsilon_sep Ds_pos -0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn 0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag 0.000000 0.000000
epsilon_sep dUdcp_neg_mag -0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag 0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag 0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag 0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos -0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP -0.000000 0.000000
epsilon_sep aa_neg 0.000000 0.000000
epsilon_sep aa_pos 0.000000 0.000000
epsilon_sep kappa_0 -0.000000 0.000000
epsilon_sep sigma_neg 0.000000 0.000000
epsilon_sep sigma_pos 0.000000 0.000000
epsilon_pos Cdl_neg -0.151902 0.151628
epsilon_pos Cdl_pos -0.124563 0.159803
epsilon_pos cs_max_neg -0.145691 0.154267
epsilon_pos cs_max_pos -0.145691 0.154267
epsilon_pos c0 -0.145777 0.154248
epsilon_pos D -0.145690 0.154267
epsilon_pos Ds_neg -0.145691 0.154267
epsilon_pos Ds_pos -0.145691 0.154267
epsilon_pos d2Udcp2_pos_sgn -0.145691 0.154267
epsilon_pos d2Udcp2_neg_sgn -0.145691 0.154267
epsilon_pos d3Udcp3_pos_sgn -0.145691 0.154267
epsilon_pos d3Udcp3_neg_sgn -0.145691 0.154267
epsilon_pos dUdcp_pos_mag -0.145691 0.154267
