Parameter S1 S1_conf ST ST_conf
a_neg -0.022717 0.045440 0.191049 0.126126
a_pos 0.018186 0.023945 0.038083 0.022420
l_neg 0.019691 0.021533 0.004208 0.003465
l_sep -0.000456 0.003720 0.000554 0.000339
l_pos 0.017811 0.018572 0.012181 0.003251
Rp_neg -0.005647 0.026704 0.123977 0.061069
Rp_pos 0.001283 0.011567 0.002182 0.001024
epsilon_f_neg -0.000398 0.002187 0.000044 0.000025
epsilon_f_pos 0.002999 0.003971 0.000269 0.000114
epsilon_neg -0.068571 0.051980 0.048060 0.015080
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.105655 0.081954 0.116167 0.061850
Cdl_neg -0.003896 0.021270 0.017232 0.006901
Cdl_pos -0.110189 0.141409 0.101648 0.054808
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.063047 0.074393 0.048435 0.037373
D 0.004261 0.004398 0.000440 0.000253
Ds_neg 0.053876 0.068116 0.514368 0.403313
Ds_pos 0.046982 0.058662 0.181921 0.112071
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.564942 0.472136 0.472454 0.270803
dUdcp_neg_mag 0.152781 0.112695 0.278459 0.144288
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.079951 0.041239 0.101771 0.040073
i0_pos 0.082115 0.210930 0.281077 0.107801
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.038585 0.023324 0.048587 0.030364
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.019992 0.019187 0.005518 0.002644
sigma_neg 0.045985 0.033080 0.011593 0.009443
sigma_pos 0.035249 0.021495 0.012015 0.004952

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.018571 0.066731
a_neg l_neg 0.004628 0.067535
a_neg l_sep 0.000176 0.066277
a_neg l_pos 0.007915 0.067387
a_neg Rp_neg -0.011388 0.062613
a_neg Rp_pos 0.002607 0.067216
a_neg epsilon_f_neg 0.001049 0.067111
a_neg epsilon_f_pos 0.001268 0.067323
a_neg epsilon_neg 0.011084 0.064657
a_neg epsilon_sep 0.001052 0.067114
a_neg epsilon_pos -0.008851 0.065025
a_neg Cdl_neg 0.007938 0.068680
a_neg Cdl_pos -0.015425 0.072461
a_neg cs_max_neg 0.001052 0.067114
a_neg cs_max_pos 0.001052 0.067114
a_neg c0 -0.017116 0.062096
a_neg D -0.001055 0.066328
a_neg Ds_neg -0.007451 0.065225
a_neg Ds_pos 0.011506 0.069409
a_neg d2Udcp2_pos_sgn 0.001052 0.067114
a_neg d2Udcp2_neg_sgn 0.001052 0.067114
a_neg d3Udcp3_pos_sgn 0.001052 0.067114
a_neg d3Udcp3_neg_sgn 0.001052 0.067114
a_neg dUdcp_pos_mag -0.070841 0.099195
a_neg dUdcp_neg_mag -0.031979 0.070532
a_neg d2Udcp2_pos_mag 0.001052 0.067114
a_neg d2Udcp2_neg_mag 0.001052 0.067114
a_neg d3Udcp3_pos_mag 0.001052 0.067114
a_neg d3Udcp3_neg_mag 0.001052 0.067114
a_neg i0_neg -0.008596 0.067391
a_neg i0_pos 0.019448 0.076990
a_neg SOC_neg 0.001052 0.067114
a_neg SOC_pos 0.001052 0.067114
a_neg tP -0.008513 0.057860
a_neg aa_neg 0.001052 0.067114
a_neg aa_pos 0.001052 0.067114
a_neg kappa_0 0.010180 0.071018
a_neg sigma_neg 0.004169 0.067364
a_neg sigma_pos 0.000049 0.068812
a_pos l_neg -0.001297 0.038325
a_pos l_sep -0.002413 0.035844
a_pos l_pos 0.001457 0.040257
a_pos Rp_neg 0.001334 0.037187
a_pos Rp_pos -0.003800 0.036083
a_pos epsilon_f_neg -0.001876 0.036451
a_pos epsilon_f_pos -0.002980 0.035743
a_pos epsilon_neg 0.011119 0.046335
a_pos epsilon_sep -0.002676 0.035992
a_pos epsilon_pos 0.005029 0.039154
a_pos Cdl_neg -0.008587 0.031277
a_pos Cdl_pos 0.007807 0.037493
a_pos cs_max_neg -0.002676 0.035992
a_pos cs_max_pos -0.002676 0.035992
a_pos c0 0.009412 0.037399
a_pos D -0.001860 0.035979
a_pos Ds_neg -0.001428 0.036926
a_pos Ds_pos -0.006312 0.036381
a_pos d2Udcp2_pos_sgn -0.002676 0.035992
a_pos d2Udcp2_neg_sgn -0.002676 0.035992
a_pos d3Udcp3_pos_sgn -0.002676 0.035992
a_pos d3Udcp3_neg_sgn -0.002676 0.035992
a_pos dUdcp_pos_mag 0.073936 0.071112
a_pos dUdcp_neg_mag 0.008433 0.040009
a_pos d2Udcp2_pos_mag -0.002676 0.035992
a_pos d2Udcp2_neg_mag -0.002676 0.035992
a_pos d3Udcp3_pos_mag -0.002676 0.035992
a_pos d3Udcp3_neg_mag -0.002676 0.035992
a_pos i0_neg -0.003681 0.032863
a_pos i0_pos -0.063978 0.079659
a_pos SOC_neg -0.002676 0.035992
a_pos SOC_pos -0.002676 0.035992
a_pos tP -0.003950 0.035457
a_pos aa_neg -0.002676 0.035992
a_pos aa_pos -0.002676 0.035992
a_pos kappa_0 -0.003781 0.036363
a_pos sigma_neg 0.001391 0.040261
a_pos sigma_pos -0.003385 0.037618
l_neg l_sep -0.019153 0.022635
l_neg l_pos -0.019364 0.022746
l_neg Rp_neg -0.018769 0.022607
l_neg Rp_pos -0.019283 0.022685
l_neg epsilon_f_neg -0.019192 0.022633
l_neg epsilon_f_pos -0.019222 0.022658
l_neg epsilon_neg -0.019625 0.022638
l_neg epsilon_sep -0.019180 0.022638
l_neg epsilon_pos -0.018402 0.022167
l_neg Cdl_neg -0.018466 0.022592
l_neg Cdl_pos -0.019065 0.022547
l_neg cs_max_neg -0.019180 0.022638
l_neg cs_max_pos -0.019180 0.022638
l_neg c0 -0.019060 0.022730
l_neg D -0.019175 0.022632
l_neg Ds_neg -0.019321 0.022640
l_neg Ds_pos -0.019060 0.022631
l_neg d2Udcp2_pos_sgn -0.019180 0.022638
l_neg d2Udcp2_neg_sgn -0.019180 0.022638
l_neg d3Udcp3_pos_sgn -0.019180 0.022638
l_neg d3Udcp3_neg_sgn -0.019180 0.022638
l_neg dUdcp_pos_mag -0.016093 0.023240
l_neg dUdcp_neg_mag -0.016851 0.022683
l_neg d2Udcp2_pos_mag -0.019180 0.022638
l_neg d2Udcp2_neg_mag -0.019180 0.022638
l_neg d3Udcp3_pos_mag -0.019180 0.022638
l_neg d3Udcp3_neg_mag -0.019180 0.022638
l_neg i0_neg -0.019702 0.022670
l_neg i0_pos -0.019330 0.022495
l_neg SOC_neg -0.019180 0.022638
l_neg SOC_pos -0.019180 0.022638
l_neg tP -0.019327 0.022591
l_neg aa_neg -0.019180 0.022638
l_neg aa_pos -0.019180 0.022638
l_neg kappa_0 -0.019433 0.022735
l_neg sigma_neg -0.019462 0.022882
l_neg sigma_pos -0.019459 0.022719
l_sep l_pos 0.002219 0.006591
l_sep Rp_neg 0.000832 0.006369
l_sep Rp_pos 0.002560 0.006505
l_sep epsilon_f_neg 0.001863 0.006647
l_sep epsilon_f_pos 0.001869 0.006671
l_sep epsilon_neg 0.001404 0.006449
l_sep epsilon_sep 0.001918 0.006644
l_sep epsilon_pos 0.000861 0.006230
