Parameter S1 S1_conf ST ST_conf
a_neg -0.036310 0.072254 0.098366 0.026812
a_pos -0.023837 0.041839 0.022578 0.007758
l_neg -0.000270 0.007277 0.001209 0.000710
l_sep -0.004483 0.014740 0.002758 0.001672
l_pos 0.036914 0.042965 0.027236 0.007859
Rp_neg -0.004519 0.003622 0.000234 0.000123
Rp_pos 0.000040 0.002817 0.000266 0.000222
epsilon_f_neg -0.000399 0.001033 0.000047 0.000039
epsilon_f_pos -0.001959 0.007174 0.000476 0.000177
epsilon_neg -0.028632 0.063114 0.043948 0.012481
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.031432 0.050801 0.052430 0.015851
Cdl_neg 0.123508 0.099513 0.130699 0.034804
Cdl_pos -0.046604 0.082759 0.099659 0.038609
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000792 0.003237 0.000273 0.000216
D 0.000778 0.000813 0.000003 0.000003
Ds_neg 0.053178 0.051818 0.031263 0.030976
Ds_pos 0.009989 0.016522 0.001956 0.001423
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.024319 0.033801 0.005595 0.004993
dUdcp_neg_mag -0.001489 0.007077 0.000986 0.000460
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.261893 0.134094 0.197062 0.057170
i0_pos 0.454657 0.303022 0.480928 0.102297
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.004087 0.003120 0.000471 0.000314
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.011131 0.032434 0.008237 0.003056
sigma_neg -0.002759 0.010387 0.005173 0.002562
sigma_pos 0.041797 0.058439 0.034557 0.011500

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.019952 0.092037
a_neg l_neg -0.005521 0.091816
a_neg l_sep -0.003351 0.090976
a_neg l_pos -0.000229 0.093350
a_neg Rp_neg -0.007447 0.091268
a_neg Rp_pos -0.006915 0.091518
a_neg epsilon_f_neg -0.007445 0.091643
a_neg epsilon_f_pos -0.010166 0.092248
a_neg epsilon_neg 0.007876 0.090360
a_neg epsilon_sep -0.007550 0.091638
a_neg epsilon_pos 0.005695 0.090220
a_neg Cdl_neg 0.008000 0.104279
a_neg Cdl_pos 0.005003 0.092701
a_neg cs_max_neg -0.007550 0.091638
a_neg cs_max_pos -0.007550 0.091638
a_neg c0 -0.006789 0.091596
a_neg D -0.007708 0.091688
a_neg Ds_neg -0.015146 0.091807
a_neg Ds_pos -0.004889 0.091409
a_neg d2Udcp2_pos_sgn -0.007550 0.091638
a_neg d2Udcp2_neg_sgn -0.007550 0.091638
a_neg d3Udcp3_pos_sgn -0.007550 0.091638
a_neg d3Udcp3_neg_sgn -0.007550 0.091638
a_neg dUdcp_pos_mag -0.000705 0.091882
a_neg dUdcp_neg_mag -0.007628 0.091557
a_neg d2Udcp2_pos_mag -0.007550 0.091638
a_neg d2Udcp2_neg_mag -0.007550 0.091638
a_neg d3Udcp3_pos_mag -0.007550 0.091638
a_neg d3Udcp3_neg_mag -0.007550 0.091638
a_neg i0_neg -0.022614 0.103948
a_neg i0_pos -0.005005 0.101412
a_neg SOC_neg -0.007550 0.091638
a_neg SOC_pos -0.007550 0.091638
a_neg tP -0.006713 0.091473
a_neg aa_neg -0.007550 0.091638
a_neg aa_pos -0.007550 0.091638
a_neg kappa_0 0.001618 0.094686
a_neg sigma_neg -0.006413 0.091366
a_neg sigma_pos -0.013584 0.098268
a_pos l_neg 0.043149 0.047042
a_pos l_sep 0.042654 0.047220
a_pos l_pos 0.050887 0.047969
a_pos Rp_neg 0.043676 0.047530
a_pos Rp_pos 0.043438 0.047315
a_pos epsilon_f_neg 0.043235 0.047187
a_pos epsilon_f_pos 0.043180 0.046762
a_pos epsilon_neg 0.031271 0.044080
a_pos epsilon_sep 0.043061 0.047145
a_pos epsilon_pos 0.036256 0.046536
a_pos Cdl_neg 0.022526 0.043435
a_pos Cdl_pos 0.053748 0.049215
a_pos cs_max_neg 0.043061 0.047145
a_pos cs_max_pos 0.043061 0.047145
a_pos c0 0.042941 0.047173
a_pos D 0.042999 0.047152
a_pos Ds_neg 0.051297 0.048581
a_pos Ds_pos 0.039521 0.048014
a_pos d2Udcp2_pos_sgn 0.043061 0.047145
a_pos d2Udcp2_neg_sgn 0.043061 0.047145
a_pos d3Udcp3_pos_sgn 0.043061 0.047145
a_pos d3Udcp3_neg_sgn 0.043061 0.047145
a_pos dUdcp_pos_mag 0.042175 0.046892
a_pos dUdcp_neg_mag 0.042612 0.046690
a_pos d2Udcp2_pos_mag 0.043061 0.047145
a_pos d2Udcp2_neg_mag 0.043061 0.047145
a_pos d3Udcp3_pos_mag 0.043061 0.047145
