Parameter S1 S1_conf ST ST_conf
a_neg 0.084623 0.188015 0.195597 0.048888
a_pos -0.075973 0.091084 0.040214 0.013172
l_neg -0.023177 0.022971 0.003046 0.001139
l_sep 0.005993 0.050428 0.008204 0.004747
l_pos 0.206219 0.161517 0.141189 0.028207
Rp_neg -0.000293 0.000307 0.000002 0.000002
Rp_pos -0.000343 0.000439 0.000001 0.000001
epsilon_f_neg -0.001001 0.002753 0.000080 0.000032
epsilon_f_pos -0.013445 0.014934 0.001374 0.000368
epsilon_neg 0.113742 0.129438 0.086301 0.020031
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.119725 0.148329 0.097005 0.026996
Cdl_neg 0.082460 0.090418 0.074085 0.026321
Cdl_pos -0.079747 0.089301 0.059768 0.028913
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000758 0.000676 0.000007 0.000005
D 0.000115 0.000120 0.000000 0.000000
Ds_neg 0.000463 0.000537 0.000006 0.000006
Ds_pos 0.000555 0.001547 0.000006 0.000005
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000920 0.000841 0.000003 0.000001
dUdcp_neg_mag 0.000091 0.000405 0.000002 0.000002
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.055557 0.104697 0.059230 0.022601
i0_pos -0.049036 0.167536 0.143043 0.043737
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.002097 0.001191 0.000014 0.000010
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.011025 0.094625 0.043264 0.013545
sigma_neg -0.007551 0.030071 0.014246 0.004962
sigma_pos 0.045215 0.108302 0.107894 0.030090

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.065176 0.329943
a_neg l_neg -0.045049 0.325338
a_neg l_sep -0.039045 0.321095
a_neg l_pos -0.090421 0.323819
a_neg Rp_neg -0.049025 0.325741
a_neg Rp_pos -0.048815 0.325665
a_neg epsilon_f_neg -0.048852 0.325742
a_neg epsilon_f_pos -0.057358 0.326025
a_neg epsilon_neg -0.063709 0.339352
a_neg epsilon_sep -0.049022 0.325742
a_neg epsilon_pos -0.039718 0.320933
a_neg Cdl_neg -0.031181 0.326953
a_neg Cdl_pos 0.004208 0.313827
a_neg cs_max_neg -0.049022 0.325742
a_neg cs_max_pos -0.049022 0.325742
a_neg c0 -0.048735 0.325634
a_neg D -0.049069 0.325763
a_neg Ds_neg -0.049081 0.325735
a_neg Ds_pos -0.048733 0.325624
a_neg d2Udcp2_pos_sgn -0.049022 0.325742
a_neg d2Udcp2_neg_sgn -0.049022 0.325742
a_neg d3Udcp3_pos_sgn -0.049022 0.325742
a_neg d3Udcp3_neg_sgn -0.049022 0.325742
a_neg dUdcp_pos_mag -0.048801 0.325608
a_neg dUdcp_neg_mag -0.048973 0.325742
a_neg d2Udcp2_pos_mag -0.049022 0.325742
a_neg d2Udcp2_neg_mag -0.049022 0.325742
a_neg d3Udcp3_pos_mag -0.049022 0.325742
a_neg d3Udcp3_neg_mag -0.049022 0.325742
a_neg i0_neg -0.066503 0.321801
a_neg i0_pos 0.034473 0.315789
a_neg SOC_neg -0.049022 0.325742
a_neg SOC_pos -0.049022 0.325742
a_neg tP -0.048518 0.325590
a_neg aa_neg -0.049022 0.325742
a_neg aa_pos -0.049022 0.325742
a_neg kappa_0 0.002743 0.318985
a_neg sigma_neg -0.046657 0.323682
a_neg sigma_pos -0.049852 0.329074
a_pos l_neg 0.123603 0.156460
a_pos l_sep 0.126026 0.156040
a_pos l_pos 0.140973 0.164946
a_pos Rp_neg 0.125313 0.155771
a_pos Rp_pos 0.125389 0.155784
a_pos epsilon_f_neg 0.125542 0.155900
a_pos epsilon_f_pos 0.127281 0.155236
a_pos epsilon_neg 0.110793 0.147010
a_pos epsilon_sep 0.125375 0.155776
a_pos epsilon_pos 0.096708 0.149992
a_pos Cdl_neg 0.090957 0.143076
a_pos Cdl_pos 0.109191 0.150727
a_pos cs_max_neg 0.125375 0.155776
a_pos cs_max_pos 0.125375 0.155776
