Parameter S1 S1_conf ST ST_conf
a_neg 0.185311 0.149467 0.218788 0.054773
a_pos 0.028057 0.067718 0.047417 0.018356
l_neg -0.039662 0.037364 0.008616 0.003642
l_sep 0.014616 0.045319 0.008679 0.003540
l_pos 0.231881 0.172289 0.275557 0.057991
Rp_neg 0.000002 0.000003 0.000000 0.000000
Rp_pos -0.000008 0.000007 0.000000 0.000000
epsilon_f_neg -0.000247 0.003074 0.000086 0.000034
epsilon_f_pos -0.009694 0.012792 0.001453 0.000340
epsilon_neg 0.123831 0.106143 0.106331 0.027200
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.191705 0.127521 0.098618 0.023375
Cdl_neg -0.021756 0.044660 0.027577 0.006475
Cdl_pos 0.039951 0.072625 0.035012 0.014721
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000454 0.000371 0.000003 0.000003
D 0.000001 0.000009 0.000000 0.000000
Ds_neg -0.000004 0.000004 0.000000 0.000000
Ds_pos 0.000004 0.000012 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000022 0.000027 0.000000 0.000000
dUdcp_neg_mag -0.000002 0.000001 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.019953 0.017400 0.002745 0.001566
i0_pos 0.034454 0.037767 0.022246 0.013035
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000977 0.000465 0.000005 0.000004
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 -0.004322 0.072866 0.045708 0.014276
sigma_neg 0.024646 0.031303 0.018551 0.005787
sigma_pos 0.057102 0.092934 0.109172 0.025583

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.080581 0.273588
a_neg l_neg -0.053369 0.269317
a_neg l_sep -0.069617 0.265344
a_neg l_pos -0.128927 0.260877
a_neg Rp_neg -0.064249 0.269319
a_neg Rp_pos -0.064248 0.269319
a_neg epsilon_f_neg -0.063813 0.269310
a_neg epsilon_f_pos -0.077895 0.268790
a_neg epsilon_neg -0.043483 0.290097
a_neg epsilon_sep -0.064248 0.269319
a_neg epsilon_pos -0.069057 0.273107
a_neg Cdl_neg -0.048635 0.270875
a_neg Cdl_pos -0.047755 0.270507
a_neg cs_max_neg -0.064248 0.269319
a_neg cs_max_pos -0.064248 0.269319
a_neg c0 -0.064142 0.269283
a_neg D -0.064249 0.269320
a_neg Ds_neg -0.064251 0.269319
a_neg Ds_pos -0.064254 0.269321
a_neg d2Udcp2_pos_sgn -0.064248 0.269319
a_neg d2Udcp2_neg_sgn -0.064248 0.269319
a_neg d3Udcp3_pos_sgn -0.064248 0.269319
a_neg d3Udcp3_neg_sgn -0.064248 0.269319
a_neg dUdcp_pos_mag -0.064254 0.269320
a_neg dUdcp_neg_mag -0.064248 0.269319
a_neg d2Udcp2_pos_mag -0.064248 0.269319
a_neg d2Udcp2_neg_mag -0.064248 0.269319
a_neg d3Udcp3_pos_mag -0.064248 0.269319
a_neg d3Udcp3_neg_mag -0.064248 0.269319
a_neg i0_neg -0.071300 0.268571
a_neg i0_pos -0.030085 0.274447
a_neg SOC_neg -0.064248 0.269319
a_neg SOC_pos -0.064248 0.269319
a_neg tP -0.064039 0.269273
a_neg aa_neg -0.064248 0.269319
a_neg aa_pos -0.064248 0.269319
a_neg kappa_0 -0.028561 0.266883
a_neg sigma_neg -0.072137 0.267767
a_neg sigma_pos -0.097566 0.268514
a_pos l_neg -0.021206 0.144895
a_pos l_sep -0.012947 0.145267
a_pos l_pos 0.012749 0.146386
a_pos Rp_neg -0.018326 0.144519
a_pos Rp_pos -0.018325 0.144518
a_pos epsilon_f_neg -0.017804 0.144800
a_pos epsilon_f_pos -0.018661 0.143263
a_pos epsilon_neg -0.023088 0.141154
a_pos epsilon_sep -0.018326 0.144519
a_pos epsilon_pos -0.029619 0.146205
a_pos Cdl_neg -0.004645 0.150096
a_pos Cdl_pos -0.024056 0.144185
a_pos cs_max_neg -0.018326 0.144519
a_pos cs_max_pos -0.018326 0.144519
a_pos c0 -0.018331 0.144520
a_pos D -0.018328 0.144519
a_pos Ds_neg -0.018327 0.144519
a_pos Ds_pos -0.018326 0.144519
a_pos d2Udcp2_pos_sgn -0.018326 0.144519
a_pos d2Udcp2_neg_sgn -0.018326 0.144519
a_pos d3Udcp3_pos_sgn -0.018326 0.144519
a_pos d3Udcp3_neg_sgn -0.018326 0.144519
a_pos dUdcp_pos_mag -0.018325 0.144519
a_pos dUdcp_neg_mag -0.018326 0.144519
a_pos d2Udcp2_pos_mag -0.018326 0.144519
a_pos d2Udcp2_neg_mag -0.018326 0.144519
a_pos d3Udcp3_pos_mag -0.018326 0.144519
a_pos d3Udcp3_neg_mag -0.018326 0.144519
a_pos i0_neg -0.017005 0.144463
a_pos i0_pos -0.029622 0.146401
a_pos SOC_neg -0.018326 0.144519
a_pos SOC_pos -0.018326 0.144519
a_pos tP -0.018630 0.144471
a_pos aa_neg -0.018326 0.144519
a_pos aa_pos -0.018326 0.144519
a_pos kappa_0 -0.023145 0.146154
a_pos sigma_neg -0.012502 0.143007
a_pos sigma_pos -0.017967 0.144495
l_neg l_sep 0.056422 0.044214
l_neg l_pos 0.066010 0.044504
l_neg Rp_neg 0.053689 0.043662
l_neg Rp_pos 0.053689 0.043662
l_neg epsilon_f_neg 0.053635 0.043648
l_neg epsilon_f_pos 0.053002 0.043580
