Parameter S1 S1_conf ST ST_conf
a_neg 0.345587 0.142394 0.283117 0.064772
a_pos 0.110225 0.089196 0.089407 0.043339
l_neg -0.069460 0.045557 0.030563 0.017294
l_sep 0.021007 0.031561 0.008877 0.003983
l_pos 0.234386 0.191690 0.344958 0.078979
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.001780 0.002705 0.000064 0.000023
epsilon_f_pos -0.007639 0.007650 0.001286 0.000330
epsilon_neg 0.114450 0.092242 0.144002 0.057903
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.110616 0.079257 0.074825 0.022867
Cdl_neg -0.046035 0.041343 0.070879 0.022647
Cdl_pos 0.230719 0.137566 0.080341 0.033111
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000302 0.000250 0.000002 0.000002
D 0.000006 0.000005 0.000000 0.000000
Ds_neg -0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000558 0.000708 0.000043 0.000042
i0_pos 0.003138 0.002494 0.000615 0.000563
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000526 0.000290 0.000002 0.000001
aa_neg 0.000000 0.000000 0.000000 0.000000
aa_pos 0.000000 0.000000 0.000000 0.000000
kappa_0 0.012372 0.036081 0.028989 0.009660
sigma_neg 0.020837 0.023121 0.016290 0.004822
sigma_pos 0.064571 0.062847 0.101167 0.030292

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.334379 0.221960
a_neg l_neg -0.291180 0.211496
a_neg l_sep -0.330898 0.214730
a_neg l_pos -0.371218 0.219136
a_neg Rp_neg -0.315832 0.216404
a_neg Rp_pos -0.315832 0.216404
a_neg epsilon_f_neg -0.314682 0.216137
a_neg epsilon_f_pos -0.325913 0.214887
a_neg epsilon_neg -0.279352 0.245969
a_neg epsilon_sep -0.315832 0.216404
a_neg epsilon_pos -0.323508 0.221327
a_neg Cdl_neg -0.286053 0.212883
a_neg Cdl_pos -0.377344 0.239532
a_neg cs_max_neg -0.315832 0.216404
a_neg cs_max_pos -0.315832 0.216404
a_neg c0 -0.315783 0.216383
a_neg D -0.315833 0.216404
a_neg Ds_neg -0.315832 0.216404
a_neg Ds_pos -0.315832 0.216404
a_neg d2Udcp2_pos_sgn -0.315832 0.216404
a_neg d2Udcp2_neg_sgn -0.315832 0.216404
a_neg d3Udcp3_pos_sgn -0.315832 0.216404
a_neg d3Udcp3_neg_sgn -0.315832 0.216404
a_neg dUdcp_pos_mag -0.315832 0.216404
a_neg dUdcp_neg_mag -0.315832 0.216404
a_neg d2Udcp2_pos_mag -0.315832 0.216404
a_neg d2Udcp2_neg_mag -0.315832 0.216404
a_neg d3Udcp3_pos_mag -0.315832 0.216404
a_neg d3Udcp3_neg_mag -0.315832 0.216404
a_neg i0_neg -0.316724 0.216310
a_neg i0_pos -0.311068 0.217236
a_neg SOC_neg -0.315832 0.216404
a_neg SOC_pos -0.315832 0.216404
a_neg tP -0.315707 0.216377
a_neg aa_neg -0.315832 0.216404
a_neg aa_pos -0.315832 0.216404
a_neg kappa_0 -0.308017 0.217415
a_neg sigma_neg -0.327449 0.216093
a_neg sigma_pos -0.354441 0.225462
a_pos l_neg -0.124416 0.140070
a_pos l_sep -0.114802 0.140711
a_pos l_pos -0.100344 0.131355
a_pos Rp_neg -0.123274 0.141078
a_pos Rp_pos -0.123274 0.141078
a_pos epsilon_f_neg -0.122862 0.141248
a_pos epsilon_f_pos -0.125511 0.140425
a_pos epsilon_neg -0.123221 0.140213
a_pos epsilon_sep -0.123274 0.141078
a_pos epsilon_pos -0.127291 0.140931
a_pos Cdl_neg -0.093909 0.154137
a_pos Cdl_pos -0.126495 0.144976
a_pos cs_max_neg -0.123274 0.141078
a_pos cs_max_pos -0.123274 0.141078
