Parameter S1 S1_conf ST ST_conf
a_neg 0.004765 0.139554 0.411799 7.712362
a_pos -0.013534 0.028717 0.011171 0.501361
l_neg 0.009208 0.011758 2632.013746 3363.516611
l_sep -0.000033 0.000593 0.000000 0.000004
l_pos -0.000143 0.000284 0.000000 0.000013
Rp_neg 0.000135 0.003691 0.000240 0.009163
Rp_pos -0.002860 0.006261 0.000043 0.001204
epsilon_f_neg 0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000003 0.000023 0.000000 0.000000
epsilon_neg 0.000687 0.023983 0.159591 1.639935
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.075377 0.150443 0.012078 0.066568
Cdl_neg -0.000000 0.000001 0.000001 0.000001
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg -0.000000 0.000000 0.000000 0.000000
cs_max_pos -0.000000 0.000000 0.000000 0.000000
c0 0.001050 0.002107 0.000432 0.014644
D 0.000401 0.000878 0.000096 0.002998
Ds_neg 0.056137 0.525226 1.754281 79.298456
Ds_pos -0.037028 0.075526 0.418203 13.333948
d2Udcp2_pos_sgn 0.000007 0.000016 0.000000 0.000000
d2Udcp2_neg_sgn 0.000010 0.000032 0.000000 0.000006
d3Udcp3_pos_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn -0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.034386 0.102846 0.003192 0.020599
dUdcp_neg_mag 0.014599 0.423745 31.571103 40.163839
d2Udcp2_pos_mag 2.401490 4.800409 10.219575 20.413399
d2Udcp2_neg_mag 0.000703 0.019022 0.317421 13.028894
d3Udcp3_pos_mag -0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag -0.000000 0.000000 0.000000 0.000000
i0_neg 0.000014 0.000498 0.005082 0.056133
i0_pos 0.000456 0.001817 0.000932 0.029817
SOC_neg -0.000000 0.000000 0.000000 0.000000
SOC_pos -0.000000 0.000000 0.000000 0.000000
tP -0.000185 0.005257 0.001361 0.015065
aa_neg -0.000003 0.000009 0.000000 0.000001
aa_pos -0.000014 0.000608 0.000000 0.000003
kappa_0 -0.021583 0.043033 0.030491 0.104087
sigma_neg 0.000000 0.000004 0.000000 0.000001
sigma_pos -0.000025 0.000116 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.019876 0.145591
a_neg l_neg 0.833621 1.155131
a_neg l_sep -0.033015 0.153988
a_neg l_pos -0.032900 0.153961
a_neg Rp_neg -0.032822 0.154136
a_neg Rp_pos -0.030179 0.152983
a_neg epsilon_f_neg -0.033038 0.154078
a_neg epsilon_f_pos -0.033035 0.154080
a_neg epsilon_neg -0.036805 0.183148
a_neg epsilon_sep -0.033038 0.154079
a_neg epsilon_pos -0.106081 0.254964
a_neg Cdl_neg -0.033051 0.154075
a_neg Cdl_pos -0.033038 0.154079
a_neg cs_max_neg -0.033038 0.154079
a_neg cs_max_pos -0.033038 0.154079
a_neg c0 -0.034047 0.154732
a_neg D -0.033432 0.154638
a_neg Ds_neg 0.057434 3.869203
a_neg Ds_pos 0.003616 0.139756
a_neg d2Udcp2_pos_sgn -0.033046 0.154100
a_neg d2Udcp2_neg_sgn -0.033044 0.154089
a_neg d3Udcp3_pos_sgn -0.033038 0.154079
a_neg d3Udcp3_neg_sgn -0.033038 0.154079
a_neg dUdcp_pos_mag 0.000605 0.202796
a_neg dUdcp_neg_mag 0.055232 0.336887
a_neg d2Udcp2_pos_mag -2.357708 4.714956
a_neg d2Udcp2_neg_mag -0.029412 0.528363
a_neg d3Udcp3_pos_mag -0.033038 0.154079
a_neg d3Udcp3_neg_mag -0.033038 0.154079
a_neg i0_neg -0.033031 0.154161
a_neg i0_pos -0.033480 0.154631
a_neg SOC_neg -0.033038 0.154079
a_neg SOC_pos -0.033038 0.154079
a_neg tP -0.032916 0.153328
a_neg aa_neg -0.033040 0.154082
a_neg aa_pos -0.033031 0.154028
a_neg kappa_0 -0.014696 0.141170
a_neg sigma_neg -0.033038 0.154072
a_neg sigma_pos -0.033011 0.154052
a_pos l_neg 0.013647 0.029512
a_pos l_sep 0.013544 0.029136
a_pos l_pos 0.013549 0.029201
a_pos Rp_neg 0.013546 0.029166
a_pos Rp_pos 0.013525 0.028794
a_pos epsilon_f_neg 0.013546 0.029167
a_pos epsilon_f_pos 0.013546 0.029167
a_pos epsilon_neg 0.013544 0.029105
a_pos epsilon_sep 0.013546 0.029168
a_pos epsilon_pos 0.013101 0.027552
a_pos Cdl_neg 0.013546 0.029168
a_pos Cdl_pos 0.013546 0.029168
a_pos cs_max_neg 0.013546 0.029168
a_pos cs_max_pos 0.013546 0.029168
