Parameter S1 S1_conf ST ST_conf
a_neg 0.004550 0.139420 0.486542 3.641080
a_pos -0.006973 0.042522 0.011808 0.687868
l_neg 0.008698 0.007014 2170.190894 1753.146306
l_sep -0.000059 0.002431 0.000001 0.000041
l_pos -0.000090 0.000535 0.000000 0.000007
Rp_neg 0.000120 0.003535 0.000106 0.004810
Rp_pos -0.001385 0.008730 0.000026 0.000413
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000002 0.000023 0.000000 0.000000
epsilon_neg 0.000770 0.028414 0.325232 1.124968
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.039148 0.232609 0.015415 0.129984
Cdl_neg -0.000000 0.000002 0.000003 0.000002
Cdl_pos 0.000000 0.000000 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000530 0.003168 0.000460 0.028351
D 0.000201 0.001238 0.000053 0.002754
Ds_neg 0.037914 0.476330 1.062184 32.896599
Ds_pos -0.018842 0.116159 0.574841 29.902637
d2Udcp2_pos_sgn 0.000004 0.000022 0.000000 0.000000
d2Udcp2_neg_sgn 0.000005 0.000083 0.000000 0.000003
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.017288 0.121522 0.003722 0.025251
dUdcp_neg_mag 0.008660 0.324330 59.570725 47.976481
d2Udcp2_pos_mag 1.246158 7.405165 13.735284 81.611905
d2Udcp2_neg_mag 0.000226 0.018529 0.427115 6.534566
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000030 0.000971 0.007653 0.072410
i0_pos 0.000325 0.002966 0.000820 0.042759
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000170 0.007577 0.001060 0.010025
aa_neg -0.000012 0.000020 0.000000 0.000002
aa_pos -0.000014 0.001248 0.000000 0.000012
kappa_0 -0.011248 0.066614 0.054079 0.123016
sigma_neg 0.000000 0.000005 0.000000 0.000001
sigma_pos -0.000013 0.000123 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.005641 0.162560
a_neg l_neg 0.731795 0.690894
a_neg l_sep -0.012410 0.185757
a_neg l_pos -0.012352 0.185740
a_neg Rp_neg -0.012528 0.186349
a_neg Rp_pos -0.011024 0.181278
a_neg epsilon_f_neg -0.012438 0.186081
a_neg epsilon_f_pos -0.012437 0.186079
a_neg epsilon_neg -0.018922 0.201041
a_neg epsilon_sep -0.012438 0.186083
a_neg epsilon_pos -0.050337 0.376975
a_neg Cdl_neg -0.012465 0.186075
a_neg Cdl_pos -0.012439 0.186084
a_neg cs_max_neg -0.012438 0.186083
a_neg cs_max_pos -0.012438 0.186083
a_neg c0 -0.012952 0.187862
a_neg D -0.012627 0.187067
a_neg Ds_neg 0.054790 3.532912
a_neg Ds_pos 0.006778 0.137798
a_neg d2Udcp2_pos_sgn -0.012443 0.186107
a_neg d2Udcp2_neg_sgn -0.012441 0.186099
a_neg d3Udcp3_pos_sgn -0.012438 0.186083
a_neg d3Udcp3_neg_sgn -0.012438 0.186083
a_neg dUdcp_pos_mag 0.004396 0.188351
a_neg dUdcp_neg_mag 0.107442 0.322420
a_neg d2Udcp2_pos_mag -1.217088 7.284846
a_neg d2Udcp2_neg_mag -0.015840 0.358149
a_neg d3Udcp3_pos_mag -0.012438 0.186083
a_neg d3Udcp3_neg_mag -0.012438 0.186083
a_neg i0_neg -0.012427 0.186505
a_neg i0_pos -0.012774 0.187590
a_neg SOC_neg -0.012438 0.186083
a_neg SOC_pos -0.012438 0.186083
a_neg tP -0.012343 0.184735
a_neg aa_neg -0.012445 0.186083
a_neg aa_pos -0.012425 0.185932
a_neg kappa_0 -0.004953 0.151131
a_neg sigma_neg -0.012438 0.186070
a_neg sigma_pos -0.012424 0.186025
a_pos l_neg 0.007206 0.043277
a_pos l_sep 0.007078 0.043244
a_pos l_pos 0.007081 0.043277
a_pos Rp_neg 0.007080 0.043266
a_pos Rp_pos 0.007054 0.042909
a_pos epsilon_f_neg 0.007080 0.043266
a_pos epsilon_f_pos 0.007080 0.043266
a_pos epsilon_neg 0.007075 0.043215
a_pos epsilon_sep 0.007080 0.043267
a_pos epsilon_pos 0.006709 0.040714
a_pos Cdl_neg 0.007080 0.043267
a_pos Cdl_pos 0.007080 0.043267
a_pos cs_max_neg 0.007080 0.043267
a_pos cs_max_pos 0.007080 0.043267
a_pos c0 0.007157 0.044517
a_pos D 0.006928 0.041981
a_pos Ds_neg 0.006957 0.044036
a_pos Ds_pos 0.007031 0.042575
a_pos d2Udcp2_pos_sgn 0.007080 0.043267
a_pos d2Udcp2_neg_sgn 0.007080 0.043267
a_pos d3Udcp3_pos_sgn 0.007080 0.043267
a_pos d3Udcp3_neg_sgn 0.007080 0.043267
a_pos dUdcp_pos_mag 0.007053 0.042680
a_pos dUdcp_neg_mag 0.007080 0.043326
a_pos d2Udcp2_pos_mag 0.000354 0.011672
a_pos d2Udcp2_neg_mag 0.007091 0.043445
a_pos d3Udcp3_pos_mag 0.007080 0.043267
a_pos d3Udcp3_neg_mag 0.007080 0.043267
a_pos i0_neg 0.007073 0.043171
a_pos i0_pos 0.007079 0.043262
a_pos SOC_neg 0.007080 0.043267
a_pos SOC_pos 0.007080 0.043267
a_pos tP 0.007077 0.043215
a_pos aa_neg 0.007087 0.043362
a_pos aa_pos 0.007075 0.043207
a_pos kappa_0 0.007309 0.046693
a_pos sigma_neg 0.007080 0.043265
a_pos sigma_pos 0.007080 0.043271
l_neg l_sep -0.008717 0.007041
l_neg l_pos -0.008717 0.007041
l_neg Rp_neg -0.008709 0.007162
l_neg Rp_pos -0.008717 0.007041
l_neg epsilon_f_neg -0.008717 0.007041
l_neg epsilon_f_pos -0.008717 0.007041
l_neg epsilon_neg -0.008694 0.007142
l_neg epsilon_sep -0.008717 0.007041
l_neg epsilon_pos -0.008719 0.007039
l_neg Cdl_neg -0.008717 0.007041
l_neg Cdl_pos -0.008717 0.007041
l_neg cs_max_neg -0.008717 0.007041
l_neg cs_max_pos -0.008717 0.007041
l_neg c0 -0.008717 0.007040
l_neg D -0.008717 0.007041
l_neg Ds_neg -0.008697 0.007046
l_neg Ds_pos -0.008711 0.007098
l_neg d2Udcp2_pos_sgn -0.008717 0.007041
l_neg d2Udcp2_neg_sgn -0.008717 0.007041
l_neg d3Udcp3_pos_sgn -0.008717 0.007041
l_neg d3Udcp3_neg_sgn -0.008717 0.007041
l_neg dUdcp_pos_mag -0.008716 0.007043
l_neg dUdcp_neg_mag -0.008938 0.007204
l_neg d2Udcp2_pos_mag -0.008785 0.006936
l_neg d2Udcp2_neg_mag -0.008502 0.018313
l_neg d3Udcp3_pos_mag -0.008717 0.007041
l_neg d3Udcp3_neg_mag -0.008717 0.007041
l_neg i0_neg -0.008717 0.007050
l_neg i0_pos -0.008718 0.007038
l_neg SOC_neg -0.008717 0.007041
l_neg SOC_pos -0.008717 0.007041
l_neg tP -0.008717 0.007041
l_neg aa_neg -0.008717 0.007043
l_neg aa_pos -0.008717 0.007046
l_neg kappa_0 -0.008712 0.007032
l_neg sigma_neg -0.008717 0.007041
l_neg sigma_pos -0.008717 0.007041
l_sep l_pos -0.000129 0.002560
l_sep Rp_neg -0.000130 0.002565
l_sep Rp_pos -0.000116 0.002533
l_sep epsilon_f_neg -0.000130 0.002562
l_sep epsilon_f_pos -0.000130 0.002562
l_sep epsilon_neg -0.000130 0.002700
l_sep epsilon_sep -0.000130 0.002562
l_sep epsilon_pos -0.000503 0.003950
l_sep Cdl_neg -0.000130 0.002562
l_sep Cdl_pos -0.000130 0.002562
l_sep cs_max_neg -0.000130 0.002562
l_sep cs_max_pos -0.000130 0.002562
l_sep c0 -0.000134 0.002582
l_sep D -0.000132 0.002568
l_sep Ds_neg -0.000415 0.004408
l_sep Ds_pos 0.000046 0.002369
l_sep d2Udcp2_pos_sgn -0.000130 0.002563
l_sep d2Udcp2_neg_sgn -0.000130 0.002565
l_sep d3Udcp3_pos_sgn -0.000130 0.002562
l_sep d3Udcp3_neg_sgn -0.000130 0.002562
l_sep dUdcp_pos_mag 0.000054 0.002407
l_sep dUdcp_neg_mag -0.000130 0.002496
l_sep d2Udcp2_pos_mag -0.012014 0.071594
l_sep d2Udcp2_neg_mag -0.000131 0.002554
l_sep d3Udcp3_pos_mag -0.000130 0.002562
l_sep d3Udcp3_neg_mag -0.000130 0.002562
l_sep i0_neg -0.000131 0.002539
l_sep i0_pos -0.000132 0.002571
l_sep SOC_neg -0.000130 0.002562
l_sep SOC_pos -0.000130 0.002562
l_sep tP -0.000130 0.002558
l_sep aa_neg -0.000130 0.002562
l_sep aa_pos -0.000130 0.002563
l_sep kappa_0 -0.000021 0.002457
l_sep sigma_neg -0.000130 0.002562
l_sep sigma_pos -0.000130 0.002562
l_pos Rp_neg 0.000047 0.000279
l_pos Rp_pos 0.000051 0.000306
l_pos epsilon_f_neg 0.000047 0.000279
l_pos epsilon_f_pos 0.000047 0.000279
l_pos epsilon_neg 0.000047 0.000279
l_pos epsilon_sep 0.000047 0.000279
l_pos epsilon_pos -0.000041 0.000243
l_pos Cdl_neg 0.000047 0.000279
l_pos Cdl_pos 0.000047 0.000279
l_pos cs_max_neg 0.000047 0.000279
l_pos cs_max_pos 0.000047 0.000279
l_pos c0 0.000046 0.000273
l_pos D 0.000046 0.000277
l_pos Ds_neg 0.000041 0.000600
l_pos Ds_pos 0.000090 0.000535
l_pos d2Udcp2_pos_sgn 0.000047 0.000279
l_pos d2Udcp2_neg_sgn 0.000047 0.000279
l_pos d3Udcp3_pos_sgn 0.000047 0.000279
l_pos d3Udcp3_neg_sgn 0.000047 0.000279
l_pos dUdcp_pos_mag 0.000089 0.000531
l_pos dUdcp_neg_mag 0.000048 0.000279
l_pos d2Udcp2_pos_mag -0.002730 0.016224
l_pos d2Udcp2_neg_mag 0.000047 0.000279
