Parameter S1 S1_conf ST ST_conf
a_neg 0.003561 0.203730 0.687714 0.547607
a_pos -0.002241 0.054345 0.010978 1.050025
l_neg 0.005862 0.003353 1078.637605 621.551611
l_sep -0.000071 0.007823 0.000004 0.000459
l_pos -0.000043 0.000907 0.000000 0.000012
Rp_neg 0.000055 0.003289 0.002334 0.001767
Rp_pos 0.001383 0.028478 0.000095 0.001998
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000001 0.000025 0.000000 0.000000
epsilon_neg 0.000730 0.032251 0.529366 0.482440
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.013525 0.287293 0.011095 0.242819
Cdl_neg -0.000001 0.000004 0.000008 0.000005
Cdl_pos 0.000000 0.000001 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000179 0.003933 0.000418 0.033116
D 0.000076 0.001732 0.000027 0.001700
Ds_neg 0.015964 0.268135 0.825171 7.128754
Ds_pos -0.006127 0.143998 0.522203 36.409641
d2Udcp2_pos_sgn 0.000001 0.000020 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000172 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.005080 0.148945 0.002676 0.056230
dUdcp_neg_mag 0.004479 0.286475 86.658947 49.794644
d2Udcp2_pos_mag 0.431015 9.146137 9.689992 205.604515
d2Udcp2_neg_mag -0.000002 0.014385 0.549219 2.557850
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000036 0.001517 0.009723 0.131478
i0_pos 0.000138 0.003920 0.000616 0.042522
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000133 0.014214 0.000536 0.007317
aa_neg -0.000011 0.000052 0.000000 0.000011
aa_pos 0.000006 0.002015 0.000001 0.000072
kappa_0 -0.003953 0.082930 0.072540 0.198063
sigma_neg 0.000000 0.000007 0.000000 0.000002
sigma_pos -0.000004 0.000141 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.004773 0.236463
a_neg l_neg 0.485992 0.456769
a_neg l_sep 0.002460 0.264543
a_neg l_pos 0.002473 0.264743
a_neg Rp_neg 0.001747 0.265038
a_neg Rp_pos 0.001153 0.284182
a_neg epsilon_f_neg 0.002433 0.265294
a_neg epsilon_f_pos 0.002433 0.265291
a_neg epsilon_neg -0.005660 0.215707
a_neg epsilon_sep 0.002433 0.265298
a_neg epsilon_pos -0.010611 0.492345
a_neg Cdl_neg 0.002391 0.265288
a_neg Cdl_pos 0.002433 0.265299
a_neg cs_max_neg 0.002433 0.265298
a_neg cs_max_pos 0.002433 0.265298
a_neg c0 0.002249 0.267188
a_neg D 0.002378 0.266439
a_neg Ds_neg 0.031864 1.811403
a_neg Ds_pos 0.009335 0.200902
a_neg d2Udcp2_pos_sgn 0.002431 0.265345
a_neg d2Udcp2_neg_sgn 0.002432 0.265311
a_neg d3Udcp3_pos_sgn 0.002433 0.265298
a_neg d3Udcp3_neg_sgn 0.002433 0.265298
a_neg dUdcp_pos_mag 0.007354 0.282866
a_neg dUdcp_neg_mag 0.138170 0.368582
a_neg d2Udcp2_pos_mag -0.412485 8.978788
a_neg d2Udcp2_neg_mag -0.004332 0.331721
a_neg d3Udcp3_pos_mag 0.002433 0.265298
a_neg d3Udcp3_neg_mag 0.002433 0.265298
a_neg i0_neg 0.002450 0.266402
a_neg i0_pos 0.002263 0.267390
a_neg SOC_neg 0.002433 0.265298
a_neg SOC_pos 0.002433 0.265298
a_neg tP 0.002497 0.263185
a_neg aa_neg 0.002427 0.265311
a_neg aa_pos 0.002450 0.265109
a_neg kappa_0 0.002533 0.222609
a_neg sigma_neg 0.002433 0.265274
a_neg sigma_pos 0.002438 0.265230
a_pos l_neg 0.002502 0.054198
a_pos l_sep 0.002374 0.054194
a_pos l_pos 0.002376 0.054244
a_pos Rp_neg 0.002375 0.054234
a_pos Rp_pos 0.002335 0.053054
a_pos epsilon_f_neg 0.002375 0.054233
a_pos epsilon_f_pos 0.002375 0.054231
a_pos epsilon_neg 0.002366 0.054030
a_pos epsilon_sep 0.002375 0.054234
a_pos epsilon_pos 0.002079 0.048859
a_pos Cdl_neg 0.002375 0.054234
a_pos Cdl_pos 0.002375 0.054234
a_pos cs_max_neg 0.002375 0.054234
a_pos cs_max_pos 0.002375 0.054234
