Parameter S1 S1_conf ST ST_conf
a_neg 0.002260 0.232044 0.852519 0.486699
a_pos -0.000214 0.104611 0.011120 2.639066
l_neg 0.003024 0.001514 336.506283 171.454793
l_sep -0.000052 0.006367 0.000009 0.001033
l_pos -0.000015 0.001004 0.000000 0.000032
Rp_neg -0.000001 0.001899 0.008100 0.004235
Rp_pos 0.002180 0.136107 0.001353 0.085156
epsilon_f_neg -0.000000 0.000003 0.000000 0.000000
epsilon_f_pos -0.000000 0.000015 0.000000 0.000000
epsilon_neg 0.000660 0.083035 0.620935 0.627194
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.003468 0.220613 0.005032 0.318655
Cdl_neg -0.000001 0.000003 0.000013 0.000007
Cdl_pos 0.000000 0.000002 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000045 0.003141 0.000376 0.049192
D 0.000030 0.001892 0.000016 0.001510
Ds_neg 0.005423 0.548684 0.886579 6.030102
Ds_pos -0.001288 0.114919 0.320644 36.416335
d2Udcp2_pos_sgn -0.000000 0.000038 0.000000 0.000000
d2Udcp2_neg_sgn -0.000002 0.000319 0.000000 0.000003
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag -0.000517 0.130622 0.001245 0.074747
dUdcp_neg_mag 0.002715 0.123161 99.358207 50.524921
d2Udcp2_pos_mag 0.112826 7.102284 3.686752 231.983400
d2Udcp2_neg_mag -0.000070 0.022196 0.665365 1.390769
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000028 0.001575 0.012618 0.152537
i0_pos 0.000033 0.003216 0.000558 0.059848
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000101 0.011642 0.000175 0.003564
aa_neg 0.000025 0.000097 0.000000 0.000072
aa_pos 0.000027 0.001142 0.000004 0.000488
kappa_0 -0.001112 0.065507 0.089507 0.329851
sigma_neg 0.000000 0.000022 0.000000 0.000002
sigma_pos -0.000001 0.000088 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.009911 0.265083
a_neg l_neg 0.265810 0.352794
a_neg l_sep 0.009313 0.284864
a_neg l_pos 0.009307 0.285692
a_neg Rp_neg 0.008077 0.285302
a_neg Rp_pos 0.007243 0.376410
a_neg epsilon_f_neg 0.009294 0.286160
a_neg epsilon_f_pos 0.009294 0.286160
a_neg epsilon_neg 0.000888 0.645015
a_neg epsilon_sep 0.009294 0.286164
a_neg epsilon_pos 0.005987 0.440020
a_neg Cdl_neg 0.009244 0.286155
a_neg Cdl_pos 0.009294 0.286165
a_neg cs_max_neg 0.009294 0.286164
a_neg cs_max_pos 0.009294 0.286164
a_neg c0 0.009228 0.286946
a_neg D 0.009289 0.287654
a_neg Ds_neg 0.014998 4.135304
a_neg Ds_pos 0.011399 0.229585
a_neg d2Udcp2_pos_sgn 0.009293 0.286218
a_neg d2Udcp2_neg_sgn 0.009294 0.286160
a_neg d3Udcp3_pos_sgn 0.009294 0.286164
a_neg d3Udcp3_neg_sgn 0.009294 0.286164
a_neg dUdcp_pos_mag 0.009793 0.347338
a_neg dUdcp_neg_mag 0.148193 0.354995
a_neg d2Udcp2_pos_mag -0.098319 6.943698
a_neg d2Udcp2_neg_mag 0.001913 0.559393
a_neg d3Udcp3_pos_mag 0.009294 0.286164
a_neg d3Udcp3_neg_mag 0.009294 0.286164
a_neg i0_neg 0.009325 0.287586
a_neg i0_pos 0.009246 0.287125
a_neg SOC_neg 0.009294 0.286164
a_neg SOC_pos 0.009294 0.286164
a_neg tP 0.009335 0.282636
a_neg aa_neg 0.009306 0.286222
a_neg aa_pos 0.009315 0.285978
a_neg kappa_0 0.006440 0.251868
a_neg sigma_neg 0.009294 0.286144
a_neg sigma_pos 0.009295 0.286126
a_pos l_neg 0.000493 0.103103
a_pos l_sep 0.000384 0.103100
a_pos l_pos 0.000386 0.102817
a_pos Rp_neg 0.000383 0.103108
a_pos Rp_pos 0.000308 0.102655
a_pos epsilon_f_neg 0.000384 0.103103
a_pos epsilon_f_pos 0.000384 0.103103
a_pos epsilon_neg 0.000370 0.103264
a_pos epsilon_sep 0.000384 0.103103
a_pos epsilon_pos 0.000159 0.101283
a_pos Cdl_neg 0.000384 0.103103
a_pos Cdl_pos 0.000384 0.103103
a_pos cs_max_neg 0.000384 0.103103
a_pos cs_max_pos 0.000384 0.103103
a_pos c0 0.000466 0.104331
a_pos D 0.000272 0.103469
a_pos Ds_neg 0.000350 0.104299
a_pos Ds_pos 0.000299 0.102656
