Parameter S1 S1_conf ST ST_conf
a_neg 0.000885 0.172463 0.923223 0.440908
a_pos 0.000824 0.179367 0.011724 2.274397
l_neg 0.001146 0.000553 73.534588 36.480043
l_sep -0.000025 0.006010 0.000008 0.001950
l_pos -0.000006 0.001092 0.000000 0.000030
Rp_neg -0.000012 0.000571 0.011517 0.005612
Rp_pos 0.001593 0.311746 0.003909 0.767620
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000000 0.000011 0.000000 0.000000
epsilon_neg 0.000531 0.049433 0.655928 0.814999
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000662 0.143099 0.002350 0.361112
Cdl_neg -0.000001 0.000006 0.000015 0.000008
Cdl_pos 0.000000 0.000004 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000009 0.003245 0.000297 0.080629
D 0.000016 0.002565 0.000007 0.001023
Ds_neg 0.001458 0.162664 0.930692 1.022790
Ds_pos -0.000097 0.090528 0.109207 19.188482
d2Udcp2_pos_sgn -0.000000 0.000076 0.000000 0.000001
d2Udcp2_neg_sgn -0.000001 0.000201 0.000000 0.000001
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000404 0.114725 0.000618 0.097783
dUdcp_neg_mag 0.001624 0.099198 79.119555 39.119370
d2Udcp2_pos_mag 0.024738 4.869606 0.956139 187.688115
d2Udcp2_neg_mag -0.000087 0.023707 0.720354 0.454033
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000004 0.000954 0.015898 0.193563
i0_pos 0.000003 0.002362 0.000608 0.104295
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000069 0.014021 0.000045 0.009416
aa_neg 0.000043 0.000516 0.000002 0.000717
aa_pos 0.000035 0.001795 0.000020 0.004755
kappa_0 -0.000291 0.045021 0.099323 0.852359
sigma_neg 0.000000 0.000016 0.000000 0.000002
sigma_pos -0.000000 0.000058 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.011677 0.208093
a_neg l_neg 0.123100 0.247588
a_neg l_sep 0.011549 0.224064
a_neg l_pos 0.011543 0.224466
a_neg Rp_neg 0.010167 0.222561
a_neg Rp_pos 0.010048 0.472123
a_neg epsilon_f_neg 0.011540 0.224834
a_neg epsilon_f_pos 0.011540 0.224839
a_neg epsilon_neg 0.003107 0.339464
a_neg epsilon_sep 0.011540 0.224842
a_neg epsilon_pos 0.010923 0.322080
a_neg Cdl_neg 0.011489 0.224834
a_neg Cdl_pos 0.011540 0.224845
a_neg cs_max_neg 0.011540 0.224842
a_neg cs_max_pos 0.011540 0.224842
a_neg c0 0.011503 0.224668
a_neg D 0.011542 0.226870
a_neg Ds_neg 0.005479 1.092438
a_neg Ds_pos 0.012269 0.164196
a_neg d2Udcp2_pos_sgn 0.011538 0.224934
a_neg d2Udcp2_neg_sgn 0.011540 0.224830
a_neg d3Udcp3_pos_sgn 0.011540 0.224842
a_neg d3Udcp3_neg_sgn 0.011540 0.224842
a_neg dUdcp_pos_mag 0.011160 0.310149
a_neg dUdcp_neg_mag 0.127077 0.269588
a_neg d2Udcp2_pos_mag -0.011792 4.744177
a_neg d2Udcp2_neg_mag 0.003612 0.540344
a_neg d3Udcp3_pos_mag 0.011540 0.224842
a_neg d3Udcp3_neg_mag 0.011540 0.224842
a_neg i0_neg 0.011599 0.225723
a_neg i0_pos 0.011541 0.224171
a_neg SOC_neg 0.011540 0.224842
a_neg SOC_pos 0.011540 0.224842
a_neg tP 0.011562 0.220995
a_neg aa_neg 0.011562 0.225063
a_neg aa_pos 0.011562 0.224881
a_neg kappa_0 0.008067 0.193680
a_neg sigma_neg 0.011540 0.224798
a_neg sigma_pos 0.011540 0.224813
a_pos l_neg -0.000515 0.157271
a_pos l_sep -0.000581 0.157277
a_pos l_pos -0.000577 0.156678
a_pos Rp_neg -0.000581 0.157269
a_pos Rp_pos -0.000670 0.161686
a_pos epsilon_f_neg -0.000581 0.157265
a_pos epsilon_f_pos -0.000581 0.157268
a_pos epsilon_neg -0.000597 0.157894
a_pos epsilon_sep -0.000580 0.157263
a_pos epsilon_pos -0.000773 0.171096
a_pos Cdl_neg -0.000580 0.157263
a_pos Cdl_pos -0.000581 0.157268
a_pos cs_max_neg -0.000580 0.157263
a_pos cs_max_pos -0.000580 0.157263
