Parameter S1 S1_conf ST ST_conf
a_neg 0.000229 0.090330 0.938544 0.434517
a_pos 0.002133 0.772806 0.012346 4.363409
l_neg 0.000390 0.000192 11.900002 5.736128
l_sep -0.000008 0.001982 0.000004 0.000991
l_pos -0.000008 0.002812 0.000000 0.000056
Rp_neg -0.000006 0.001623 0.012762 0.006100
Rp_pos 0.000829 0.310670 0.005558 2.090395
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos 0.000000 0.000005 0.000000 0.000000
epsilon_neg 0.000400 0.046735 0.670306 0.897583
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000019 0.056882 0.002095 0.463011
Cdl_neg -0.000000 0.000004 0.000016 0.000008
Cdl_pos 0.000000 0.000006 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000001 0.002391 0.000179 0.053031
D 0.000011 0.002876 0.000002 0.000312
Ds_neg 0.000237 0.075175 0.933680 0.325581
Ds_pos 0.000033 0.064491 0.020142 4.998846
d2Udcp2_pos_sgn -0.000001 0.000162 0.000000 0.000006
d2Udcp2_neg_sgn -0.000001 0.000204 0.000000 0.000002
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000420 0.120698 0.000446 0.105584
dUdcp_neg_mag 0.000855 0.038164 35.931025 17.206634
d2Udcp2_pos_mag 0.005072 1.932125 0.217230 81.524919
d2Udcp2_neg_mag -0.000144 0.013767 0.735362 0.413958
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000033 0.001343 0.019176 0.228830
i0_pos 0.000043 0.015660 0.000786 0.177885
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000042 0.008674 0.000063 0.010900
aa_neg 0.000046 0.002191 0.000010 0.003163
aa_pos 0.000044 0.002229 0.000103 0.028976
kappa_0 -0.000034 0.050852 0.104503 1.283843
sigma_neg -0.000000 0.000013 0.000000 0.000003
sigma_pos 0.000000 0.000026 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.011811 0.118113
a_neg l_neg 0.054082 0.130096
a_neg l_sep 0.011803 0.121240
a_neg l_pos 0.011800 0.121550
a_neg Rp_neg 0.010416 0.121720
a_neg Rp_pos 0.011030 0.371632
a_neg epsilon_f_neg 0.011800 0.121622
a_neg epsilon_f_pos 0.011800 0.121631
a_neg epsilon_neg 0.003152 0.290271
a_neg epsilon_sep 0.011800 0.121630
a_neg epsilon_pos 0.011771 0.135847
a_neg Cdl_neg 0.011751 0.121622
a_neg Cdl_pos 0.011800 0.121636
a_neg cs_max_neg 0.011800 0.121630
a_neg cs_max_pos 0.011800 0.121630
a_neg c0 0.011768 0.120093
a_neg D 0.011802 0.124154
a_neg Ds_neg 0.001708 0.412680
a_neg Ds_pos 0.012157 0.077201
a_neg d2Udcp2_pos_sgn 0.011799 0.121756
a_neg d2Udcp2_neg_sgn 0.011800 0.121600
a_neg d3Udcp3_pos_sgn 0.011800 0.121630
a_neg d3Udcp3_neg_sgn 0.011800 0.121630
a_neg dUdcp_pos_mag 0.011408 0.229170
a_neg dUdcp_neg_mag 0.085203 0.147877
a_neg d2Udcp2_pos_mag 0.007088 1.873214
a_neg d2Udcp2_neg_mag 0.002885 0.395668
a_neg d3Udcp3_pos_mag 0.011800 0.121630
a_neg d3Udcp3_neg_mag 0.011800 0.121630
a_neg i0_neg 0.011925 0.121986
a_neg i0_pos 0.011817 0.118060
a_neg SOC_neg 0.011800 0.121630
a_neg SOC_pos 0.011800 0.121630
a_neg tP 0.011811 0.117591
a_neg aa_neg 0.011827 0.122075
a_neg aa_pos 0.011821 0.121887
a_neg kappa_0 0.008387 0.099595
a_neg sigma_neg 0.011799 0.121583
a_neg sigma_pos 0.011800 0.121621
a_pos l_neg -0.001750 0.720350
a_pos l_sep -0.001740 0.720357
a_pos l_pos -0.001732 0.717762
a_pos Rp_neg -0.001739 0.720388
a_pos Rp_pos -0.001804 0.725380
a_pos epsilon_f_neg -0.001739 0.720347
a_pos epsilon_f_pos -0.001739 0.720357
a_pos epsilon_neg -0.001749 0.721718
a_pos epsilon_sep -0.001739 0.720343
a_pos epsilon_pos -0.002073 0.762959
a_pos Cdl_neg -0.001739 0.720342
a_pos Cdl_pos -0.001740 0.720375
a_pos cs_max_neg -0.001739 0.720343
a_pos cs_max_pos -0.001739 0.720343
