Parameter S1 S1_conf ST ST_conf
a_neg -0.000014 0.035796 0.937091 0.446998
a_pos 0.004961 0.821293 0.013627 2.203811
l_neg 0.000195 0.000125 1.019451 0.495455
l_sep -0.000002 0.000447 0.000001 0.000220
l_pos -0.000018 0.002949 0.000000 0.000029
Rp_neg -0.000016 0.001417 0.014312 0.006912
Rp_pos 0.000301 0.074043 0.004155 1.032702
epsilon_f_neg -0.000000 0.000005 0.000000 0.000000
epsilon_f_pos 0.000000 0.000003 0.000000 0.000000
epsilon_neg 0.000190 0.059467 0.671004 0.631994
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000214 0.039378 0.004805 0.767388
Cdl_neg -0.000001 0.000003 0.000016 0.000008
Cdl_pos 0.000000 0.000010 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000005 0.001937 0.000079 0.013334
D 0.000013 0.002539 0.000003 0.000350
Ds_neg -0.000219 0.022966 0.923777 0.266445
Ds_pos -0.000160 0.048209 0.002386 0.553353
d2Udcp2_pos_sgn -0.000001 0.000159 0.000000 0.000026
d2Udcp2_neg_sgn -0.000000 0.000063 0.000000 0.000006
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000456 0.093636 0.000401 0.069556
dUdcp_neg_mag 0.000644 0.011632 8.740653 4.197693
d2Udcp2_pos_mag 0.000923 0.244971 0.049831 12.315498
d2Udcp2_neg_mag -0.000321 0.004266 0.740247 0.223068
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000117 0.003428 0.024603 0.268146
i0_pos 0.000332 0.056969 0.001418 0.222592
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000030 0.004580 0.000070 0.008941
aa_neg 0.000040 0.006573 0.000052 0.011970
aa_pos 0.000056 0.008302 0.000514 0.086244
kappa_0 0.000134 0.141466 0.111749 1.540715
sigma_neg -0.000000 0.000017 0.000000 0.000003
sigma_pos 0.000000 0.000011 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.011916 0.069913
a_neg l_neg 0.024324 0.070359
a_neg l_sep 0.011981 0.067713
a_neg l_pos 0.011980 0.067868
a_neg Rp_neg 0.010510 0.068890
a_neg Rp_pos 0.011710 0.117953
a_neg epsilon_f_neg 0.011980 0.067782
a_neg epsilon_f_pos 0.011980 0.067785
a_neg epsilon_neg 0.002867 0.123810
a_neg epsilon_sep 0.011980 0.067784
a_neg epsilon_pos 0.012103 0.041944
a_neg Cdl_neg 0.011932 0.067775
a_neg Cdl_pos 0.011980 0.067794
a_neg cs_max_neg 0.011980 0.067784
a_neg cs_max_pos 0.011980 0.067784
a_neg c0 0.011952 0.065720
a_neg D 0.011979 0.070148
a_neg Ds_neg 0.000727 0.068171
a_neg Ds_pos 0.012246 0.032061
a_neg d2Udcp2_pos_sgn 0.011980 0.067847
a_neg d2Udcp2_neg_sgn 0.011981 0.067729
a_neg d3Udcp3_pos_sgn 0.011980 0.067784
a_neg d3Udcp3_neg_sgn 0.011980 0.067784
a_neg dUdcp_pos_mag 0.011563 0.154270
a_neg dUdcp_neg_mag 0.048102 0.078496
a_neg d2Udcp2_pos_mag 0.011195 0.256387
a_neg d2Udcp2_neg_mag 0.002133 0.083912
a_neg d3Udcp3_pos_mag 0.011980 0.067784
a_neg d3Udcp3_neg_mag 0.011980 0.067784
a_neg i0_neg 0.012380 0.068492
a_neg i0_pos 0.012019 0.061461
a_neg SOC_neg 0.011980 0.067784
a_neg SOC_pos 0.011980 0.067784
a_neg tP 0.011988 0.064766
a_neg aa_neg 0.012021 0.067191
a_neg aa_pos 0.011998 0.067396
a_neg kappa_0 0.008744 0.058298
a_neg sigma_neg 0.011980 0.067766
a_neg sigma_pos 0.011980 0.067777
a_pos l_neg -0.004284 0.794573
a_pos l_sep -0.004248 0.794593
a_pos l_pos -0.004231 0.791885
a_pos Rp_neg -0.004248 0.794759
a_pos Rp_pos -0.004288 0.796950
a_pos epsilon_f_neg -0.004248 0.794581
a_pos epsilon_f_pos -0.004248 0.794582
a_pos epsilon_neg -0.004239 0.796234
a_pos epsilon_sep -0.004248 0.794581
a_pos epsilon_pos -0.004884 0.813515
a_pos Cdl_neg -0.004248 0.794579
a_pos Cdl_pos -0.004249 0.794585
a_pos cs_max_neg -0.004248 0.794581
a_pos cs_max_pos -0.004248 0.794581
a_pos c0 -0.004233 0.794523
a_pos D -0.004247 0.794786
a_pos Ds_neg -0.004206 0.794800
a_pos Ds_pos -0.004853 0.808669
a_pos d2Udcp2_pos_sgn -0.004254 0.794742
a_pos d2Udcp2_neg_sgn -0.004248 0.794596
a_pos d3Udcp3_pos_sgn -0.004248 0.794581
a_pos d3Udcp3_neg_sgn -0.004248 0.794581
a_pos dUdcp_pos_mag -0.003666 0.811194
a_pos dUdcp_neg_mag -0.004336 0.793720
a_pos d2Udcp2_pos_mag -0.004366 0.804938
