Parameter S1 S1_conf ST ST_conf
a_neg -0.000180 0.025691 0.921396 0.433962
a_pos 0.013216 0.699455 0.018909 0.922079
l_neg 0.000051 0.000052 0.012963 0.006243
l_sep -0.000001 0.000109 0.000000 0.000006
l_pos -0.000047 0.002510 0.000000 0.000012
Rp_neg -0.000050 0.001190 0.019068 0.009064
Rp_pos 0.000046 0.004339 0.001875 0.185720
epsilon_f_neg -0.000000 0.000001 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg -0.000462 0.013563 0.664227 0.436292
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.000660 0.053300 0.022408 1.252759
Cdl_neg -0.000002 0.000005 0.000016 0.000008
Cdl_pos 0.000000 0.000017 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000021 0.002284 0.000030 0.002028
D 0.000026 0.002444 0.000003 0.000264
Ds_neg -0.000788 0.010936 0.902568 0.292085
Ds_pos -0.000790 0.055013 0.000338 0.029873
d2Udcp2_pos_sgn -0.000003 0.000146 0.000001 0.000088
d2Udcp2_neg_sgn -0.000000 0.000032 0.000000 0.000006
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000809 0.082498 0.000442 0.042835
dUdcp_neg_mag 0.000565 0.001814 1.288642 0.614704
d2Udcp2_pos_mag -0.000139 0.035991 0.013396 1.335078
d2Udcp2_neg_mag -0.000832 0.003644 0.746087 0.231466
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000354 0.003588 0.050366 0.243933
i0_pos 0.002197 0.119557 0.004541 0.262157
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000041 0.003358 0.000035 0.001465
aa_neg -0.000003 0.003157 0.000344 0.034444
aa_pos 0.000077 0.010354 0.002905 0.162638
kappa_0 0.000789 0.160061 0.140571 2.409839
sigma_neg -0.000001 0.000010 0.000000 0.000003
sigma_pos 0.000000 0.000010 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.012737 0.073334
a_neg l_neg 0.014524 0.069014
a_neg l_sep 0.012998 0.068595
a_neg l_pos 0.012996 0.068894
a_neg Rp_neg 0.011137 0.069097
a_neg Rp_pos 0.012965 0.070206
a_neg epsilon_f_neg 0.012997 0.068699
a_neg epsilon_f_pos 0.012997 0.068701
a_neg epsilon_neg 0.002570 0.060051
a_neg epsilon_sep 0.012997 0.068700
a_neg epsilon_pos 0.013295 0.030921
a_neg Cdl_neg 0.012944 0.068689
a_neg Cdl_pos 0.012997 0.068723
a_neg cs_max_neg 0.012997 0.068700
a_neg cs_max_pos 0.012997 0.068700
a_neg c0 0.012981 0.066310
a_neg D 0.012983 0.071047
a_neg Ds_neg 0.000591 0.066279
a_neg Ds_pos 0.013373 0.028482
a_neg d2Udcp2_pos_sgn 0.012997 0.068736
a_neg d2Udcp2_neg_sgn 0.012998 0.068654
a_neg d3Udcp3_pos_sgn 0.012997 0.068700
a_neg d3Udcp3_neg_sgn 0.012997 0.068700
a_neg dUdcp_pos_mag 0.012288 0.143652
a_neg dUdcp_neg_mag 0.028204 0.072927
a_neg d2Udcp2_pos_mag 0.013292 0.034925
a_neg d2Udcp2_neg_mag 0.001909 0.060647
a_neg d3Udcp3_pos_mag 0.012997 0.068700
a_neg d3Udcp3_neg_mag 0.012997 0.068700
a_neg i0_neg 0.014625 0.071388
a_neg i0_pos 0.013131 0.056192
a_neg SOC_neg 0.012997 0.068700
a_neg SOC_pos 0.012997 0.068700
a_neg tP 0.013017 0.065664
a_neg aa_neg 0.013097 0.069672
a_neg aa_pos 0.012993 0.071287
a_neg kappa_0 0.010613 0.101170
a_neg sigma_neg 0.012997 0.068695
a_neg sigma_pos 0.012998 0.068679
a_pos l_neg -0.011619 0.709369
a_pos l_sep -0.011609 0.709375
a_pos l_pos -0.011563 0.707038
a_pos Rp_neg -0.011640 0.709973
a_pos Rp_pos -0.011639 0.709948
a_pos epsilon_f_neg -0.011609 0.709380
a_pos epsilon_f_pos -0.011610 0.709375
a_pos epsilon_neg -0.011627 0.710907
a_pos epsilon_sep -0.011610 0.709380
a_pos epsilon_pos -0.012967 0.696305
a_pos Cdl_neg -0.011609 0.709374
a_pos Cdl_pos -0.011612 0.709351
a_pos cs_max_neg -0.011610 0.709380
a_pos cs_max_pos -0.011610 0.709380
a_pos c0 -0.011612 0.709422
a_pos D -0.011614 0.709541
a_pos Ds_neg -0.011486 0.709252
a_pos Ds_pos -0.012665 0.691971
a_pos d2Udcp2_pos_sgn -0.011621 0.709431
a_pos d2Udcp2_neg_sgn -0.011610 0.709391
a_pos d3Udcp3_pos_sgn -0.011610 0.709380
a_pos d3Udcp3_neg_sgn -0.011610 0.709380
a_pos dUdcp_pos_mag -0.010677 0.724786
a_pos dUdcp_neg_mag -0.011664 0.708868
a_pos d2Udcp2_pos_mag -0.011758 0.715685
a_pos d2Udcp2_neg_mag -0.011343 0.707478
a_pos d3Udcp3_pos_mag -0.011610 0.709380
a_pos d3Udcp3_neg_mag -0.011610 0.709380
a_pos i0_neg -0.011641 0.707292
a_pos i0_pos -0.013641 0.824384
a_pos SOC_neg -0.011610 0.709380
a_pos SOC_pos -0.011610 0.709380
a_pos tP -0.011612 0.709528
a_pos aa_neg -0.012011 0.705927
a_pos aa_pos -0.011167 0.715068
a_pos kappa_0 0.018457 3.060872
a_pos sigma_neg -0.011609 0.709381
a_pos sigma_pos -0.011608 0.709397
l_neg l_sep -0.000052 0.000172
l_neg l_pos -0.000052 0.000170
l_neg Rp_neg -0.000052 0.000170
l_neg Rp_pos -0.000052 0.000186
l_neg epsilon_f_neg -0.000052 0.000170
l_neg epsilon_f_pos -0.000052 0.000170
l_neg epsilon_neg -0.000050 0.000184
l_neg epsilon_sep -0.000052 0.000170
l_neg epsilon_pos -0.000049 0.000432
l_neg Cdl_neg -0.000052 0.000170
l_neg Cdl_pos -0.000052 0.000170
l_neg cs_max_neg -0.000052 0.000170
l_neg cs_max_pos -0.000052 0.000170
l_neg c0 -0.000052 0.000167
l_neg D -0.000052 0.000163
l_neg Ds_neg -0.000050 0.000166
l_neg Ds_pos -0.000050 0.000301
l_neg d2Udcp2_pos_sgn -0.000052 0.000177
l_neg d2Udcp2_neg_sgn -0.000052 0.000170
l_neg d3Udcp3_pos_sgn -0.000052 0.000170
l_neg d3Udcp3_neg_sgn -0.000052 0.000170
l_neg dUdcp_pos_mag -0.000052 0.000171
l_neg dUdcp_neg_mag -0.000052 0.000175
l_neg d2Udcp2_pos_mag -0.000053 0.000162
l_neg d2Udcp2_neg_mag -0.000051 0.000172
l_neg d3Udcp3_pos_mag -0.000052 0.000170
l_neg d3Udcp3_neg_mag -0.000052 0.000170
l_neg i0_neg -0.000051 0.000164
l_neg i0_pos -0.000054 0.000203
l_neg SOC_neg -0.000052 0.000170
l_neg SOC_pos -0.000052 0.000170
l_neg tP -0.000052 0.000170
l_neg aa_neg -0.000051 0.000190
l_neg aa_pos -0.000052 0.000170
l_neg kappa_0 -0.000051 0.000097
l_neg sigma_neg -0.000052 0.000170
l_neg sigma_pos -0.000052 0.000170
l_sep l_pos 0.000001 0.000112
l_sep Rp_neg 0.000001 0.000113
l_sep Rp_pos 0.000001 0.000105
l_sep epsilon_f_neg 0.000001 0.000112
l_sep epsilon_f_pos 0.000001 0.000112
l_sep epsilon_neg 0.000001 0.000102
l_sep epsilon_sep 0.000001 0.000112
l_sep epsilon_pos 0.000001 0.000117
l_sep Cdl_neg 0.000001 0.000112
l_sep Cdl_pos 0.000001 0.000112
l_sep cs_max_neg 0.000001 0.000112
l_sep cs_max_pos 0.000001 0.000112
l_sep c0 0.000001 0.000112
l_sep D 0.000001 0.000112
l_sep Ds_neg 0.000002 0.000171
l_sep Ds_pos 0.000001 0.000117
l_sep d2Udcp2_pos_sgn 0.000001 0.000112
l_sep d2Udcp2_neg_sgn 0.000001 0.000112
l_sep d3Udcp3_pos_sgn 0.000001 0.000112
l_sep d3Udcp3_neg_sgn 0.000001 0.000112
l_sep dUdcp_pos_mag 0.000001 0.000108
l_sep dUdcp_neg_mag 0.000001 0.000111
l_sep d2Udcp2_pos_mag 0.000001 0.000095
l_sep d2Udcp2_neg_mag 0.000001 0.000113
l_sep d3Udcp3_pos_mag 0.000001 0.000112
l_sep d3Udcp3_neg_mag 0.000001 0.000112
l_sep i0_neg 0.000001 0.000107
l_sep i0_pos 0.000001 0.000114
l_sep SOC_neg 0.000001 0.000112
l_sep SOC_pos 0.000001 0.000112
l_sep tP 0.000001 0.000112
l_sep aa_neg 0.000001 0.000114
l_sep aa_pos 0.000001 0.000111
l_sep kappa_0 -0.000000 0.000108
l_sep sigma_neg 0.000001 0.000112
l_sep sigma_pos 0.000001 0.000112
l_pos Rp_neg 0.000188 0.009899
l_pos Rp_pos 0.000193 0.010173
l_pos epsilon_f_neg 0.000188 0.009899
l_pos epsilon_f_pos 0.000188 0.009899
l_pos epsilon_neg 0.000187 0.009902
l_pos epsilon_sep 0.000188 0.009899
l_pos epsilon_pos 0.000085 0.004507
l_pos Cdl_neg 0.000188 0.009899
l_pos Cdl_pos 0.000188 0.009899
l_pos cs_max_neg 0.000188 0.009899
l_pos cs_max_pos 0.000188 0.009899
l_pos c0 0.000188 0.009936
l_pos D 0.000189 0.009967
l_pos Ds_neg 0.000190 0.010023
l_pos Ds_pos 0.000060 0.003208
l_pos d2Udcp2_pos_sgn 0.000187 0.009845
l_pos d2Udcp2_neg_sgn 0.000188 0.009899
l_pos d3Udcp3_pos_sgn 0.000188 0.009899
l_pos d3Udcp3_neg_sgn 0.000188 0.009899
l_pos dUdcp_pos_mag 0.000185 0.009748
l_pos dUdcp_neg_mag 0.000188 0.009896
l_pos d2Udcp2_pos_mag 0.000239 0.012586
l_pos d2Udcp2_neg_mag 0.000187 0.009868
l_pos d3Udcp3_pos_mag 0.000188 0.009899
l_pos d3Udcp3_neg_mag 0.000188 0.009899
l_pos i0_neg 0.000188 0.009899
l_pos i0_pos 0.001200 0.063065
l_pos SOC_neg 0.000188 0.009899
l_pos SOC_pos 0.000188 0.009899
l_pos tP 0.000189 0.009958
l_pos aa_neg 0.000190 0.010022
l_pos aa_pos 0.000187 0.009874
l_pos kappa_0 0.000092 0.004886
l_pos sigma_neg 0.000188 0.009899
l_pos sigma_pos 0.000188 0.009898
Rp_neg Rp_pos 0.000096 0.006890
Rp_neg epsilon_f_neg 0.000093 0.006852
Rp_neg epsilon_f_pos 0.000093 0.006883
Rp_neg epsilon_neg 0.003626 0.357999
Rp_neg epsilon_sep 0.000093 0.006877
Rp_neg epsilon_pos 0.000328 0.027225
Rp_neg Cdl_neg 0.000093 0.006880
Rp_neg Cdl_pos 0.000093 0.006884
Rp_neg cs_max_neg 0.000093 0.006877
Rp_neg cs_max_pos 0.000093 0.006877
Rp_neg c0 0.000096 0.006899
Rp_neg D 0.000091 0.006885
Rp_neg Ds_neg 0.000017 0.005003
Rp_neg Ds_pos 0.001066 0.100432
Rp_neg d2Udcp2_pos_sgn 0.000093 0.006878
Rp_neg d2Udcp2_neg_sgn 0.000093 0.006878
Rp_neg d3Udcp3_pos_sgn 0.000093 0.006877
Rp_neg d3Udcp3_neg_sgn 0.000093 0.006877
Rp_neg dUdcp_pos_mag 0.000027 0.009825
Rp_neg dUdcp_neg_mag 0.000093 0.006864
Rp_neg d2Udcp2_pos_mag 0.000133 0.007530
Rp_neg d2Udcp2_neg_mag 0.000101 0.007063
Rp_neg d3Udcp3_pos_mag 0.000093 0.006877
Rp_neg d3Udcp3_neg_mag 0.000093 0.006877
Rp_neg i0_neg 0.000289 0.025286
Rp_neg i0_pos 0.000209 0.017007
Rp_neg SOC_neg 0.000093 0.006877
Rp_neg SOC_pos 0.000093 0.006877
Rp_neg tP 0.000101 0.007330
Rp_neg aa_neg 0.000537 0.049917
Rp_neg aa_pos 0.000497 0.045865
Rp_neg kappa_0 0.000125 0.007952
Rp_neg sigma_neg 0.000094 0.006953
Rp_neg sigma_pos 0.000093 0.006864
Rp_pos epsilon_f_neg -0.000076 0.005927
Rp_pos epsilon_f_pos -0.000076 0.005926
Rp_pos epsilon_neg -0.000086 0.006837
Rp_pos epsilon_sep -0.000076 0.005926
Rp_pos epsilon_pos -0.000049 0.004403
Rp_pos Cdl_neg -0.000076 0.005926
Rp_pos Cdl_pos -0.000076 0.005924
Rp_pos cs_max_neg -0.000076 0.005926
Rp_pos cs_max_pos -0.000076 0.005926
Rp_pos c0 -0.000076 0.005924
Rp_pos D -0.000076 0.005924
Rp_pos Ds_neg -0.000076 0.005946
Rp_pos Ds_pos -0.000055 0.004742
Rp_pos d2Udcp2_pos_sgn -0.000076 0.005925
Rp_pos d2Udcp2_neg_sgn -0.000076 0.005927
Rp_pos d3Udcp3_pos_sgn -0.000076 0.005926
Rp_pos d3Udcp3_neg_sgn -0.000076 0.005926
Rp_pos dUdcp_pos_mag -0.000090 0.006975
Rp_pos dUdcp_neg_mag -0.000075 0.005928
Rp_pos d2Udcp2_pos_mag -0.000051 0.003677
Rp_pos d2Udcp2_neg_mag -0.000076 0.005904
Rp_pos d3Udcp3_pos_mag -0.000076 0.005926
Rp_pos d3Udcp3_neg_mag -0.000076 0.005926
Rp_pos i0_neg -0.000074 0.005807
Rp_pos i0_pos -0.000080 0.006198
Rp_pos SOC_neg -0.000076 0.005926
Rp_pos SOC_pos -0.000076 0.005926
Rp_pos tP -0.000076 0.005921
Rp_pos aa_neg -0.000069 0.005497
Rp_pos aa_pos -0.000082 0.006379
Rp_pos kappa_0 -0.000531 0.048643
Rp_pos sigma_neg -0.000076 0.005927
Rp_pos sigma_pos -0.000076 0.005929
epsilon_f_neg epsilon_f_pos 0.000000 0.000006
epsilon_f_neg epsilon_neg 0.000000 0.000002
epsilon_f_neg epsilon_sep 0.000000 0.000006
epsilon_f_neg epsilon_pos 0.000000 0.000006
epsilon_f_neg Cdl_neg 0.000000 0.000006
epsilon_f_neg Cdl_pos 0.000000 0.000006
epsilon_f_neg cs_max_neg 0.000000 0.000006
epsilon_f_neg cs_max_pos 0.000000 0.000006
epsilon_f_neg c0 0.000000 0.000006
epsilon_f_neg D 0.000000 0.000006
epsilon_f_neg Ds_neg -0.000000 0.000024
epsilon_f_neg Ds_pos 0.000000 0.000006
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000006
epsilon_f_neg d2Udcp2_neg_sgn 0.000000 0.000006
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000006
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000006
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000006
epsilon_f_neg dUdcp_neg_mag 0.000001 0.000006
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000006
epsilon_f_neg d2Udcp2_neg_mag -0.000000 0.000004
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000006
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000006
epsilon_f_neg i0_neg 0.000000 0.000002
epsilon_f_neg i0_pos 0.000000 0.000006
epsilon_f_neg SOC_neg 0.000000 0.000006
epsilon_f_neg SOC_pos 0.000000 0.000006
epsilon_f_neg tP 0.000000 0.000006
epsilon_f_neg aa_neg 0.000000 0.000006
epsilon_f_neg aa_pos 0.000000 0.000006
epsilon_f_neg kappa_0 0.000000 0.000003
epsilon_f_neg sigma_neg 0.000000 0.000006
epsilon_f_neg sigma_pos 0.000000 0.000006
epsilon_f_pos epsilon_neg 0.000000 0.000059
epsilon_f_pos epsilon_sep 0.000000 0.000011
epsilon_f_pos epsilon_pos 0.000000 0.000010
epsilon_f_pos Cdl_neg 0.000000 0.000011
epsilon_f_pos Cdl_pos 0.000000 0.000011
epsilon_f_pos cs_max_neg 0.000000 0.000011
epsilon_f_pos cs_max_pos 0.000000 0.000011
epsilon_f_pos c0 0.000000 0.000011
epsilon_f_pos D 0.000000 0.000011
epsilon_f_pos Ds_neg 0.000000 0.000009
epsilon_f_pos Ds_pos 0.000000 0.000010
epsilon_f_pos d2Udcp2_pos_sgn 0.000000 0.000011
epsilon_f_pos d2Udcp2_neg_sgn 0.000000 0.000011
epsilon_f_pos d3Udcp3_pos_sgn 0.000000 0.000011
epsilon_f_pos d3Udcp3_neg_sgn 0.000000 0.000011
epsilon_f_pos dUdcp_pos_mag 0.000000 0.000011
epsilon_f_pos dUdcp_neg_mag 0.000000 0.000011
epsilon_f_pos d2Udcp2_pos_mag 0.000000 0.000011
epsilon_f_pos d2Udcp2_neg_mag 0.000000 0.000009
epsilon_f_pos d3Udcp3_pos_mag 0.000000 0.000011
epsilon_f_pos d3Udcp3_neg_mag 0.000000 0.000011
epsilon_f_pos i0_neg 0.000000 0.000008
epsilon_f_pos i0_pos 0.000000 0.000013
epsilon_f_pos SOC_neg 0.000000 0.000011
epsilon_f_pos SOC_pos 0.000000 0.000011
epsilon_f_pos tP 0.000000 0.000011
epsilon_f_pos aa_neg 0.000000 0.000005
epsilon_f_pos aa_pos 0.000000 0.000011
epsilon_f_pos kappa_0 0.000000 0.000014
epsilon_f_pos sigma_neg 0.000000 0.000011
epsilon_f_pos sigma_pos 0.000000 0.000011
epsilon_neg epsilon_sep 0.001206 0.046633
epsilon_neg epsilon_pos 0.001562 0.014797
epsilon_neg Cdl_neg 0.001204 0.046633
