Parameter S1 S1_conf ST ST_conf
a_neg 0.000007 0.016907 0.849398 0.419177
a_pos 0.051084 0.436385 0.049063 0.324974
l_neg 0.000052 0.000030 0.001821 0.000928
l_sep -0.000008 0.000111 0.000000 0.000000
l_pos -0.000178 0.001584 0.000000 0.000004
Rp_neg -0.000142 0.000948 0.028001 0.014108
Rp_pos 0.000039 0.001141 0.001068 0.014400
epsilon_f_neg -0.000000 0.000004 0.000000 0.000000
epsilon_f_pos -0.000000 0.000002 0.000000 0.000000
epsilon_neg 0.001165 0.049959 0.626162 0.225662
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002606 0.032294 0.172450 1.344119
Cdl_neg -0.000005 0.000014 0.000015 0.000007
Cdl_pos 0.000001 0.000023 0.000000 0.000000
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000084 0.001242 0.000030 0.000560
D 0.000076 0.001018 0.000002 0.000024
Ds_neg -0.002702 0.006763 0.825198 0.289958
Ds_pos -0.002847 0.029002 0.000479 0.005106
d2Udcp2_pos_sgn -0.000028 0.000242 0.000010 0.000131
d2Udcp2_neg_sgn 0.000005 0.000028 0.000002 0.000030
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.002432 0.033598 0.000704 0.008327
dUdcp_neg_mag 0.000551 0.000516 0.116645 0.058825
d2Udcp2_pos_mag -0.000994 0.024777 0.005457 0.078966
d2Udcp2_neg_mag -0.002761 0.005454 0.746791 0.264211
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000909 0.005517 0.231956 0.152817
i0_pos 0.018700 0.163709 0.028438 0.191262
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000112 0.001530 0.000051 0.000777
aa_neg 0.000394 0.006708 0.003568 0.029150
aa_pos 0.000815 0.013107 0.022973 0.176708
kappa_0 0.008109 0.131842 0.349601 2.252292
sigma_neg -0.000004 0.000020 0.000001 0.000002
sigma_pos 0.000000 0.000010 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.014530 0.045990
a_neg l_neg 0.016593 0.042546
a_neg l_sep 0.015839 0.042262
a_neg l_pos 0.015823 0.042510
a_neg Rp_neg 0.012847 0.041697
a_neg Rp_pos 0.015737 0.042772
a_neg epsilon_f_neg 0.015831 0.042365
a_neg epsilon_f_pos 0.015831 0.042365
a_neg epsilon_neg 0.004701 0.042707
a_neg epsilon_sep 0.015831 0.042364
a_neg epsilon_pos 0.016845 0.022273
a_neg Cdl_neg 0.015763 0.042349
a_neg Cdl_pos 0.015828 0.042388
a_neg cs_max_neg 0.015831 0.042364
a_neg cs_max_pos 0.015831 0.042364
a_neg c0 0.015875 0.041238
a_neg D 0.015767 0.043300
a_neg Ds_neg 0.000468 0.039560
a_neg Ds_pos 0.017456 0.019734
a_neg d2Udcp2_pos_sgn 0.015829 0.042378
a_neg d2Udcp2_neg_sgn 0.015856 0.042211
a_neg d3Udcp3_pos_sgn 0.015831 0.042364
a_neg d3Udcp3_neg_sgn 0.015831 0.042364
a_neg dUdcp_pos_mag 0.013895 0.071764
a_neg dUdcp_neg_mag 0.021875 0.044160
a_neg d2Udcp2_pos_mag 0.017290 0.021422
a_neg d2Udcp2_neg_mag 0.001314 0.039349
a_neg d3Udcp3_pos_mag 0.015831 0.042364
a_neg d3Udcp3_neg_mag 0.015831 0.042364
a_neg i0_neg 0.022630 0.046774
a_neg i0_pos 0.016704 0.033699
a_neg SOC_neg 0.015831 0.042364
a_neg SOC_pos 0.015831 0.042364
a_neg tP 0.015926 0.040914
a_neg aa_neg 0.016662 0.041475
a_neg aa_pos 0.015986 0.042997
a_neg kappa_0 0.022253 0.113889
a_neg sigma_neg 0.015831 0.042359
a_neg sigma_pos 0.015833 0.042351
a_pos l_neg -0.043211 0.413377
a_pos l_sep -0.043202 0.413380
a_pos l_pos -0.043021 0.411897
a_pos Rp_neg -0.043584 0.414205
a_pos Rp_pos -0.043165 0.413130
a_pos epsilon_f_neg -0.043202 0.413380
a_pos epsilon_f_pos -0.043204 0.413384
a_pos epsilon_neg -0.043623 0.415011
a_pos epsilon_sep -0.043202 0.413380
a_pos epsilon_pos -0.049619 0.429156
a_pos Cdl_neg -0.043195 0.413373
a_pos Cdl_pos -0.043220 0.413418
a_pos cs_max_neg -0.043202 0.413380
a_pos cs_max_pos -0.043202 0.413380
