Parameter S1 S1_conf ST ST_conf
a_neg 0.007170 0.019228 0.470734 0.283472
a_pos 0.219546 0.265718 0.218447 0.147323
l_neg 0.000201 0.000129 0.003171 0.002059
l_sep -0.000027 0.000056 0.000000 0.000000
l_pos -0.000762 0.000982 0.000001 0.000001
Rp_neg -0.000112 0.001051 0.022900 0.014666
Rp_pos -0.000052 0.001241 0.000900 0.001767
epsilon_f_neg -0.000002 0.000006 0.000000 0.000000
epsilon_f_pos -0.000000 0.000004 0.000000 0.000000
epsilon_neg 0.025359 0.073741 0.384175 0.177237
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.011617 0.031331 1.446982 1.546698
Cdl_neg -0.000021 0.000046 0.000009 0.000005
Cdl_pos 0.000030 0.000105 0.000001 0.000002
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000309 0.000661 0.000051 0.000110
D 0.000187 0.000340 0.000001 0.000003
Ds_neg -0.007544 0.007812 0.430250 0.208607
Ds_pos -0.011521 0.017878 0.000879 0.001555
d2Udcp2_pos_sgn -0.000717 0.000881 0.000090 0.000230
d2Udcp2_neg_sgn 0.000113 0.000140 0.000050 0.000066
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.008281 0.016101 0.001172 0.002174
dUdcp_neg_mag 0.000667 0.000631 0.004573 0.002838
d2Udcp2_pos_mag -0.005322 0.016462 0.003093 0.005737
d2Udcp2_neg_mag -0.008133 0.007630 0.517256 0.251622
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000770 0.008452 0.678020 0.350709
i0_pos 0.157726 0.193225 0.218213 0.171262
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000369 0.000828 0.000039 0.000086
aa_neg 0.005496 0.010877 0.036686 0.039404
aa_pos 0.007647 0.019474 0.192290 0.199610
kappa_0 0.085111 0.303891 2.133220 5.377778
sigma_neg -0.000009 0.000030 0.000001 0.000001
sigma_pos 0.000004 0.000020 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos 0.001602 0.045542
a_neg l_neg 0.011096 0.044575
a_neg l_sep 0.009672 0.044141
a_neg l_pos 0.009598 0.044281
a_neg Rp_neg 0.006027 0.043226
a_neg Rp_pos 0.009015 0.044856
a_neg epsilon_f_neg 0.009643 0.044184
a_neg epsilon_f_pos 0.009644 0.044182
a_neg epsilon_neg 0.013644 0.056780
a_neg epsilon_sep 0.009644 0.044183
a_neg epsilon_pos 0.011981 0.029605
a_neg Cdl_neg 0.009572 0.044173
a_neg Cdl_pos 0.009587 0.044214
a_neg cs_max_neg 0.009644 0.044183
a_neg cs_max_pos 0.009644 0.044183
a_neg c0 0.009913 0.043686
a_neg D 0.009479 0.044451
a_neg Ds_neg -0.005105 0.041277
a_neg Ds_pos 0.017164 0.031292
a_neg d2Udcp2_pos_sgn 0.009632 0.044187
a_neg d2Udcp2_neg_sgn 0.009966 0.044147
a_neg d3Udcp3_pos_sgn 0.009644 0.044183
a_neg d3Udcp3_neg_sgn 0.009644 0.044183
a_neg dUdcp_pos_mag 0.004245 0.056459
a_neg dUdcp_neg_mag 0.011199 0.044776
a_neg d2Udcp2_pos_mag 0.016702 0.032774
a_neg d2Udcp2_neg_mag -0.006702 0.040985
a_neg d3Udcp3_pos_mag 0.009644 0.044183
a_neg d3Udcp3_neg_mag 0.009644 0.044183
a_neg i0_neg 0.025221 0.050680
a_neg i0_pos 0.015675 0.039225
a_neg SOC_neg 0.009644 0.044183
a_neg SOC_pos 0.009644 0.044183
a_neg tP 0.010035 0.043533
a_neg aa_neg 0.015242 0.045400
a_neg aa_pos 0.011274 0.048429
a_neg kappa_0 0.102031 0.277076
a_neg sigma_neg 0.009648 0.044180
a_neg sigma_pos 0.009665 0.044177
a_pos l_neg -0.157694 0.346273
a_pos l_sep -0.157655 0.346276
a_pos l_pos -0.156870 0.345536
a_pos Rp_neg -0.160235 0.344249
a_pos Rp_pos -0.156898 0.345932
a_pos epsilon_f_neg -0.157653 0.346280
a_pos epsilon_f_pos -0.157667 0.346253
a_pos epsilon_neg -0.162417 0.342759
a_pos epsilon_sep -0.157655 0.346277
a_pos epsilon_pos -0.207022 0.273291
a_pos Cdl_neg -0.157596 0.346323
a_pos Cdl_pos -0.157856 0.345907
a_pos cs_max_neg -0.157655 0.346277
a_pos cs_max_pos -0.157655 0.346277
a_pos c0 -0.157781 0.346124
a_pos D -0.157783 0.346129
a_pos Ds_neg -0.157015 0.346495
a_pos Ds_pos -0.165584 0.322800
a_pos d2Udcp2_pos_sgn -0.156936 0.345617
a_pos d2Udcp2_neg_sgn -0.157650 0.346281
a_pos d3Udcp3_pos_sgn -0.157655 0.346277
a_pos d3Udcp3_neg_sgn -0.157655 0.346277
a_pos dUdcp_pos_mag -0.143682 0.373325
a_pos dUdcp_neg_mag -0.157471 0.346465
a_pos d2Udcp2_pos_mag -0.159281 0.347835
a_pos d2Udcp2_neg_mag -0.156115 0.347063
a_pos d3Udcp3_pos_mag -0.157655 0.346277
a_pos d3Udcp3_neg_mag -0.157655 0.346277
a_pos i0_neg -0.155311 0.345659
a_pos i0_pos -0.309771 0.511717
a_pos SOC_neg -0.157655 0.346277
a_pos SOC_pos -0.157655 0.346277
a_pos tP -0.157673 0.346325
a_pos aa_neg -0.169436 0.327827
a_pos aa_pos -0.139030 0.380652
a_pos kappa_0 0.798498 3.033986
a_pos sigma_neg -0.157652 0.346284
a_pos sigma_pos -0.157604 0.346369
l_neg l_sep -0.000272 0.000165
l_neg l_pos -0.000272 0.000165
l_neg Rp_neg -0.000272 0.000165
l_neg Rp_pos -0.000259 0.000166
l_neg epsilon_f_neg -0.000272 0.000165
l_neg epsilon_f_pos -0.000272 0.000165
l_neg epsilon_neg -0.000214 0.000126
l_neg epsilon_sep -0.000272 0.000165
l_neg epsilon_pos -0.000258 0.000164
l_neg Cdl_neg -0.000272 0.000165
l_neg Cdl_pos -0.000272 0.000165
l_neg cs_max_neg -0.000272 0.000165
l_neg cs_max_pos -0.000272 0.000165
l_neg c0 -0.000271 0.000165
l_neg D -0.000272 0.000165
l_neg Ds_neg -0.000258 0.000159
l_neg Ds_pos -0.000272 0.000165
l_neg d2Udcp2_pos_sgn -0.000263 0.000165
l_neg d2Udcp2_neg_sgn -0.000272 0.000165
l_neg d3Udcp3_pos_sgn -0.000272 0.000165
l_neg d3Udcp3_neg_sgn -0.000272 0.000165
l_neg dUdcp_pos_mag -0.000272 0.000165
l_neg dUdcp_neg_mag -0.000269 0.000165
l_neg d2Udcp2_pos_mag -0.000272 0.000165
l_neg d2Udcp2_neg_mag -0.000264 0.000168
l_neg d3Udcp3_pos_mag -0.000272 0.000165
l_neg d3Udcp3_neg_mag -0.000272 0.000165
l_neg i0_neg -0.000238 0.000134
l_neg i0_pos -0.000291 0.000203
l_neg SOC_neg -0.000272 0.000165
l_neg SOC_pos -0.000272 0.000165
l_neg tP -0.000272 0.000165
l_neg aa_neg -0.000209 0.000134
l_neg aa_pos -0.000273 0.000165
l_neg kappa_0 -0.000222 0.000123
l_neg sigma_neg -0.000272 0.000165
l_neg sigma_pos -0.000272 0.000165
l_sep l_pos 0.000029 0.000057
l_sep Rp_neg 0.000029 0.000057
l_sep Rp_pos 0.000029 0.000057
l_sep epsilon_f_neg 0.000029 0.000057
l_sep epsilon_f_pos 0.000029 0.000057
l_sep epsilon_neg 0.000030 0.000058
l_sep epsilon_sep 0.000029 0.000057
l_sep epsilon_pos 0.000029 0.000056
l_sep Cdl_neg 0.000029 0.000057
l_sep Cdl_pos 0.000029 0.000057
l_sep cs_max_neg 0.000029 0.000057
l_sep cs_max_pos 0.000029 0.000057
l_sep c0 0.000029 0.000057
l_sep D 0.000029 0.000057
l_sep Ds_neg 0.000029 0.000057
l_sep Ds_pos 0.000029 0.000057
l_sep d2Udcp2_pos_sgn 0.000029 0.000057
l_sep d2Udcp2_neg_sgn 0.000029 0.000057
l_sep d3Udcp3_pos_sgn 0.000029 0.000057
l_sep d3Udcp3_neg_sgn 0.000029 0.000057
l_sep dUdcp_pos_mag 0.000029 0.000057
l_sep dUdcp_neg_mag 0.000029 0.000057
l_sep d2Udcp2_pos_mag 0.000029 0.000057
l_sep d2Udcp2_neg_mag 0.000029 0.000057
l_sep d3Udcp3_pos_mag 0.000029 0.000057
l_sep d3Udcp3_neg_mag 0.000029 0.000057
l_sep i0_neg 0.000029 0.000057
l_sep i0_pos 0.000030 0.000058
l_sep SOC_neg 0.000029 0.000057
l_sep SOC_pos 0.000029 0.000057
l_sep tP 0.000029 0.000057
l_sep aa_neg 0.000029 0.000057
l_sep aa_pos 0.000030 0.000057
l_sep kappa_0 0.000053 0.000107
l_sep sigma_neg 0.000029 0.000057
l_sep sigma_pos 0.000029 0.000057
l_pos Rp_neg 0.003114 0.003744
l_pos Rp_pos 0.002859 0.003445
l_pos epsilon_f_neg 0.003114 0.003744
l_pos epsilon_f_pos 0.003114 0.003744
l_pos epsilon_neg 0.003157 0.003792
l_pos epsilon_sep 0.003114 0.003744
l_pos epsilon_pos 0.001463 0.001801
l_pos Cdl_neg 0.003116 0.003746
l_pos Cdl_pos 0.003114 0.003744
l_pos cs_max_neg 0.003114 0.003744
l_pos cs_max_pos 0.003114 0.003744
