Parameter S1 S1_conf ST ST_conf
a_neg 0.039600 0.057529 0.058217 0.089648
a_pos 0.057462 0.161752 0.500532 0.179838
l_neg 0.000069 0.000150 0.000088 0.000205
l_sep 0.000002 0.000003 0.000000 0.000000
l_pos -0.000264 0.000574 0.000000 0.000001
Rp_neg 0.000291 0.000616 0.000025 0.000046
Rp_pos -0.003050 0.003989 0.000037 0.000055
epsilon_f_neg -0.000005 0.000010 0.000000 0.000000
epsilon_f_pos -0.000004 0.000011 0.000000 0.000000
epsilon_neg 0.084765 0.153481 0.106793 0.129161
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.004293 0.055452 4.741924 2.641541
Cdl_neg -0.000749 0.001427 0.002095 0.002700
Cdl_pos 0.003416 0.007849 0.001669 0.003552
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000004 0.000012 0.000001 0.000002
D -0.000092 0.000140 0.000000 0.000000
Ds_neg 0.000338 0.000815 0.000105 0.000185
Ds_pos -0.002171 0.004677 0.000044 0.000060
d2Udcp2_pos_sgn -0.000348 0.000706 0.000003 0.000005
d2Udcp2_neg_sgn 0.000400 0.001015 0.000300 0.000764
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.002113 0.003380 0.000118 0.000252
dUdcp_neg_mag 0.000229 0.000372 0.000007 0.000011
d2Udcp2_pos_mag -0.002911 0.004690 0.000026 0.000037
d2Udcp2_neg_mag 0.000254 0.000518 0.000209 0.000428
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.001953 0.009131 0.045191 0.059177
i0_pos 0.060733 0.135898 0.567429 0.262571
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000017 0.000026 0.000002 0.000004
aa_neg 0.014918 0.027932 0.068488 0.098643
aa_pos 0.017243 0.037913 0.617325 0.336310
kappa_0 0.357194 0.809018 8.445866 16.866106
sigma_neg 0.000017 0.000030 0.000000 0.000000
sigma_pos 0.000010 0.000041 0.000001 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.025159 0.071322
a_neg l_neg -0.009071 0.084834
a_neg l_sep -0.009199 0.084801
a_neg l_pos -0.009232 0.084823
a_neg Rp_neg -0.009119 0.084818
a_neg Rp_pos -0.007532 0.081976
a_neg epsilon_f_neg -0.009199 0.084800
a_neg epsilon_f_pos -0.009201 0.084794
a_neg epsilon_neg 0.033724 0.127738
a_neg epsilon_sep -0.009198 0.084800
a_neg epsilon_pos -0.032122 0.066581
a_neg Cdl_neg -0.008024 0.086353
a_neg Cdl_pos -0.012600 0.084166
a_neg cs_max_neg -0.009198 0.084800
a_neg cs_max_pos -0.009198 0.084800
a_neg c0 -0.009200 0.084803
a_neg D -0.009114 0.084714
a_neg Ds_neg -0.009158 0.084808
a_neg Ds_pos -0.005661 0.082909
a_neg d2Udcp2_pos_sgn -0.009197 0.084802
a_neg d2Udcp2_neg_sgn -0.009164 0.084812
a_neg d3Udcp3_pos_sgn -0.009198 0.084800
a_neg d3Udcp3_neg_sgn -0.009198 0.084800
a_neg dUdcp_pos_mag -0.008604 0.087082
a_neg dUdcp_neg_mag -0.009201 0.084809
a_neg d2Udcp2_pos_mag -0.006347 0.082064
a_neg d2Udcp2_neg_mag -0.009030 0.084846
a_neg d3Udcp3_pos_mag -0.009198 0.084800
a_neg d3Udcp3_neg_mag -0.009198 0.084800
a_neg i0_neg -0.020924 0.077963
a_neg i0_pos 0.005948 0.087144
a_neg SOC_neg -0.009198 0.084800
a_neg SOC_pos -0.009198 0.084800
a_neg tP -0.009194 0.084805
a_neg aa_neg -0.001074 0.088547
a_neg aa_pos 0.002556 0.095959
a_neg kappa_0 0.339805 0.782494
a_neg sigma_neg -0.009188 0.084801
a_neg sigma_pos -0.009170 0.084825
a_pos l_neg 0.164147 0.522174
a_pos l_sep 0.164164 0.522182
a_pos l_pos 0.164425 0.522061
a_pos Rp_neg 0.163486 0.521697
a_pos Rp_pos 0.158869 0.511048
a_pos epsilon_f_neg 0.164167 0.522189
a_pos epsilon_f_pos 0.164120 0.522089
a_pos epsilon_neg 0.151325 0.512893
a_pos epsilon_sep 0.164164 0.522182
a_pos epsilon_pos -0.016618 0.194437
a_pos Cdl_neg 0.165136 0.522333
a_pos Cdl_pos 0.157239 0.507923
a_pos cs_max_neg 0.164164 0.522182
a_pos cs_max_pos 0.164164 0.522182
