Parameter S1 S1_conf ST ST_conf
a_neg 0.039032 0.104107 0.069836 0.147503
a_pos -0.002294 0.127031 0.761131 0.651249
l_neg -0.000077 0.000232 0.000021 0.000067
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000117 0.000426 0.000002 0.000009
Rp_neg 0.000064 0.000188 0.000003 0.000011
Rp_pos -0.001122 0.003133 0.000066 0.000181
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000009 0.000020 0.000000 0.000000
epsilon_neg 0.030538 0.078896 0.127804 0.260557
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.001738 0.083194 5.724930 2.827442
Cdl_neg -0.004959 0.012176 0.067879 0.134384
Cdl_pos -0.012871 0.039581 0.095978 0.186342
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000003 0.000015 0.000000 0.000000
D -0.000001 0.000004 0.000000 0.000000
Ds_neg 0.000023 0.000177 0.000078 0.000286
Ds_pos 0.000107 0.000241 0.000000 0.000000
d2Udcp2_pos_sgn 0.000001 0.000008 0.000000 0.000000
d2Udcp2_neg_sgn 0.000001 0.000002 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000373 0.000980 0.000006 0.000017
dUdcp_neg_mag 0.000029 0.000110 0.000005 0.000017
d2Udcp2_pos_mag 0.000029 0.000097 0.000000 0.000000
d2Udcp2_neg_mag 0.000003 0.000010 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.004539 0.011016 0.009328 0.020058
i0_pos -0.003695 0.005761 0.426386 0.204431
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000006 0.000017 0.000000 0.000000
aa_neg 0.014460 0.034121 0.040705 0.081519
aa_pos 0.009629 0.037899 0.737589 0.357633
kappa_0 0.463713 1.287641 11.809722 30.121355
sigma_neg 0.000006 0.000018 0.000000 0.000000
sigma_pos 0.000035 0.000082 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.031412 0.133694
a_neg l_neg 0.018554 0.141465
a_neg l_sep 0.018634 0.141533
a_neg l_pos 0.018710 0.141573
a_neg Rp_neg 0.018622 0.141519
a_neg Rp_pos 0.017428 0.139436
a_neg epsilon_f_neg 0.018637 0.141536
a_neg epsilon_f_pos 0.018628 0.141521
a_neg epsilon_neg 0.093720 0.312669
a_neg epsilon_sep 0.018634 0.141533
a_neg epsilon_pos -0.017694 0.106864
a_neg Cdl_neg 0.032862 0.168802
a_neg Cdl_pos 0.004005 0.118638
a_neg cs_max_neg 0.018634 0.141533
a_neg cs_max_pos 0.018634 0.141533
a_neg c0 0.018629 0.141537
a_neg D 0.018636 0.141532
a_neg Ds_neg 0.018545 0.141464
a_neg Ds_pos 0.018606 0.141698
a_neg d2Udcp2_pos_sgn 0.018635 0.141534
a_neg d2Udcp2_neg_sgn 0.018635 0.141534
a_neg d3Udcp3_pos_sgn 0.018634 0.141533
a_neg d3Udcp3_neg_sgn 0.018634 0.141533
a_neg dUdcp_pos_mag 0.018976 0.142225
a_neg dUdcp_neg_mag 0.018661 0.141549
a_neg d2Udcp2_pos_mag 0.018605 0.141580
a_neg d2Udcp2_neg_mag 0.018638 0.141537
a_neg d3Udcp3_pos_mag 0.018634 0.141533
a_neg d3Udcp3_neg_mag 0.018634 0.141533
a_neg i0_neg 0.023031 0.150991
a_neg i0_pos 0.019651 0.140819
a_neg SOC_neg 0.018634 0.141533
a_neg SOC_pos 0.018634 0.141533
a_neg tP 0.018629 0.141541
a_neg aa_neg 0.024934 0.153686
a_neg aa_pos 0.033112 0.166749
a_neg kappa_0 0.506498 1.414213
a_neg sigma_neg 0.018650 0.141546
a_neg sigma_pos 0.018651 0.141579
a_pos l_neg 0.144949 0.451662
a_pos l_sep 0.144935 0.451655
a_pos l_pos 0.144918 0.451631
a_pos Rp_neg 0.144897 0.451638
a_pos Rp_pos 0.139715 0.437931
a_pos epsilon_f_neg 0.144936 0.451656
a_pos epsilon_f_pos 0.144906 0.451574
a_pos epsilon_neg 0.137131 0.447437
a_pos epsilon_sep 0.144935 0.451655
a_pos epsilon_pos 0.029013 0.158644
a_pos Cdl_neg 0.151215 0.454797
a_pos Cdl_pos 0.080265 0.284067
a_pos cs_max_neg 0.144935 0.451655
a_pos cs_max_pos 0.144935 0.451655
