Parameter S1 S1_conf ST ST_conf
a_neg 0.072300 0.157152 0.541527 1.078790
a_pos 0.296984 0.648192 16.241397 35.532186
l_neg -0.000002 0.000010 0.000000 0.000001
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.001567 0.003460 0.000458 0.001018
Rp_neg 0.000019 0.000044 0.000001 0.000003
Rp_pos 0.000020 0.000047 0.000000 0.000000
epsilon_f_neg -0.000008 0.000017 0.000000 0.000000
epsilon_f_pos -0.000017 0.000028 0.000000 0.000000
epsilon_neg 0.037651 0.062699 0.118508 0.137948
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.163829 0.327331 0.859543 1.114573
Cdl_neg 0.162904 0.381595 1.147684 2.048957
Cdl_pos 0.029239 0.105160 2.213413 4.914127
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000000 0.000007 0.000000 0.000000
D -0.000000 0.000002 0.000000 0.000000
Ds_neg 0.000002 0.000007 0.000000 0.000000
Ds_pos 0.000014 0.000047 0.000000 0.000000
d2Udcp2_pos_sgn 0.000001 0.000003 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000022 0.000048 0.000000 0.000000
dUdcp_neg_mag -0.000036 0.000102 0.000001 0.000003
d2Udcp2_pos_mag 0.000014 0.000031 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.014226 0.014164 0.030705 0.037901
i0_pos 0.026979 0.034474 2.564033 3.852085
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000002 0.000010 0.000000 0.000000
aa_neg 0.041584 0.063328 0.033167 0.038185
aa_pos 0.008344 0.018555 0.311619 0.519433
kappa_0 0.040018 0.144603 1.713392 3.516598
sigma_neg 0.000071 0.000138 0.000000 0.000000
sigma_pos 0.000013 0.000062 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.238181 0.568343
a_neg l_neg -0.017475 0.169753
a_neg l_sep -0.017477 0.169752
a_neg l_pos -0.016300 0.169018
a_neg Rp_neg -0.017295 0.169645
a_neg Rp_pos -0.017492 0.169768
a_neg epsilon_f_neg -0.017467 0.169747
a_neg epsilon_f_pos -0.017500 0.169760
a_neg epsilon_neg 0.332027 0.619114
a_neg epsilon_sep -0.017477 0.169752
a_neg epsilon_pos -0.009694 0.165767
a_neg Cdl_neg 0.472346 0.818606
a_neg Cdl_pos -0.025039 0.173178
a_neg cs_max_neg -0.017477 0.169752
a_neg cs_max_pos -0.017477 0.169752
a_neg c0 -0.017476 0.169752
a_neg D -0.017477 0.169752
a_neg Ds_neg -0.017491 0.169760
a_neg Ds_pos -0.017496 0.169767
a_neg d2Udcp2_pos_sgn -0.017478 0.169753
a_neg d2Udcp2_neg_sgn -0.017477 0.169752
a_neg d3Udcp3_pos_sgn -0.017477 0.169752
a_neg d3Udcp3_neg_sgn -0.017477 0.169752
a_neg dUdcp_pos_mag -0.017521 0.169768
a_neg dUdcp_neg_mag -0.017281 0.169620
a_neg d2Udcp2_pos_mag -0.017483 0.169759
a_neg d2Udcp2_neg_mag -0.017477 0.169752
a_neg d3Udcp3_pos_mag -0.017477 0.169752
a_neg d3Udcp3_neg_mag -0.017477 0.169752
a_neg i0_neg -0.007375 0.175304
a_neg i0_pos -0.017907 0.167514
a_neg SOC_neg -0.017477 0.169752
a_neg SOC_pos -0.017477 0.169752
a_neg tP -0.017479 0.169753
a_neg aa_neg -0.006303 0.183537
a_neg aa_pos -0.012986 0.164662
a_neg kappa_0 0.043782 0.194623
a_neg sigma_neg -0.017427 0.169757
a_neg sigma_pos -0.017357 0.169737
a_pos l_neg -0.276263 0.646878
a_pos l_sep -0.276264 0.646878
a_pos l_pos -0.276164 0.646636
a_pos Rp_neg -0.276264 0.646878
a_pos Rp_pos -0.276279 0.646886
a_pos epsilon_f_neg -0.276263 0.646878
a_pos epsilon_f_pos -0.276262 0.646877
a_pos epsilon_neg -0.291114 0.651744
a_pos epsilon_sep -0.276263 0.646878
a_pos epsilon_pos -0.286527 0.679694
a_pos Cdl_neg -0.264422 0.641648
a_pos Cdl_pos -0.301108 0.669205
a_pos cs_max_neg -0.276263 0.646878
a_pos cs_max_pos -0.276263 0.646878
