Parameter S1 S1_conf ST ST_conf
a_neg 0.437077 0.575038 76.974359 102.467407
a_pos 0.227520 0.323953 19.245656 31.570160
l_neg 0.000116 0.000186 0.000022 0.000031
l_sep -0.000001 0.000010 0.000062 0.000112
l_pos 0.000118 0.002182 0.001041 0.001111
Rp_neg 0.000005 0.000007 0.000000 0.000000
Rp_pos 0.000004 0.000004 0.000000 0.000000
epsilon_f_neg -0.000005 0.000007 0.000000 0.000000
epsilon_f_pos -0.000015 0.000014 0.000000 0.000000
epsilon_neg 0.031147 0.029883 0.562398 0.650296
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.064900 0.132530 0.360740 0.185280
Cdl_neg 0.250164 0.360361 6.619610 9.020047
Cdl_pos 0.266069 0.311617 2.462227 2.513205
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000018 0.000022 0.000006 0.000011
D 0.000003 0.000008 0.000001 0.000002
Ds_neg 0.000004 0.000007 0.000000 0.000000
Ds_pos -0.000004 0.000004 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn -0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000016 0.000018 0.000000 0.000000
dUdcp_neg_mag 0.000004 0.000007 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.014757 0.015844 0.041557 0.041242
i0_pos 0.008367 0.051342 3.249612 4.226149
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000040 0.000031 0.000072 0.000129
aa_neg 0.016660 0.025421 0.041846 0.033255
aa_pos 0.028384 0.023665 2.675069 2.455665
kappa_0 0.003315 0.038233 0.776078 0.941968
sigma_neg 0.000035 0.000053 0.000000 0.000000
sigma_pos 0.000068 0.000067 0.000002 0.000002

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.553293 0.665258
a_neg l_neg -0.427768 0.590151
a_neg l_sep -0.427726 0.590138
a_neg l_pos -0.427036 0.590004
a_neg Rp_neg -0.427678 0.590124
a_neg Rp_pos -0.427717 0.590137
a_neg epsilon_f_neg -0.427725 0.590137
a_neg epsilon_f_pos -0.427781 0.590147
a_neg epsilon_neg -0.286999 0.602158
a_neg epsilon_sep -0.427726 0.590138
a_neg epsilon_pos -0.416008 0.589308
a_neg Cdl_neg 0.803751 1.554064
a_neg Cdl_pos -0.434915 0.592535
a_neg cs_max_neg -0.427726 0.590138
a_neg cs_max_pos -0.427726 0.590138
a_neg c0 -0.427726 0.590137
a_neg D -0.427726 0.590138
a_neg Ds_neg -0.427681 0.590125
a_neg Ds_pos -0.427726 0.590138
a_neg d2Udcp2_pos_sgn -0.427726 0.590138
a_neg d2Udcp2_neg_sgn -0.427726 0.590138
a_neg d3Udcp3_pos_sgn -0.427726 0.590138
a_neg d3Udcp3_neg_sgn -0.427726 0.590138
a_neg dUdcp_pos_mag -0.427754 0.590142
a_neg dUdcp_neg_mag -0.427679 0.590124
a_neg d2Udcp2_pos_mag -0.427726 0.590138
a_neg d2Udcp2_neg_mag -0.427726 0.590138
a_neg d3Udcp3_pos_mag -0.427726 0.590138
a_neg d3Udcp3_neg_mag -0.427726 0.590138
a_neg i0_neg -0.415350 0.588256
a_neg i0_pos -0.422071 0.588751
a_neg SOC_neg -0.427726 0.590138
a_neg SOC_pos -0.427726 0.590138
a_neg tP -0.427728 0.590139
a_neg aa_neg -0.405534 0.583368
a_neg aa_pos -0.417228 0.586727
a_neg kappa_0 -0.399343 0.579390
a_neg sigma_neg -0.427730 0.590138
a_neg sigma_pos -0.427357 0.590107
a_pos l_neg -0.224952 0.320841
a_pos l_sep -0.224876 0.320818
a_pos l_pos -0.225574 0.320900
a_pos Rp_neg -0.224838 0.320798
a_pos Rp_pos -0.224840 0.320798
a_pos epsilon_f_neg -0.224838 0.320798
a_pos epsilon_f_pos -0.224835 0.320797
a_pos epsilon_neg -0.230631 0.322451
a_pos epsilon_sep -0.224838 0.320798
a_pos epsilon_pos -0.228010 0.327948
a_pos Cdl_neg -0.206553 0.313675
a_pos Cdl_pos -0.282727 0.362526
a_pos cs_max_neg -0.224838 0.320798
a_pos cs_max_pos -0.224838 0.320798
