Parameter S1 S1_conf ST ST_conf
a_neg 0.000654 0.210975 0.503130 51.346598
a_pos 0.000283 0.097198 0.023362 8.937289
l_neg -0.000022 0.004194 0.109712 0.039951
l_sep -0.000024 0.002631 0.733020 0.339990
l_pos 0.000036 0.015239 0.000736 0.284884
Rp_neg 0.000000 0.000000 0.000000 0.000000
Rp_pos 0.000000 0.000000 0.000000 0.000000
epsilon_f_neg -0.000000 0.000002 0.000000 0.000000
epsilon_f_pos -0.000000 0.000006 0.000000 0.000000
epsilon_neg -0.000003 0.012028 0.930519 0.252993
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.000057 0.029655 0.001702 0.538614
Cdl_neg 0.000299 0.102101 0.210386 3.322917
Cdl_pos 0.000292 0.083289 0.004287 1.143227
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000031 0.008041 0.038347 0.161214
D -0.000010 0.002156 0.005090 0.011036
Ds_neg 0.000000 0.000000 0.000000 0.000000
Ds_pos -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_sgn 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000000 0.000000 0.000000 0.000000
dUdcp_neg_mag -0.000000 0.000000 0.000000 0.000000
d2Udcp2_pos_mag 0.000000 0.000000 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.000019 0.005268 0.000060 0.015743
i0_pos -0.000009 0.013134 0.001226 0.282260
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000045 0.007187 1.009653 0.403040
aa_neg 0.000019 0.007353 0.000065 0.016924
aa_pos 0.000044 0.012247 0.003649 1.075524
kappa_0 0.000049 0.011619 1.032084 0.246433
sigma_neg 0.000000 0.000016 0.000000 0.000000
sigma_pos 0.000000 0.000035 0.000000 0.000006

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.000797 0.248621
a_neg l_neg -0.000647 0.213375
a_neg l_sep -0.000649 0.213665
a_neg l_pos -0.000681 0.219836
a_neg Rp_neg -0.000649 0.213675
a_neg Rp_pos -0.000649 0.213676
a_neg epsilon_f_neg -0.000649 0.213676
a_neg epsilon_f_pos -0.000650 0.213694
a_neg epsilon_neg -0.000481 0.199240
a_neg epsilon_sep -0.000649 0.213676
a_neg epsilon_pos -0.000635 0.211328
a_neg Cdl_neg 0.001015 0.466223
a_neg Cdl_pos -0.000643 0.212945
a_neg cs_max_neg -0.000649 0.213676
a_neg cs_max_pos -0.000649 0.213676
a_neg c0 -0.000649 0.213674
a_neg D -0.000649 0.213658
a_neg Ds_neg -0.000649 0.213675
a_neg Ds_pos -0.000649 0.213676
a_neg d2Udcp2_pos_sgn -0.000649 0.213676
a_neg d2Udcp2_neg_sgn -0.000649 0.213676
a_neg d3Udcp3_pos_sgn -0.000649 0.213676
a_neg d3Udcp3_neg_sgn -0.000649 0.213676
a_neg dUdcp_pos_mag -0.000649 0.213676
a_neg dUdcp_neg_mag -0.000649 0.213675
a_neg d2Udcp2_pos_mag -0.000649 0.213676
a_neg d2Udcp2_neg_mag -0.000649 0.213676
a_neg d3Udcp3_pos_mag -0.000649 0.213676
a_neg d3Udcp3_neg_mag -0.000649 0.213676
a_neg i0_neg -0.000641 0.212043
a_neg i0_pos -0.000643 0.212469
a_neg SOC_neg -0.000649 0.213676
a_neg SOC_pos -0.000649 0.213676
a_neg tP -0.000649 0.213657
a_neg aa_neg -0.000619 0.207798
a_neg aa_pos -0.000635 0.211025
a_neg kappa_0 -0.000628 0.210786
a_neg sigma_neg -0.000649 0.213680
a_neg sigma_pos -0.000649 0.213557
a_pos l_neg -0.000032 0.095491
a_pos l_sep -0.000139 0.094959
a_pos l_pos 0.000148 0.096047
a_pos Rp_neg 0.000146 0.095626
a_pos Rp_pos 0.000146 0.095626
a_pos epsilon_f_neg 0.000146 0.095626
a_pos epsilon_f_pos 0.000146 0.095625
a_pos epsilon_neg -0.000284 0.099805
a_pos epsilon_sep 0.000146 0.095626
a_pos epsilon_pos 0.000212 0.090652
a_pos Cdl_neg 0.000141 0.093878
a_pos Cdl_pos 0.000219 0.095961
a_pos cs_max_neg 0.000146 0.095626
a_pos cs_max_pos 0.000146 0.095626
a_pos c0 0.000029 0.099188
a_pos D 0.000082 0.095021
a_pos Ds_neg 0.000146 0.095626
a_pos Ds_pos 0.000146 0.095626
a_pos d2Udcp2_pos_sgn 0.000146 0.095626
a_pos d2Udcp2_neg_sgn 0.000146 0.095626
a_pos d3Udcp3_pos_sgn 0.000146 0.095626
a_pos d3Udcp3_neg_sgn 0.000146 0.095626
a_pos dUdcp_pos_mag 0.000146 0.095626
a_pos dUdcp_neg_mag 0.000146 0.095626
a_pos d2Udcp2_pos_mag 0.000146 0.095626
a_pos d2Udcp2_neg_mag 0.000146 0.095626
a_pos d3Udcp3_pos_mag 0.000146 0.095626
a_pos d3Udcp3_neg_mag 0.000146 0.095626
a_pos i0_neg 0.000149 0.095438
a_pos i0_pos 0.000194 0.090784
a_pos SOC_neg 0.000146 0.095626
a_pos SOC_pos 0.000146 0.095626
a_pos tP -0.000275 0.097968
a_pos aa_neg 0.000145 0.095748
a_pos aa_pos 0.000140 0.097088
a_pos kappa_0 0.000707 0.110505
a_pos sigma_neg 0.000146 0.095626
a_pos sigma_pos 0.000146 0.095625
l_neg l_sep 0.000027 0.004744
l_neg l_pos 0.000027 0.004852
l_neg Rp_neg 0.000027 0.004849
l_neg Rp_pos 0.000027 0.004849
l_neg epsilon_f_neg 0.000027 0.004849
l_neg epsilon_f_pos 0.000027 0.004848
l_neg epsilon_neg 0.000028 0.004791
l_neg epsilon_sep 0.000027 0.004849
l_neg epsilon_pos 0.000025 0.004600
l_neg Cdl_neg 0.000028 0.004808
l_neg Cdl_pos 0.000023 0.004494
l_neg cs_max_neg 0.000027 0.004849
l_neg cs_max_pos 0.000027 0.004849
l_neg c0 0.000026 0.004524
l_neg D 0.000027 0.004762
l_neg Ds_neg 0.000027 0.004849
l_neg Ds_pos 0.000027 0.004849
l_neg d2Udcp2_pos_sgn 0.000027 0.004849
l_neg d2Udcp2_neg_sgn 0.000027 0.004849
l_neg d3Udcp3_pos_sgn 0.000027 0.004849
l_neg d3Udcp3_neg_sgn 0.000027 0.004849
l_neg dUdcp_pos_mag 0.000027 0.004849
l_neg dUdcp_neg_mag 0.000027 0.004849
l_neg d2Udcp2_pos_mag 0.000027 0.004849
l_neg d2Udcp2_neg_mag 0.000027 0.004849
l_neg d3Udcp3_pos_mag 0.000027 0.004849
l_neg d3Udcp3_neg_mag 0.000027 0.004849
l_neg i0_neg 0.000026 0.004791
l_neg i0_pos 0.000023 0.004436
l_neg SOC_neg 0.000027 0.004849
l_neg SOC_pos 0.000027 0.004849
l_neg tP 0.000026 0.004559
l_neg aa_neg 0.000027 0.004838
l_neg aa_pos 0.000025 0.004660
l_neg kappa_0 0.000021 0.005744
l_neg sigma_neg 0.000027 0.004849
l_neg sigma_pos 0.000027 0.004853
l_sep l_pos 0.000024 0.002616
l_sep Rp_neg 0.000024 0.002616
l_sep Rp_pos 0.000024 0.002616
l_sep epsilon_f_neg 0.000024 0.002616
l_sep epsilon_f_pos 0.000024 0.002616
l_sep epsilon_neg 0.000024 0.002611
l_sep epsilon_sep 0.000024 0.002616
l_sep epsilon_pos 0.000024 0.002615
l_sep Cdl_neg 0.000025 0.002589
l_sep Cdl_pos 0.000024 0.002616
l_sep cs_max_neg 0.000024 0.002616
l_sep cs_max_pos 0.000024 0.002616
l_sep c0 0.000025 0.002616
l_sep D 0.000024 0.002616
l_sep Ds_neg 0.000024 0.002616
l_sep Ds_pos 0.000024 0.002616
l_sep d2Udcp2_pos_sgn 0.000024 0.002616
l_sep d2Udcp2_neg_sgn 0.000024 0.002616
l_sep d3Udcp3_pos_sgn 0.000024 0.002616
l_sep d3Udcp3_neg_sgn 0.000024 0.002616
l_sep dUdcp_pos_mag 0.000024 0.002616
l_sep dUdcp_neg_mag 0.000024 0.002616
l_sep d2Udcp2_pos_mag 0.000024 0.002616
l_sep d2Udcp2_neg_mag 0.000024 0.002616
l_sep d3Udcp3_pos_mag 0.000024 0.002616
l_sep d3Udcp3_neg_mag 0.000024 0.002616
l_sep i0_neg 0.000024 0.002579
l_sep i0_pos 0.000025 0.002620
l_sep SOC_neg 0.000024 0.002616
l_sep SOC_pos 0.000024 0.002616
l_sep tP 0.000024 0.002616
l_sep aa_neg 0.000024 0.002615
l_sep aa_pos 0.000024 0.002616
l_sep kappa_0 0.000025 0.002618
l_sep sigma_neg 0.000024 0.002616
l_sep sigma_pos 0.000024 0.002616
l_pos Rp_neg -0.000044 0.016357
l_pos Rp_pos -0.000044 0.016357
l_pos epsilon_f_neg -0.000044 0.016357
l_pos epsilon_f_pos -0.000044 0.016356
l_pos epsilon_neg -0.000043 0.016373
l_pos epsilon_sep -0.000044 0.016357
l_pos epsilon_pos -0.000057 0.026283
l_pos Cdl_neg -0.000042 0.016068
l_pos Cdl_pos 0.000005 0.016420
l_pos cs_max_neg -0.000044 0.016357
l_pos cs_max_pos -0.000044 0.016357
l_pos c0 -0.000044 0.016348
l_pos D -0.000044 0.016356
l_pos Ds_neg -0.000044 0.016357
l_pos Ds_pos -0.000044 0.016357
l_pos d2Udcp2_pos_sgn -0.000044 0.016357
l_pos d2Udcp2_neg_sgn -0.000044 0.016357
l_pos d3Udcp3_pos_sgn -0.000044 0.016357
l_pos d3Udcp3_neg_sgn -0.000044 0.016357
l_pos dUdcp_pos_mag -0.000044 0.016357
l_pos dUdcp_neg_mag -0.000044 0.016357
l_pos d2Udcp2_pos_mag -0.000044 0.016357
l_pos d2Udcp2_neg_mag -0.000044 0.016357
l_pos d3Udcp3_pos_mag -0.000044 0.016357
l_pos d3Udcp3_neg_mag -0.000044 0.016357
l_pos i0_neg -0.000044 0.016451
l_pos i0_pos -0.000047 0.017020
l_pos SOC_neg -0.000044 0.016357
l_pos SOC_pos -0.000044 0.016357
l_pos tP -0.000043 0.016349
l_pos aa_neg -0.000044 0.016377
l_pos aa_pos -0.000046 0.016837
l_pos kappa_0 -0.000032 0.015069
l_pos sigma_neg -0.000044 0.016357
l_pos sigma_pos -0.000044 0.016357
Rp_neg Rp_pos -0.000000 0.000000
Rp_neg epsilon_f_neg -0.000000 0.000000
Rp_neg epsilon_f_pos -0.000000 0.000000
Rp_neg epsilon_neg -0.000000 0.000000
Rp_neg epsilon_sep -0.000000 0.000000
Rp_neg epsilon_pos -0.000000 0.000000
Rp_neg Cdl_neg -0.000000 0.000000
Rp_neg Cdl_pos -0.000000 0.000000
Rp_neg cs_max_neg -0.000000 0.000000
Rp_neg cs_max_pos -0.000000 0.000000
Rp_neg c0 -0.000000 0.000000
Rp_neg D -0.000000 0.000000
Rp_neg Ds_neg -0.000000 0.000000
Rp_neg Ds_pos -0.000000 0.000000
Rp_neg d2Udcp2_pos_sgn -0.000000 0.000000
Rp_neg d2Udcp2_neg_sgn -0.000000 0.000000
Rp_neg d3Udcp3_pos_sgn -0.000000 0.000000
Rp_neg d3Udcp3_neg_sgn -0.000000 0.000000
Rp_neg dUdcp_pos_mag -0.000000 0.000000
Rp_neg dUdcp_neg_mag -0.000000 0.000000
Rp_neg d2Udcp2_pos_mag -0.000000 0.000000
Rp_neg d2Udcp2_neg_mag -0.000000 0.000000
Rp_neg d3Udcp3_pos_mag -0.000000 0.000000
Rp_neg d3Udcp3_neg_mag -0.000000 0.000000
Rp_neg i0_neg -0.000000 0.000000
Rp_neg i0_pos -0.000000 0.000000
Rp_neg SOC_neg -0.000000 0.000000
Rp_neg SOC_pos -0.000000 0.000000
Rp_neg tP -0.000000 0.000000
Rp_neg aa_neg -0.000000 0.000000
Rp_neg aa_pos -0.000000 0.000000
Rp_neg kappa_0 -0.000000 0.000000
Rp_neg sigma_neg -0.000000 0.000000
Rp_neg sigma_pos -0.000000 0.000000
Rp_pos epsilon_f_neg -0.000000 0.000000
Rp_pos epsilon_f_pos -0.000000 0.000000
Rp_pos epsilon_neg 0.000000 0.000000
Rp_pos epsilon_sep -0.000000 0.000000
Rp_pos epsilon_pos -0.000000 0.000000
Rp_pos Cdl_neg -0.000000 0.000000
Rp_pos Cdl_pos -0.000000 0.000000
Rp_pos cs_max_neg -0.000000 0.000000
Rp_pos cs_max_pos -0.000000 0.000000
Rp_pos c0 0.000000 0.000000
Rp_pos D -0.000000 0.000000
Rp_pos Ds_neg -0.000000 0.000000
Rp_pos Ds_pos -0.000000 0.000000
Rp_pos d2Udcp2_pos_sgn -0.000000 0.000000
Rp_pos d2Udcp2_neg_sgn -0.000000 0.000000
Rp_pos d3Udcp3_pos_sgn -0.000000 0.000000
Rp_pos d3Udcp3_neg_sgn -0.000000 0.000000
Rp_pos dUdcp_pos_mag -0.000000 0.000000
Rp_pos dUdcp_neg_mag -0.000000 0.000000
Rp_pos d2Udcp2_pos_mag -0.000000 0.000000
Rp_pos d2Udcp2_neg_mag -0.000000 0.000000
Rp_pos d3Udcp3_pos_mag -0.000000 0.000000
Rp_pos d3Udcp3_neg_mag -0.000000 0.000000
Rp_pos i0_neg 0.000000 0.000000
Rp_pos i0_pos 0.000000 0.000000
Rp_pos SOC_neg -0.000000 0.000000
Rp_pos SOC_pos -0.000000 0.000000
Rp_pos tP -0.000000 0.000000
Rp_pos aa_neg -0.000000 0.000000
Rp_pos aa_pos 0.000000 0.000000
Rp_pos kappa_0 0.000000 0.000000
Rp_pos sigma_neg -0.000000 0.000000
Rp_pos sigma_pos -0.000000 0.000000
epsilon_f_neg epsilon_f_pos 0.000000 0.000003
epsilon_f_neg epsilon_neg 0.000000 0.000003
epsilon_f_neg epsilon_sep 0.000000 0.000003
epsilon_f_neg epsilon_pos 0.000000 0.000003
epsilon_f_neg Cdl_neg -0.000000 0.000010
epsilon_f_neg Cdl_pos 0.000000 0.000003
epsilon_f_neg cs_max_neg 0.000000 0.000003
epsilon_f_neg cs_max_pos 0.000000 0.000003
epsilon_f_neg c0 0.000000 0.000003
epsilon_f_neg D 0.000000 0.000003
epsilon_f_neg Ds_neg 0.000000 0.000003
epsilon_f_neg Ds_pos 0.000000 0.000003
epsilon_f_neg d2Udcp2_pos_sgn 0.000000 0.000003
epsilon_f_neg d2Udcp2_neg_sgn 0.000000 0.000003
epsilon_f_neg d3Udcp3_pos_sgn 0.000000 0.000003
epsilon_f_neg d3Udcp3_neg_sgn 0.000000 0.000003
epsilon_f_neg dUdcp_pos_mag 0.000000 0.000003
epsilon_f_neg dUdcp_neg_mag 0.000000 0.000003
epsilon_f_neg d2Udcp2_pos_mag 0.000000 0.000003
epsilon_f_neg d2Udcp2_neg_mag 0.000000 0.000003
epsilon_f_neg d3Udcp3_pos_mag 0.000000 0.000003
epsilon_f_neg d3Udcp3_neg_mag 0.000000 0.000003
epsilon_f_neg i0_neg 0.000000 0.000003
epsilon_f_neg i0_pos 0.000000 0.000003
epsilon_f_neg SOC_neg 0.000000 0.000003
epsilon_f_neg SOC_pos 0.000000 0.000003
epsilon_f_neg tP 0.000000 0.000003
epsilon_f_neg aa_neg 0.000000 0.000004
epsilon_f_neg aa_pos 0.000000 0.000003
epsilon_f_neg kappa_0 0.000000 0.000002
epsilon_f_neg sigma_neg 0.000000 0.000003
epsilon_f_neg sigma_pos 0.000000 0.000003
epsilon_f_pos epsilon_neg 0.000000 0.000037
epsilon_f_pos epsilon_sep 0.000000 0.000020
epsilon_f_pos epsilon_pos 0.000000 0.000010
epsilon_f_pos Cdl_neg 0.000000 0.000021
epsilon_f_pos Cdl_pos -0.000000 0.000062
epsilon_f_pos cs_max_neg 0.000000 0.000020
epsilon_f_pos cs_max_pos 0.000000 0.000020
epsilon_f_pos c0 0.000000 0.000020
epsilon_f_pos D 0.000000 0.000020
epsilon_f_pos Ds_neg 0.000000 0.000020
epsilon_f_pos Ds_pos 0.000000 0.000020
epsilon_f_pos d2Udcp2_pos_sgn 0.000000 0.000020
epsilon_f_pos d2Udcp2_neg_sgn 0.000000 0.000020
epsilon_f_pos d3Udcp3_pos_sgn 0.000000 0.000020
epsilon_f_pos d3Udcp3_neg_sgn 0.000000 0.000020
epsilon_f_pos dUdcp_pos_mag 0.000000 0.000020
epsilon_f_pos dUdcp_neg_mag 0.000000 0.000020
epsilon_f_pos d2Udcp2_pos_mag 0.000000 0.000020
epsilon_f_pos d2Udcp2_neg_mag 0.000000 0.000020
epsilon_f_pos d3Udcp3_pos_mag 0.000000 0.000020
epsilon_f_pos d3Udcp3_neg_mag 0.000000 0.000020
epsilon_f_pos i0_neg 0.000000 0.000020
epsilon_f_pos i0_pos -0.000000 0.000018
epsilon_f_pos SOC_neg 0.000000 0.000020
epsilon_f_pos SOC_pos 0.000000 0.000020
epsilon_f_pos tP 0.000000 0.000020
epsilon_f_pos aa_neg 0.000000 0.000019
epsilon_f_pos aa_pos 0.000000 0.000026
epsilon_f_pos kappa_0 -0.000000 0.000016
epsilon_f_pos sigma_neg 0.000000 0.000020
epsilon_f_pos sigma_pos 0.000000 0.000020
epsilon_neg epsilon_sep 0.000256 0.082031
epsilon_neg epsilon_pos 0.000269 0.084795
epsilon_neg Cdl_neg 0.002428 0.804810
epsilon_neg Cdl_pos 0.000258 0.082626
epsilon_neg cs_max_neg 0.000256 0.082031
epsilon_neg cs_max_pos 0.000256 0.082031
epsilon_neg c0 0.000258 0.082155
epsilon_neg D 0.000257 0.082063
epsilon_neg Ds_neg 0.000256 0.082031
epsilon_neg Ds_pos 0.000256 0.082031
epsilon_neg d2Udcp2_pos_sgn 0.000256 0.082031
epsilon_neg d2Udcp2_neg_sgn 0.000256 0.082031
epsilon_neg d3Udcp3_pos_sgn 0.000256 0.082031
epsilon_neg d3Udcp3_neg_sgn 0.000256 0.082031
epsilon_neg dUdcp_pos_mag 0.000256 0.082031
epsilon_neg dUdcp_neg_mag 0.000256 0.082031
epsilon_neg d2Udcp2_pos_mag 0.000256 0.082031
epsilon_neg d2Udcp2_neg_mag 0.000256 0.082031
epsilon_neg d3Udcp3_pos_mag 0.000256 0.082031
epsilon_neg d3Udcp3_neg_mag 0.000256 0.082031
epsilon_neg i0_neg 0.000285 0.087448
epsilon_neg i0_pos 0.000251 0.080381
epsilon_neg SOC_neg 0.000256 0.082031
epsilon_neg SOC_pos 0.000256 0.082031
epsilon_neg tP 0.000256 0.082137
epsilon_neg aa_neg 0.000392 0.124644
epsilon_neg aa_pos 0.000276 0.085908
epsilon_neg kappa_0 0.000403 0.129384
epsilon_neg sigma_neg 0.000257 0.082062
epsilon_neg sigma_pos 0.000256 0.082046
epsilon_sep epsilon_pos 0.000000 0.000000
epsilon_sep Cdl_neg 0.000000 0.000000
epsilon_sep Cdl_pos 0.000000 0.000000
epsilon_sep cs_max_neg 0.000000 0.000000
epsilon_sep cs_max_pos 0.000000 0.000000
epsilon_sep c0 0.000000 0.000000
epsilon_sep D 0.000000 0.000000
epsilon_sep Ds_neg 0.000000 0.000000
epsilon_sep Ds_pos -0.000000 0.000000
epsilon_sep d2Udcp2_pos_sgn 0.000000 0.000000
epsilon_sep d2Udcp2_neg_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_pos_sgn 0.000000 0.000000
epsilon_sep d3Udcp3_neg_sgn 0.000000 0.000000
epsilon_sep dUdcp_pos_mag -0.000000 0.000000
epsilon_sep dUdcp_neg_mag 0.000000 0.000000
epsilon_sep d2Udcp2_pos_mag 0.000000 0.000000
epsilon_sep d2Udcp2_neg_mag 0.000000 0.000000
epsilon_sep d3Udcp3_pos_mag 0.000000 0.000000
epsilon_sep d3Udcp3_neg_mag 0.000000 0.000000
epsilon_sep i0_neg 0.000000 0.000000
epsilon_sep i0_pos -0.000000 0.000000
epsilon_sep SOC_neg 0.000000 0.000000
epsilon_sep SOC_pos 0.000000 0.000000
epsilon_sep tP 0.000000 0.000000
epsilon_sep aa_neg 0.000000 0.000000
epsilon_sep aa_pos -0.000000 0.000000
epsilon_sep kappa_0 0.000000 0.000000
epsilon_sep sigma_neg 0.000000 0.000000
epsilon_sep sigma_pos 0.000000 0.000000
epsilon_pos Cdl_neg 0.000192 0.062285
epsilon_pos Cdl_pos 0.001439 0.401930
epsilon_pos cs_max_neg 0.000235 0.065724
epsilon_pos cs_max_pos 0.000235 0.065724
epsilon_pos c0 0.000195 0.063221
epsilon_pos D 0.000225 0.065056
epsilon_pos Ds_neg 0.000235 0.065724
epsilon_pos Ds_pos 0.000235 0.065724
epsilon_pos d2Udcp2_pos_sgn 0.000235 0.065724
epsilon_pos d2Udcp2_neg_sgn 0.000235 0.065724
epsilon_pos d3Udcp3_pos_sgn 0.000235 0.065724
epsilon_pos d3Udcp3_neg_sgn 0.000235 0.065724
epsilon_pos dUdcp_pos_mag 0.000235 0.065724
epsilon_pos dUdcp_neg_mag 0.000235 0.065724
epsilon_pos d2Udcp2_pos_mag 0.000235 0.065724
epsilon_pos d2Udcp2_neg_mag 0.000235 0.065724
epsilon_pos d3Udcp3_pos_mag 0.000235 0.065724
epsilon_pos d3Udcp3_neg_mag 0.000235 0.065724
epsilon_pos i0_neg 0.000236 0.065722
epsilon_pos i0_pos 0.000355 0.112769
epsilon_pos SOC_neg 0.000235 0.065724
epsilon_pos SOC_pos 0.000235 0.065724
epsilon_pos tP 0.000201 0.063667
epsilon_pos aa_neg 0.000232 0.064998
epsilon_pos aa_pos 0.000303 0.084648
epsilon_pos kappa_0 0.000288 0.076433
epsilon_pos sigma_neg 0.000235 0.065724
epsilon_pos sigma_pos 0.000235 0.065735
Cdl_neg Cdl_pos 0.008451 2.717492
Cdl_neg cs_max_neg 0.008340 2.698174
Cdl_neg cs_max_pos 0.008340 2.698174
Cdl_neg c0 0.008335 2.697806
Cdl_neg D 0.008339 2.698128
Cdl_neg Ds_neg 0.008340 2.698174
Cdl_neg Ds_pos 0.008340 2.698174
Cdl_neg d2Udcp2_pos_sgn 0.008340 2.698174
Cdl_neg d2Udcp2_neg_sgn 0.008340 2.698174
Cdl_neg d3Udcp3_pos_sgn 0.008340 2.698174
Cdl_neg d3Udcp3_neg_sgn 0.008340 2.698174
Cdl_neg dUdcp_pos_mag 0.008340 2.698189
Cdl_neg dUdcp_neg_mag 0.008340 2.698174
Cdl_neg d2Udcp2_pos_mag 0.008340 2.698174
Cdl_neg d2Udcp2_neg_mag 0.008340 2.698174
