Parameter S1 S1_conf ST ST_conf
a_neg 0.023567 0.032102 0.067216 0.094219
a_pos 0.258155 0.232815 0.380252 0.156309
l_neg 0.000085 0.000155 0.000236 0.000446
l_sep -0.000006 0.000009 0.000000 0.000000
l_pos -0.000909 0.000862 0.000001 0.000001
Rp_neg 0.000271 0.001256 0.003078 0.005713
Rp_pos -0.000421 0.001679 0.000113 0.000235
epsilon_f_neg -0.000006 0.000010 0.000000 0.000000
epsilon_f_pos -0.000002 0.000007 0.000000 0.000000
epsilon_neg 0.067527 0.116995 0.096407 0.105769
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.014334 0.043461 3.226885 2.198515
Cdl_neg -0.000077 0.000210 0.000008 0.000009
Cdl_pos 0.000317 0.000755 0.000021 0.000045
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000254 0.000391 0.000012 0.000021
D 0.000028 0.000043 0.000000 0.000001
Ds_neg -0.003568 0.007693 0.024226 0.046340
Ds_pos -0.011187 0.013681 0.000325 0.000456
d2Udcp2_pos_sgn -0.002933 0.002514 0.000048 0.000088
d2Udcp2_neg_sgn 0.000350 0.000734 0.000179 0.000380
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.007798 0.010165 0.000630 0.001086
dUdcp_neg_mag 0.000510 0.000836 0.000054 0.000080
d2Udcp2_pos_mag -0.007271 0.014165 0.000741 0.000940
d2Udcp2_neg_mag -0.004244 0.008273 0.033370 0.055912
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.002961 0.009267 0.238043 0.396943
i0_pos 0.308532 0.272595 0.464076 0.204002
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000282 0.000502 0.000014 0.000021
aa_neg 0.015283 0.020009 0.088640 0.116606
aa_pos 0.017579 0.034523 0.427963 0.276791
kappa_0 0.215511 0.532565 5.016051 10.177626
sigma_neg 0.000006 0.000037 0.000000 0.000000
sigma_pos 0.000005 0.000030 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.027454 0.056783
a_neg l_neg -0.012135 0.063312
a_neg l_sep -0.012462 0.063165
a_neg l_pos -0.012532 0.063239
a_neg Rp_neg -0.013381 0.062794
a_neg Rp_pos -0.013335 0.063836
a_neg epsilon_f_neg -0.012472 0.063169
a_neg epsilon_f_pos -0.012470 0.063166
a_neg epsilon_neg 0.025874 0.098573
a_neg epsilon_sep -0.012469 0.063169
a_neg epsilon_pos -0.015861 0.047309
a_neg Cdl_neg -0.012448 0.063219
a_neg Cdl_pos -0.012858 0.063118
a_neg cs_max_neg -0.012469 0.063169
a_neg cs_max_pos -0.012469 0.063169
a_neg c0 -0.012228 0.062923
a_neg D -0.012491 0.063175
a_neg Ds_neg -0.013893 0.062622
a_neg Ds_pos -0.002790 0.055424
a_neg d2Udcp2_pos_sgn -0.012436 0.063161
a_neg d2Udcp2_neg_sgn -0.012223 0.063270
a_neg d3Udcp3_pos_sgn -0.012469 0.063169
a_neg d3Udcp3_neg_sgn -0.012469 0.063169
a_neg dUdcp_pos_mag -0.015781 0.070941
a_neg dUdcp_neg_mag -0.012516 0.063185
a_neg d2Udcp2_pos_mag -0.003853 0.055173
a_neg d2Udcp2_neg_mag -0.014826 0.062326
a_neg d3Udcp3_pos_mag -0.012469 0.063169
a_neg d3Udcp3_neg_mag -0.012469 0.063169
a_neg i0_neg -0.011994 0.062698
a_neg i0_pos -0.000827 0.065103
a_neg SOC_neg -0.012469 0.063169
a_neg SOC_pos -0.012469 0.063169
a_neg tP -0.012132 0.062858
a_neg aa_neg -0.003321 0.068133
a_neg aa_pos -0.008669 0.071925
a_neg kappa_0 0.211401 0.506570
a_neg sigma_neg -0.012458 0.063171
a_neg sigma_pos -0.012434 0.063190
a_pos l_neg -0.113994 0.452492
a_pos l_sep -0.113976 0.452501
a_pos l_pos -0.113036 0.451969
a_pos Rp_neg -0.116685 0.450416
a_pos Rp_pos -0.112992 0.451512
a_pos epsilon_f_neg -0.113972 0.452508
a_pos epsilon_f_pos -0.114004 0.452447
a_pos epsilon_neg -0.125198 0.445484
a_pos epsilon_sep -0.113975 0.452502
a_pos epsilon_pos -0.228645 0.263485
a_pos Cdl_neg -0.113817 0.452610
a_pos Cdl_pos -0.114776 0.450969
a_pos cs_max_neg -0.113975 0.452502
a_pos cs_max_pos -0.113975 0.452502
