Parameter S1 S1_conf ST ST_conf
a_neg 0.043382 0.078200 0.049101 0.092788
a_pos -0.003874 0.103721 0.557855 0.183826
l_neg 0.000078 0.000211 0.000096 0.000269
l_sep 0.000000 0.000000 0.000000 0.000000
l_pos -0.000087 0.000320 0.000000 0.000001
Rp_neg 0.000200 0.000593 0.000007 0.000018
Rp_pos -0.002384 0.003972 0.000061 0.000149
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000006 0.000016 0.000000 0.000000
epsilon_neg 0.055634 0.163897 0.110101 0.178644
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos -0.002127 0.066877 5.304444 2.775046
Cdl_neg -0.002260 0.004356 0.016866 0.028207
Cdl_pos 0.001547 0.012041 0.002873 0.005886
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000022 0.000047 0.000000 0.000001
D -0.000038 0.000072 0.000000 0.000000
Ds_neg 0.000108 0.000605 0.000044 0.000117
Ds_pos -0.000471 0.001715 0.000006 0.000011
d2Udcp2_pos_sgn -0.000023 0.000094 0.000000 0.000000
d2Udcp2_neg_sgn 0.000061 0.000192 0.000020 0.000065
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000991 0.002555 0.000050 0.000129
dUdcp_neg_mag 0.000147 0.000358 0.000004 0.000009
d2Udcp2_pos_mag -0.000894 0.001733 0.000003 0.000005
d2Udcp2_neg_mag 0.000053 0.000128 0.000014 0.000032
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.000687 0.008607 0.026075 0.042933
i0_pos 0.002264 0.026976 0.599984 0.285971
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000033 0.000060 0.000001 0.000002
aa_neg 0.010119 0.035031 0.065805 0.116845
aa_pos 0.011261 0.042203 0.687106 0.354603
kappa_0 0.403159 1.091303 9.633345 23.364930
sigma_neg 0.000008 0.000018 0.000000 0.000000
sigma_pos 0.000020 0.000060 0.000000 0.000001

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.022603 0.088058
a_neg l_neg -0.005364 0.113615
a_neg l_sep -0.005491 0.113508
a_neg l_pos -0.005511 0.113510
a_neg Rp_neg -0.005486 0.113516
a_neg Rp_pos -0.005151 0.110442
a_neg epsilon_f_neg -0.005491 0.113509
a_neg epsilon_f_pos -0.005496 0.113499
a_neg epsilon_neg 0.020389 0.166991
a_neg epsilon_sep -0.005491 0.113508
a_neg epsilon_pos -0.038065 0.086989
a_neg Cdl_neg -0.001120 0.120284
a_neg Cdl_pos -0.010361 0.108510
a_neg cs_max_neg -0.005491 0.113508
a_neg cs_max_pos -0.005491 0.113508
a_neg c0 -0.005513 0.113533
a_neg D -0.005456 0.113468
a_neg Ds_neg -0.005500 0.113505
a_neg Ds_pos -0.004391 0.113106
a_neg d2Udcp2_pos_sgn -0.005494 0.113507
a_neg d2Udcp2_neg_sgn -0.005483 0.113513
a_neg d3Udcp3_pos_sgn -0.005491 0.113508
a_neg d3Udcp3_neg_sgn -0.005491 0.113508
a_neg dUdcp_pos_mag -0.004619 0.115093
a_neg dUdcp_neg_mag -0.005470 0.113529
a_neg d2Udcp2_pos_mag -0.004638 0.112569
a_neg d2Udcp2_neg_mag -0.005453 0.113540
a_neg d3Udcp3_pos_mag -0.005491 0.113508
a_neg d3Udcp3_neg_mag -0.005491 0.113508
a_neg i0_neg -0.013922 0.106330
a_neg i0_pos 0.004004 0.117314
a_neg SOC_neg -0.005491 0.113508
a_neg SOC_pos -0.005491 0.113508
a_neg tP -0.005517 0.113541
a_neg aa_neg 0.000374 0.121863
a_neg aa_pos 0.009519 0.131470
a_neg kappa_0 0.389314 1.088383
a_neg sigma_neg -0.005487 0.113510
a_neg sigma_pos -0.005470 0.113544
a_pos l_neg 0.226286 0.634700
a_pos l_sep 0.226304 0.634712
a_pos l_pos 0.226364 0.634693
a_pos Rp_neg 0.225943 0.634359
a_pos Rp_pos 0.218124 0.613492
a_pos epsilon_f_neg 0.226306 0.634716
a_pos epsilon_f_pos 0.226258 0.634590
a_pos epsilon_neg 0.218158 0.625354
a_pos epsilon_sep 0.226304 0.634712
a_pos epsilon_pos 0.037771 0.167070
a_pos Cdl_neg 0.229190 0.635751
a_pos Cdl_pos 0.203789 0.576506
a_pos cs_max_neg 0.226304 0.634712
a_pos cs_max_pos 0.226304 0.634712
a_pos c0 0.226275 0.634644
a_pos D 0.226298 0.634695
a_pos Ds_neg 0.226206 0.634598
a_pos Ds_pos 0.228421 0.640184
a_pos d2Udcp2_pos_sgn 0.226319 0.634708
a_pos d2Udcp2_neg_sgn 0.226302 0.634711
a_pos d3Udcp3_pos_sgn 0.226304 0.634712
a_pos d3Udcp3_neg_sgn 0.226304 0.634712
a_pos dUdcp_pos_mag 0.233967 0.654605
a_pos dUdcp_neg_mag 0.226342 0.634768
a_pos d2Udcp2_pos_mag 0.226300 0.634718
a_pos d2Udcp2_neg_mag 0.226303 0.634713
a_pos d3Udcp3_pos_mag 0.226304 0.634712
a_pos d3Udcp3_neg_mag 0.226304 0.634712
a_pos i0_neg 0.233460 0.640149
a_pos i0_pos 0.235687 0.673891
a_pos SOC_neg 0.226304 0.634712
a_pos SOC_pos 0.226304 0.634712
a_pos tP 0.226302 0.634712
a_pos aa_neg 0.216614 0.602874
a_pos aa_pos 0.309624 0.847260
a_pos kappa_0 3.504561 9.199259
a_pos sigma_neg 0.226305 0.634723
a_pos sigma_pos 0.226495 0.635188
l_neg l_sep -0.000171 0.000317
l_neg l_pos -0.000171 0.000317
l_neg Rp_neg -0.000172 0.000317
l_neg Rp_pos -0.000172 0.000317
l_neg epsilon_f_neg -0.000172 0.000317
l_neg epsilon_f_pos -0.000171 0.000317
l_neg epsilon_neg -0.000092 0.000216
l_neg epsilon_sep -0.000171 0.000317
l_neg epsilon_pos -0.000169 0.000313
l_neg Cdl_neg -0.000137 0.000267
l_neg Cdl_pos -0.000172 0.000317
l_neg cs_max_neg -0.000171 0.000317
l_neg cs_max_pos -0.000171 0.000317
l_neg c0 -0.000171 0.000317
l_neg D -0.000172 0.000317
l_neg Ds_neg -0.000171 0.000315
l_neg Ds_pos -0.000172 0.000317
l_neg d2Udcp2_pos_sgn -0.000171 0.000317
l_neg d2Udcp2_neg_sgn -0.000171 0.000317
l_neg d3Udcp3_pos_sgn -0.000171 0.000317
l_neg d3Udcp3_neg_sgn -0.000171 0.000317
l_neg dUdcp_pos_mag -0.000172 0.000317
l_neg dUdcp_neg_mag -0.000172 0.000317
l_neg d2Udcp2_pos_mag -0.000171 0.000317
l_neg d2Udcp2_neg_mag -0.000171 0.000317
l_neg d3Udcp3_pos_mag -0.000171 0.000317
l_neg d3Udcp3_neg_mag -0.000171 0.000317
l_neg i0_neg -0.000140 0.000267
l_neg i0_pos -0.000205 0.000371
l_neg SOC_neg -0.000171 0.000317
l_neg SOC_pos -0.000171 0.000317
l_neg tP -0.000171 0.000317
l_neg aa_neg -0.000074 0.000210
l_neg aa_pos -0.000170 0.000316
l_neg kappa_0 -0.000098 0.000225
l_neg sigma_neg -0.000172 0.000317
l_neg sigma_pos -0.000172 0.000317
l_sep l_pos -0.000000 0.000000
l_sep Rp_neg -0.000000 0.000000
l_sep Rp_pos -0.000000 0.000000
l_sep epsilon_f_neg -0.000000 0.000000
l_sep epsilon_f_pos -0.000000 0.000000
l_sep epsilon_neg -0.000000 0.000000
l_sep epsilon_sep -0.000000 0.000000
l_sep epsilon_pos -0.000000 0.000000
l_sep Cdl_neg -0.000000 0.000000
l_sep Cdl_pos -0.000000 0.000000
l_sep cs_max_neg -0.000000 0.000000
l_sep cs_max_pos -0.000000 0.000000
l_sep c0 -0.000000 0.000000
l_sep D -0.000000 0.000000
l_sep Ds_neg -0.000000 0.000000
l_sep Ds_pos -0.000000 0.000000
l_sep d2Udcp2_pos_sgn -0.000000 0.000000
l_sep d2Udcp2_neg_sgn -0.000000 0.000000
l_sep d3Udcp3_pos_sgn -0.000000 0.000000
l_sep d3Udcp3_neg_sgn -0.000000 0.000000
l_sep dUdcp_pos_mag -0.000000 0.000000
l_sep dUdcp_neg_mag -0.000000 0.000000
l_sep d2Udcp2_pos_mag -0.000000 0.000000
l_sep d2Udcp2_neg_mag -0.000000 0.000000
l_sep d3Udcp3_pos_mag -0.000000 0.000000
l_sep d3Udcp3_neg_mag -0.000000 0.000000
l_sep i0_neg -0.000000 0.000000
l_sep i0_pos -0.000000 0.000000
l_sep SOC_neg -0.000000 0.000000
l_sep SOC_pos -0.000000 0.000000
l_sep tP -0.000000 0.000000
l_sep aa_neg -0.000000 0.000000
l_sep aa_pos -0.000000 0.000000
l_sep kappa_0 -0.000000 0.000000
l_sep sigma_neg -0.000000 0.000000
l_sep sigma_pos -0.000000 0.000000
l_pos Rp_neg 0.000019 0.000090
l_pos Rp_pos 0.000019 0.000090
l_pos epsilon_f_neg 0.000019 0.000090
l_pos epsilon_f_pos 0.000019 0.000090
l_pos epsilon_neg 0.000020 0.000079
l_pos epsilon_sep 0.000019 0.000090
l_pos epsilon_pos 0.000061 0.000217
l_pos Cdl_neg 0.000018 0.000087
l_pos Cdl_pos 0.000019 0.000090
l_pos cs_max_neg 0.000019 0.000090
l_pos cs_max_pos 0.000019 0.000090
l_pos c0 0.000019 0.000090
l_pos D 0.000019 0.000090
l_pos Ds_neg 0.000019 0.000090
l_pos Ds_pos 0.000020 0.000094
l_pos d2Udcp2_pos_sgn 0.000021 0.000099
l_pos d2Udcp2_neg_sgn 0.000019 0.000090
l_pos d3Udcp3_pos_sgn 0.000019 0.000090
l_pos d3Udcp3_neg_sgn 0.000019 0.000090
l_pos dUdcp_pos_mag 0.000019 0.000090
l_pos dUdcp_neg_mag 0.000019 0.000090
l_pos d2Udcp2_pos_mag 0.000018 0.000089
l_pos d2Udcp2_neg_mag 0.000019 0.000090
l_pos d3Udcp3_pos_mag 0.000019 0.000090
l_pos d3Udcp3_neg_mag 0.000019 0.000090
l_pos i0_neg 0.000019 0.000090
l_pos i0_pos -0.000597 0.002016
l_pos SOC_neg 0.000019 0.000090
l_pos SOC_pos 0.000019 0.000090
l_pos tP 0.000019 0.000090
l_pos aa_neg -0.000059 0.000178
l_pos aa_pos 0.000040 0.000172
l_pos kappa_0 0.000029 0.000238
l_pos sigma_neg 0.000019 0.000090
l_pos sigma_pos 0.000019 0.000090
Rp_neg Rp_pos -0.000165 0.000579
Rp_neg epsilon_f_neg -0.000165 0.000579
Rp_neg epsilon_f_pos -0.000165 0.000579
Rp_neg epsilon_neg 0.000058 0.000936
Rp_neg epsilon_sep -0.000165 0.000579
Rp_neg epsilon_pos -0.000171 0.000583
Rp_neg Cdl_neg -0.000182 0.000587
Rp_neg Cdl_pos -0.000150 0.000575
Rp_neg cs_max_neg -0.000165 0.000579
Rp_neg cs_max_pos -0.000165 0.000579
Rp_neg c0 -0.000165 0.000579
Rp_neg D -0.000165 0.000579
Rp_neg Ds_neg -0.000165 0.000579
Rp_neg Ds_pos -0.000165 0.000579
Rp_neg d2Udcp2_pos_sgn -0.000165 0.000579
Rp_neg d2Udcp2_neg_sgn -0.000165 0.000579
Rp_neg d3Udcp3_pos_sgn -0.000165 0.000579
Rp_neg d3Udcp3_neg_sgn -0.000165 0.000579
Rp_neg dUdcp_pos_mag -0.000165 0.000579
Rp_neg dUdcp_neg_mag -0.000165 0.000579
Rp_neg d2Udcp2_pos_mag -0.000165 0.000579
Rp_neg d2Udcp2_neg_mag -0.000165 0.000579
Rp_neg d3Udcp3_pos_mag -0.000165 0.000579
Rp_neg d3Udcp3_neg_mag -0.000165 0.000579
Rp_neg i0_neg -0.000181 0.000588
Rp_neg i0_pos -0.000179 0.000587
Rp_neg SOC_neg -0.000165 0.000579
Rp_neg SOC_pos -0.000165 0.000579
Rp_neg tP -0.000165 0.000579
Rp_neg aa_neg -0.000133 0.000580
Rp_neg aa_pos -0.000150 0.000576
Rp_neg kappa_0 -0.000201 0.000612
Rp_neg sigma_neg -0.000165 0.000579
Rp_neg sigma_pos -0.000165 0.000579
Rp_pos epsilon_f_neg 0.002389 0.003974
Rp_pos epsilon_f_pos 0.002389 0.003974
Rp_pos epsilon_neg 0.002386 0.003972
Rp_pos epsilon_sep 0.002389 0.003974
Rp_pos epsilon_pos 0.002388 0.003973
Rp_pos Cdl_neg 0.002390 0.003975
Rp_pos Cdl_pos 0.002389 0.003974
Rp_pos cs_max_neg 0.002389 0.003974
Rp_pos cs_max_pos 0.002389 0.003974
Rp_pos c0 0.002389 0.003974
Rp_pos D 0.002389 0.003974
Rp_pos Ds_neg 0.002389 0.003974
Rp_pos Ds_pos 0.002389 0.003974
Rp_pos d2Udcp2_pos_sgn 0.002389 0.003974
Rp_pos d2Udcp2_neg_sgn 0.002389 0.003974
Rp_pos d3Udcp3_pos_sgn 0.002389 0.003974
Rp_pos d3Udcp3_neg_sgn 0.002389 0.003974
Rp_pos dUdcp_pos_mag 0.002389 0.003974
