Parameter S1 S1_conf ST ST_conf
a_neg 0.038766 0.077181 0.119954 0.135857
a_pos 0.118920 0.349877 1.862767 3.420733
l_neg -0.000072 0.000162 0.000009 0.000020
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.000527 0.001291 0.000019 0.000046
Rp_neg 0.000042 0.000084 0.000008 0.000018
Rp_pos -0.000340 0.000922 0.000012 0.000025
epsilon_f_neg -0.000002 0.000005 0.000000 0.000000
epsilon_f_pos -0.000013 0.000019 0.000000 0.000000
epsilon_neg 0.065160 0.114091 0.199855 0.303598
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.067108 0.164057 4.525498 2.446198
Cdl_neg 0.001389 0.048043 0.142295 0.188832
Cdl_pos -0.014691 0.034131 0.599721 1.306751
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 0.000002 0.000009 0.000000 0.000000
D 0.000001 0.000004 0.000000 0.000000
Ds_neg 0.000026 0.000091 0.000084 0.000197
Ds_pos 0.000129 0.000264 0.000000 0.000000
d2Udcp2_pos_sgn 0.000002 0.000008 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000120 0.000228 0.000001 0.000001
dUdcp_neg_mag -0.000063 0.000151 0.000010 0.000023
d2Udcp2_pos_mag 0.000089 0.000195 0.000000 0.000000
d2Udcp2_neg_mag 0.000001 0.000002 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg -0.007856 0.013397 0.023071 0.030630
i0_pos -0.002418 0.013627 0.036893 0.012642
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP 0.000005 0.000011 0.000000 0.000000
aa_neg 0.034330 0.040699 0.029614 0.033345
aa_pos 0.009668 0.025417 0.581882 0.308311
kappa_0 0.378341 0.839295 9.975888 19.901887
sigma_neg 0.000029 0.000055 0.000000 0.000000
sigma_pos 0.000033 0.000062 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.076997 0.293078
a_neg l_neg 0.058108 0.135233
a_neg l_sep 0.058133 0.135236
a_neg l_pos 0.058533 0.135364
a_neg Rp_neg 0.058210 0.135239
a_neg Rp_pos 0.057584 0.134841
a_neg epsilon_f_neg 0.058142 0.135243
a_neg epsilon_f_pos 0.058127 0.135229
a_neg epsilon_neg 0.382040 0.709202
a_neg epsilon_sep 0.058133 0.135236
a_neg epsilon_pos 0.031112 0.122763
a_neg Cdl_neg 0.108347 0.215009
a_neg Cdl_pos 0.043060 0.124640
a_neg cs_max_neg 0.058133 0.135236
a_neg cs_max_pos 0.058133 0.135236
a_neg c0 0.058129 0.135235
a_neg D 0.058133 0.135236
a_neg Ds_neg 0.057816 0.135160
a_neg Ds_pos 0.058025 0.135284
a_neg d2Udcp2_pos_sgn 0.058133 0.135235
a_neg d2Udcp2_neg_sgn 0.058134 0.135236
a_neg d3Udcp3_pos_sgn 0.058133 0.135236
a_neg d3Udcp3_neg_sgn 0.058133 0.135236
a_neg dUdcp_pos_mag 0.058190 0.135325
a_neg dUdcp_neg_mag 0.058227 0.135209
a_neg d2Udcp2_pos_mag 0.058055 0.135271
a_neg d2Udcp2_neg_mag 0.058134 0.135236
a_neg d3Udcp3_pos_mag 0.058133 0.135236
a_neg d3Udcp3_neg_mag 0.058133 0.135236
a_neg i0_neg 0.063847 0.135282
a_neg i0_pos 0.056895 0.134876
a_neg SOC_neg 0.058133 0.135236
a_neg SOC_pos 0.058133 0.135236
a_neg tP 0.058127 0.135236
a_neg aa_neg 0.080786 0.173369
a_neg aa_pos 0.068708 0.147463
a_neg kappa_0 0.460642 0.940232
a_neg sigma_neg 0.058196 0.135298
a_neg sigma_pos 0.058147 0.135265
a_pos l_neg -0.019761 0.399533
a_pos l_sep -0.019777 0.399536
a_pos l_pos -0.019766 0.399489
a_pos Rp_neg -0.019788 0.399540
a_pos Rp_pos -0.021408 0.397980
a_pos epsilon_f_neg -0.019777 0.399536
a_pos epsilon_f_pos -0.019795 0.399514
a_pos epsilon_neg -0.046462 0.419822
a_pos epsilon_sep -0.019777 0.399536
a_pos epsilon_pos -0.091744 0.376890
a_pos Cdl_neg -0.020026 0.399834
a_pos Cdl_pos -0.070455 0.364188
a_pos cs_max_neg -0.019777 0.399536
a_pos cs_max_pos -0.019777 0.399536
