Parameter S1 S1_conf ST ST_conf
a_neg 0.167008 0.412677 4.567802 11.647806
a_pos 0.304978 0.716823 24.501638 58.896877
l_neg 0.000014 0.000024 0.000000 0.000000
l_sep -0.000000 0.000000 0.000000 0.000000
l_pos -0.002829 0.006813 0.002225 0.005429
Rp_neg 0.000018 0.000051 0.000000 0.000001
Rp_pos 0.000017 0.000037 0.000000 0.000000
epsilon_f_neg -0.000007 0.000017 0.000000 0.000000
epsilon_f_pos -0.000016 0.000025 0.000000 0.000000
epsilon_neg 0.030448 0.051558 0.141224 0.186731
epsilon_sep 0.000000 0.000000 0.000000 0.000000
epsilon_pos 0.134226 0.267675 0.658316 0.899993
Cdl_neg 0.254053 0.671213 2.661125 5.871156
Cdl_pos 0.109706 0.298873 2.179526 5.220648
cs_max_neg 0.000000 0.000000 0.000000 0.000000
cs_max_pos 0.000000 0.000000 0.000000 0.000000
c0 -0.000002 0.000012 0.000000 0.000000
D -0.000001 0.000002 0.000000 0.000000
Ds_neg 0.000011 0.000032 0.000000 0.000000
Ds_pos -0.000004 0.000021 0.000000 0.000000
d2Udcp2_pos_sgn 0.000001 0.000002 0.000000 0.000000
d2Udcp2_neg_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_sgn 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_sgn 0.000000 0.000000 0.000000 0.000000
dUdcp_pos_mag 0.000031 0.000075 0.000000 0.000000
dUdcp_neg_mag 0.000004 0.000050 0.000000 0.000001
d2Udcp2_pos_mag 0.000004 0.000011 0.000000 0.000000
d2Udcp2_neg_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_pos_mag 0.000000 0.000000 0.000000 0.000000
d3Udcp3_neg_mag 0.000000 0.000000 0.000000 0.000000
i0_neg 0.021461 0.025671 0.049858 0.053601
i0_pos 0.038556 0.061782 3.930753 6.885214
SOC_neg 0.000000 0.000000 0.000000 0.000000
SOC_pos 0.000000 0.000000 0.000000 0.000000
tP -0.000006 0.000021 0.000000 0.000000
aa_neg 0.033640 0.064151 0.033672 0.041726
aa_pos 0.013066 0.025271 1.155925 1.733710
kappa_0 0.016111 0.084497 1.170507 2.236553
sigma_neg 0.000061 0.000139 0.000000 0.000000
sigma_pos 0.000034 0.000077 0.000000 0.000000

Parameter_1 Parameter_2 S2 S2_conf
a_neg a_pos -0.340661 0.783182
a_neg l_neg -0.130725 0.424360
a_neg l_sep -0.130723 0.424355
a_neg l_pos -0.128624 0.422796
a_neg Rp_neg -0.130545 0.424176
a_neg Rp_pos -0.130713 0.424362
a_neg epsilon_f_neg -0.130715 0.424352
a_neg epsilon_f_pos -0.130761 0.424366
a_neg epsilon_neg 0.131769 0.548847
a_neg epsilon_sep -0.130723 0.424355
a_neg epsilon_pos -0.117137 0.417416
a_neg Cdl_neg 0.718271 1.656993
a_neg Cdl_pos -0.142652 0.432898
a_neg cs_max_neg -0.130723 0.424355
a_neg cs_max_pos -0.130723 0.424355
a_neg c0 -0.130720 0.424353
a_neg D -0.130722 0.424355
a_neg Ds_neg -0.130613 0.424244
a_neg Ds_pos -0.130726 0.424358
a_neg d2Udcp2_pos_sgn -0.130723 0.424355
a_neg d2Udcp2_neg_sgn -0.130723 0.424355
a_neg d3Udcp3_pos_sgn -0.130723 0.424355
a_neg d3Udcp3_neg_sgn -0.130723 0.424355
a_neg dUdcp_pos_mag -0.130789 0.424371
a_neg dUdcp_neg_mag -0.130542 0.424171
a_neg d2Udcp2_pos_mag -0.130724 0.424357
a_neg d2Udcp2_neg_mag -0.130723 0.424355
a_neg d3Udcp3_pos_mag -0.130723 0.424355
a_neg d3Udcp3_neg_mag -0.130723 0.424355
a_neg i0_neg -0.117221 0.427576
a_neg i0_pos -0.129563 0.419728
a_neg SOC_neg -0.130723 0.424355
a_neg SOC_pos -0.130723 0.424355
a_neg tP -0.130723 0.424356
a_neg aa_neg -0.120598 0.429146
a_neg aa_pos -0.125534 0.415635
a_neg kappa_0 -0.087314 0.381346
a_neg sigma_neg -0.130692 0.424348
a_neg sigma_pos -0.130509 0.424350
a_pos l_neg -0.289882 0.715044
a_pos l_sep -0.289875 0.715034
a_pos l_pos -0.289680 0.714540
a_pos Rp_neg -0.289873 0.715034
a_pos Rp_pos -0.289877 0.715037
a_pos epsilon_f_neg -0.289873 0.715034
a_pos epsilon_f_pos -0.289871 0.715033
a_pos epsilon_neg -0.300065 0.722692
a_pos epsilon_sep -0.289873 0.715034
a_pos epsilon_pos -0.286202 0.729034
a_pos Cdl_neg -0.268081 0.700618
a_pos Cdl_pos -0.349168 0.779497
a_pos cs_max_neg -0.289873 0.715034
a_pos cs_max_pos -0.289873 0.715034
